date,return,volatility
2021-04-19T21:00:00,0.0,0.0
2021-04-20T21:00:00,0.48,0.78
2021-04-21T21:00:00,-0.58,0.94
2021-04-22T21:00:00,0.49,0.74
2021-04-25T21:00:00,0.59,0.74
2021-04-26T21:00:00,-0.39,0.49
2021-04-27T21:00:00,0.68,1.1
2021-04-28T21:00:00,-0.18,0.88
2021-04-29T21:00:00,-1.14,1.45
2021-05-02T21:00:00,0.26,0.8
2021-05-03T21:00:00,-0.76,1.27
2021-05-04T21:00:00,1.01,1.05
2021-05-05T21:00:00,0.26,0.75
2021-05-06T21:00:00,0.59,1.3
2021-05-09T21:00:00,-0.28,0.6
2021-05-10T21:00:00,0.09,0.52
2021-05-11T21:00:00,-1.64,1.77
2021-05-12T21:00:00,0.36,0.83
2021-05-13T21:00:00,1.1,1.24
2021-05-16T21:00:00,-0.45,0.96
2021-05-17T21:00:00,0.51,0.96
2021-05-18T21:00:00,-1.08,1.36
2021-05-19T21:00:00,0.51,0.84
2021-05-20T21:00:00,-0.31,0.96
2021-05-23T21:00:00,0.52,0.85
2021-05-24T21:00:00,0.28,0.63
2021-05-25T21:00:00,0.73,1.31
2021-05-26T21:00:00,0.17,0.62
2021-05-27T21:00:00,-0.63,1.14
2021-05-30T21:00:00,0.2,0.72
2021-05-31T21:00:00,-0.22,0.57
2021-06-01T21:00:00,-0.26,0.88
2021-06-02T21:00:00,-1.27,1.63
2021-06-03T21:00:00,0.94,1.17
2021-06-06T21:00:00,0.15,0.71
2021-06-07T21:00:00,-0.43,0.63
2021-06-08T21:00:00,-0.27,0.65
2021-06-09T21:00:00,0.22,0.66
2021-06-10T21:00:00,-0.95,1.33
2021-06-13T21:00:00,0.08,0.37
2021-06-14T21:00:00,-0.33,0.78
2021-06-15T21:00:00,-0.99,1.59
2021-06-16T21:00:00,-0.61,1.57
2021-06-17T21:00:00,-0.95,1.37
2021-06-20T21:00:00,0.71,1.12
2021-06-21T21:00:00,0.53,1.04
2021-06-22T21:00:00,0.37,1.05
2021-06-23T21:00:00,0.19,0.61
2021-06-24T21:00:00,0.12,0.56
2021-06-27T21:00:00,-0.44,0.76
2021-06-28T21:00:00,-0.7,1.03
2021-06-29T21:00:00,-0.04,0.6
2021-06-30T21:00:00,-0.25,0.69
2021-07-01T21:00:00,0.78,1.29
2021-07-04T21:00:00,-0.02,0.57
2021-07-05T21:00:00,-0.2,1.67
2021-07-06T21:00:00,0.06,1.03
2021-07-07T21:00:00,-1.01,1.26
2021-07-08T21:00:00,0.63,1.17
2021-07-11T21:00:00,-0.3,0.87
2021-07-12T21:00:00,-0.5,1.33
2021-07-13T21:00:00,1.32,1.51
2021-07-14T21:00:00,-0.74,1.14
2021-07-15T21:00:00,0.23,0.82
2021-07-18T21:00:00,-0.86,1.27
2021-07-19T21:00:00,-0.38,1.06
2021-07-20T21:00:00,0.74,1.2
2021-07-21T21:00:00,0.05,0.56
2021-07-22T21:00:00,0.11,0.46
2021-07-25T21:00:00,0.37,0.89
2021-07-26T21:00:00,-0.58,0.96
2021-07-27T21:00:00,0.08,1.0
2021-07-28T21:00:00,0.8,1.02
2021-07-29T21:00:00,-0.55,0.89
2021-08-01T21:00:00,-0.01,0.58
2021-08-02T21:00:00,0.65,0.78
2021-08-03T21:00:00,0.49,1.05
2021-08-04T21:00:00,0.13,0.52
2021-08-05T21:00:00,-0.68,0.88
2021-08-08T21:00:00,-0.25,0.65
2021-08-09T21:00:00,0.21,0.61
2021-08-10T21:00:00,0.52,1.01
2021-08-11T21:00:00,-0.59,0.73
2021-08-12T21:00:00,0.54,0.76
2021-08-15T21:00:00,-0.35,0.49
2021-08-16T21:00:00,-1.47,1.92
2021-08-17T21:00:00,-0.49,1.2
2021-08-18T21:00:00,-0.9,1.47
2021-08-19T21:00:00,-0.06,0.57
2021-08-22T21:00:00,0.99,1.19
2021-08-23T21:00:00,0.93,1.26
2021-08-24T21:00:00,0.29,0.77
2021-08-25T21:00:00,-0.34,0.52
2021-08-26T21:00:00,0.86,1.23
2021-08-29T21:00:00,0.03,0.4
2021-08-30T21:00:00,0.7,1.04
2021-08-31T21:00:00,0.35,0.61
2021-09-01T21:00:00,0.58,0.89
2021-09-02T21:00:00,0.56,0.9
2021-09-05T21:00:00,-0.31,0.52
2021-09-06T21:00:00,-0.5,0.94
2021-09-07T21:00:00,0.0,0.55
2021-09-08T21:00:00,0.1,0.73
2021-09-09T21:00:00,0.02,0.94
2021-09-12T21:00:00,0.03,0.36
2021-09-13T21:00:00,-0.32,0.97
2021-09-14T21:00:00,0.13,0.64
2021-09-15T21:00:00,-0.47,1.12
2021-09-16T21:00:00,-0.42,0.88
2021-09-19T21:00:00,-0.06,0.59
2021-09-20T21:00:00,-0.31,0.9
2021-09-21T21:00:00,-0.02,0.91
2021-09-22T21:00:00,0.96,1.6
2021-09-23T21:00:00,-0.82,1.19
2021-09-26T21:00:00,0.05,0.67
2021-09-27T21:00:00,-0.73,1.21
2021-09-28T21:00:00,-1.32,1.52
2021-09-29T21:00:00,0.45,0.9
2021-09-30T21:00:00,0.57,1.08
2021-10-03T21:00:00,0.42,0.8
2021-10-04T21:00:00,-0.13,0.69
2021-10-05T21:00:00,-0.69,1.5
2021-10-06T21:00:00,0.2,0.54
2021-10-07T21:00:00,0.07,0.75
2021-10-10T21:00:00,0.25,0.7
2021-10-11T21:00:00,-0.12,0.67
2021-10-12T21:00:00,0.52,0.82
2021-10-13T21:00:00,1.07,1.19
2021-10-14T21:00:00,0.6,0.69
2021-10-17T21:00:00,0.18,0.79
2021-10-18T21:00:00,0.97,1.27
2021-10-19T21:00:00,0.67,0.87
2021-10-20T21:00:00,-0.68,1.09
2021-10-21T21:00:00,0.03,0.8
2021-10-24T21:00:00,0.23,0.67
2021-10-25T21:00:00,-0.0,0.6
2021-10-26T21:00:00,0.07,0.8
2021-10-27T21:00:00,0.41,0.91
2021-10-28T21:00:00,-0.42,1.03
2021-10-31T21:00:00,0.32,0.64
2021-11-01T21:00:00,-1.07,1.37
2021-11-02T21:00:00,0.65,0.97
2021-11-03T21:00:00,-0.81,1.18
2021-11-04T21:00:00,0.24,0.77
2021-11-07T22:00:00,0.76,1.03
2021-11-08T22:00:00,-0.5,0.91
2021-11-09T22:00:00,-0.97,1.09
2021-11-10T22:00:00,-0.54,0.84
2021-11-11T22:00:00,0.3,0.73
2021-11-14T22:00:00,0.11,0.69
2021-11-15T22:00:00,-0.76,1.13
2021-11-16T22:00:00,0.11,0.58
2021-11-17T22:00:00,0.72,0.83
2021-11-18T22:00:00,-0.65,0.79
2021-11-21T22:00:00,-0.48,0.95
2021-11-22T22:00:00,-0.13,0.89
2021-11-23T22:00:00,-1.11,1.73
2021-11-24T22:00:00,-0.24,0.78
2021-11-25T22:00:00,-0.55,0.79
2021-11-28T22:00:00,-0.18,0.75
2021-11-29T22:00:00,-0.04,1.23
2021-11-30T22:00:00,-0.13,0.94
2021-12-01T22:00:00,0.15,0.47
2021-12-02T22:00:00,-0.94,1.3
2021-12-04T22:00:00,-0.09,0.17
2021-12-05T22:00:00,0.03,0.36
2021-12-06T22:00:00,0.53,0.83
2021-12-07T22:00:00,0.24,0.77
2021-12-08T22:00:00,-0.22,0.63
2021-12-09T22:00:00,0.07,0.55
2021-12-12T22:00:00,-0.69,0.83
2021-12-13T22:00:00,-0.25,0.56
2021-12-14T22:00:00,0.63,1.29
2021-12-15T22:00:00,0.25,1.13
2021-12-16T22:00:00,-0.89,1.06
2021-12-19T22:00:00,-0.46,0.64
2021-12-20T22:00:00,0.84,1.05
2021-12-21T22:00:00,0.66,1.22
2021-12-22T22:00:00,0.2,0.68
2021-12-23T22:00:00,-0.18,0.45
2021-12-26T22:00:00,-0.16,0.56
2021-12-27T22:00:00,-0.15,0.59
2021-12-28T22:00:00,0.41,0.79
2021-12-29T22:00:00,0.04,0.6
