date,return,volatility
2021-02-11T14:00:00,0.0,0.0
2021-02-11T22:00:00,0.02,0.12
2021-02-12T06:00:00,0.39,0.43
2021-02-12T14:00:00,-0.2,0.35
2021-02-14T22:00:00,-0.12,0.21
2021-02-15T06:00:00,0.01,0.18
2021-02-15T14:00:00,-0.06,0.14
2021-02-15T22:00:00,-0.13,0.25
2021-02-16T06:00:00,0.31,0.54
2021-02-16T14:00:00,0.11,0.23
2021-02-16T22:00:00,0.07,0.18
2021-02-17T06:00:00,0.56,0.57
2021-02-17T14:00:00,0.09,0.25
2021-02-17T22:00:00,0.01,0.11
2021-02-18T06:00:00,-0.32,0.42
2021-02-18T14:00:00,-0.0,0.25
2021-02-18T22:00:00,0.01,0.14
2021-02-19T06:00:00,-0.18,0.36
2021-02-19T14:00:00,0.19,0.33
2021-02-21T22:00:00,0.16,0.3
2021-02-22T06:00:00,-0.21,0.73
2021-02-22T14:00:00,-0.0,0.26
2021-02-22T22:00:00,-0.03,0.15
2021-02-23T06:00:00,0.54,0.69
2021-02-23T14:00:00,0.52,0.7
2021-02-23T22:00:00,0.34,0.35
2021-02-24T06:00:00,0.1,0.41
2021-02-24T14:00:00,-0.14,0.34
2021-02-24T22:00:00,-0.06,0.19
2021-02-25T06:00:00,0.06,0.43
2021-02-25T14:00:00,-0.21,0.49
2021-02-25T22:00:00,0.1,0.27
2021-02-26T06:00:00,0.03,0.47
2021-02-26T14:00:00,0.29,0.62
2021-02-28T22:00:00,0.02,0.23
2021-03-01T06:00:00,0.64,0.77
2021-03-01T14:00:00,0.07,0.37
2021-03-01T22:00:00,0.09,0.28
2021-03-02T06:00:00,0.22,0.4
2021-03-02T14:00:00,-0.38,0.52
2021-03-02T22:00:00,0.04,0.09
2021-03-03T06:00:00,0.24,0.53
2021-03-03T14:00:00,0.28,0.36
2021-03-03T22:00:00,-0.05,0.13
2021-03-04T06:00:00,0.5,0.68
2021-03-04T14:00:00,0.51,0.7
2021-03-04T22:00:00,0.06,0.13
2021-03-05T06:00:00,-0.06,0.51
2021-03-05T14:00:00,0.21,0.66
2021-03-07T22:00:00,0.23,0.36
2021-03-08T06:00:00,0.24,0.39
2021-03-08T14:00:00,0.29,0.44
2021-03-08T22:00:00,0.13,0.31
2021-03-09T06:00:00,-0.49,0.61
2021-03-09T14:00:00,-0.4,0.46
2021-03-09T22:00:00,0.25,0.32
2021-03-10T06:00:00,-0.11,0.35
2021-03-10T14:00:00,0.06,0.46
2021-03-10T22:00:00,0.1,0.18
2021-03-11T06:00:00,-0.52,0.7
2021-03-11T14:00:00,-0.13,0.47
2021-03-11T22:00:00,0.2,0.28
2021-03-12T06:00:00,0.47,0.6
2021-03-12T14:00:00,-0.11,0.5
2021-03-14T21:00:00,-0.03,0.25
2021-03-15T05:00:00,-0.0,0.38
2021-03-15T13:00:00,-0.25,0.36
2021-03-15T21:00:00,-0.18,0.22
2021-03-16T05:00:00,-0.05,0.47
2021-03-16T13:00:00,-0.15,0.31
2021-03-16T21:00:00,0.09,0.19
2021-03-17T05:00:00,0.24,0.46
2021-03-17T13:00:00,-0.56,0.82
2021-03-17T21:00:00,0.15,0.25
2021-03-18T05:00:00,0.45,0.77
2021-03-18T13:00:00,-0.08,0.4
2021-03-18T21:00:00,0.12,0.27
2021-03-19T05:00:00,0.27,0.57
2021-03-19T13:00:00,-0.06,0.34
2021-03-21T21:00:00,-0.14,0.27
2021-03-22T05:00:00,-0.46,0.7
2021-03-22T13:00:00,-0.19,0.42
2021-03-22T21:00:00,0.15,0.2
2021-03-23T05:00:00,0.64,0.73
2021-03-23T13:00:00,0.37,0.47
2021-03-23T21:00:00,0.04,0.11
2021-03-24T05:00:00,0.08,0.31
2021-03-24T13:00:00,0.04,0.23
2021-03-24T21:00:00,-0.01,0.16
2021-03-25T05:00:00,0.07,0.27
2021-03-25T13:00:00,0.42,0.56
2021-03-25T21:00:00,0.09,0.14
2021-03-26T05:00:00,0.14,0.28
2021-03-26T13:00:00,-0.25,0.34
2021-03-28T21:00:00,0.09,0.18
2021-03-29T05:00:00,-0.01,0.37
2021-03-29T13:00:00,-0.05,0.25
2021-03-29T21:00:00,0.11,0.14
2021-03-30T05:00:00,0.27,0.34
2021-03-30T13:00:00,0.02,0.29
2021-03-30T21:00:00,0.19,0.27
2021-03-31T05:00:00,-0.01,0.35
2021-03-31T13:00:00,-0.05,0.58
2021-03-31T21:00:00,0.25,0.27
2021-04-01T05:00:00,-0.17,0.38
2021-04-01T13:00:00,-0.25,0.51
2021-04-01T21:00:00,-0.11,0.16
2021-04-02T05:00:00,0.01,0.19
2021-04-02T13:00:00,0.11,0.21
2021-04-04T21:00:00,0.09,0.17
2021-04-05T05:00:00,-0.28,0.41
2021-04-05T13:00:00,-0.43,0.55
2021-04-05T21:00:00,0.07,0.28
2021-04-06T05:00:00,-0.22,0.49
2021-04-06T13:00:00,-0.48,0.6
2021-04-06T21:00:00,-0.0,0.27
2021-04-07T05:00:00,-0.19,0.31
2021-04-07T13:00:00,0.04,0.37
2021-04-07T21:00:00,-0.16,0.18
2021-04-08T05:00:00,-0.32,0.33
2021-04-08T13:00:00,-0.22,0.36
2021-04-08T21:00:00,-0.03,0.16
2021-04-09T05:00:00,0.29,0.46
2021-04-09T13:00:00,-0.34,0.39
2021-04-11T21:00:00,0.2,0.21
2021-04-12T05:00:00,-0.33,0.44
2021-04-12T13:00:00,-0.11,0.3
2021-04-12T21:00:00,0.22,0.32
2021-04-13T05:00:00,-0.22,0.47
2021-04-13T13:00:00,-0.19,0.32
2021-04-13T21:00:00,-0.11,0.13
2021-04-14T05:00:00,0.26,0.49
2021-04-14T13:00:00,0.07,0.2
2021-04-14T21:00:00,0.14,0.18
2021-04-15T05:00:00,0.08,0.35
2021-04-15T13:00:00,-0.23,0.42
2021-04-15T21:00:00,-0.1,0.19
2021-04-16T05:00:00,-0.32,0.47
2021-04-16T13:00:00,0.09,0.27
2021-04-18T21:00:00,0.14,0.22
2021-04-19T05:00:00,-0.82,0.89
2021-04-19T13:00:00,0.15,0.32
2021-04-19T21:00:00,-0.03,0.23
2021-04-20T05:00:00,0.25,0.37
2021-04-20T13:00:00,-0.03,0.33
2021-04-20T21:00:00,0.05,0.15
2021-04-21T05:00:00,0.16,0.35
2021-04-21T13:00:00,-0.11,0.35
2021-04-21T21:00:00,-0.02,0.15
2021-04-22T05:00:00,-0.09,0.27
2021-04-22T13:00:00,0.09,0.44
2021-04-22T21:00:00,-0.01,0.12
2021-04-23T05:00:00,-0.21,0.34
2021-04-23T13:00:00,-0.11,0.49
2021-04-25T21:00:00,-0.12,0.23
2021-04-26T05:00:00,0.38,0.46
2021-04-26T13:00:00,-0.18,0.32
2021-04-26T21:00:00,0.08,0.24
2021-04-27T05:00:00,-0.24,0.5
2021-04-27T13:00:00,0.02,0.28
2021-04-27T21:00:00,0.22,0.23
2021-04-28T05:00:00,-0.04,0.42
2021-04-28T13:00:00,-0.57,0.77
2021-04-28T21:00:00,0.02,0.2
2021-04-29T05:00:00,-0.1,0.36
2021-04-29T13:00:00,0.02,0.41
2021-04-29T21:00:00,0.05,0.12
2021-04-30T05:00:00,0.18,0.33
2021-04-30T13:00:00,0.27,0.48
2021-05-02T21:00:00,0.17,0.2
2021-05-03T05:00:00,-0.02,0.31
2021-05-03T13:00:00,-0.31,0.5
2021-05-03T21:00:00,0.4,0.44
2021-05-04T05:00:00,-0.23,0.45
2021-05-04T13:00:00,0.15,0.29
2021-05-04T21:00:00,-0.08,0.24
2021-05-05T05:00:00,0.05,0.41
2021-05-05T13:00:00,-0.08,0.19
2021-05-05T21:00:00,0.13,0.25
2021-05-06T05:00:00,-0.55,0.65
2021-05-06T13:00:00,-0.17,0.34
2021-05-06T21:00:00,-0.02,0.12
2021-05-07T05:00:00,-0.41,0.81
2021-05-07T13:00:00,-0.24,0.62
2021-05-09T21:00:00,0.04,0.33
2021-05-10T05:00:00,-0.32,0.37
2021-05-10T13:00:00,0.26,0.32
2021-05-10T21:00:00,-0.07,0.17
2021-05-11T05:00:00,0.18,0.33
2021-05-11T13:00:00,0.19,0.4
2021-05-11T21:00:00,0.2,0.33
2021-05-12T05:00:00,-0.09,0.51
2021-05-12T13:00:00,0.5,0.71
2021-05-12T21:00:00,-0.07,0.16
2021-05-13T05:00:00,-0.09,0.31
2021-05-13T13:00:00,-0.17,0.29
2021-05-13T21:00:00,-0.12,0.16
2021-05-14T05:00:00,-0.23,0.38
2021-05-14T13:00:00,-0.19,0.29
2021-05-16T21:00:00,0.07,0.17
2021-05-17T05:00:00,-0.08,0.3
2021-05-17T13:00:00,0.17,0.28
2021-05-17T21:00:00,-0.15,0.21
2021-05-18T05:00:00,-0.53,0.69
2021-05-18T13:00:00,0.1,0.26
2021-05-18T21:00:00,-0.05,0.16
2021-05-19T05:00:00,0.51,0.7
2021-05-19T13:00:00,0.18,0.58
2021-05-19T21:00:00,-0.03,0.17
2021-05-20T05:00:00,-0.34,0.5
2021-05-20T13:00:00,-0.39,0.41
2021-05-20T21:00:00,-0.08,0.14
2021-05-21T05:00:00,0.14,0.42
2021-05-21T13:00:00,0.02,0.33
2021-05-23T21:00:00,-0.03,0.26
2021-05-24T05:00:00,-0.08,0.37
2021-05-24T13:00:00,-0.06,0.25
2021-05-24T21:00:00,-0.06,0.14
2021-05-25T05:00:00,0.01,0.42
2021-05-25T13:00:00,-0.12,0.27
2021-05-25T21:00:00,-0.1,0.17
2021-05-26T05:00:00,0.27,0.35
2021-05-26T13:00:00,0.12,0.44
2021-05-26T21:00:00,-0.01,0.19
2021-05-27T05:00:00,0.32,0.47
2021-05-27T13:00:00,-0.34,0.49
2021-05-27T21:00:00,0.1,0.15
2021-05-28T05:00:00,0.59,0.64
2021-05-28T13:00:00,-0.33,0.44
2021-05-30T21:00:00,-0.04,0.22
2021-05-31T05:00:00,0.12,0.25
2021-05-31T13:00:00,-0.14,0.29
2021-05-31T21:00:00,-0.0,0.11
2021-06-01T05:00:00,-0.04,0.23
2021-06-01T13:00:00,-0.13,0.46
2021-06-01T21:00:00,0.14,0.16
2021-06-02T05:00:00,0.38,0.61
2021-06-02T13:00:00,-0.32,0.38
2021-06-02T21:00:00,0.06,0.07
2021-06-03T05:00:00,0.37,0.38
2021-06-03T13:00:00,0.2,0.41
2021-06-03T21:00:00,0.11,0.13
2021-06-04T05:00:00,-0.57,0.73
2021-06-04T13:00:00,-0.02,0.17
2021-06-06T21:00:00,0.02,0.12
2021-06-07T05:00:00,0.03,0.33
2021-06-07T13:00:00,-0.18,0.33
2021-06-07T21:00:00,0.02,0.11
2021-06-08T05:00:00,-0.17,0.42
2021-06-08T13:00:00,0.05,0.21
2021-06-08T21:00:00,-0.03,0.1
2021-06-09T05:00:00,-0.21,0.29
2021-06-09T13:00:00,0.13,0.45
2021-06-09T21:00:00,0.05,0.11
2021-06-10T05:00:00,0.0,0.48
2021-06-10T13:00:00,-0.15,0.57
2021-06-10T21:00:00,-0.09,0.18
2021-06-11T05:00:00,0.41,0.49
2021-06-11T13:00:00,0.12,0.32
2021-06-13T21:00:00,0.01,0.14
2021-06-14T05:00:00,-0.01,0.24
2021-06-14T13:00:00,0.08,0.24
2021-06-14T21:00:00,-0.06,0.1
2021-06-15T05:00:00,0.06,0.47
2021-06-15T13:00:00,-0.19,0.28
2021-06-15T21:00:00,0.08,0.14
2021-06-16T05:00:00,0.1,0.22
2021-06-16T13:00:00,1.03,1.14
2021-06-16T21:00:00,-0.03,0.17
2021-06-17T05:00:00,0.73,0.87
2021-06-17T13:00:00,0.29,0.6
2021-06-17T21:00:00,0.13,0.2
2021-06-18T05:00:00,0.28,0.5
2021-06-18T13:00:00,0.22,0.4
2021-06-20T21:00:00,0.11,0.21
2021-06-21T05:00:00,-0.2,0.32
2021-06-21T13:00:00,-0.33,0.4
2021-06-21T21:00:00,0.22,0.23
2021-06-22T05:00:00,0.08,0.27
2021-06-22T13:00:00,-0.25,0.37
2021-06-22T21:00:00,0.2,0.24
2021-06-23T05:00:00,-0.3,0.36
2021-06-23T13:00:00,0.14,0.41
2021-06-23T21:00:00,-0.0,0.19
2021-06-24T05:00:00,-0.19,0.29
2021-06-24T13:00:00,0.04,0.23
2021-06-24T21:00:00,0.03,0.13
2021-06-25T05:00:00,-0.16,0.3
2021-06-25T13:00:00,0.13,0.44
2021-06-27T21:00:00,0.03,0.26
2021-06-28T05:00:00,0.15,0.46
2021-06-28T13:00:00,-0.03,0.22
2021-06-28T21:00:00,0.1,0.14
2021-06-29T05:00:00,0.27,0.45
2021-06-29T13:00:00,-0.17,0.38
2021-06-29T21:00:00,0.05,0.09
2021-06-30T05:00:00,0.3,0.41
2021-06-30T13:00:00,0.09,0.31
2021-06-30T21:00:00,0.09,0.14
2021-07-01T05:00:00,-0.17,0.33
2021-07-01T13:00:00,0.15,0.31
2021-07-01T21:00:00,0.1,0.14
2021-07-02T05:00:00,-0.33,0.5
2021-07-02T13:00:00,-0.28,0.64
2021-07-04T21:00:00,0.05,0.2
2021-07-05T05:00:00,-0.07,0.31
2021-07-05T13:00:00,0.09,0.15
2021-07-05T21:00:00,-0.15,0.22
2021-07-06T05:00:00,0.3,0.56
2021-07-06T13:00:00,0.1,0.26
2021-07-06T21:00:00,-0.06,0.15
2021-07-07T05:00:00,0.03,0.25
2021-07-07T13:00:00,0.18,0.31
2021-07-07T21:00:00,-0.03,0.18
2021-07-08T05:00:00,-1.01,1.1
2021-07-08T13:00:00,-0.12,0.34
2021-07-08T21:00:00,0.02,0.13
2021-07-09T05:00:00,-0.12,0.35
2021-07-09T13:00:00,-0.02,0.29
2021-07-11T21:00:00,0.03,0.15
2021-07-12T05:00:00,0.06,0.42
2021-07-12T13:00:00,0.01,0.21
2021-07-12T21:00:00,-0.04,0.11
2021-07-13T05:00:00,0.52,0.59
2021-07-13T13:00:00,-0.1,0.47
2021-07-13T21:00:00,-0.03,0.34
2021-07-14T05:00:00,-0.17,0.39
2021-07-14T13:00:00,-0.25,0.35
2021-07-14T21:00:00,-0.09,0.17
2021-07-15T05:00:00,0.37,0.7
2021-07-15T13:00:00,-0.01,0.31
2021-07-15T21:00:00,0.07,0.19
2021-07-16T05:00:00,0.16,0.25
2021-07-16T13:00:00,-0.04,0.18
2021-07-18T21:00:00,-0.03,0.18
2021-07-19T05:00:00,-0.03,0.36
2021-07-19T13:00:00,-0.11,0.31
2021-07-19T21:00:00,0.11,0.17
2021-07-20T05:00:00,0.25,0.49
2021-07-20T13:00:00,0.05,0.27
2021-07-20T21:00:00,-0.05,0.1
2021-07-21T05:00:00,0.06,0.26
2021-07-21T13:00:00,-0.45,0.56
2021-07-21T21:00:00,-0.03,0.09
2021-07-22T05:00:00,0.02,0.37
