date,return,volatility
2022-05-10T04:30:00,0.0,0.0
2022-05-10T04:45:00,-0.11,0.15
2022-05-10T05:00:00,-0.1,0.15
2022-05-10T05:15:00,-0.09,0.17
2022-05-10T05:30:00,0.07,0.12
2022-05-10T05:45:00,0.06,0.11
2022-05-10T06:00:00,-0.07,0.14
2022-05-10T06:15:00,0.03,0.08
2022-05-10T06:30:00,-0.03,0.1
2022-05-10T06:45:00,0.04,0.1
2022-05-10T07:00:00,0.13,0.23
2022-05-10T07:15:00,0.01,0.16
2022-05-10T07:30:00,0.15,0.19
2022-05-10T07:45:00,-0.01,0.15
2022-05-10T08:00:00,0.01,0.14
2022-05-10T08:15:00,-0.18,0.22
2022-05-10T08:30:00,0.02,0.07
2022-05-10T08:45:00,-0.03,0.1
2022-05-10T09:00:00,-0.03,0.12
2022-05-10T09:15:00,-0.07,0.09
2022-05-10T09:30:00,-0.17,0.18
2022-05-10T09:45:00,0.09,0.16
2022-05-10T10:00:00,0.1,0.12
2022-05-10T10:15:00,-0.07,0.16
2022-05-10T10:30:00,-0.13,0.13
2022-05-10T10:45:00,0.21,0.26
2022-05-10T11:00:00,0.02,0.08
2022-05-10T11:15:00,0.1,0.19
2022-05-10T11:30:00,-0.06,0.12
2022-05-10T11:45:00,-0.03,0.14
2022-05-10T12:00:00,-0.07,0.15
2022-05-10T12:15:00,0.07,0.15
2022-05-10T12:30:00,-0.14,0.18
2022-05-10T12:45:00,0.0,0.15
2022-05-10T13:00:00,-0.06,0.09
2022-05-10T13:15:00,-0.04,0.11
2022-05-10T13:30:00,0.01,0.2
2022-05-10T13:45:00,-0.06,0.17
2022-05-10T14:00:00,-0.05,0.19
2022-05-10T14:15:00,0.01,0.13
2022-05-10T14:30:00,0.22,0.27
2022-05-10T14:45:00,0.24,0.28
2022-05-10T15:00:00,0.03,0.15
2022-05-10T15:15:00,0.05,0.17
2022-05-10T15:30:00,0.01,0.17
2022-05-10T15:45:00,0.0,0.14
2022-05-10T16:00:00,0.07,0.17
2022-05-10T16:15:00,0.03,0.11
2022-05-10T16:30:00,-0.08,0.16
2022-05-10T16:45:00,0.04,0.15
2022-05-10T17:00:00,-0.04,0.13
2022-05-10T17:15:00,0.01,0.14
2022-05-10T17:30:00,-0.27,0.29
2022-05-10T17:45:00,-0.14,0.15
2022-05-10T18:00:00,0.03,0.12
2022-05-10T18:15:00,0.1,0.15
2022-05-10T18:30:00,-0.06,0.13
2022-05-10T18:45:00,0.1,0.13
2022-05-10T19:00:00,-0.09,0.18
2022-05-10T19:15:00,0.09,0.15
2022-05-10T19:30:00,0.08,0.12
2022-05-10T19:45:00,-0.04,0.08
2022-05-10T20:00:00,0.0,0.08
2022-05-10T20:15:00,-0.04,0.08
2022-05-10T20:30:00,0.01,0.04
2022-05-10T20:45:00,-0.02,0.04
2022-05-10T21:00:00,0.04,0.08
2022-05-10T21:15:00,-0.04,0.11
2022-05-10T21:30:00,-0.02,0.08
2022-05-10T21:45:00,0.03,0.06
2022-05-10T22:00:00,0.03,0.07
2022-05-10T22:15:00,0.04,0.06
2022-05-10T22:30:00,-0.01,0.04
2022-05-10T22:45:00,0.0,0.04
2022-05-10T23:00:00,-0.0,0.05
2022-05-10T23:15:00,0.01,0.06
2022-05-10T23:30:00,-0.03,0.06
2022-05-10T23:45:00,0.04,0.04
2022-05-11T00:00:00,-0.09,0.16
2022-05-11T00:15:00,0.02,0.08
2022-05-11T00:30:00,-0.0,0.06
2022-05-11T00:45:00,-0.04,0.11
2022-05-11T01:00:00,0.04,0.07
2022-05-11T01:15:00,-0.18,0.19
2022-05-11T01:30:00,-0.02,0.09
2022-05-11T01:45:00,0.03,0.08
2022-05-11T02:00:00,-0.08,0.1
2022-05-11T02:15:00,-0.0,0.08
2022-05-11T02:30:00,0.15,0.17
2022-05-11T02:45:00,-0.08,0.11
2022-05-11T03:00:00,0.04,0.06
2022-05-11T03:15:00,0.0,0.03
2022-05-11T03:30:00,-0.05,0.07
2022-05-11T03:45:00,-0.07,0.08
2022-05-11T04:00:00,0.03,0.07
2022-05-11T04:15:00,0.02,0.05
2022-05-11T04:30:00,0.01,0.05
2022-05-11T04:45:00,-0.04,0.09
2022-05-11T05:00:00,0.06,0.08
2022-05-11T05:15:00,-0.03,0.04
2022-05-11T05:30:00,0.07,0.1
2022-05-11T05:45:00,0.05,0.06
2022-05-11T06:00:00,-0.15,0.17
2022-05-11T06:15:00,-0.07,0.09
2022-05-11T06:30:00,0.01,0.15
2022-05-11T06:45:00,-0.06,0.1
2022-05-11T07:00:00,0.1,0.1
2022-05-11T07:15:00,0.03,0.12
2022-05-11T07:30:00,-0.07,0.13
2022-05-11T07:45:00,-0.05,0.15
2022-05-11T08:00:00,0.01,0.11
2022-05-11T08:15:00,-0.1,0.12
2022-05-11T08:30:00,-0.1,0.14
2022-05-11T08:45:00,-0.03,0.16
2022-05-11T09:00:00,-0.11,0.18
2022-05-11T09:15:00,-0.02,0.08
2022-05-11T09:30:00,-0.05,0.08
2022-05-11T09:45:00,0.03,0.08
2022-05-11T10:00:00,0.09,0.16
2022-05-11T10:15:00,-0.02,0.05
2022-05-11T10:30:00,-0.12,0.15
2022-05-11T10:45:00,-0.02,0.09
2022-05-11T11:00:00,0.02,0.07
2022-05-11T11:15:00,-0.1,0.17
2022-05-11T11:30:00,-0.03,0.1
2022-05-11T11:45:00,-0.03,0.13
2022-05-11T12:00:00,0.14,0.15
2022-05-11T12:15:00,-0.04,0.15
2022-05-11T12:30:00,0.68,0.78
2022-05-11T12:45:00,0.15,0.28
2022-05-11T13:00:00,-0.32,0.32
2022-05-11T13:15:00,-0.34,0.47
2022-05-11T13:30:00,-0.38,0.44
2022-05-11T13:45:00,-0.12,0.24
2022-05-11T14:00:00,0.18,0.3
2022-05-11T14:15:00,0.08,0.17
2022-05-11T14:30:00,0.02,0.14
2022-05-11T14:45:00,0.27,0.39
2022-05-11T15:00:00,-0.17,0.24
2022-05-11T15:15:00,0.12,0.22
2022-05-11T15:30:00,-0.21,0.25
2022-05-11T15:45:00,0.15,0.25
2022-05-11T16:00:00,0.18,0.23
2022-05-11T16:15:00,0.16,0.22
2022-05-11T16:30:00,0.13,0.21
2022-05-11T16:45:00,0.0,0.15
2022-05-11T17:00:00,0.02,0.1
2022-05-11T17:15:00,0.06,0.17
2022-05-11T17:30:00,0.12,0.19
2022-05-11T17:45:00,-0.05,0.13
2022-05-11T18:00:00,-0.11,0.14
2022-05-11T18:15:00,-0.04,0.14
2022-05-11T18:30:00,-0.05,0.16
2022-05-11T18:45:00,0.16,0.19
2022-05-11T19:00:00,-0.06,0.12
2022-05-11T19:15:00,0.01,0.09
2022-05-11T19:30:00,0.06,0.1
2022-05-11T19:45:00,0.05,0.1
2022-05-11T20:00:00,-0.06,0.09
2022-05-11T20:15:00,0.0,0.09
2022-05-11T20:30:00,-0.08,0.12
2022-05-11T20:45:00,0.01,0.04
2022-05-11T21:00:00,-0.0,0.11
2022-05-11T21:15:00,0.03,0.07
2022-05-11T21:30:00,-0.01,0.06
2022-05-11T21:45:00,-0.03,0.05
