date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-0.61,2.09
2004-06-18T21:00:00,0.63,1.27
2004-06-25T21:00:00,-0.08,1.88
2004-07-02T21:00:00,0.82,1.17
2004-07-09T21:00:00,0.75,0.75
2004-07-16T21:00:00,-2.26,2.31
2004-07-23T21:00:00,-0.17,2.05
2004-07-30T21:00:00,0.18,1.17
2004-08-06T21:00:00,0.23,1.59
2004-08-13T21:00:00,0.3,0.73
2004-08-20T21:00:00,-1.81,2.14
2004-08-27T21:00:00,-2.4,2.83
2004-09-03T21:00:00,-0.16,1.39
2004-09-10T21:00:00,0.73,0.98
2004-09-17T21:00:00,0.47,0.82
2004-09-24T21:00:00,0.46,1.06
2004-10-01T21:00:00,0.66,0.92
2004-10-08T21:00:00,-0.56,1.03
2004-10-15T21:00:00,-0.29,0.57
2004-10-22T21:00:00,-0.36,0.36
2004-10-29T21:00:00,0.17,0.33
2004-11-05T22:00:00,0.64,1.53
2004-11-12T22:00:00,1.77,2.17
2004-11-19T22:00:00,-0.65,0.78
2004-11-26T22:00:00,0.08,1.73
2004-12-03T22:00:00,-1.16,1.66
2004-12-10T22:00:00,2.07,2.07
2004-12-17T22:00:00,0.92,1.14
2004-12-24T22:00:00,-0.89,1.21
2004-12-31T22:00:00,-0.63,1.47
2005-01-07T22:00:00,-0.91,2.26
2005-01-14T22:00:00,1.77,2.78
2005-01-21T22:00:00,2.1,3.3
2005-01-28T22:00:00,0.28,1.35
2005-02-04T22:00:00,0.95,2.31
2005-02-11T22:00:00,-0.08,1.3
2005-02-18T22:00:00,0.32,1.69
2005-02-25T22:00:00,0.03,1.35
2005-03-04T22:00:00,-1.73,3.13
2005-03-11T22:00:00,-0.06,1.12
2005-03-18T22:00:00,-1.69,2.39
2005-03-25T22:00:00,-0.38,1.2
2005-04-01T22:00:00,1.2,1.95
2005-04-08T21:00:00,1.01,1.94
2005-04-15T21:00:00,0.68,1.54
2005-04-22T21:00:00,1.89,2.36
2005-04-29T21:00:00,-2.01,2.66
2005-05-06T21:00:00,0.02,1.52
