date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-1.76,2.23
2004-06-18T21:00:00,1.86,1.86
2004-06-25T21:00:00,0.72,0.85
2004-07-02T21:00:00,0.55,1.02
2004-07-09T21:00:00,1.4,1.4
2004-07-16T21:00:00,0.19,1.44
2004-07-23T21:00:00,0.32,0.96
2004-07-30T21:00:00,-0.61,1.25
2004-08-06T21:00:00,-0.56,1.61
2004-08-13T21:00:00,2.09,2.09
2004-08-20T21:00:00,-0.48,1.15
2004-08-27T21:00:00,-2.28,2.34
2004-09-03T21:00:00,-0.5,1.33
2004-09-10T21:00:00,1.11,1.33
2004-09-17T21:00:00,1.78,2.21
2004-09-24T21:00:00,0.68,0.78
2004-10-01T21:00:00,1.53,1.67
2004-10-08T21:00:00,-1.91,1.95
2004-10-15T21:00:00,-0.42,0.93
2004-10-22T21:00:00,-0.06,0.58
2004-10-29T21:00:00,0.53,0.95
2004-11-05T22:00:00,0.36,0.75
2004-11-12T22:00:00,1.03,1.25
2004-11-19T22:00:00,-1.03,1.12
2004-11-26T22:00:00,-1.94,2.42
2004-12-03T22:00:00,-1.44,2.03
2004-12-10T22:00:00,1.61,1.61
2004-12-17T22:00:00,-0.33,0.52
2004-12-24T22:00:00,1.4,1.6
2004-12-31T22:00:00,0.61,1.78
2005-01-07T22:00:00,-0.29,1.36
2005-01-14T22:00:00,1.79,2.78
2005-01-21T22:00:00,0.8,1.75
2005-01-28T22:00:00,1.46,1.97
2005-02-04T22:00:00,1.99,2.5
2005-02-11T22:00:00,-1.99,2.6
2005-02-18T22:00:00,-2.06,2.6
2005-02-25T22:00:00,1.28,1.99
2005-03-04T22:00:00,-1.39,2.66
2005-03-11T22:00:00,1.43,1.76
2005-03-18T22:00:00,0.06,1.49
2005-03-25T22:00:00,0.22,1.04
2005-04-01T22:00:00,-0.37,1.18
2005-04-08T21:00:00,-0.17,2.04
2005-04-15T21:00:00,0.07,1.96
2005-04-22T21:00:00,1.19,1.63
2005-04-29T21:00:00,0.14,1.55
2005-05-06T21:00:00,-0.45,0.92
2005-05-13T21:00:00,0.16,1.26
2005-05-20T21:00:00,0.63,1.03
2005-05-27T21:00:00,0.91,1.53
2005-06-03T21:00:00,1.96,2.4
2005-06-10T21:00:00,1.28,2.28
2005-06-17T21:00:00,0.21,1.5
2005-06-24T21:00:00,-0.58,1.17
2005-07-01T21:00:00,-1.1,2.43
2005-07-08T21:00:00,0.75,1.46
2005-07-15T21:00:00,1.9,2.71
2005-07-22T21:00:00,-1.39,1.73
2005-07-29T21:00:00,-0.56,1.07
2005-08-05T21:00:00,-0.73,1.73
2005-08-12T21:00:00,-0.43,1.54
2005-08-19T21:00:00,-0.72,1.38
2005-08-26T21:00:00,-1.06,1.8
2005-09-02T21:00:00,2.38,2.76
2005-09-09T21:00:00,1.14,1.48
2005-09-16T21:00:00,0.37,1.47
2005-09-23T21:00:00,0.76,1.52
2005-09-30T21:00:00,-1.91,3.43
2005-10-07T21:00:00,-0.05,1.45
2005-10-14T21:00:00,0.09,1.4
2005-10-21T21:00:00,-0.87,1.39
2005-10-28T21:00:00,-0.07,2.02
2005-11-04T22:00:00,0.21,1.15
2005-11-11T22:00:00,0.29,1.38
2005-11-18T22:00:00,0.7,1.24
2005-11-25T22:00:00,1.34,2.25
2005-12-02T22:00:00,-0.72,1.63
2005-12-09T22:00:00,-1.87,2.34
2005-12-16T22:00:00,-0.37,1.31
2005-12-23T22:00:00,0.72,1.69
2005-12-30T22:00:00,-0.53,1.64
2006-01-06T22:00:00,0.72,1.41
2006-01-13T22:00:00,-1.12,1.57
2006-01-20T22:00:00,0.85,2.29
2006-01-27T22:00:00,0.7,1.36
2006-02-03T22:00:00,-0.57,1.58
2006-02-10T22:00:00,0.44,1.07
2006-02-17T22:00:00,0.54,1.25
2006-02-24T22:00:00,-0.72,1.58
2006-03-03T22:00:00,-0.22,1.11
2006-03-10T22:00:00,-2.73,3.26
2006-03-17T22:00:00,-0.88,1.71
2006-03-24T22:00:00,0.61,1.87
2006-03-31T22:00:00,1.12,2.33
2006-04-07T21:00:00,0.02,1.29
2006-04-14T21:00:00,0.47,1.35
2006-04-21T21:00:00,-0.84,1.94
2006-04-28T21:00:00,0.64,1.71
2006-05-05T21:00:00,-2.32,2.71
2006-05-12T21:00:00,-0.32,1.28
2006-05-19T21:00:00,0.69,3.07
2006-05-26T21:00:00,-2.1,2.83
2006-06-02T21:00:00,1.38,2.92
2006-06-09T21:00:00,-1.26,2.08
2006-06-16T21:00:00,0.51,1.24
2006-06-23T21:00:00,-0.62,1.31
2006-06-30T21:00:00,1.17,1.42
2006-07-07T21:00:00,1.15,1.65
2006-07-14T21:00:00,0.09,1.38
2006-07-21T21:00:00,1.68,2.29
2006-07-28T21:00:00,-0.95,1.39
2006-08-04T21:00:00,1.75,2.56
2006-08-11T21:00:00,-1.67,1.99
2006-08-18T21:00:00,0.23,1.61
2006-08-25T21:00:00,0.53,1.2
2006-09-01T21:00:00,-0.3,1.43
2006-09-08T21:00:00,0.5,1.7
2006-09-15T21:00:00,-1.85,2.42
2006-09-22T21:00:00,0.57,1.32
2006-09-29T21:00:00,0.31,1.4
2006-10-06T21:00:00,2.15,2.51
2006-10-13T21:00:00,-0.15,0.8
2006-10-20T21:00:00,0.48,1.17
2006-10-27T21:00:00,0.57,0.96
2006-11-03T22:00:00,-1.22,2.11
2006-11-10T22:00:00,0.41,1.47
2006-11-17T22:00:00,-1.54,2.06
2006-11-24T22:00:00,-0.09,1.52
2006-12-01T22:00:00,0.58,1.29
2006-12-08T22:00:00,0.77,1.66
2006-12-15T22:00:00,0.16,0.92
2006-12-22T22:00:00,0.57,1.91
2006-12-29T22:00:00,0.15,1.24
2007-01-05T22:00:00,1.47,1.74
2007-01-12T22:00:00,0.89,1.39
2007-01-19T22:00:00,-1.63,2.54
2007-01-26T22:00:00,-0.31,1.33
2007-02-02T22:00:00,0.29,1.31
2007-02-09T22:00:00,0.29,1.0
2007-02-16T22:00:00,0.4,1.44
2007-02-23T22:00:00,-2.45,2.9
2007-03-02T22:00:00,1.19,2.95
2007-03-09T22:00:00,-0.62,1.96
2007-03-16T21:00:00,2.1,2.65
2007-03-23T21:00:00,0.15,1.51
2007-03-30T21:00:00,1.38,2.01
2007-04-06T21:00:00,1.5,1.66
2007-04-13T21:00:00,0.26,1.84
2007-04-20T21:00:00,-1.14,1.95
2007-04-27T21:00:00,-0.54,1.55
2007-05-04T21:00:00,1.83,2.38
2007-05-11T21:00:00,-0.48,1.28
2007-05-18T21:00:00,-0.51,1.09
2007-05-25T21:00:00,1.97,2.47
2007-06-01T21:00:00,1.86,2.69
2007-06-08T21:00:00,0.23,1.09
2007-06-15T21:00:00,-0.45,1.35
2007-06-22T21:00:00,-0.38,2.22
2007-06-29T21:00:00,0.74,1.03
2007-07-06T21:00:00,0.25,1.86
2007-07-13T21:00:00,0.89,1.52
2007-07-20T21:00:00,-2.62,4.65
2007-07-27T21:00:00,-1.06,2.49
2007-08-03T21:00:00,-0.51,3.18
2007-08-10T21:00:00,-4.82,9.83
