date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-0.53,2.29
2004-06-18T21:00:00,1.62,1.86
2004-06-25T21:00:00,1.89,3.36
2004-07-02T21:00:00,1.23,1.62
2004-07-09T21:00:00,1.23,1.31
2004-07-16T21:00:00,-3.1,3.2
2004-07-23T21:00:00,-0.92,1.41
2004-07-30T21:00:00,1.34,1.41
2004-08-06T21:00:00,0.4,0.53
2004-08-13T21:00:00,1.14,1.27
2004-08-20T21:00:00,-2.91,3.0
2004-08-27T21:00:00,-1.43,1.88
2004-09-03T21:00:00,0.52,1.19
2004-09-10T21:00:00,0.24,0.91
2004-09-17T21:00:00,2.31,2.31
2004-09-24T21:00:00,1.52,1.94
2004-10-01T21:00:00,1.4,1.65
2004-10-08T21:00:00,-0.69,1.38
2004-10-15T21:00:00,0.87,1.64
2004-10-22T21:00:00,0.58,0.58
2004-10-29T21:00:00,1.74,2.03
2004-11-05T22:00:00,0.8,1.61
2004-11-12T22:00:00,1.81,1.81
2004-11-19T22:00:00,0.87,1.1
2004-11-26T22:00:00,-1.12,2.32
2004-12-03T22:00:00,-3.89,4.05
2004-12-10T22:00:00,1.99,1.99
2004-12-17T22:00:00,0.72,0.72
2004-12-24T22:00:00,1.55,1.55
2004-12-31T22:00:00,-2.95,3.71
2005-01-07T22:00:00,0.3,1.95
2005-01-14T22:00:00,1.41,2.81
2005-01-21T22:00:00,0.76,2.23
2005-01-28T22:00:00,-0.59,1.5
2005-02-04T22:00:00,2.02,3.3
2005-02-11T22:00:00,0.31,1.42
2005-02-18T22:00:00,-0.25,1.94
2005-02-25T22:00:00,0.55,2.22
2005-03-04T22:00:00,0.31,1.48
2005-03-11T22:00:00,0.25,1.23
2005-03-18T22:00:00,-2.93,3.25
2005-03-25T22:00:00,-0.13,1.39
2005-04-01T22:00:00,0.07,1.45
2005-04-08T21:00:00,-0.43,1.99
2005-04-15T21:00:00,1.6,2.54
2005-04-22T21:00:00,-0.03,1.21
2005-04-29T21:00:00,-0.71,1.38
2005-05-06T21:00:00,-1.72,2.46
2005-05-13T21:00:00,-0.79,1.22
2005-05-20T21:00:00,0.77,1.23
2005-05-27T21:00:00,-0.81,2.06
2005-06-03T21:00:00,0.58,1.99
2005-06-10T21:00:00,2.13,2.51
2005-06-17T21:00:00,-1.06,1.86
2005-06-24T21:00:00,-2.3,2.78
2005-07-01T21:00:00,-1.31,2.24
2005-07-08T21:00:00,1.04,2.16
2005-07-15T21:00:00,1.76,2.81
2005-07-22T21:00:00,-0.82,1.53
2005-07-29T21:00:00,1.56,2.5
2005-08-05T21:00:00,0.42,2.22
2005-08-12T21:00:00,-2.62,3.27
2005-08-19T21:00:00,0.58,1.39
2005-08-26T21:00:00,1.16,2.71
2005-09-02T21:00:00,1.26,1.52
2005-09-09T21:00:00,-0.95,1.71
2005-09-16T21:00:00,-1.42,2.15
2005-09-23T21:00:00,0.62,1.48
2005-09-30T21:00:00,-0.64,1.23
2005-10-07T21:00:00,-0.63,1.91
2005-10-14T21:00:00,-0.51,1.41
2005-10-21T21:00:00,0.04,1.77
2005-10-28T21:00:00,-2.13,2.87
2005-11-04T22:00:00,-0.01,1.33
2005-11-11T22:00:00,0.01,1.23
2005-11-18T22:00:00,0.37,1.16
2005-11-25T22:00:00,1.68,2.27
2005-12-02T22:00:00,0.35,1.32
2005-12-09T22:00:00,-0.95,2.16
2005-12-16T22:00:00,-2.01,2.77
2005-12-23T22:00:00,0.61,1.54
2005-12-30T22:00:00,2.88,3.24
2006-01-06T22:00:00,0.19,1.16
2006-01-13T22:00:00,-0.98,1.75
2006-01-20T22:00:00,0.23,1.14
2006-01-27T22:00:00,-0.06,1.49
2006-02-03T22:00:00,-1.48,1.76
2006-02-10T22:00:00,0.21,1.31
2006-02-17T22:00:00,-0.02,1.06
2006-02-24T22:00:00,0.79,1.67
2006-03-03T22:00:00,-1.75,2.45
2006-03-10T22:00:00,-0.68,2.06
2006-03-17T22:00:00,-2.49,3.16
2006-03-24T22:00:00,1.15,2.27
2006-03-31T22:00:00,1.26,3.19
2006-04-07T21:00:00,0.38,1.46
2006-04-14T21:00:00,2.21,2.93
2006-04-21T21:00:00,2.11,2.53
2006-04-28T21:00:00,1.65,2.51
2006-05-05T21:00:00,0.03,2.1
2006-05-12T21:00:00,-1.89,2.96
2006-05-19T21:00:00,-0.04,2.12
2006-05-26T21:00:00,-0.62,2.87
2006-06-02T21:00:00,-0.46,2.05
2006-06-09T21:00:00,-1.26,2.05
2006-06-16T21:00:00,-0.87,1.59
2006-06-23T21:00:00,1.47,2.48
