date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-1.68,2.15
2004-06-18T21:00:00,0.49,0.94
2004-06-25T21:00:00,2.56,3.43
2004-07-02T21:00:00,1.1,1.69
2004-07-09T21:00:00,1.92,1.92
2004-07-16T21:00:00,-1.86,1.89
2004-07-23T21:00:00,0.19,0.99
2004-07-30T21:00:00,0.88,1.24
2004-08-06T21:00:00,0.62,0.64
2004-08-13T21:00:00,0.01,1.37
2004-08-20T21:00:00,-2.47,2.53
2004-08-27T21:00:00,-0.64,0.88
2004-09-03T21:00:00,-0.16,1.16
2004-09-10T21:00:00,0.52,0.95
2004-09-17T21:00:00,3.09,3.11
2004-09-24T21:00:00,1.57,1.57
2004-10-01T21:00:00,0.46,1.14
2004-10-08T21:00:00,-0.97,1.28
2004-10-15T21:00:00,-0.75,1.34
2004-10-22T21:00:00,-0.21,0.53
2004-10-29T21:00:00,1.72,1.72
2004-11-05T22:00:00,0.91,1.96
2004-11-12T22:00:00,-0.57,0.84
2004-11-19T22:00:00,0.36,0.57
2004-11-26T22:00:00,-1.65,2.12
2004-12-03T22:00:00,-0.98,1.18
2004-12-10T22:00:00,0.9,1.17
2004-12-17T22:00:00,0.43,0.54
2004-12-24T22:00:00,0.44,0.76
2004-12-31T22:00:00,-1.08,1.67
2005-01-07T22:00:00,-2.47,3.08
2005-01-14T22:00:00,2.08,3.13
2005-01-21T22:00:00,1.29,1.84
2005-01-28T22:00:00,0.19,1.28
2005-02-04T22:00:00,3.63,4.18
2005-02-11T22:00:00,0.24,1.71
2005-02-18T22:00:00,-0.67,1.64
2005-02-25T22:00:00,0.15,1.86
2005-03-04T22:00:00,-0.48,2.05
2005-03-11T22:00:00,0.96,1.42
2005-03-18T22:00:00,-1.45,2.2
2005-03-25T22:00:00,0.99,1.33
2005-04-01T22:00:00,0.69,1.55
2005-04-08T21:00:00,-0.84,1.43
2005-04-15T21:00:00,0.12,1.47
2005-04-22T21:00:00,-1.22,1.26
2005-04-29T21:00:00,-0.48,1.54
2005-05-06T21:00:00,0.27,1.24
2005-05-13T21:00:00,0.09,1.44
2005-05-20T21:00:00,0.71,1.12
2005-05-27T21:00:00,-1.08,1.53
2005-06-03T21:00:00,1.53,1.86
2005-06-10T21:00:00,2.1,2.68
2005-06-17T21:00:00,-0.56,1.64
2005-06-24T21:00:00,0.18,1.13
2005-07-01T21:00:00,-0.96,1.71
2005-07-08T21:00:00,1.0,1.72
2005-07-15T21:00:00,1.11,2.16
2005-07-22T21:00:00,0.11,1.02
2005-07-29T21:00:00,1.06,1.65
2005-08-05T21:00:00,-1.83,2.33
2005-08-12T21:00:00,-1.71,2.26
2005-08-19T21:00:00,0.33,1.31
2005-08-26T21:00:00,0.85,1.31
2005-09-02T21:00:00,1.27,2.28
2005-09-09T21:00:00,0.54,1.43
2005-09-16T21:00:00,-0.37,1.69
2005-09-23T21:00:00,1.5,2.3
2005-09-30T21:00:00,-0.4,1.88
2005-10-07T21:00:00,-0.35,1.38
2005-10-14T21:00:00,1.13,1.56
2005-10-21T21:00:00,-0.16,1.52
2005-10-28T21:00:00,0.12,1.02
2005-11-04T22:00:00,-0.32,1.08
2005-11-11T22:00:00,0.98,1.3
2005-11-18T22:00:00,0.79,1.1
2005-11-25T22:00:00,2.51,2.94
2005-12-02T22:00:00,0.38,1.68
2005-12-09T22:00:00,-5.03,5.85
2005-12-16T22:00:00,-1.59,2.85
2005-12-23T22:00:00,1.96,2.39
2005-12-30T22:00:00,-0.13,1.53
2006-01-06T22:00:00,-0.08,1.02
2006-01-13T22:00:00,-0.09,1.67
2006-01-20T22:00:00,1.94,2.88
2006-01-27T22:00:00,1.23,1.91
2006-02-03T22:00:00,-2.39,2.89
2006-02-10T22:00:00,0.52,1.31
2006-02-17T22:00:00,-0.96,2.24
2006-02-24T22:00:00,0.29,1.68
2006-03-03T22:00:00,0.43,1.52
2006-03-10T22:00:00,-3.25,4.04
2006-03-17T22:00:00,-1.32,1.65
2006-03-24T22:00:00,1.14,2.8
2006-03-31T22:00:00,1.85,2.99
2006-04-07T21:00:00,0.68,1.49
2006-04-14T21:00:00,0.34,2.05
2006-04-21T21:00:00,-0.27,1.91
2006-04-28T21:00:00,0.61,2.4
2006-05-05T21:00:00,-1.84,2.31
2006-05-12T21:00:00,-0.42,1.95
2006-05-19T21:00:00,0.65,2.32
2006-05-26T21:00:00,-1.45,2.73
2006-06-02T21:00:00,1.49,2.33
2006-06-09T21:00:00,-0.28,1.26
2006-06-16T21:00:00,0.36,1.22
2006-06-23T21:00:00,-0.32,1.05
2006-06-30T21:00:00,0.74,1.6
2006-07-07T21:00:00,2.07,3.2
2006-07-14T21:00:00,-0.1,1.02
2006-07-21T21:00:00,0.68,1.78
2006-07-28T21:00:00,-0.48,0.95
2006-08-04T21:00:00,1.72,2.26
2006-08-11T21:00:00,-1.32,1.94
2006-08-18T21:00:00,0.85,1.74
2006-08-25T21:00:00,1.25,1.43
2006-09-01T21:00:00,-1.79,2.36
2006-09-08T21:00:00,0.39,1.37
2006-09-15T21:00:00,-0.83,2.28
2006-09-22T21:00:00,0.56,1.19
2006-09-29T21:00:00,0.26,0.98
2006-10-06T21:00:00,1.81,2.05
2006-10-13T21:00:00,0.2,1.07
2006-10-20T21:00:00,0.33,1.03
2006-10-27T21:00:00,0.6,0.98
2006-11-03T22:00:00,-0.66,1.43
2006-11-10T22:00:00,0.44,1.18
2006-11-17T22:00:00,-0.19,1.26
2006-11-24T22:00:00,0.96,1.96
2006-12-01T22:00:00,0.35,1.67
2006-12-08T22:00:00,0.96,1.43
2006-12-15T22:00:00,0.87,1.39
2006-12-22T22:00:00,1.48,1.82
2006-12-29T22:00:00,-1.72,2.91
2007-01-05T22:00:00,2.07,2.53
2007-01-12T22:00:00,1.57,1.82
2007-01-19T22:00:00,-1.82,3.01
2007-01-26T22:00:00,-0.15,1.48
2007-02-02T22:00:00,0.86,1.84
2007-02-09T22:00:00,-0.6,1.83
2007-02-16T22:00:00,2.01,2.27
2007-02-23T22:00:00,-4.64,5.15
2007-03-02T22:00:00,1.04,4.43
2007-03-09T22:00:00,0.65,3.14
2007-03-16T21:00:00,2.6,3.35
2007-03-23T21:00:00,0.26,2.13
2007-03-30T21:00:00,2.2,2.69
2007-04-06T21:00:00,2.1,2.22
2007-04-13T21:00:00,-0.36,2.65
2007-04-20T21:00:00,-0.12,2.16
2007-04-27T21:00:00,-0.56,1.21
2007-05-04T21:00:00,1.24,1.85
2007-05-11T21:00:00,-0.28,1.3
2007-05-18T21:00:00,-0.05,1.44
2007-05-25T21:00:00,2.08,2.6
2007-06-01T21:00:00,1.24,1.61
2007-06-08T21:00:00,1.08,1.89
2007-06-15T21:00:00,0.88,1.65
2007-06-22T21:00:00,-0.33,3.0
2007-06-29T21:00:00,1.19,1.49
2007-07-06T21:00:00,0.37,2.48
2007-07-13T21:00:00,0.45,1.7
2007-07-20T21:00:00,-5.34,6.39
2007-07-27T21:00:00,-0.12,3.39
2007-08-03T21:00:00,-0.67,5.19
2007-08-10T21:00:00,-8.77,16.93
2007-08-17T21:00:00,5.65,6.71
2007-08-24T21:00:00,-1.61,5.79
2007-08-31T21:00:00,-0.93,3.56
2007-09-07T21:00:00,3.65,5.44
2007-09-14T21:00:00,3.08,5.43
2007-09-21T21:00:00,1.83,3.66
2007-09-28T21:00:00,3.03,3.52
2007-10-05T21:00:00,1.33,2.18
2007-10-12T21:00:00,-4.16,4.84
2007-10-19T21:00:00,2.86,5.68
2007-10-26T21:00:00,1.12,3.38
2007-11-02T21:00:00,-4.82,6.45
2007-11-09T22:00:00,-1.68,5.75
2007-11-16T22:00:00,-4.17,6.77
2007-11-23T22:00:00,3.68,6.13
2007-11-30T22:00:00,-0.56,3.41
2007-12-07T22:00:00,-0.26,3.92
2007-12-14T22:00:00,1.38,2.58
2007-12-21T22:00:00,-0.52,1.88
2007-12-28T22:00:00,-3.85,4.93
2008-01-04T22:00:00,2.31,4.24
2008-01-11T22:00:00,-3.14,5.31
2008-01-18T22:00:00,-0.12,5.86
2008-01-25T22:00:00,2.36,3.74
2008-02-01T22:00:00,-0.29,3.54
2008-02-08T22:00:00,1.95,2.49
2008-02-15T22:00:00,1.02,1.97
2008-02-22T22:00:00,-2.45,4.15
2008-02-29T22:00:00,-1.41,3.12
2008-03-07T22:00:00,-2.34,3.85
2008-03-14T21:00:00,-3.31,6.2
2008-03-21T21:00:00,1.33,3.47
2008-03-28T21:00:00,3.08,4.42
2008-04-04T21:00:00,0.11,2.6
2008-04-11T21:00:00,3.4,5.09
2008-04-18T21:00:00,0.58,1.76
2008-04-25T21:00:00,0.53,2.74
2008-05-02T21:00:00,-1.46,3.68
2008-05-09T21:00:00,2.47,3.53
2008-05-16T21:00:00,-0.36,1.15
2008-05-23T21:00:00,1.81,2.16
2008-05-30T21:00:00,0.17,2.78
2008-06-06T21:00:00,0.57,1.61
2008-06-13T21:00:00,0.75,1.55
2008-06-20T21:00:00,-0.32,1.92
2008-06-27T21:00:00,0.89,2.68
2008-07-04T21:00:00,-0.09,1.76
2008-07-11T21:00:00,0.86,2.34
2008-07-18T21:00:00,-0.62,2.29
2008-07-25T21:00:00,-2.97,3.41
2008-08-01T21:00:00,-2.11,3.45
2008-08-08T21:00:00,-2.23,5.49
2008-08-15T21:00:00,-0.42,2.48
2008-08-22T21:00:00,-2.1,2.76
2008-08-29T21:00:00,-5.53,9.61
2008-09-05T21:00:00,0.77,8.07
2008-09-12T21:00:00,2.33,10.27
2008-09-19T21:00:00,-1.67,3.91
2008-09-26T21:00:00,-7.54,9.83
2008-10-03T21:00:00,-20.56,29.32
2008-10-10T21:00:00,8.18,15.2
2008-10-17T21:00:00,-16.24,30.81
2008-10-24T21:00:00,11.96,22.46
2008-10-31T21:00:00,0.7,11.36
2008-11-07T22:00:00,-5.0,15.64
2008-11-14T22:00:00,-3.6,12.79
2008-11-21T22:00:00,3.26,7.61
2008-11-28T22:00:00,-4.04,8.43
2008-12-05T22:00:00,0.74,8.72
2008-12-12T22:00:00,-0.03,5.91
2008-12-19T22:00:00,2.23,2.71
2008-12-26T22:00:00,5.14,5.89
2009-01-02T22:00:00,-3.34,7.91
2009-01-09T22:00:00,-3.91,9.22
