date,return,volatility
2004-05-07T21:00:00,0.0,0.0
2004-05-14T21:00:00,0.36,0.36
2004-05-21T21:00:00,-1.47,1.5
2004-05-28T21:00:00,-1.22,1.53
2004-06-04T21:00:00,-1.7,1.74
2004-06-11T21:00:00,-0.26,0.78
2004-06-18T21:00:00,0.17,0.67
2004-06-25T21:00:00,0.14,0.99
2004-07-02T21:00:00,-0.25,0.38
2004-07-09T21:00:00,0.94,0.95
2004-07-16T21:00:00,0.58,0.61
2004-07-23T21:00:00,-1.18,1.2
2004-07-30T21:00:00,-0.89,1.22
2004-08-06T21:00:00,-1.65,1.84
2004-08-13T21:00:00,-0.04,0.32
2004-08-20T21:00:00,0.06,1.16
2004-08-27T21:00:00,-0.36,0.51
2004-09-03T21:00:00,-0.77,1.7
2004-09-10T21:00:00,-0.45,0.45
2004-09-17T21:00:00,1.05,1.31
2004-09-24T21:00:00,0.65,0.65
2004-10-01T21:00:00,-0.41,0.55
2004-10-08T21:00:00,-1.27,1.29
2004-10-15T21:00:00,-0.1,0.53
2004-10-22T21:00:00,2.84,2.84
2004-10-29T21:00:00,0.75,0.78
2004-11-05T22:00:00,1.23,1.5
2004-11-12T22:00:00,-0.23,0.59
2004-11-19T22:00:00,-0.09,0.55
2004-11-26T22:00:00,-1.67,2.09
2004-12-03T22:00:00,-1.51,2.17
2004-12-10T22:00:00,0.22,0.65
2004-12-17T22:00:00,0.32,1.08
2004-12-24T22:00:00,1.53,1.53
2004-12-31T22:00:00,0.02,1.09
2005-01-07T22:00:00,-0.34,1.13
2005-01-14T22:00:00,-0.78,1.69
2005-01-21T22:00:00,0.88,1.28
2005-01-28T22:00:00,-0.3,1.13
2005-02-04T22:00:00,1.51,2.03
2005-02-11T22:00:00,-1.01,1.63
2005-02-18T22:00:00,-0.12,0.7
2005-02-25T22:00:00,-0.92,1.63
2005-03-04T22:00:00,-0.57,1.44
2005-03-11T22:00:00,-0.43,0.79
2005-03-18T22:00:00,1.19,1.82
2005-03-25T22:00:00,0.6,0.89
2005-04-01T22:00:00,-0.98,1.57
2005-04-08T21:00:00,-0.31,1.1
2005-04-15T21:00:00,-0.26,1.05
2005-04-22T21:00:00,0.05,1.27
2005-04-29T21:00:00,-0.79,1.38
2005-05-06T21:00:00,1.08,1.3
2005-05-13T21:00:00,-0.19,0.77
2005-05-20T21:00:00,0.04,0.56
2005-05-27T21:00:00,1.32,1.67
2005-06-03T21:00:00,0.0,1.05
2005-06-10T21:00:00,0.6,0.97
2005-06-17T21:00:00,0.53,1.31
2005-06-24T21:00:00,0.79,1.83
2005-07-01T21:00:00,0.33,1.25
2005-07-08T21:00:00,0.86,1.61
2005-07-15T21:00:00,0.14,1.04
2005-07-22T21:00:00,-0.22,0.81
2005-07-29T21:00:00,0.0,0.9
2005-08-05T21:00:00,-1.91,2.27
2005-08-12T21:00:00,-0.82,1.56
2005-08-19T21:00:00,0.37,1.07
2005-08-26T21:00:00,-0.4,0.98
2005-09-02T21:00:00,1.13,1.59
2005-09-09T21:00:00,-0.51,1.03
2005-09-16T21:00:00,0.97,1.69
2005-09-23T21:00:00,-0.02,1.38
2005-09-30T21:00:00,-1.26,1.89
2005-10-07T21:00:00,-0.79,1.02
2005-10-14T21:00:00,-0.94,1.42
2005-10-21T21:00:00,-0.58,1.19
2005-10-28T21:00:00,0.73,1.1
2005-11-04T22:00:00,-0.62,1.8
2005-11-11T22:00:00,0.07,0.84
2005-11-18T22:00:00,-1.03,1.59
2005-11-25T22:00:00,-0.71,1.04
2005-12-02T22:00:00,1.7,2.79
2005-12-09T22:00:00,0.87,2.26
2005-12-16T22:00:00,0.33,1.55
2005-12-23T22:00:00,-0.77,1.71
2005-12-30T22:00:00,1.65,1.92
2006-01-06T22:00:00,-0.85,1.36
2006-01-13T22:00:00,1.85,2.32
2006-01-20T22:00:00,-0.12,1.58
2006-01-27T22:00:00,-0.98,1.67
2006-02-03T22:00:00,-0.27,1.01
2006-02-10T22:00:00,1.76,2.47
2006-02-17T22:00:00,0.9,1.69
2006-02-24T22:00:00,0.37,0.79
2006-03-03T22:00:00,1.92,2.47
2006-03-10T22:00:00,0.38,1.88
2006-03-17T22:00:00,1.47,2.12
2006-03-24T22:00:00,-0.2,1.24
2006-03-31T22:00:00,2.71,3.15
2006-04-07T21:00:00,-1.29,3.03
2006-04-14T21:00:00,-0.17,1.31
2006-04-21T21:00:00,1.32,2.14
2006-04-28T21:00:00,1.22,1.7
2006-05-05T21:00:00,2.41,3.53
2006-05-12T21:00:00,-0.66,1.76
2006-05-19T21:00:00,-2.29,4.07
2006-05-26T21:00:00,-0.12,1.73
2006-06-02T21:00:00,-0.98,1.36
2006-06-09T21:00:00,1.27,1.61
2006-06-16T21:00:00,0.6,1.92
2006-06-23T21:00:00,1.34,2.34
2006-06-30T21:00:00,0.87,1.51
2006-07-07T21:00:00,-1.35,1.74
2006-07-14T21:00:00,-0.67,2.11
2006-07-21T21:00:00,2.92,3.37
2006-07-28T21:00:00,-1.27,1.9
2006-08-04T21:00:00,-1.17,1.75
2006-08-11T21:00:00,-1.83,2.54
2006-08-18T21:00:00,0.13,1.36
2006-08-25T21:00:00,-1.62,2.74
2006-09-01T21:00:00,1.07,2.5
2006-09-08T21:00:00,-3.93,4.82
2006-09-15T21:00:00,-0.08,1.74
2006-09-22T21:00:00,0.58,2.36
2006-09-29T21:00:00,-1.33,2.39
2006-10-06T21:00:00,1.43,1.75
2006-10-13T21:00:00,-0.66,1.25
2006-10-20T21:00:00,2.27,2.88
2006-10-27T21:00:00,-0.86,1.74
2006-11-03T22:00:00,0.3,0.88
2006-11-10T22:00:00,0.41,1.07
2006-11-17T22:00:00,0.15,1.48
2006-11-24T22:00:00,-1.09,1.76
2006-12-01T22:00:00,-0.32,1.37
2006-12-08T22:00:00,-0.94,1.37
2006-12-15T22:00:00,-1.15,1.62
2006-12-22T22:00:00,-0.23,0.82
2006-12-29T22:00:00,1.28,1.79
2007-01-05T22:00:00,0.06,1.13
2007-01-12T22:00:00,0.05,1.36
2007-01-19T22:00:00,-2.06,2.64
2007-01-26T22:00:00,2.38,3.21
2007-02-02T22:00:00,0.04,1.61
2007-02-09T22:00:00,-0.73,1.18
2007-02-16T22:00:00,-0.28,0.84
2007-02-23T22:00:00,1.65,2.47
2007-03-02T22:00:00,-0.62,1.71
2007-03-09T22:00:00,1.42,1.57
2007-03-16T21:00:00,-0.64,1.44
2007-03-23T21:00:00,0.04,1.25
2007-03-30T21:00:00,0.17,1.35
2007-04-06T21:00:00,-0.31,0.89
2007-04-13T21:00:00,-0.79,1.09
2007-04-20T21:00:00,-0.12,1.11
2007-04-27T21:00:00,-0.38,0.96
2007-05-04T21:00:00,1.56,2.15
2007-05-11T21:00:00,-0.63,1.14
2007-05-18T21:00:00,0.07,0.94
2007-05-25T21:00:00,-0.88,1.26
2007-06-01T21:00:00,-1.04,1.74
2007-06-08T21:00:00,0.64,1.92
2007-06-15T21:00:00,-0.72,1.52
2007-06-22T21:00:00,-0.87,1.33
2007-06-29T21:00:00,-0.25,1.0
2007-07-06T21:00:00,0.93,1.62
2007-07-13T21:00:00,-0.22,1.28
2007-07-20T21:00:00,0.91,2.56
2007-07-27T21:00:00,0.93,1.3
2007-08-03T21:00:00,0.81,1.85
2007-08-10T21:00:00,0.96,4.08
2007-08-17T21:00:00,0.3,1.6
2007-08-24T21:00:00,1.73,2.77
2007-08-31T21:00:00,2.62,3.48
2007-09-07T21:00:00,-1.51,2.83
2007-09-14T21:00:00,-1.38,2.19
2007-09-21T21:00:00,0.32,1.67
2007-09-28T21:00:00,0.71,1.81
2007-10-05T21:00:00,-1.1,1.43
2007-10-12T21:00:00,2.14,2.89
2007-10-19T21:00:00,0.66,1.5
2007-10-26T21:00:00,0.6,1.37
2007-11-02T21:00:00,-0.94,1.74
2007-11-09T22:00:00,-1.2,2.57
2007-11-16T22:00:00,-1.88,2.55
2007-11-23T22:00:00,0.22,2.11
2007-11-30T22:00:00,-2.56,3.1
2007-12-07T22:00:00,-0.35,1.78
2007-12-14T22:00:00,0.87,1.85
2007-12-21T22:00:00,-0.5,1.05
2007-12-28T22:00:00,0.52,1.47
2008-01-04T22:00:00,0.04,1.41
2008-01-11T22:00:00,1.65,2.18
2008-01-18T22:00:00,-1.0,2.31
2008-01-25T22:00:00,-0.71,1.14
2008-02-01T22:00:00,-0.26,1.95
2008-02-08T22:00:00,1.28,1.54
2008-02-15T22:00:00,-0.69,1.24
2008-02-22T22:00:00,2.03,2.7
2008-02-29T22:00:00,0.15,1.63
2008-03-07T22:00:00,-1.24,2.28
2008-03-14T21:00:00,-1.22,1.98
2008-03-21T21:00:00,1.07,1.71
2008-03-28T21:00:00,1.57,1.88
2008-04-04T21:00:00,0.1,1.0
2008-04-11T21:00:00,1.11,2.22
2008-04-18T21:00:00,0.92,1.57
2008-04-25T21:00:00,0.36,1.36
2008-05-02T21:00:00,2.34,2.7
2008-05-09T21:00:00,0.7,1.39
2008-05-16T21:00:00,-1.0,2.09
2008-05-23T21:00:00,-0.12,1.41
2008-05-30T21:00:00,2.8,3.57
2008-06-06T21:00:00,-0.1,1.58
2008-06-13T21:00:00,-0.02,0.81
2008-06-20T21:00:00,0.82,1.45
2008-06-27T21:00:00,0.54,1.5
2008-07-04T21:00:00,0.04,1.13
2008-07-11T21:00:00,0.36,1.26
2008-07-18T21:00:00,1.14,1.75
2008-07-25T21:00:00,-0.75,1.45
2008-08-01T21:00:00,-1.3,1.64
2008-08-08T21:00:00,-2.92,3.56
2008-08-15T21:00:00,-0.39,1.32
2008-08-22T21:00:00,0.2,1.42
2008-08-29T21:00:00,-0.36,1.8
2008-09-05T21:00:00,0.68,3.05
2008-09-12T21:00:00,-1.68,4.67
2008-09-19T21:00:00,0.01,2.09
2008-09-26T21:00:00,-3.47,4.23
2008-10-03T21:00:00,-7.55,10.51
2008-10-10T21:00:00,3.96,6.05
2008-10-17T21:00:00,-0.35,4.93
2008-10-24T21:00:00,2.47,5.38
2008-10-31T21:00:00,-0.51,2.9
2008-11-07T22:00:00,2.53,4.88
2008-11-14T22:00:00,0.53,2.69
2008-11-21T22:00:00,1.43,2.22
2008-11-28T22:00:00,1.65,2.81
2008-12-05T22:00:00,0.25,2.77
2008-12-12T22:00:00,-2.28,4.59
2008-12-19T22:00:00,0.18,2.42
2008-12-26T22:00:00,2.33,3.03
2009-01-02T22:00:00,-2.33,3.17
2009-01-09T22:00:00,3.71,5.79
2009-01-16T22:00:00,0.55,2.25
2009-01-23T22:00:00,1.13,3.94
2009-01-30T22:00:00,1.88,2.44
2009-02-06T22:00:00,-1.12,2.78
2009-02-13T22:00:00,0.45,2.08
2009-02-20T22:00:00,1.12,2.06
2009-02-27T22:00:00,-0.03,2.18
2009-03-06T22:00:00,-1.52,3.22
2009-03-13T21:00:00,-1.92,2.55
2009-03-20T21:00:00,-0.96,3.29
2009-03-27T21:00:00,0.22,3.17
2009-04-03T21:00:00,1.11,3.16
2009-04-10T21:00:00,3.17,4.04
2009-04-17T21:00:00,-0.67,1.75
2009-04-24T21:00:00,1.59,3.76
2009-05-01T21:00:00,-0.69,1.82
2009-05-08T21:00:00,0.65,2.37
2009-05-15T21:00:00,-1.44,2.49
2009-05-22T21:00:00,-0.84,2.1
2009-05-29T21:00:00,1.26,2.96
2009-06-05T21:00:00,-0.32,1.74
2009-06-12T21:00:00,-0.69,1.88
2009-06-19T21:00:00,-0.34,1.72
