date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-0.68,2.01
2004-06-18T21:00:00,1.24,1.34
2004-06-25T21:00:00,2.03,3.11
2004-07-02T21:00:00,0.67,1.16
2004-07-09T21:00:00,1.14,1.14
2004-07-16T21:00:00,-1.71,1.74
2004-07-23T21:00:00,-1.28,1.43
2004-07-30T21:00:00,1.36,1.54
2004-08-06T21:00:00,0.1,0.45
2004-08-13T21:00:00,0.77,1.09
2004-08-20T21:00:00,-2.65,2.72
2004-08-27T21:00:00,-1.87,2.29
2004-09-03T21:00:00,0.14,1.1
2004-09-10T21:00:00,-0.23,0.87
2004-09-17T21:00:00,2.39,2.47
2004-09-24T21:00:00,0.95,1.52
2004-10-01T21:00:00,1.62,1.62
2004-10-08T21:00:00,-0.88,1.27
2004-10-15T21:00:00,0.54,1.36
2004-10-22T21:00:00,0.47,0.53
2004-10-29T21:00:00,1.27,1.27
2004-11-05T22:00:00,0.55,1.69
2004-11-12T22:00:00,1.48,1.48
2004-11-19T22:00:00,0.18,0.82
2004-11-26T22:00:00,-1.11,2.18
2004-12-03T22:00:00,-2.68,2.75
2004-12-10T22:00:00,1.4,1.4
2004-12-17T22:00:00,0.43,0.69
2004-12-24T22:00:00,1.24,1.24
2004-12-31T22:00:00,-2.25,2.9
2005-01-07T22:00:00,-0.4,1.48
2005-01-14T22:00:00,1.13,2.62
2005-01-21T22:00:00,0.83,1.51
2005-01-28T22:00:00,-0.62,1.48
2005-02-04T22:00:00,2.81,3.27
2005-02-11T22:00:00,-0.19,1.37
2005-02-18T22:00:00,-0.74,1.7
2005-02-25T22:00:00,0.2,2.07
2005-03-04T22:00:00,-0.07,1.58
2005-03-11T22:00:00,0.61,1.34
2005-03-18T22:00:00,-1.8,2.6
2005-03-25T22:00:00,0.74,1.42
2005-04-01T22:00:00,-0.25,1.34
2005-04-08T21:00:00,-0.24,0.99
2005-04-15T21:00:00,1.1,2.05
2005-04-22T21:00:00,-0.6,0.96
2005-04-29T21:00:00,-0.54,1.26
2005-05-06T21:00:00,-0.7,1.6
2005-05-13T21:00:00,-0.4,1.29
2005-05-20T21:00:00,0.75,1.38
2005-05-27T21:00:00,-0.33,1.24
2005-06-03T21:00:00,0.8,1.69
2005-06-10T21:00:00,2.0,2.26
2005-06-17T21:00:00,-0.73,1.6
2005-06-24T21:00:00,-1.19,1.85
2005-07-01T21:00:00,-0.93,1.97
2005-07-08T21:00:00,0.21,1.48
2005-07-15T21:00:00,0.13,1.74
2005-07-22T21:00:00,-0.66,1.21
2005-07-29T21:00:00,1.03,1.8
2005-08-05T21:00:00,0.32,1.94
2005-08-12T21:00:00,-1.52,2.32
2005-08-19T21:00:00,0.76,1.52
2005-08-26T21:00:00,1.11,2.09
2005-09-02T21:00:00,1.36,1.64
2005-09-09T21:00:00,-0.43,1.29
2005-09-16T21:00:00,-1.22,1.8
2005-09-23T21:00:00,1.08,1.48
2005-09-30T21:00:00,-1.14,1.76
2005-10-07T21:00:00,-0.38,1.26
2005-10-14T21:00:00,0.04,1.24
2005-10-21T21:00:00,-0.18,1.31
2005-10-28T21:00:00,-1.56,2.3
2005-11-04T22:00:00,0.0,1.26
2005-11-11T22:00:00,-0.14,0.9
2005-11-18T22:00:00,-0.09,0.84
2005-11-25T22:00:00,1.47,1.84
2005-12-02T22:00:00,-0.01,1.43
2005-12-09T22:00:00,-1.9,2.81
2005-12-16T22:00:00,-2.04,2.77
2005-12-23T22:00:00,0.41,1.33
2005-12-30T22:00:00,1.38,1.89
2006-01-06T22:00:00,-0.44,1.3
2006-01-13T22:00:00,-0.95,1.73
2006-01-20T22:00:00,0.19,1.04
2006-01-27T22:00:00,0.37,1.27
2006-02-03T22:00:00,-1.99,2.4
2006-02-10T22:00:00,0.57,1.22
2006-02-17T22:00:00,-0.57,0.96
2006-02-24T22:00:00,0.6,1.23
2006-03-03T22:00:00,-1.32,1.9
2006-03-10T22:00:00,-1.34,2.17
2006-03-17T22:00:00,-2.26,2.92
2006-03-24T22:00:00,0.86,2.08
2006-03-31T22:00:00,0.79,2.56
2006-04-07T21:00:00,0.35,1.74
2006-04-14T21:00:00,1.4,2.24
2006-04-21T21:00:00,1.22,2.11
2006-04-28T21:00:00,1.03,2.07
2006-05-05T21:00:00,-0.28,1.63
2006-05-12T21:00:00,-0.8,1.74
2006-05-19T21:00:00,-0.28,1.42
2006-05-26T21:00:00,-1.08,2.56
2006-06-02T21:00:00,0.79,2.19
2006-06-09T21:00:00,-1.24,1.92
2006-06-16T21:00:00,-0.65,1.17
2006-06-23T21:00:00,0.45,1.63
2006-06-30T21:00:00,0.62,1.05
2006-07-07T21:00:00,1.09,2.0
2006-07-14T21:00:00,-0.46,1.49
2006-07-21T21:00:00,1.66,1.91
2006-07-28T21:00:00,-0.59,1.54
2006-08-04T21:00:00,0.35,1.74
2006-08-11T21:00:00,-1.22,1.89
2006-08-18T21:00:00,0.09,1.41
2006-08-25T21:00:00,0.76,1.05
2006-09-01T21:00:00,-1.59,2.23
2006-09-08T21:00:00,0.46,1.25
2006-09-15T21:00:00,-0.18,1.16
2006-09-22T21:00:00,-0.36,1.74
2006-09-29T21:00:00,-0.41,1.06
2006-10-06T21:00:00,1.04,1.25
2006-10-13T21:00:00,0.18,0.78
2006-10-20T21:00:00,0.49,0.74
2006-10-27T21:00:00,0.42,1.19
2006-11-03T22:00:00,-0.76,1.56
2006-11-10T22:00:00,0.23,1.02
2006-11-17T22:00:00,0.95,1.09
2006-11-24T22:00:00,0.84,1.52
2006-12-01T22:00:00,-0.23,1.16
2006-12-08T22:00:00,-0.75,1.1
2006-12-15T22:00:00,0.35,0.86
2006-12-22T22:00:00,0.89,1.28
2006-12-29T22:00:00,-1.07,2.11
2007-01-05T22:00:00,0.93,1.5
2007-01-12T22:00:00,0.43,1.01
2007-01-19T22:00:00,-1.96,2.6
2007-01-26T22:00:00,-0.03,0.95
2007-02-02T22:00:00,0.2,1.1
2007-02-09T22:00:00,1.22,1.95
2007-02-16T22:00:00,0.55,1.1
2007-02-23T22:00:00,-1.48,1.79
2007-03-02T22:00:00,-0.26,1.66
2007-03-09T22:00:00,1.57,2.33
2007-03-16T21:00:00,0.69,1.63
2007-03-23T21:00:00,0.5,1.2
2007-03-30T21:00:00,0.73,1.51
2007-04-06T21:00:00,2.23,2.54
2007-04-13T21:00:00,0.03,1.38
2007-04-20T21:00:00,-0.56,1.47
2007-04-27T21:00:00,-0.91,1.94
2007-05-04T21:00:00,1.24,1.6
2007-05-11T21:00:00,-0.64,1.4
2007-05-18T21:00:00,-0.49,1.28
2007-05-25T21:00:00,2.06,2.31
2007-06-01T21:00:00,2.02,2.58
2007-06-08T21:00:00,-0.4,1.42
2007-06-15T21:00:00,0.58,1.13
2007-06-22T21:00:00,-0.3,1.84
2007-06-29T21:00:00,0.38,1.01
