date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,0.78,1.22
2003-04-11T21:00:00,1.64,1.64
2003-04-18T21:00:00,0.31,1.11
2003-04-25T21:00:00,2.48,2.48
2003-05-02T21:00:00,1.99,2.17
2003-05-09T21:00:00,1.11,1.92
2003-05-16T21:00:00,0.17,0.93
2003-05-23T21:00:00,-0.94,1.36
2003-05-30T21:00:00,1.2,2.21
2003-06-06T21:00:00,1.47,1.79
2003-06-13T21:00:00,0.01,0.84
2003-06-20T21:00:00,-0.19,0.75
2003-06-27T21:00:00,1.71,2.18
2003-07-04T21:00:00,-2.93,3.32
2003-07-11T21:00:00,-1.43,1.74
2003-07-18T21:00:00,2.54,2.99
2003-07-25T21:00:00,-1.73,2.24
2003-08-01T21:00:00,0.09,1.0
2003-08-08T21:00:00,1.26,1.26
2003-08-15T21:00:00,-1.17,1.23
2003-08-22T21:00:00,-0.83,2.07
2003-08-29T21:00:00,-0.05,1.8
2003-09-05T21:00:00,2.36,2.36
2003-09-12T21:00:00,1.43,1.45
2003-09-19T21:00:00,-0.27,0.79
2003-09-26T21:00:00,0.61,1.67
2003-10-03T21:00:00,2.05,2.05
2003-10-10T21:00:00,0.07,0.64
2003-10-17T21:00:00,0.63,1.95
2003-10-24T21:00:00,1.24,1.24
2003-10-31T22:00:00,0.23,1.52
2003-11-07T22:00:00,1.58,1.59
2003-11-14T22:00:00,0.46,1.69
2003-11-21T22:00:00,0.12,0.86
2003-11-28T22:00:00,1.81,1.81
2003-12-05T22:00:00,0.83,0.83
2003-12-12T22:00:00,-0.17,0.92
2003-12-19T22:00:00,0.32,1.13
2003-12-26T22:00:00,2.21,2.21
2004-01-02T22:00:00,2.49,2.49
2004-01-09T22:00:00,-1.7,1.94
2004-01-16T22:00:00,1.22,3.01
2004-01-23T22:00:00,-0.87,2.38
2004-01-30T22:00:00,0.72,1.58
2004-02-06T22:00:00,2.96,2.96
2004-02-13T22:00:00,-2.41,3.63
2004-02-20T22:00:00,0.64,1.43
2004-02-27T22:00:00,-1.57,3.08
2004-03-05T22:00:00,-3.76,3.91
2004-03-12T22:00:00,1.45,1.94
2004-03-19T22:00:00,-0.2,2.04
2004-03-26T22:00:00,1.46,2.93
2004-04-02T22:00:00,1.02,1.6
2004-04-09T21:00:00,-2.49,4.27
2004-04-16T21:00:00,-1.49,2.22
2004-04-23T21:00:00,-1.42,1.96
2004-04-30T21:00:00,-2.52,4.15
2004-05-07T21:00:00,-1.45,1.92
2004-05-14T21:00:00,0.9,1.76
2004-05-21T21:00:00,2.47,2.86
2004-05-28T21:00:00,-2.66,3.86
2004-06-04T21:00:00,-0.7,2.47
2004-06-11T21:00:00,-0.56,2.29
2004-06-18T21:00:00,1.65,1.89
2004-06-25T21:00:00,1.86,3.36
2004-07-02T21:00:00,1.23,1.62
2004-07-09T21:00:00,1.23,1.31
2004-07-16T21:00:00,-3.1,3.2
2004-07-23T21:00:00,-0.92,1.41
2004-07-30T21:00:00,1.39,1.46
2004-08-06T21:00:00,0.36,0.53
2004-08-13T21:00:00,1.13,1.27
2004-08-20T21:00:00,-2.92,3.0
2004-08-27T21:00:00,-1.43,1.87
2004-09-03T21:00:00,0.51,1.18
2004-09-10T21:00:00,0.24,0.93
2004-09-17T21:00:00,2.31,2.31
2004-09-24T21:00:00,1.57,1.98
2004-10-01T21:00:00,1.56,1.84
2004-10-08T21:00:00,-0.74,1.47
2004-10-15T21:00:00,0.86,1.65
2004-10-22T21:00:00,0.66,0.66
2004-10-29T21:00:00,1.88,2.13
2004-11-05T22:00:00,0.8,1.64
2004-11-12T22:00:00,1.82,1.82
2004-11-19T22:00:00,0.84,1.12
2004-11-26T22:00:00,-1.09,2.34
2004-12-03T22:00:00,-3.93,4.09
2004-12-10T22:00:00,1.92,1.93
2004-12-17T22:00:00,0.69,0.69
2004-12-24T22:00:00,1.68,1.68
2004-12-31T22:00:00,-3.17,3.97
2005-01-07T22:00:00,0.24,1.95
2005-01-14T22:00:00,1.37,2.81
2005-01-21T22:00:00,0.74,2.28
2005-01-28T22:00:00,-0.58,1.5
2005-02-04T22:00:00,2.01,3.3
2005-02-11T22:00:00,0.32,1.41
2005-02-18T22:00:00,-0.25,1.95
2005-02-25T22:00:00,0.59,2.23
2005-03-04T22:00:00,0.32,1.47
2005-03-11T22:00:00,0.25,1.23
2005-03-18T22:00:00,-2.94,3.26
2005-03-25T22:00:00,-0.12,1.4
2005-04-01T22:00:00,0.06,1.45
2005-04-08T21:00:00,-0.43,1.99
2005-04-15T21:00:00,1.64,2.57
2005-04-22T21:00:00,0.0,1.26
2005-04-29T21:00:00,-0.69,1.35
2005-05-06T21:00:00,-1.79,2.49
2005-05-13T21:00:00,-0.7,1.2
2005-05-20T21:00:00,0.94,1.38
2005-05-27T21:00:00,-0.86,2.11
2005-06-03T21:00:00,0.63,2.01
2005-06-10T21:00:00,2.19,2.53
2005-06-17T21:00:00,-1.03,1.88
2005-06-24T21:00:00,-2.3,2.77
2005-07-01T21:00:00,-1.33,2.27
2005-07-08T21:00:00,1.02,2.12
2005-07-15T21:00:00,1.85,2.85
2005-07-22T21:00:00,-0.9,1.58
2005-07-29T21:00:00,1.6,2.52
2005-08-05T21:00:00,0.44,2.24
2005-08-12T21:00:00,-2.64,3.29
2005-08-19T21:00:00,0.53,1.38
2005-08-26T21:00:00,1.19,2.79
2005-09-02T21:00:00,1.33,1.57
2005-09-09T21:00:00,-0.93,1.65
2005-09-16T21:00:00,-1.39,2.11
2005-09-23T21:00:00,0.65,1.49
2005-09-30T21:00:00,-0.6,1.22
2005-10-07T21:00:00,-0.66,1.93
2005-10-14T21:00:00,-0.45,1.47
2005-10-21T21:00:00,-0.04,1.79
2005-10-28T21:00:00,-2.12,2.89
2005-11-04T22:00:00,-0.04,1.29
2005-11-11T22:00:00,0.04,1.27
2005-11-18T22:00:00,0.35,1.16
2005-11-25T22:00:00,1.67,2.27
2005-12-02T22:00:00,0.35,1.33
2005-12-09T22:00:00,-0.92,2.15
2005-12-16T22:00:00,-2.04,2.77
2005-12-23T22:00:00,0.59,1.53
2005-12-30T22:00:00,3.09,3.25
2006-01-06T22:00:00,0.21,1.15
2006-01-13T22:00:00,-0.99,1.78
2006-01-20T22:00:00,0.2,1.12
2006-01-27T22:00:00,-0.07,1.5
2006-02-03T22:00:00,-1.51,1.82
2006-02-10T22:00:00,0.19,1.31
2006-02-17T22:00:00,0.0,1.08
2006-02-24T22:00:00,0.82,1.68
2006-03-03T22:00:00,-1.81,2.5
2006-03-10T22:00:00,-0.62,2.04
2006-03-17T22:00:00,-2.52,3.19
2006-03-24T22:00:00,1.14,2.27
2006-03-31T22:00:00,1.31,3.22
2006-04-07T21:00:00,0.36,1.46
2006-04-14T21:00:00,2.25,2.98
2006-04-21T21:00:00,2.11,2.53
2006-04-28T21:00:00,1.67,2.54
2006-05-05T21:00:00,-0.01,2.1
2006-05-12T21:00:00,-1.9,2.99
2006-05-19T21:00:00,-0.05,2.09
2006-05-26T21:00:00,-0.65,2.87
2006-06-02T21:00:00,-0.51,2.08
2006-06-09T21:00:00,-1.3,2.07
2006-06-16T21:00:00,-0.92,1.62
2006-06-23T21:00:00,1.5,2.49
2006-06-30T21:00:00,1.12,1.76
2006-07-07T21:00:00,0.17,1.42
2006-07-14T21:00:00,-0.11,1.88
2006-07-21T21:00:00,2.01,2.29
2006-07-28T21:00:00,-0.2,1.26
2006-08-04T21:00:00,-0.03,1.98
2006-08-11T21:00:00,-0.9,1.82
2006-08-18T21:00:00,-0.32,1.56
2006-08-25T21:00:00,1.29,1.41
2006-09-01T21:00:00,-1.68,2.54
2006-09-08T21:00:00,-0.12,1.14
2006-09-15T21:00:00,-0.32,1.12
2006-09-22T21:00:00,-0.67,1.67
2006-09-29T21:00:00,-0.47,1.01
2006-10-06T21:00:00,1.14,1.57
2006-10-13T21:00:00,1.05,1.5
2006-10-20T21:00:00,1.37,1.81
2006-10-27T21:00:00,0.2,1.21
2006-11-03T22:00:00,-0.26,1.48
2006-11-10T22:00:00,0.26,1.08
2006-11-17T22:00:00,1.35,1.48
2006-11-24T22:00:00,1.31,2.1
2006-12-01T22:00:00,-0.43,1.19
2006-12-08T22:00:00,-0.5,1.27
2006-12-15T22:00:00,0.38,1.27
2006-12-22T22:00:00,1.38,1.83
2006-12-29T22:00:00,-1.26,2.51
2007-01-05T22:00:00,0.54,1.04
2007-01-12T22:00:00,0.77,1.17
2007-01-19T22:00:00,-2.01,2.81
2007-01-26T22:00:00,0.19,0.97
2007-02-02T22:00:00,0.32,1.23
2007-02-09T22:00:00,1.34,2.13
2007-02-16T22:00:00,0.61,0.99
2007-02-23T22:00:00,-1.07,1.73
2007-03-02T22:00:00,-0.28,1.84
2007-03-09T22:00:00,1.67,2.31
2007-03-16T21:00:00,1.25,1.98
2007-03-23T21:00:00,0.4,1.23
2007-03-30T21:00:00,0.86,1.8
2007-04-06T21:00:00,2.09,2.33
2007-04-13T21:00:00,0.54,1.34
2007-04-20T21:00:00,-0.91,1.76
2007-04-27T21:00:00,-1.03,1.93
2007-05-04T21:00:00,1.21,1.59
2007-05-11T21:00:00,-1.15,1.82
2007-05-18T21:00:00,-0.6,1.12
2007-05-25T21:00:00,1.82,2.06
2007-06-01T21:00:00,1.42,2.0
2007-06-08T21:00:00,-0.27,1.37
2007-06-15T21:00:00,0.53,1.15
2007-06-22T21:00:00,0.25,1.99
2007-06-29T21:00:00,1.03,1.56
2007-07-06T21:00:00,1.53,1.77
2007-07-13T21:00:00,1.04,1.61
2007-07-20T21:00:00,-3.22,4.24
2007-07-27T21:00:00,0.36,2.0
2007-08-03T21:00:00,-1.15,3.12
2007-08-10T21:00:00,-5.55,10.86
2007-08-17T21:00:00,3.5,4.84
2007-08-24T21:00:00,-1.01,3.52
2007-08-31T21:00:00,1.19,1.88
2007-09-07T21:00:00,1.88,3.26
2007-09-14T21:00:00,2.94,5.15
2007-09-21T21:00:00,2.41,3.2
2007-09-28T21:00:00,1.04,2.39
2007-10-05T21:00:00,0.77,1.66
2007-10-12T21:00:00,-1.62,2.97
2007-10-19T21:00:00,3.11,4.99
2007-10-26T21:00:00,0.52,2.63
2007-11-02T21:00:00,-1.11,3.29
2007-11-09T22:00:00,-1.95,4.05
2007-11-16T22:00:00,-1.69,3.99
2007-11-23T22:00:00,0.87,2.92
2007-11-30T22:00:00,-0.95,2.24
2007-12-07T22:00:00,-1.73,3.54
2007-12-14T22:00:00,0.78,1.67
2007-12-21T22:00:00,1.03,1.39
2007-12-28T22:00:00,-0.45,1.72
2008-01-04T22:00:00,2.14,3.35
2008-01-11T22:00:00,-1.33,3.64
2008-01-18T22:00:00,0.02,3.99
2008-01-25T22:00:00,2.82,3.18
2008-02-01T22:00:00,-0.93,2.55
2008-02-08T22:00:00,1.53,1.93
2008-02-15T22:00:00,1.7,2.17
2008-02-22T22:00:00,0.78,3.05
2008-02-29T22:00:00,-0.41,2.21
2008-03-07T22:00:00,1.13,3.53
2008-03-14T21:00:00,-3.78,5.52
2008-03-21T21:00:00,1.68,3.05
2008-03-28T21:00:00,0.61,2.2
2008-04-04T21:00:00,0.55,1.82
2008-04-11T21:00:00,0.73,2.12
2008-04-18T21:00:00,-0.09,2.69
2008-04-25T21:00:00,0.12,2.11
2008-05-02T21:00:00,0.95,1.75
2008-05-09T21:00:00,1.41,2.9
2008-05-16T21:00:00,0.43,1.5
2008-05-23T21:00:00,-0.34,1.31
2008-05-30T21:00:00,0.73,1.67
