date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-1.15,1.19
2004-06-18T21:00:00,1.22,1.41
2004-06-25T21:00:00,0.82,1.92
2004-07-02T21:00:00,-0.26,0.47
2004-07-09T21:00:00,0.64,0.98
2004-07-16T21:00:00,2.49,2.49
2004-07-23T21:00:00,0.49,1.87
2004-07-30T21:00:00,-0.79,1.8
2004-08-06T21:00:00,-0.78,1.28
2004-08-13T21:00:00,1.79,1.79
2004-08-20T21:00:00,1.36,1.36
2004-08-27T21:00:00,0.12,1.43
2004-09-03T21:00:00,-0.34,1.04
2004-09-10T21:00:00,0.36,1.67
2004-09-17T21:00:00,1.3,1.67
2004-09-24T21:00:00,0.22,0.32
2004-10-01T21:00:00,0.85,1.37
2004-10-08T21:00:00,-1.36,1.55
2004-10-15T21:00:00,-0.29,0.74
2004-10-22T21:00:00,0.04,0.47
2004-10-29T21:00:00,0.35,0.78
2004-11-05T22:00:00,-0.28,0.78
2004-11-12T22:00:00,-0.72,1.39
2004-11-19T22:00:00,-0.39,1.18
2004-11-26T22:00:00,-2.03,2.07
2004-12-03T22:00:00,-0.27,0.89
2004-12-10T22:00:00,-0.46,1.78
2004-12-17T22:00:00,-1.25,1.32
2004-12-24T22:00:00,2.3,2.3
2004-12-31T22:00:00,1.22,2.12
2005-01-07T22:00:00,0.69,1.95
2005-01-14T22:00:00,-0.01,1.34
2005-01-21T22:00:00,-1.27,2.0
2005-01-28T22:00:00,1.19,1.66
2005-02-04T22:00:00,1.02,1.52
2005-02-11T22:00:00,-1.9,2.4
2005-02-18T22:00:00,-2.36,3.53
2005-02-25T22:00:00,1.23,1.65
2005-03-04T22:00:00,0.38,1.8
2005-03-11T22:00:00,1.5,1.77
2005-03-18T22:00:00,1.79,2.37
2005-03-25T22:00:00,0.57,1.4
2005-04-01T22:00:00,-1.55,1.97
2005-04-08T21:00:00,-1.17,1.85
2005-04-15T21:00:00,-0.65,1.96
2005-04-22T21:00:00,-0.69,1.79
2005-04-29T21:00:00,2.26,2.76
2005-05-06T21:00:00,-0.46,1.37
2005-05-13T21:00:00,0.79,1.94
2005-05-20T21:00:00,0.65,1.51
2005-05-27T21:00:00,2.4,3.02
2005-06-03T21:00:00,0.92,2.15
2005-06-10T21:00:00,0.91,2.23
2005-06-17T21:00:00,0.94,1.86
2005-06-24T21:00:00,1.04,2.7
2005-07-01T21:00:00,2.13,2.79
2005-07-08T21:00:00,-0.37,2.08
2005-07-15T21:00:00,0.16,2.22
2005-07-22T21:00:00,-0.83,2.46
2005-07-29T21:00:00,-1.56,2.57
2005-08-05T21:00:00,0.41,1.55
2005-08-12T21:00:00,1.08,1.43
2005-08-19T21:00:00,-0.39,1.68
2005-08-26T21:00:00,-1.26,3.33
2005-09-02T21:00:00,1.91,2.71
2005-09-09T21:00:00,2.0,2.25
2005-09-16T21:00:00,2.56,2.65
2005-09-23T21:00:00,0.72,1.92
2005-09-30T21:00:00,-2.17,4.35
2005-10-07T21:00:00,-0.51,2.52
2005-10-14T21:00:00,0.45,2.47
2005-10-21T21:00:00,0.02,1.63
2005-10-28T21:00:00,1.55,2.76
2005-11-04T22:00:00,-0.25,1.09
2005-11-11T22:00:00,0.34,1.79
2005-11-18T22:00:00,1.95,2.7
2005-11-25T22:00:00,0.36,2.01
2005-12-02T22:00:00,-0.66,1.68
2005-12-09T22:00:00,-1.11,1.95
2005-12-16T22:00:00,1.13,2.21
2005-12-23T22:00:00,0.43,1.68
2005-12-30T22:00:00,-3.59,4.31
2006-01-06T22:00:00,0.97,2.14
2006-01-13T22:00:00,0.66,2.52
2006-01-20T22:00:00,0.9,2.83
2006-01-27T22:00:00,1.33,1.57
2006-02-03T22:00:00,0.23,1.42
2006-02-10T22:00:00,0.44,1.18
2006-02-17T22:00:00,0.69,1.45
2006-02-24T22:00:00,-0.31,1.66
2006-03-03T22:00:00,-0.74,1.76
2006-03-10T22:00:00,-1.96,2.18
2006-03-17T22:00:00,0.88,2.52
2006-03-24T22:00:00,-0.63,1.27
2006-03-31T22:00:00,1.46,3.28
2006-04-07T21:00:00,-0.46,1.27
2006-04-14T21:00:00,-0.54,1.64
2006-04-21T21:00:00,-1.04,2.15
2006-04-28T21:00:00,0.02,1.67
2006-05-05T21:00:00,-2.69,3.19
2006-05-12T21:00:00,0.83,2.06
2006-05-19T21:00:00,1.86,3.52
2006-05-26T21:00:00,-0.95,1.49
2006-06-02T21:00:00,1.41,2.55
2006-06-09T21:00:00,-1.38,2.77
2006-06-16T21:00:00,1.5,2.06
2006-06-23T21:00:00,-1.56,2.47
2006-06-30T21:00:00,0.26,1.81
2006-07-07T21:00:00,-0.43,1.68
2006-07-14T21:00:00,-0.6,1.99
2006-07-21T21:00:00,0.3,1.57
2006-07-28T21:00:00,-0.4,1.79
2006-08-04T21:00:00,1.88,2.32
2006-08-11T21:00:00,-0.86,1.08
2006-08-18T21:00:00,2.02,2.9
2006-08-25T21:00:00,-0.31,1.54
2006-09-01T21:00:00,-0.07,1.71
2006-09-08T21:00:00,0.75,1.68
2006-09-15T21:00:00,-1.42,1.93
2006-09-22T21:00:00,1.13,2.35
2006-09-29T21:00:00,0.1,1.33
2006-10-06T21:00:00,-0.09,0.87
2006-10-13T21:00:00,-0.07,1.1
2006-10-20T21:00:00,-0.3,1.28
2006-10-27T21:00:00,-0.52,2.12
2006-11-03T22:00:00,-1.15,1.8
2006-11-10T22:00:00,-1.05,1.43
2006-11-17T22:00:00,-1.76,2.24
2006-11-24T22:00:00,-2.23,2.82
2006-12-01T22:00:00,0.59,1.39
2006-12-08T22:00:00,0.55,1.63
2006-12-15T22:00:00,-0.16,1.18
2006-12-22T22:00:00,-0.69,1.19
2006-12-29T22:00:00,0.8,1.49
2007-01-05T22:00:00,1.04,1.87
2007-01-12T22:00:00,-0.08,1.09
2007-01-19T22:00:00,-0.16,1.82
2007-01-26T22:00:00,-0.83,1.8
2007-02-02T22:00:00,0.9,1.93
2007-02-09T22:00:00,-0.26,1.12
2007-02-16T22:00:00,0.06,1.72
2007-02-23T22:00:00,-2.76,3.0
2007-03-02T22:00:00,1.92,2.74
2007-03-09T22:00:00,-2.54,2.91
2007-03-16T21:00:00,2.3,2.77
2007-03-23T21:00:00,0.28,1.85
2007-03-30T21:00:00,0.86,1.29
2007-04-06T21:00:00,0.6,1.44
2007-04-13T21:00:00,1.0,1.4
2007-04-20T21:00:00,0.44,1.3
2007-04-27T21:00:00,1.29,2.27
2007-05-04T21:00:00,0.34,1.28
2007-05-11T21:00:00,2.85,3.02
2007-05-18T21:00:00,0.86,1.16
2007-05-25T21:00:00,1.95,2.93
2007-06-01T21:00:00,0.43,1.9
2007-06-08T21:00:00,-0.15,1.26
2007-06-15T21:00:00,-1.0,1.78
2007-06-22T21:00:00,-0.37,2.64
2007-06-29T21:00:00,1.22,1.78
2007-07-06T21:00:00,-1.06,2.88
2007-07-13T21:00:00,-0.21,1.04
2007-07-20T21:00:00,-0.89,3.18
2007-07-27T21:00:00,-0.71,2.43
2007-08-03T21:00:00,1.06,2.15
2007-08-10T21:00:00,0.13,2.78
2007-08-17T21:00:00,0.17,2.12
2007-08-24T21:00:00,0.27,2.01
2007-08-31T21:00:00,-1.53,2.97
2007-09-07T21:00:00,2.65,3.5
2007-09-14T21:00:00,1.41,2.46
2007-09-21T21:00:00,0.11,1.67
2007-09-28T21:00:00,2.55,2.87
2007-10-05T21:00:00,1.47,1.9
2007-10-12T21:00:00,-1.17,2.2
2007-10-19T21:00:00,0.25,2.07
2007-10-26T21:00:00,2.11,2.56
2007-11-02T21:00:00,-3.82,5.44
2007-11-09T22:00:00,-3.4,5.03
2007-11-16T22:00:00,-3.0,3.94
2007-11-23T22:00:00,1.67,3.39
2007-11-30T22:00:00,-0.88,3.41
2007-12-07T22:00:00,0.95,2.42
2007-12-14T22:00:00,2.69,3.29
2007-12-21T22:00:00,-1.48,2.58
2007-12-28T22:00:00,-3.67,4.55
2008-01-04T22:00:00,-2.16,3.75
2008-01-11T22:00:00,-0.98,2.49
2008-01-18T22:00:00,1.74,3.65
2008-01-25T22:00:00,0.7,2.8
2008-02-01T22:00:00,0.96,2.61
2008-02-08T22:00:00,-1.61,3.04
2008-02-15T22:00:00,-1.29,2.91
2008-02-22T22:00:00,-1.66,4.77
2008-02-29T22:00:00,-1.82,2.51
2008-03-07T22:00:00,-2.34,3.7
2008-03-14T21:00:00,-2.27,4.58
2008-03-21T21:00:00,-1.33,3.77
2008-03-28T21:00:00,2.56,4.96
2008-04-04T21:00:00,-1.89,4.2
2008-04-11T21:00:00,3.59,5.21
2008-04-18T21:00:00,0.65,3.57
2008-04-25T21:00:00,1.63,2.52
2008-05-02T21:00:00,-0.19,2.68
2008-05-09T21:00:00,1.24,2.62
2008-05-16T21:00:00,-1.31,3.12
2008-05-23T21:00:00,1.44,3.26
2008-05-30T21:00:00,-4.77,5.07
2008-06-06T21:00:00,1.8,3.29
2008-06-13T21:00:00,0.21,2.08
2008-06-20T21:00:00,-1.11,2.76
2008-06-27T21:00:00,-0.22,2.01
2008-07-04T21:00:00,0.17,1.92
2008-07-11T21:00:00,1.0,1.92
2008-07-18T21:00:00,-0.07,1.89
2008-07-25T21:00:00,0.51,1.79
2008-08-01T21:00:00,-0.69,1.71
2008-08-08T21:00:00,2.03,2.79
2008-08-15T21:00:00,1.35,2.41
2008-08-22T21:00:00,-1.39,2.25
2008-08-29T21:00:00,1.93,2.46
2008-09-05T21:00:00,1.27,1.88
2008-09-12T21:00:00,-0.86,4.45
2008-09-19T21:00:00,0.01,2.18
2008-09-26T21:00:00,-1.14,2.57
2008-10-03T21:00:00,-6.96,12.61
2008-10-10T21:00:00,-0.91,5.91
2008-10-17T21:00:00,-5.11,7.69
2008-10-24T21:00:00,4.57,9.05
2008-10-31T21:00:00,3.52,6.69
2008-11-07T22:00:00,-2.48,5.56
2008-11-14T22:00:00,-0.19,4.8
2008-11-21T22:00:00,1.39,3.34
2008-11-28T22:00:00,-1.93,5.35
2008-12-05T22:00:00,-1.79,3.72
2008-12-12T22:00:00,-3.72,9.12
2008-12-19T22:00:00,-3.32,5.08
2008-12-26T22:00:00,2.28,5.55
2009-01-02T22:00:00,4.73,8.11
2009-01-09T22:00:00,-4.11,5.88
2009-01-16T22:00:00,4.08,5.15
2009-01-23T22:00:00,0.72,3.2
2009-01-30T22:00:00,0.86,3.54
2009-02-06T22:00:00,-1.37,4.37
2009-02-13T22:00:00,-1.7,3.32
2009-02-20T22:00:00,-0.81,2.75
2009-02-27T22:00:00,-1.85,3.16
2009-03-06T22:00:00,3.54,6.04
