date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,0.09,0.91
2004-06-18T21:00:00,0.99,1.51
2004-06-25T21:00:00,1.99,1.99
2004-07-02T21:00:00,0.41,0.76
2004-07-09T21:00:00,0.47,0.91
2004-07-16T21:00:00,-0.86,1.05
2004-07-23T21:00:00,-0.75,0.89
2004-07-30T21:00:00,1.16,1.45
2004-08-06T21:00:00,0.19,1.69
2004-08-13T21:00:00,0.83,0.9
2004-08-20T21:00:00,-1.12,1.14
2004-08-27T21:00:00,0.98,1.38
2004-09-03T21:00:00,0.68,1.02
2004-09-10T21:00:00,-0.49,0.85
2004-09-17T21:00:00,1.83,1.83
2004-09-24T21:00:00,1.06,1.06
2004-10-01T21:00:00,0.73,1.41
2004-10-08T21:00:00,-0.12,0.39
2004-10-15T21:00:00,1.54,1.95
2004-10-22T21:00:00,1.21,1.21
2004-10-29T21:00:00,1.56,2.08
2004-11-05T22:00:00,0.16,0.59
2004-11-12T22:00:00,0.04,1.07
2004-11-19T22:00:00,1.52,1.52
2004-11-26T22:00:00,-1.2,1.37
2004-12-03T22:00:00,-2.75,2.83
2004-12-10T22:00:00,-0.08,0.89
2004-12-17T22:00:00,-0.2,1.12
2004-12-24T22:00:00,2.46,2.46
2004-12-31T22:00:00,-1.93,3.0
2005-01-07T22:00:00,1.32,3.35
2005-01-14T22:00:00,-0.41,2.0
2005-01-21T22:00:00,-1.32,2.68
2005-01-28T22:00:00,-0.87,1.59
2005-02-04T22:00:00,1.07,1.8
2005-02-11T22:00:00,0.39,1.52
2005-02-18T22:00:00,-0.55,2.18
2005-02-25T22:00:00,0.55,1.77
2005-03-04T22:00:00,2.12,2.95
2005-03-11T22:00:00,0.3,1.01
2005-03-18T22:00:00,-1.28,1.76
2005-03-25T22:00:00,0.33,1.71
2005-04-01T22:00:00,-1.12,1.42
2005-04-08T21:00:00,-1.42,1.97
2005-04-15T21:00:00,1.02,1.45
2005-04-22T21:00:00,-1.89,2.52
2005-04-29T21:00:00,1.26,2.01
2005-05-06T21:00:00,-1.74,2.43
2005-05-13T21:00:00,-0.15,1.29
2005-05-20T21:00:00,0.78,1.39
2005-05-27T21:00:00,0.65,1.73
2005-06-03T21:00:00,-0.45,1.31
2005-06-10T21:00:00,1.77,2.45
2005-06-17T21:00:00,-0.39,1.28
2005-06-24T21:00:00,-0.74,1.59
2005-07-01T21:00:00,1.93,2.51
2005-07-08T21:00:00,-0.07,1.65
2005-07-15T21:00:00,0.03,1.04
2005-07-22T21:00:00,-0.27,2.2
2005-07-29T21:00:00,0.54,1.59
2005-08-05T21:00:00,1.58,2.19
2005-08-12T21:00:00,-1.15,2.3
2005-08-19T21:00:00,0.92,2.28
2005-08-26T21:00:00,0.97,1.86
2005-09-02T21:00:00,0.79,1.79
2005-09-09T21:00:00,-0.13,1.22
2005-09-16T21:00:00,0.73,1.76
2005-09-23T21:00:00,0.58,1.97
2005-09-30T21:00:00,-0.97,2.13
2005-10-07T21:00:00,-0.99,1.8
2005-10-14T21:00:00,-0.16,1.57
2005-10-21T21:00:00,0.94,2.4
2005-10-28T21:00:00,-0.55,1.28
2005-11-04T22:00:00,-0.48,1.47
2005-11-11T22:00:00,0.06,0.99
2005-11-18T22:00:00,1.62,2.0
2005-11-25T22:00:00,0.71,1.14
2005-12-02T22:00:00,0.4,0.92
2005-12-09T22:00:00,-0.18,1.65
2005-12-16T22:00:00,-0.55,1.49
2005-12-23T22:00:00,0.32,1.22
2005-12-30T22:00:00,-0.3,2.39
2006-01-06T22:00:00,0.43,1.61
2006-01-13T22:00:00,0.72,2.45
2006-01-20T22:00:00,0.28,1.12
2006-01-27T22:00:00,0.46,1.12
2006-02-03T22:00:00,-0.69,1.19
2006-02-10T22:00:00,0.27,0.97
2006-02-17T22:00:00,0.14,0.94
2006-02-24T22:00:00,1.23,1.85
2006-03-03T22:00:00,-2.24,2.74
2006-03-10T22:00:00,0.14,1.04
2006-03-17T22:00:00,-0.74,1.27
2006-03-24T22:00:00,-0.09,1.45
2006-03-31T22:00:00,1.58,2.89
2006-04-07T21:00:00,-0.15,0.96
2006-04-14T21:00:00,1.18,1.58
2006-04-21T21:00:00,1.84,2.1
2006-04-28T21:00:00,1.03,1.58
2006-05-05T21:00:00,-0.36,1.72
2006-05-12T21:00:00,-0.75,2.36
2006-05-19T21:00:00,1.12,2.05
2006-05-26T21:00:00,0.53,1.58
2006-06-02T21:00:00,-0.43,2.38
2006-06-09T21:00:00,-1.38,2.6
2006-06-16T21:00:00,0.02,2.31
2006-06-23T21:00:00,0.55,1.67
