date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-1.11,1.13
2004-06-18T21:00:00,-0.14,1.03
2004-06-25T21:00:00,2.62,2.62
2004-07-02T21:00:00,0.27,1.03
2004-07-09T21:00:00,1.18,1.28
2004-07-16T21:00:00,0.36,0.81
2004-07-23T21:00:00,0.34,2.51
2004-07-30T21:00:00,0.7,2.03
2004-08-06T21:00:00,0.42,1.51
2004-08-13T21:00:00,-0.31,0.83
2004-08-20T21:00:00,-0.69,1.09
2004-08-27T21:00:00,1.8,2.18
2004-09-03T21:00:00,-0.07,0.41
2004-09-10T21:00:00,-0.22,0.41
2004-09-17T21:00:00,2.53,2.53
2004-09-24T21:00:00,1.1,1.1
2004-10-01T21:00:00,-0.24,1.35
2004-10-08T21:00:00,-0.33,0.48
2004-10-15T21:00:00,-0.31,1.27
2004-10-22T21:00:00,-0.09,0.63
2004-10-29T21:00:00,1.46,1.65
2004-11-05T22:00:00,0.28,1.86
2004-11-12T22:00:00,-2.28,2.34
2004-11-19T22:00:00,1.0,1.0
2004-11-26T22:00:00,-1.74,1.77
2004-12-03T22:00:00,0.19,0.94
2004-12-10T22:00:00,-1.19,1.21
2004-12-17T22:00:00,-0.45,0.98
2004-12-24T22:00:00,1.34,1.91
2004-12-31T22:00:00,-0.44,1.28
2005-01-07T22:00:00,-1.52,2.6
2005-01-14T22:00:00,0.29,1.75
2005-01-21T22:00:00,-0.82,2.48
2005-01-28T22:00:00,-0.07,1.68
2005-02-04T22:00:00,2.64,2.95
2005-02-11T22:00:00,0.34,1.76
2005-02-18T22:00:00,-0.96,2.45
2005-02-25T22:00:00,0.13,1.55
2005-03-04T22:00:00,1.32,2.3
2005-03-11T22:00:00,1.03,1.43
2005-03-18T22:00:00,0.24,1.33
2005-03-25T22:00:00,1.45,1.95
2005-04-01T22:00:00,-0.47,1.23
2005-04-08T21:00:00,-1.83,2.36
2005-04-15T21:00:00,-0.69,1.44
2005-04-22T21:00:00,-3.03,3.28
2005-04-29T21:00:00,1.57,1.77
2005-05-06T21:00:00,0.2,1.29
2005-05-13T21:00:00,0.74,2.17
2005-05-20T21:00:00,0.75,1.47
2005-05-27T21:00:00,0.37,1.9
2005-06-03T21:00:00,0.51,2.08
2005-06-10T21:00:00,1.73,2.24
2005-06-17T21:00:00,0.08,1.61
2005-06-24T21:00:00,1.81,2.7
2005-07-01T21:00:00,2.27,3.03
2005-07-08T21:00:00,-0.11,1.88
2005-07-15T21:00:00,-0.63,2.92
2005-07-22T21:00:00,0.7,1.59
2005-07-29T21:00:00,0.09,1.63
2005-08-05T21:00:00,-0.72,1.64
2005-08-12T21:00:00,-0.19,1.55
2005-08-19T21:00:00,0.68,2.66
2005-08-26T21:00:00,0.68,2.18
2005-09-02T21:00:00,0.71,2.47
2005-09-09T21:00:00,1.41,2.17
2005-09-16T21:00:00,1.8,2.14
2005-09-23T21:00:00,1.51,2.74
2005-09-30T21:00:00,-0.66,2.63
2005-10-07T21:00:00,-0.87,2.08
2005-10-14T21:00:00,1.5,2.63
2005-10-21T21:00:00,0.72,2.61
2005-10-28T21:00:00,1.72,2.55
2005-11-04T22:00:00,-0.79,1.77
2005-11-11T22:00:00,1.03,1.55
2005-11-18T22:00:00,2.07,2.7
2005-11-25T22:00:00,1.5,2.7
2005-12-02T22:00:00,0.44,1.48
2005-12-09T22:00:00,-4.29,5.01
2005-12-16T22:00:00,-0.07,1.7
2005-12-23T22:00:00,1.6,2.29
2005-12-30T22:00:00,-3.09,3.68
2006-01-06T22:00:00,0.19,1.83
2006-01-13T22:00:00,1.66,2.68
2006-01-20T22:00:00,2.01,3.42
2006-01-27T22:00:00,1.8,2.2
2006-02-03T22:00:00,-1.6,2.41
2006-02-10T22:00:00,0.37,1.78
2006-02-17T22:00:00,-0.83,2.77
2006-02-24T22:00:00,0.83,2.42
2006-03-03T22:00:00,-0.05,2.26
2006-03-10T22:00:00,-2.45,2.92
2006-03-17T22:00:00,0.57,2.52
2006-03-24T22:00:00,0.16,2.14
2006-03-31T22:00:00,2.08,3.22
2006-04-07T21:00:00,0.16,1.11
2006-04-14T21:00:00,-0.58,1.27
2006-04-21T21:00:00,-0.56,2.01
2006-04-28T21:00:00,-0.06,2.08
2006-05-05T21:00:00,-2.62,2.75
2006-05-12T21:00:00,0.71,1.78
2006-05-19T21:00:00,1.97,2.67
2006-05-26T21:00:00,-0.37,1.28
2006-06-02T21:00:00,1.51,1.93
2006-06-09T21:00:00,-0.36,2.05
2006-06-16T21:00:00,1.24,1.9
2006-06-23T21:00:00,-1.23,2.04
2006-06-30T21:00:00,-0.1,2.06
2006-07-07T21:00:00,0.49,2.64
2006-07-14T21:00:00,-0.82,1.83
2006-07-21T21:00:00,-0.69,1.63
2006-07-28T21:00:00,0.2,1.49
2006-08-04T21:00:00,1.88,2.52
2006-08-11T21:00:00,-0.49,1.08
2006-08-18T21:00:00,2.81,3.22
2006-08-25T21:00:00,0.26,1.32
2006-09-01T21:00:00,-1.6,2.03
2006-09-08T21:00:00,0.68,1.66
2006-09-15T21:00:00,-0.72,2.06
2006-09-22T21:00:00,1.39,2.22
2006-09-29T21:00:00,0.08,1.69
