date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,0.05,1.68
2004-06-18T21:00:00,-1.33,1.6
2004-06-25T21:00:00,1.81,2.75
2004-07-02T21:00:00,0.57,1.08
2004-07-09T21:00:00,0.54,1.01
2004-07-16T21:00:00,-2.07,2.12
2004-07-23T21:00:00,-0.14,0.78
2004-07-30T21:00:00,1.44,2.12
2004-08-06T21:00:00,1.2,1.67
2004-08-13T21:00:00,-2.03,2.07
2004-08-20T21:00:00,-2.03,2.07
2004-08-27T21:00:00,1.66,1.67
2004-09-03T21:00:00,0.32,0.99
2004-09-10T21:00:00,-0.54,1.22
2004-09-17T21:00:00,1.22,1.71
2004-09-24T21:00:00,0.89,0.89
2004-10-01T21:00:00,-1.06,1.07
2004-10-08T21:00:00,1.06,1.42
2004-10-15T21:00:00,-0.39,0.65
2004-10-22T21:00:00,-0.16,1.11
2004-10-29T21:00:00,1.14,1.71
2004-11-05T22:00:00,0.57,1.61
2004-11-12T22:00:00,-1.57,1.6
2004-11-19T22:00:00,1.37,1.48
2004-11-26T22:00:00,0.28,0.72
2004-12-03T22:00:00,0.48,0.86
2004-12-10T22:00:00,-0.72,1.56
2004-12-17T22:00:00,0.77,0.77
2004-12-24T22:00:00,-0.93,1.96
2004-12-31T22:00:00,-1.65,2.35
2005-01-07T22:00:00,-2.2,2.9
2005-01-14T22:00:00,0.19,1.24
2005-01-21T22:00:00,0.47,1.36
2005-01-28T22:00:00,-1.26,1.82
2005-02-04T22:00:00,1.61,2.52
2005-02-11T22:00:00,2.27,2.89
2005-02-18T22:00:00,1.42,2.01
2005-02-25T22:00:00,-1.05,1.81
2005-03-04T22:00:00,0.92,1.27
2005-03-11T22:00:00,-0.43,1.49
2005-03-18T22:00:00,-1.52,2.04
2005-03-25T22:00:00,0.91,1.62
2005-04-01T22:00:00,1.07,1.38
2005-04-08T21:00:00,-0.62,1.92
2005-04-15T21:00:00,0.03,1.9
2005-04-22T21:00:00,-2.34,2.5
2005-04-29T21:00:00,-0.73,1.46
2005-05-06T21:00:00,0.75,1.37
2005-05-13T21:00:00,-0.05,1.28
2005-05-20T21:00:00,0.08,0.87
2005-05-27T21:00:00,-1.97,2.24
2005-06-03T21:00:00,-0.41,0.9
2005-06-10T21:00:00,0.76,1.34
2005-06-17T21:00:00,-0.86,1.78
2005-06-24T21:00:00,0.76,1.37
2005-07-01T21:00:00,0.13,1.58
2005-07-08T21:00:00,0.21,1.32
2005-07-15T21:00:00,-0.8,2.72
2005-07-22T21:00:00,1.55,2.05
2005-07-29T21:00:00,1.56,1.79
2005-08-05T21:00:00,-1.13,1.76
2005-08-12T21:00:00,-1.22,1.57
2005-08-19T21:00:00,1.14,2.08
2005-08-26T21:00:00,1.96,2.56
2005-09-02T21:00:00,-1.18,1.38
2005-09-09T21:00:00,-0.57,1.5
2005-09-16T21:00:00,-0.76,1.41
2005-09-23T21:00:00,0.77,1.6
2005-09-30T21:00:00,1.5,2.05
2005-10-07T21:00:00,-0.33,1.05
2005-10-14T21:00:00,1.17,1.58
2005-10-21T21:00:00,0.72,1.51
2005-10-28T21:00:00,0.17,1.6
2005-11-04T22:00:00,-0.54,1.57
2005-11-11T22:00:00,0.69,1.24
2005-11-18T22:00:00,0.1,1.0
2005-11-25T22:00:00,1.15,1.35
2005-12-02T22:00:00,1.11,1.48
2005-12-09T22:00:00,-3.21,4.0
2005-12-16T22:00:00,-1.25,2.34
2005-12-23T22:00:00,1.19,1.7
2005-12-30T22:00:00,0.43,1.96
