date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,0.74,0.93
2003-04-11T21:00:00,0.37,0.48
2003-04-18T21:00:00,-0.0,0.44
2003-04-25T21:00:00,0.51,0.88
2003-05-02T21:00:00,-0.03,0.75
2003-05-09T21:00:00,0.3,0.52
2003-05-16T21:00:00,0.72,0.86
2003-05-23T21:00:00,0.16,0.54
2003-05-30T21:00:00,0.98,1.0
2003-06-06T21:00:00,-0.32,0.46
2003-06-13T21:00:00,0.05,0.32
2003-06-20T21:00:00,0.06,0.94
2003-06-27T21:00:00,0.37,0.7
2003-07-04T21:00:00,0.34,0.69
2003-07-11T21:00:00,-1.2,1.23
2003-07-18T21:00:00,0.87,0.87
2003-07-25T21:00:00,-0.45,0.69
2003-08-01T21:00:00,-0.07,0.56
2003-08-08T21:00:00,0.47,0.62
2003-08-15T21:00:00,-0.2,0.44
2003-08-22T21:00:00,-0.25,0.53
2003-08-29T21:00:00,-0.25,0.36
2003-09-05T21:00:00,1.39,1.39
2003-09-12T21:00:00,-0.04,0.34
2003-09-19T21:00:00,-0.91,0.91
2003-09-26T21:00:00,0.4,0.73
2003-10-03T21:00:00,0.19,0.27
2003-10-10T21:00:00,0.11,0.42
2003-10-17T21:00:00,-0.34,0.37
2003-10-24T21:00:00,0.37,0.4
2003-10-31T22:00:00,1.19,1.24
2003-11-07T22:00:00,-0.46,0.63
2003-11-14T22:00:00,-1.09,1.11
2003-11-21T22:00:00,0.07,0.68
2003-11-28T22:00:00,0.12,0.64
2003-12-05T22:00:00,0.0,0.24
2003-12-12T22:00:00,0.04,0.23
2003-12-19T22:00:00,0.3,0.45
2003-12-26T22:00:00,0.09,0.16
2004-01-02T22:00:00,0.45,0.54
2004-01-09T22:00:00,0.13,0.61
2004-01-16T22:00:00,-0.26,0.33
2004-01-23T22:00:00,0.33,0.38
2004-01-30T22:00:00,0.0,0.08
2004-02-06T22:00:00,0.65,0.65
2004-02-13T22:00:00,0.11,0.23
2004-02-20T22:00:00,-0.11,0.29
2004-02-27T22:00:00,0.16,0.38
2004-03-05T22:00:00,-0.65,0.88
2004-03-12T22:00:00,-0.41,0.67
2004-03-19T22:00:00,-0.12,0.74
2004-03-26T22:00:00,0.55,0.55
2004-04-02T22:00:00,-0.93,1.12
2004-04-09T21:00:00,0.19,0.27
2004-04-16T21:00:00,0.41,0.49
2004-04-23T21:00:00,-0.42,0.77
2004-04-30T21:00:00,-0.32,0.41
2004-05-07T21:00:00,-0.44,0.56
2004-05-14T21:00:00,-0.25,0.46
2004-05-21T21:00:00,-0.44,0.84
2004-05-28T21:00:00,-0.46,0.46
2004-06-04T21:00:00,-0.66,1.1
2004-06-11T21:00:00,-0.12,0.75
2004-06-18T21:00:00,0.54,0.56
2004-06-25T21:00:00,0.06,0.77
2004-07-02T21:00:00,0.03,0.14
2004-07-09T21:00:00,0.46,0.61
2004-07-16T21:00:00,0.49,0.6
2004-07-23T21:00:00,0.52,0.62
2004-07-30T21:00:00,-0.13,0.37
2004-08-06T21:00:00,-0.21,0.79
2004-08-13T21:00:00,0.52,0.52
2004-08-20T21:00:00,0.01,0.27
2004-08-27T21:00:00,-0.5,0.64
2004-09-03T21:00:00,0.67,0.67
2004-09-10T21:00:00,0.19,0.22
2004-09-17T21:00:00,0.19,0.19
2004-09-24T21:00:00,0.21,0.32
2004-10-01T21:00:00,0.09,0.19
2004-10-08T21:00:00,-0.83,0.83
2004-10-15T21:00:00,-0.18,0.19
2004-10-22T21:00:00,-0.31,0.31
2004-10-29T21:00:00,-0.09,0.38
2004-11-05T22:00:00,-0.4,0.42
2004-11-12T22:00:00,-0.47,0.89
2004-11-19T22:00:00,0.07,0.46
2004-11-26T22:00:00,0.48,0.88
2004-12-03T22:00:00,0.89,0.89
2004-12-10T22:00:00,0.25,0.6
2004-12-17T22:00:00,0.46,0.52
2004-12-24T22:00:00,-0.02,0.26
2004-12-31T22:00:00,-0.05,0.87
2005-01-07T22:00:00,-0.01,0.48
2005-01-14T22:00:00,-0.17,0.66
2005-01-21T22:00:00,0.06,0.46
2005-01-28T22:00:00,0.74,0.96
2005-02-04T22:00:00,-0.06,0.68
2005-02-11T22:00:00,-0.72,0.82
2005-02-18T22:00:00,-0.5,0.75
2005-02-25T22:00:00,0.6,1.01
2005-03-04T22:00:00,-0.01,0.44
2005-03-11T22:00:00,0.17,0.54
2005-03-18T22:00:00,0.25,0.58
