date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,-0.25,0.62
2003-04-11T21:00:00,1.18,1.18
2003-04-18T21:00:00,0.07,0.59
2003-04-25T21:00:00,0.98,1.13
2003-05-02T21:00:00,2.24,2.52
2003-05-09T21:00:00,-0.35,2.32
2003-05-16T21:00:00,0.88,1.75
2003-05-23T21:00:00,-0.61,1.12
2003-05-30T21:00:00,-2.18,2.34
2003-06-06T21:00:00,0.48,0.91
2003-06-13T21:00:00,-1.72,1.92
2003-06-20T21:00:00,-0.63,1.36
2003-06-27T21:00:00,-0.56,0.93
2003-07-04T21:00:00,0.51,1.46
2003-07-11T21:00:00,2.25,2.25
2003-07-18T21:00:00,-0.39,0.78
2003-07-25T21:00:00,-1.27,1.64
2003-08-01T21:00:00,0.71,0.71
2003-08-08T21:00:00,0.18,0.47
2003-08-15T21:00:00,-2.08,2.13
2003-08-22T21:00:00,0.91,0.94
2003-08-29T21:00:00,0.42,1.38
2003-09-05T21:00:00,0.92,1.1
2003-09-12T21:00:00,-1.05,1.46
2003-09-19T21:00:00,-0.52,0.56
2003-09-26T21:00:00,0.69,1.56
2003-10-03T21:00:00,1.87,2.06
2003-10-10T21:00:00,-1.96,2.45
2003-10-17T21:00:00,-0.39,0.42
2003-10-24T21:00:00,-1.61,1.64
2003-10-31T22:00:00,0.8,0.83
2003-11-07T22:00:00,1.57,1.57
2003-11-14T22:00:00,0.19,1.07
2003-11-21T22:00:00,-0.39,0.8
2003-11-28T22:00:00,1.05,1.05
2003-12-05T22:00:00,0.1,0.82
2003-12-12T22:00:00,0.22,0.82
2003-12-19T22:00:00,-0.01,0.26
2003-12-26T22:00:00,-0.04,0.57
2004-01-02T22:00:00,-1.11,1.12
2004-01-09T22:00:00,-0.91,0.91
2004-01-16T22:00:00,0.12,0.68
2004-01-23T22:00:00,-0.88,1.19
2004-01-30T22:00:00,0.54,0.85
2004-02-06T22:00:00,-1.3,1.32
2004-02-13T22:00:00,-0.44,0.74
2004-02-20T22:00:00,-0.58,0.78
2004-02-27T22:00:00,0.3,0.93
2004-03-05T22:00:00,1.15,1.58
2004-03-12T22:00:00,-1.21,1.38
2004-03-19T22:00:00,-0.25,0.96
2004-03-26T22:00:00,-0.84,0.84
2004-04-02T22:00:00,-0.48,0.81
2004-04-09T21:00:00,1.18,1.83
2004-04-16T21:00:00,0.06,0.88
2004-04-23T21:00:00,0.96,1.57
2004-04-30T21:00:00,-1.28,2.08
2004-05-07T21:00:00,1.46,1.58
2004-05-14T21:00:00,-0.73,1.39
2004-05-21T21:00:00,-0.58,0.61
