date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,1.13,1.33
2004-06-18T21:00:00,0.28,0.67
2004-06-25T21:00:00,1.22,1.94
2004-07-02T21:00:00,0.73,1.06
2004-07-09T21:00:00,0.28,1.0
2004-07-16T21:00:00,-2.82,2.92
2004-07-23T21:00:00,-0.7,1.02
2004-07-30T21:00:00,1.85,2.06
2004-08-06T21:00:00,0.73,1.26
2004-08-13T21:00:00,-0.41,0.42
2004-08-20T21:00:00,-2.46,2.52
2004-08-27T21:00:00,0.34,1.43
2004-09-03T21:00:00,1.71,1.71
2004-09-10T21:00:00,-0.65,0.95
2004-09-17T21:00:00,0.75,1.32
2004-09-24T21:00:00,1.05,1.2
2004-10-01T21:00:00,-0.07,0.92
2004-10-08T21:00:00,0.42,1.09
2004-10-15T21:00:00,1.65,1.65
2004-10-22T21:00:00,0.33,0.79
2004-10-29T21:00:00,1.08,1.75
2004-11-05T22:00:00,0.04,0.56
2004-11-12T22:00:00,0.3,0.68
2004-11-19T22:00:00,2.02,2.02
2004-11-26T22:00:00,1.31,1.37
2004-12-03T22:00:00,-1.61,1.63
2004-12-10T22:00:00,0.63,1.47
2004-12-17T22:00:00,1.52,1.52
2004-12-24T22:00:00,0.13,0.71
2004-12-31T22:00:00,-3.51,4.02
2005-01-07T22:00:00,0.51,1.92
2005-01-14T22:00:00,-0.47,1.59
2005-01-21T22:00:00,0.01,1.38
2005-01-28T22:00:00,-1.23,1.78
2005-02-04T22:00:00,-0.01,1.35
2005-02-11T22:00:00,1.6,1.72
2005-02-18T22:00:00,1.36,1.85
2005-02-25T22:00:00,-0.08,1.44
2005-03-04T22:00:00,1.67,2.28
2005-03-11T22:00:00,-1.03,1.6
2005-03-18T22:00:00,-2.76,3.06
2005-03-25T22:00:00,-0.31,1.55
2005-04-01T22:00:00,0.19,1.07
2005-04-08T21:00:00,-0.09,1.95
2005-04-15T21:00:00,1.16,1.94
2005-04-22T21:00:00,-1.5,1.76
2005-04-29T21:00:00,-0.39,1.4
2005-05-06T21:00:00,-1.37,2.39
2005-05-13T21:00:00,-0.67,1.29
2005-05-20T21:00:00,0.05,1.03
2005-05-27T21:00:00,-2.72,3.42
2005-06-03T21:00:00,-1.01,2.05
2005-06-10T21:00:00,1.34,2.26
2005-06-17T21:00:00,-1.57,2.57
2005-06-24T21:00:00,-1.09,2.04
2005-07-01T21:00:00,0.1,1.47
2005-07-08T21:00:00,0.58,2.54
2005-07-15T21:00:00,0.17,2.41
2005-07-22T21:00:00,0.53,1.58
2005-07-29T21:00:00,1.9,2.33
2005-08-05T21:00:00,0.65,1.35
2005-08-12T21:00:00,-2.29,2.76
2005-08-19T21:00:00,1.09,1.53
2005-08-26T21:00:00,1.91,3.38
2005-09-02T21:00:00,-1.02,1.7
2005-09-09T21:00:00,-1.39,1.96
2005-09-16T21:00:00,-1.65,1.95
2005-09-23T21:00:00,-0.13,0.91
2005-09-30T21:00:00,0.8,2.51
2005-10-07T21:00:00,-0.41,1.99
2005-10-14T21:00:00,-1.06,2.03
2005-10-21T21:00:00,0.99,2.07
2005-10-28T21:00:00,-2.13,2.41
2005-11-04T22:00:00,-0.62,2.58
2005-11-11T22:00:00,0.31,1.3
2005-11-18T22:00:00,-0.41,1.55
2005-11-25T22:00:00,0.1,2.06
2005-12-02T22:00:00,0.8,1.35
2005-12-09T22:00:00,1.67,2.41
2005-12-16T22:00:00,-1.19,2.01
2005-12-23T22:00:00,-0.15,1.29
2005-12-30T22:00:00,2.53,3.21
2006-01-06T22:00:00,-0.09,1.3
2006-01-13T22:00:00,0.07,1.07
2006-01-20T22:00:00,-0.3,1.95
2006-01-27T22:00:00,-0.57,1.83
2006-02-03T22:00:00,-0.95,1.26
2006-02-10T22:00:00,0.33,0.89
2006-02-17T22:00:00,-0.54,0.95
2006-02-24T22:00:00,1.37,1.9
2006-03-03T22:00:00,-1.05,1.91
2006-03-10T22:00:00,2.3,2.46
2006-03-17T22:00:00,-1.26,2.04
2006-03-24T22:00:00,0.69,1.61
