date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,0.75,1.2
2003-04-11T21:00:00,0.63,0.74
2003-04-18T21:00:00,1.77,1.77
2003-04-25T21:00:00,0.74,1.03
2003-05-02T21:00:00,0.89,1.97
2003-05-09T21:00:00,-0.56,1.99
2003-05-16T21:00:00,2.57,2.57
2003-05-23T21:00:00,1.74,1.74
2003-05-30T21:00:00,-0.96,1.28
2003-06-06T21:00:00,0.24,1.29
2003-06-13T21:00:00,-1.5,1.52
2003-06-20T21:00:00,-0.36,1.09
2003-06-27T21:00:00,-0.83,1.77
2003-07-04T21:00:00,-1.78,1.81
2003-07-11T21:00:00,0.4,1.27
2003-07-18T21:00:00,2.37,2.37
2003-07-25T21:00:00,-0.8,1.37
2003-08-01T21:00:00,-0.69,1.51
2003-08-08T21:00:00,-0.29,0.7
2003-08-15T21:00:00,-4.72,4.96
2003-08-22T21:00:00,0.3,0.8
2003-08-29T21:00:00,1.05,3.19
2003-09-05T21:00:00,2.1,2.41
2003-09-12T21:00:00,-1.98,2.29
2003-09-19T21:00:00,-0.52,0.7
2003-09-26T21:00:00,0.26,1.49
2003-10-03T21:00:00,-0.11,1.41
2003-10-10T21:00:00,-0.3,0.57
2003-10-17T21:00:00,0.81,1.14
2003-10-24T21:00:00,-0.96,1.79
2003-10-31T22:00:00,-1.01,1.28
2003-11-07T22:00:00,1.4,2.31
2003-11-14T22:00:00,1.57,1.78
2003-11-21T22:00:00,1.37,2.09
2003-11-28T22:00:00,-0.3,0.52
2003-12-05T22:00:00,1.15,1.15
2003-12-12T22:00:00,1.42,1.64
2003-12-19T22:00:00,0.04,0.42
2003-12-26T22:00:00,0.82,0.85
2004-01-02T22:00:00,1.38,1.7
2004-01-09T22:00:00,-3.57,3.7
2004-01-16T22:00:00,1.48,2.23
2004-01-23T22:00:00,-1.6,1.97
2004-01-30T22:00:00,1.57,2.06
2004-02-06T22:00:00,0.68,1.24
2004-02-13T22:00:00,1.58,1.58
2004-02-20T22:00:00,-0.37,0.82
2004-02-27T22:00:00,1.81,3.3
2004-03-05T22:00:00,-2.31,2.37
2004-03-12T22:00:00,-3.28,3.39
2004-03-19T22:00:00,-2.07,2.52
2004-03-26T22:00:00,-1.11,1.36
2004-04-02T22:00:00,1.64,2.11
2004-04-09T21:00:00,0.59,2.11
2004-04-16T21:00:00,-0.28,1.01
2004-04-23T21:00:00,2.76,2.76
2004-04-30T21:00:00,0.78,1.16
2004-05-07T21:00:00,1.82,1.82
2004-05-14T21:00:00,-0.88,2.18
2004-05-21T21:00:00,0.32,1.21
2004-05-28T21:00:00,0.95,2.29
2004-06-04T21:00:00,-3.12,3.22
2004-06-11T21:00:00,-0.08,1.31
2004-06-18T21:00:00,-0.8,1.48
2004-06-25T21:00:00,1.87,2.02
2004-07-02T21:00:00,0.59,1.11
2004-07-09T21:00:00,0.95,1.27
2004-07-16T21:00:00,-1.59,1.61
2004-07-23T21:00:00,0.4,1.18
2004-07-30T21:00:00,1.28,1.88
2004-08-06T21:00:00,0.98,1.07
