date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,1.46,1.64
2004-06-18T21:00:00,-1.05,1.13
2004-06-25T21:00:00,-0.59,1.04
2004-07-02T21:00:00,-0.66,0.95
2004-07-09T21:00:00,-0.03,1.18
2004-07-16T21:00:00,0.86,1.6
2004-07-23T21:00:00,-0.95,1.83
2004-07-30T21:00:00,-0.34,1.35
2004-08-06T21:00:00,-1.34,1.36
2004-08-13T21:00:00,-1.64,1.66
2004-08-20T21:00:00,0.4,1.81
2004-08-27T21:00:00,1.47,2.01
2004-09-03T21:00:00,0.42,0.97
2004-09-10T21:00:00,-1.32,1.34
2004-09-17T21:00:00,-0.48,1.24
2004-09-24T21:00:00,0.13,0.66
2004-10-01T21:00:00,-1.86,1.9
2004-10-08T21:00:00,-0.13,0.63
2004-10-15T21:00:00,0.18,0.36
2004-10-22T21:00:00,2.45,2.45
2004-10-29T21:00:00,-0.02,0.56
2004-11-05T22:00:00,0.42,1.22
2004-11-12T22:00:00,-1.75,1.9
2004-11-19T22:00:00,1.03,1.03
2004-11-26T22:00:00,0.7,0.7
2004-12-03T22:00:00,0.83,0.83
2004-12-10T22:00:00,-1.14,1.16
2004-12-17T22:00:00,1.11,1.61
2004-12-24T22:00:00,0.11,1.07
2004-12-31T22:00:00,-0.55,1.88
2005-01-07T22:00:00,-0.22,1.2
2005-01-14T22:00:00,-2.66,3.5
2005-01-21T22:00:00,0.27,1.16
2005-01-28T22:00:00,-0.97,1.63
2005-02-04T22:00:00,-0.56,2.07
2005-02-11T22:00:00,0.32,1.5
2005-02-18T22:00:00,1.47,2.36
2005-02-25T22:00:00,-1.5,2.31
2005-03-04T22:00:00,0.72,2.16
2005-03-11T22:00:00,-1.68,2.08
2005-03-18T22:00:00,1.22,2.38
2005-03-25T22:00:00,0.5,1.21
2005-04-01T22:00:00,-0.89,1.77
2005-04-08T21:00:00,-0.03,2.15
2005-04-15T21:00:00,-1.04,2.3
2005-04-22T21:00:00,-1.41,2.49
2005-04-29T21:00:00,-0.6,1.91
2005-05-06T21:00:00,1.49,1.67
2005-05-13T21:00:00,-0.19,1.27
2005-05-20T21:00:00,-0.68,1.25
2005-05-27T21:00:00,-0.62,1.11
2005-06-03T21:00:00,-1.79,2.36
2005-06-10T21:00:00,-0.18,1.86
2005-06-17T21:00:00,0.08,1.8
2005-06-24T21:00:00,2.02,2.75
2005-07-01T21:00:00,1.65,2.25
2005-07-08T21:00:00,0.41,1.89
2005-07-15T21:00:00,-1.43,2.54
2005-07-22T21:00:00,1.22,1.64
2005-07-29T21:00:00,0.42,1.35
2005-08-05T21:00:00,-1.67,2.19
2005-08-12T21:00:00,-0.49,1.08
2005-08-19T21:00:00,1.01,1.19
2005-08-26T21:00:00,0.29,1.29
2005-09-02T21:00:00,-1.16,1.45
2005-09-09T21:00:00,-0.96,1.87
2005-09-16T21:00:00,0.82,2.17
2005-09-23T21:00:00,-0.59,2.2
2005-09-30T21:00:00,0.23,2.71
2005-10-07T21:00:00,-0.59,1.59
2005-10-14T21:00:00,-1.5,1.97
2005-10-21T21:00:00,0.46,1.48
2005-10-28T21:00:00,0.77,2.29
2005-11-04T22:00:00,-1.2,6.02
2005-11-11T22:00:00,0.33,1.49
2005-11-18T22:00:00,-1.81,2.32
2005-11-25T22:00:00,-2.14,3.04
2005-12-02T22:00:00,2.19,3.54
2005-12-09T22:00:00,3.54,4.49
2005-12-16T22:00:00,1.23,2.18
2005-12-23T22:00:00,-1.47,2.14
2005-12-30T22:00:00,1.29,2.35
2006-01-06T22:00:00,-1.09,1.85
2006-01-13T22:00:00,2.86,3.24
2006-01-20T22:00:00,-0.62,2.47
2006-01-27T22:00:00,-1.49,2.06
2006-02-03T22:00:00,0.33,1.6
2006-02-10T22:00:00,1.88,2.58
2006-02-17T22:00:00,0.32,1.97
2006-02-24T22:00:00,0.92,1.3
2006-03-03T22:00:00,2.65,2.96
2006-03-10T22:00:00,3.41,4.48
2006-03-17T22:00:00,2.98,3.49
2006-03-24T22:00:00,-0.43,2.17
2006-03-31T22:00:00,0.95,3.48
2006-04-07T21:00:00,-1.53,3.27
2006-04-14T21:00:00,-0.45,1.65
2006-04-21T21:00:00,1.47,2.69
2006-04-28T21:00:00,0.3,1.63
2006-05-05T21:00:00,3.81,4.48
2006-05-12T21:00:00,0.0,2.09
2006-05-19T21:00:00,-2.39,4.56
2006-05-26T21:00:00,1.98,2.78
2006-06-02T21:00:00,-2.64,3.2
2006-06-09T21:00:00,2.62,3.05
2006-06-16T21:00:00,0.46,2.75
2006-06-23T21:00:00,2.03,3.07
2006-06-30T21:00:00,-0.11,1.35
2006-07-07T21:00:00,-2.73,3.24
2006-07-14T21:00:00,-0.19,2.52
2006-07-21T21:00:00,1.46,2.9
2006-07-28T21:00:00,-0.29,1.61
2006-08-04T21:00:00,-2.54,3.2
2006-08-11T21:00:00,-0.13,1.49
2006-08-18T21:00:00,-0.12,1.16
2006-08-25T21:00:00,-2.32,3.23
2006-09-01T21:00:00,1.5,2.22
2006-09-08T21:00:00,-3.83,4.98
2006-09-15T21:00:00,1.03,2.55
2006-09-22T21:00:00,0.52,3.15
2006-09-29T21:00:00,-1.44,2.95
2006-10-06T21:00:00,-0.53,1.64
2006-10-13T21:00:00,-0.82,1.4
2006-10-20T21:00:00,1.82,3.01
2006-10-27T21:00:00,-1.22,1.88
2006-11-03T22:00:00,1.55,2.2
2006-11-10T22:00:00,0.02,1.38
2006-11-17T22:00:00,1.02,2.41
2006-11-24T22:00:00,-0.53,1.87
2006-12-01T22:00:00,-0.78,1.92
2006-12-08T22:00:00,-1.34,1.95
2006-12-15T22:00:00,-1.15,1.73
2006-12-22T22:00:00,0.1,1.2
2006-12-29T22:00:00,1.15,2.09
2007-01-05T22:00:00,-1.29,2.21
2007-01-12T22:00:00,-0.51,1.07
2007-01-19T22:00:00,-0.42,1.41
2007-01-26T22:00:00,2.54,3.79
2007-02-02T22:00:00,0.04,1.47
2007-02-09T22:00:00,-1.03,1.45
2007-02-16T22:00:00,-1.07,1.58
2007-02-23T22:00:00,2.87,3.88
2007-03-02T22:00:00,-0.94,2.84
2007-03-09T22:00:00,1.28,2.34
2007-03-16T21:00:00,-2.21,2.99
2007-03-23T21:00:00,0.09,1.86
2007-03-30T21:00:00,-0.78,1.6
2007-04-06T21:00:00,-1.25,1.76
2007-04-13T21:00:00,-1.08,1.65
2007-04-20T21:00:00,1.25,1.8
2007-04-27T21:00:00,0.28,1.15
2007-05-04T21:00:00,-0.18,1.34
2007-05-11T21:00:00,0.24,1.25
2007-05-18T21:00:00,0.14,0.75
2007-05-25T21:00:00,-2.51,2.91
2007-06-01T21:00:00,-2.99,3.54
2007-06-08T21:00:00,1.04,2.15
2007-06-15T21:00:00,-0.6,1.95
2007-06-22T21:00:00,-0.66,2.02
2007-06-29T21:00:00,-0.64,1.44
2007-07-06T21:00:00,0.55,2.55
2007-07-13T21:00:00,-0.99,1.52
2007-07-20T21:00:00,2.77,4.91
2007-07-27T21:00:00,1.62,2.34
2007-08-03T21:00:00,1.45,3.0
2007-08-10T21:00:00,5.2,10.14
2007-08-17T21:00:00,-1.96,4.61
2007-08-24T21:00:00,2.46,5.05
2007-08-31T21:00:00,2.53,3.86
2007-09-07T21:00:00,-2.4,4.37
2007-09-14T21:00:00,-2.66,4.94
2007-09-21T21:00:00,-0.55,3.22
2007-09-28T21:00:00,-1.27,1.66
2007-10-05T21:00:00,-1.7,1.97
2007-10-12T21:00:00,4.8,5.47
2007-10-19T21:00:00,-1.85,3.78
2007-10-26T21:00:00,0.83,2.33
2007-11-02T21:00:00,1.33,3.68
2007-11-09T22:00:00,0.79,2.36
2007-11-16T22:00:00,1.02,3.38
2007-11-23T22:00:00,3.53,7.47
2007-11-30T22:00:00,-1.46,3.88
2007-12-07T22:00:00,-0.06,2.62
2007-12-14T22:00:00,0.09,2.47
2007-12-21T22:00:00,0.93,1.67
2007-12-28T22:00:00,1.23,2.09
2008-01-04T22:00:00,-1.86,2.89
2008-01-11T22:00:00,1.89,3.2
2008-01-18T22:00:00,-0.63,2.61
2008-01-25T22:00:00,-2.6,2.84
2008-02-01T22:00:00,-1.26,2.96
2008-02-08T22:00:00,1.0,1.98
2008-02-15T22:00:00,-1.31,1.72
2008-02-22T22:00:00,3.65,4.62
2008-02-29T22:00:00,1.5,3.44
2008-03-07T22:00:00,-0.34,2.76
2008-03-14T21:00:00,1.12,3.62
2008-03-21T21:00:00,1.6,3.25
2008-03-28T21:00:00,0.65,2.46
2008-04-04T21:00:00,-0.03,1.77
2008-04-11T21:00:00,0.48,2.76
2008-04-18T21:00:00,-0.14,1.42
2008-04-25T21:00:00,-1.09,2.55
2008-05-02T21:00:00,1.81,3.17
2008-05-09T21:00:00,-0.01,2.51
2008-05-16T21:00:00,-0.23,2.02
2008-05-23T21:00:00,-1.09,1.67
2008-05-30T21:00:00,3.44,4.38
2008-06-06T21:00:00,-0.19,1.12
2008-06-13T21:00:00,-0.04,1.56
2008-06-20T21:00:00,1.2,2.44
2008-06-27T21:00:00,-0.17,1.75
2008-07-04T21:00:00,1.19,1.61
2008-07-11T21:00:00,-0.52,2.67
2008-07-18T21:00:00,1.72,2.55
2008-07-25T21:00:00,1.08,1.91
2008-08-01T21:00:00,-0.45,2.47
2008-08-08T21:00:00,-2.41,5.4
2008-08-15T21:00:00,0.37,1.61
2008-08-22T21:00:00,0.42,2.28
2008-08-29T21:00:00,1.73,3.07
2008-09-05T21:00:00,-0.24,3.38
2008-09-12T21:00:00,-1.3,5.01
2008-09-19T21:00:00,1.35,3.32
2008-09-26T21:00:00,-2.26,4.51
2008-10-03T21:00:00,8.39,13.89
2008-10-10T21:00:00,-2.73,5.21
2008-10-17T21:00:00,3.5,8.2
2008-10-24T21:00:00,-3.18,7.36
2008-10-31T21:00:00,-2.01,4.49
2008-11-07T22:00:00,5.84,7.5
2008-11-14T22:00:00,2.98,6.66
2008-11-21T22:00:00,-1.41,4.58
2008-11-28T22:00:00,3.18,5.3
2008-12-05T22:00:00,2.37,4.45
2008-12-12T22:00:00,-0.69,4.0
2008-12-19T22:00:00,0.72,2.3
2008-12-26T22:00:00,-2.45,4.6
2009-01-02T22:00:00,-4.14,6.1
2009-01-09T22:00:00,6.79,9.09
2009-01-16T22:00:00,1.01,3.72
2009-01-23T22:00:00,2.47,4.88
2009-01-30T22:00:00,-3.24,6.9
2009-02-06T22:00:00,1.11,3.7
2009-02-13T22:00:00,1.85,2.86
2009-02-20T22:00:00,0.98,2.59
2009-02-27T22:00:00,-0.31,3.0
2009-03-06T22:00:00,-2.25,4.66
2009-03-13T21:00:00,-1.29,3.84
2009-03-20T21:00:00,-4.06,5.0
2009-03-27T21:00:00,-1.31,4.4
2009-04-03T21:00:00,-1.73,2.93
2009-04-10T21:00:00,1.47,4.47
2009-04-17T21:00:00,0.68,3.11
2009-04-24T21:00:00,0.72,3.12
2009-05-01T21:00:00,-3.12,5.07
2009-05-08T21:00:00,1.95,3.89
2009-05-15T21:00:00,-2.18,2.86
2009-05-22T21:00:00,-2.23,3.64
2009-05-29T21:00:00,0.89,4.59
2009-06-05T21:00:00,-2.26,3.71
2009-06-12T21:00:00,-0.63,2.66
2009-06-19T21:00:00,0.38,2.47
2009-06-26T21:00:00,1.94,3.54
2009-07-03T21:00:00,0.06,1.82
2009-07-10T21:00:00,-1.45,3.98
2009-07-17T21:00:00,-0.99,2.02
2009-07-24T21:00:00,-0.59,1.92
2009-07-31T21:00:00,-2.24,2.8
2009-08-07T21:00:00,-0.62,3.0
2009-08-14T21:00:00,0.26,1.4
2009-08-21T21:00:00,-0.38,1.08
2009-08-28T21:00:00,-0.57,2.34
2009-09-04T21:00:00,-0.96,2.25
2009-09-11T21:00:00,0.4,1.72
2009-09-18T21:00:00,-1.59,2.7
2009-09-25T21:00:00,-0.61,2.38
2009-10-02T21:00:00,-1.37,3.06
2009-10-09T21:00:00,0.35,1.54
2009-10-16T21:00:00,-1.17,2.72
2009-10-23T21:00:00,3.14,3.64
2009-10-30T21:00:00,-0.14,2.05
2009-11-06T22:00:00,-2.0,2.13
2009-11-13T22:00:00,2.38,3.35
2009-11-20T22:00:00,2.71,4.35
2009-11-27T22:00:00,-1.61,1.99
2009-12-04T22:00:00,-2.85,3.74
2009-12-11T22:00:00,0.01,1.19
2009-12-18T22:00:00,1.19,1.82
2009-12-25T22:00:00,-3.02,3.58
2010-01-01T22:00:00,-1.2,2.15
2010-01-08T22:00:00,-0.23,1.23
2010-01-15T22:00:00,2.17,3.23
2010-01-22T22:00:00,-0.71,1.89
2010-01-29T22:00:00,0.32,2.52
2010-02-05T22:00:00,-1.49,2.82
2010-02-12T22:00:00,-0.41,1.67
2010-02-19T22:00:00,0.32,1.72
2010-02-26T22:00:00,0.14,2.98
2010-03-05T22:00:00,0.35,2.35
2010-03-12T22:00:00,-2.63,3.27
2010-03-19T21:00:00,-0.25,2.56
2010-03-26T21:00:00,0.36,1.97
2010-04-02T21:00:00,-1.45,2.57
2010-04-09T21:00:00,0.69,1.62
2010-04-16T21:00:00,-2.08,2.66
2010-04-23T21:00:00,-1.98,2.92
2010-04-30T21:00:00,-2.41,5.11
2010-05-07T21:00:00,-2.07,4.06
2010-05-14T21:00:00,6.02,8.27
2010-05-21T21:00:00,-2.42,3.96
2010-05-28T21:00:00,-1.2,3.37
2010-06-04T21:00:00,-1.59,3.6
2010-06-11T21:00:00,-0.16,1.54
2010-06-18T21:00:00,-1.31,2.2
2010-06-25T21:00:00,5.31,5.68
2010-07-02T21:00:00,-2.53,3.03
2010-07-09T21:00:00,2.4,3.64
2010-07-16T21:00:00,-2.44,4.67
2010-07-23T21:00:00,1.28,3.11
2010-07-30T21:00:00,0.72,2.5
2010-08-06T21:00:00,-0.2,2.1
2010-08-13T21:00:00,-0.44,2.04
2010-08-20T21:00:00,-0.18,2.05
2010-08-27T21:00:00,-0.31,2.5
2010-09-03T21:00:00,-2.73,3.27
2010-09-10T21:00:00,3.22,4.38
2010-09-17T21:00:00,2.21,3.03
2010-09-24T21:00:00,0.8,1.75
2010-10-01T21:00:00,-0.46,1.79
2010-10-08T21:00:00,0.04,1.98
2010-10-15T21:00:00,1.04,1.65
2010-10-22T21:00:00,-2.63,3.21
2010-10-29T21:00:00,-3.1,3.85
2010-11-05T21:00:00,0.36,1.75
2010-11-12T22:00:00,-0.73,1.8
2010-11-19T22:00:00,0.53,1.95
2010-11-26T22:00:00,-0.82,1.78
2010-12-03T22:00:00,1.19,2.2
2010-12-10T22:00:00,1.13,2.64
2010-12-17T22:00:00,-2.2,2.6
2010-12-24T22:00:00,-2.1,3.12
2010-12-31T22:00:00,-1.01,3.51
2011-01-07T22:00:00,2.94,3.36
2011-01-14T22:00:00,2.7,4.78
2011-01-21T22:00:00,-1.94,2.44
2011-01-28T22:00:00,0.27,2.13
2011-02-04T22:00:00,1.06,2.32
2011-02-11T22:00:00,0.91,1.66
2011-02-18T22:00:00,1.77,3.52
2011-02-25T22:00:00,3.59,4.33
2011-03-04T22:00:00,-1.25,2.4
2011-03-11T22:00:00,3.63,4.55
2011-03-18T21:00:00,-3.61,4.4
2011-03-25T21:00:00,-0.76,2.06
2011-04-01T21:00:00,-0.29,1.47
2011-04-08T21:00:00,-2.45,2.97
2011-04-15T21:00:00,0.63,1.69
2011-04-22T21:00:00,0.64,2.37
2011-04-29T21:00:00,-0.93,4.42
2011-05-06T21:00:00,-0.97,2.04
2011-05-13T21:00:00,-0.81,2.6
2011-05-20T21:00:00,-1.74,2.81
2011-05-27T21:00:00,2.66,3.37
2011-06-03T21:00:00,-2.66,3.41
2011-06-10T21:00:00,0.84,1.81
2011-06-17T21:00:00,-0.78,1.96
2011-06-24T21:00:00,0.49,2.29
2011-07-01T21:00:00,-3.03,3.42
2011-07-08T21:00:00,-1.52,2.66
2011-07-15T21:00:00,-0.96,1.67
2011-07-22T21:00:00,-1.43,2.1
2011-07-29T21:00:00,3.43,5.11
2011-08-05T21:00:00,1.12,4.98
2011-08-12T21:00:00,2.76,3.35
2011-08-19T21:00:00,-1.89,2.57
2011-08-26T21:00:00,-2.95,3.63
2011-09-02T21:00:00,-0.85,2.91
2011-09-09T21:00:00,0.21,2.36
2011-09-16T21:00:00,4.54,5.99
2011-09-23T21:00:00,1.05,3.72
2011-09-30T21:00:00,-1.25,2.76
2011-10-07T21:00:00,-0.73,1.91
2011-10-14T21:00:00,0.39,1.27
2011-10-21T21:00:00,-0.4,2.16
2011-10-28T21:00:00,0.85,2.57
2011-11-04T21:00:00,0.86,1.88
2011-11-11T22:00:00,2.13,2.74
2011-11-18T22:00:00,-0.01,1.76
2011-11-25T22:00:00,-3.65,4.35
2011-12-02T22:00:00,0.15,2.07
2011-12-09T22:00:00,-0.83,2.04
2011-12-16T22:00:00,-1.8,2.41
2011-12-23T22:00:00,-1.08,2.19
2011-12-30T22:00:00,-1.79,2.74
2012-01-06T22:00:00,-2.08,2.32
2012-01-13T22:00:00,0.63,1.9
2012-01-20T22:00:00,-0.05,1.68
2012-01-27T22:00:00,-1.78,2.73
2012-02-03T22:00:00,1.47,2.2
2012-02-10T22:00:00,-1.11,2.5
2012-02-17T22:00:00,1.9,2.76
2012-02-24T22:00:00,-1.06,1.96
2012-03-02T22:00:00,0.36,2.26
2012-03-09T22:00:00,-0.07,1.62
2012-03-16T21:00:00,1.47,2.97
2012-03-23T21:00:00,0.52,1.1
