date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,0.97,1.03
2004-06-18T21:00:00,-0.09,0.24
2004-06-25T21:00:00,1.36,1.7
2004-07-02T21:00:00,0.18,0.32
2004-07-09T21:00:00,0.19,0.98
2004-07-16T21:00:00,-1.43,1.45
2004-07-23T21:00:00,-1.06,1.23
2004-07-30T21:00:00,1.86,2.19
2004-08-06T21:00:00,0.42,1.34
2004-08-13T21:00:00,-0.78,0.78
2004-08-20T21:00:00,-2.19,2.24
2004-08-27T21:00:00,-0.11,1.45
2004-09-03T21:00:00,1.33,1.33
2004-09-10T21:00:00,-1.11,1.3
2004-09-17T21:00:00,0.82,1.27
2004-09-24T21:00:00,0.48,0.84
2004-10-01T21:00:00,0.15,0.65
2004-10-08T21:00:00,0.23,0.71
2004-10-15T21:00:00,0.94,0.94
2004-10-22T21:00:00,0.23,0.78
2004-10-29T21:00:00,0.61,1.02
2004-11-05T22:00:00,-0.2,0.72
2004-11-12T22:00:00,-0.03,0.35
2004-11-19T22:00:00,1.32,1.32
2004-11-26T22:00:00,1.32,1.32
2004-12-03T22:00:00,-0.37,0.39
2004-12-10T22:00:00,0.05,0.65
2004-12-17T22:00:00,1.22,1.22
2004-12-24T22:00:00,-0.18,0.83
2004-12-31T22:00:00,-2.81,3.48
2005-01-07T22:00:00,-0.19,1.36
2005-01-14T22:00:00,-0.74,1.6
2005-01-21T22:00:00,0.08,0.97
2005-01-28T22:00:00,-1.27,2.01
2005-02-04T22:00:00,0.77,2.26
2005-02-11T22:00:00,1.09,1.35
2005-02-18T22:00:00,0.86,1.21
2005-02-25T22:00:00,-0.42,1.47
2005-03-04T22:00:00,1.27,1.79
2005-03-11T22:00:00,-0.67,1.08
2005-03-18T22:00:00,-1.63,1.86
2005-03-25T22:00:00,0.55,1.74
2005-04-01T22:00:00,-0.12,1.13
2005-04-08T21:00:00,0.09,1.44
2005-04-15T21:00:00,0.66,1.33
2005-04-22T21:00:00,-2.06,2.35
2005-04-29T21:00:00,-0.23,1.18
2005-05-06T21:00:00,-0.36,1.41
2005-05-13T21:00:00,-0.29,0.85
2005-05-20T21:00:00,0.03,0.99
2005-05-27T21:00:00,-2.25,2.51
2005-06-03T21:00:00,-0.79,1.3
2005-06-10T21:00:00,1.21,1.79
2005-06-17T21:00:00,-1.18,2.05
2005-06-24T21:00:00,0.03,1.24
2005-07-01T21:00:00,0.48,1.37
2005-07-08T21:00:00,-0.25,1.85
2005-07-15T21:00:00,-1.44,2.76
2005-07-22T21:00:00,0.69,1.22
2005-07-29T21:00:00,1.37,1.78
2005-08-05T21:00:00,0.56,1.41
2005-08-12T21:00:00,-1.19,1.74
2005-08-19T21:00:00,1.3,1.79
2005-08-26T21:00:00,1.86,2.78
2005-09-02T21:00:00,-0.93,1.37
2005-09-09T21:00:00,-0.87,1.62
2005-09-16T21:00:00,-1.44,1.56
2005-09-23T21:00:00,0.33,0.96
2005-09-30T21:00:00,0.33,1.8
2005-10-07T21:00:00,-0.22,1.31
2005-10-14T21:00:00,-0.52,1.47
2005-10-21T21:00:00,0.76,1.59
2005-10-28T21:00:00,-1.56,2.0
2005-11-04T22:00:00,-0.61,2.51
2005-11-11T22:00:00,0.16,1.13
2005-11-18T22:00:00,-0.85,1.37
2005-11-25T22:00:00,-0.1,2.11
2005-12-02T22:00:00,0.44,1.15
2005-12-09T22:00:00,0.69,1.71
2005-12-16T22:00:00,-1.22,1.86
2005-12-23T22:00:00,-0.34,1.45
2005-12-30T22:00:00,1.0,2.05
2006-01-06T22:00:00,-0.72,1.98
2006-01-13T22:00:00,0.08,1.02
2006-01-20T22:00:00,-0.34,1.58
2006-01-27T22:00:00,-0.14,0.96
2006-02-03T22:00:00,-1.48,1.78
2006-02-10T22:00:00,0.7,0.91
2006-02-17T22:00:00,-1.09,1.44
2006-02-24T22:00:00,1.18,1.67
2006-03-03T22:00:00,-0.63,1.46
2006-03-10T22:00:00,1.62,1.82
2006-03-17T22:00:00,-1.01,1.82
2006-03-24T22:00:00,0.4,1.53
2006-03-31T22:00:00,-0.73,1.87
2006-04-07T21:00:00,0.23,1.26
2006-04-14T21:00:00,1.03,1.59
2006-04-21T21:00:00,1.45,2.08
2006-04-28T21:00:00,0.14,1.48
2006-05-05T21:00:00,1.28,1.89
2006-05-12T21:00:00,-0.06,1.76
2006-05-19T21:00:00,-0.54,1.64
2006-05-26T21:00:00,0.99,1.41
2006-06-02T21:00:00,-0.89,1.86
2006-06-09T21:00:00,0.08,0.95
2006-06-16T21:00:00,-0.83,1.06
2006-06-23T21:00:00,1.24,1.35
2006-06-30T21:00:00,-0.33,0.85
2006-07-07T21:00:00,-0.34,0.81
2006-07-14T21:00:00,0.01,1.29
2006-07-21T21:00:00,0.15,1.35
2006-07-28T21:00:00,0.58,1.09
2006-08-04T21:00:00,-0.87,1.3
2006-08-11T21:00:00,0.5,0.96
2006-08-18T21:00:00,-0.15,1.06
2006-08-25T21:00:00,0.11,0.96
2006-09-01T21:00:00,-1.18,1.53
2006-09-08T21:00:00,0.49,1.19
2006-09-15T21:00:00,1.08,1.73
2006-09-22T21:00:00,-0.65,1.36
2006-09-29T21:00:00,-0.53,1.61
2006-10-06T21:00:00,-0.79,1.34
2006-10-13T21:00:00,-0.03,0.87
2006-10-20T21:00:00,0.09,0.92
2006-10-27T21:00:00,0.05,0.8
2006-11-03T22:00:00,0.47,1.12
2006-11-10T22:00:00,-0.08,0.67
2006-11-17T22:00:00,1.67,2.05
2006-11-24T22:00:00,1.4,1.5
2006-12-01T22:00:00,-0.78,1.05
2006-12-08T22:00:00,-1.16,1.61
2006-12-15T22:00:00,0.33,1.2
2006-12-22T22:00:00,0.18,0.74
2006-12-29T22:00:00,-1.3,2.09
2007-01-05T22:00:00,-0.25,1.06
2007-01-12T22:00:00,-0.13,0.78
2007-01-19T22:00:00,-0.27,1.18
2007-01-26T22:00:00,0.12,1.07
2007-02-02T22:00:00,0.22,0.99
2007-02-09T22:00:00,0.87,1.69
2007-02-16T22:00:00,0.17,0.68
2007-02-23T22:00:00,-0.07,0.96
2007-03-02T22:00:00,-0.56,0.91
2007-03-09T22:00:00,1.16,1.79
2007-03-16T21:00:00,-0.8,1.25
2007-03-23T21:00:00,0.47,1.02
2007-03-30T21:00:00,-0.03,0.69
2007-04-06T21:00:00,1.24,1.78
2007-04-13T21:00:00,-0.14,0.72
2007-04-20T21:00:00,0.81,1.27
2007-04-27T21:00:00,-0.33,0.96
2007-05-04T21:00:00,-0.49,0.98
2007-05-11T21:00:00,0.29,1.03
2007-05-18T21:00:00,-0.41,0.91
2007-05-25T21:00:00,0.31,0.73
2007-06-01T21:00:00,0.01,0.84
2007-06-08T21:00:00,-0.02,0.81
2007-06-15T21:00:00,0.67,0.89
2007-06-22T21:00:00,-0.02,0.8
2007-06-29T21:00:00,-0.01,0.68
2007-07-06T21:00:00,0.78,1.39
2007-07-13T21:00:00,0.05,0.87
2007-07-20T21:00:00,-1.16,1.5
2007-07-27T21:00:00,1.08,1.69
2007-08-03T21:00:00,-0.33,1.33
2007-08-10T21:00:00,-1.12,1.48
2007-08-17T21:00:00,0.93,1.33
2007-08-24T21:00:00,-0.02,0.86
2007-08-31T21:00:00,0.97,1.61
2007-09-07T21:00:00,-0.11,0.75
2007-09-14T21:00:00,1.03,1.35
2007-09-21T21:00:00,-0.08,1.02
2007-09-28T21:00:00,-1.83,2.34
2007-10-05T21:00:00,-0.3,1.04
2007-10-12T21:00:00,0.89,1.21
2007-10-19T21:00:00,-0.14,1.45
2007-10-26T21:00:00,0.5,0.96
2007-11-02T21:00:00,0.65,1.56
2007-11-09T22:00:00,0.57,1.2
2007-11-16T22:00:00,0.53,2.31
2007-11-23T22:00:00,4.77,6.37
2007-11-30T22:00:00,-0.4,1.58
2007-12-07T22:00:00,-0.81,1.75
2007-12-14T22:00:00,0.05,1.08
2007-12-21T22:00:00,1.85,1.99
2007-12-28T22:00:00,-0.73,1.69
2008-01-04T22:00:00,0.22,1.24
2008-01-11T22:00:00,-0.77,2.03
2008-01-18T22:00:00,-0.58,1.15
2008-01-25T22:00:00,0.06,1.4
2008-02-01T22:00:00,-1.8,2.58
2008-02-08T22:00:00,0.89,1.08
2008-02-15T22:00:00,0.54,1.36
2008-02-22T22:00:00,1.55,2.29
2008-02-29T22:00:00,0.46,1.65
2008-03-07T22:00:00,1.53,2.28
2008-03-14T21:00:00,-0.93,3.17
2008-03-21T21:00:00,1.9,2.49
2008-03-28T21:00:00,-0.38,2.12
2008-04-04T21:00:00,-1.23,2.35
2008-04-11T21:00:00,-0.04,1.78
2008-04-18T21:00:00,-0.73,1.99
2008-04-25T21:00:00,-1.15,1.98
2008-05-02T21:00:00,0.43,1.32
2008-05-09T21:00:00,0.88,1.93
2008-05-16T21:00:00,0.46,1.15
2008-05-23T21:00:00,-1.12,1.89
2008-05-30T21:00:00,1.6,2.41
2008-06-06T21:00:00,-1.33,2.09
2008-06-13T21:00:00,0.31,1.15
2008-06-20T21:00:00,1.07,1.6
2008-06-27T21:00:00,-0.57,1.37
2008-07-04T21:00:00,1.0,1.64
2008-07-11T21:00:00,-0.76,1.6
2008-07-18T21:00:00,-0.32,1.24
2008-07-25T21:00:00,-0.01,1.1
2008-08-01T21:00:00,-1.27,1.9
2008-08-08T21:00:00,-1.27,1.89
2008-08-15T21:00:00,0.34,1.21
2008-08-22T21:00:00,-0.49,1.02
2008-08-29T21:00:00,-1.55,2.34
2008-09-05T21:00:00,-0.49,2.66
2008-09-12T21:00:00,1.36,2.79
2008-09-19T21:00:00,0.99,2.05
2008-09-26T21:00:00,-4.27,5.13
2008-10-03T21:00:00,-0.4,2.73
2008-10-10T21:00:00,-0.25,2.03
2008-10-17T21:00:00,-4.1,5.86
2008-10-24T21:00:00,-0.75,4.41
2008-10-31T21:00:00,0.82,3.87
2008-11-07T22:00:00,0.6,3.48
2008-11-14T22:00:00,0.53,2.67
2008-11-21T22:00:00,-0.16,3.39
2008-11-28T22:00:00,0.92,2.25
2008-12-05T22:00:00,2.79,3.54
2008-12-12T22:00:00,1.93,6.16
2008-12-19T22:00:00,0.13,1.74
2008-12-26T22:00:00,-0.16,3.46
2009-01-02T22:00:00,-1.41,3.54
2009-01-09T22:00:00,-1.22,2.61
2009-01-16T22:00:00,-1.26,3.31
2009-01-23T22:00:00,-0.76,3.67
2009-01-30T22:00:00,-0.01,2.67
2009-02-06T22:00:00,0.35,1.89
2009-02-13T22:00:00,1.14,3.09
2009-02-20T22:00:00,-0.17,3.72
2009-02-27T22:00:00,-0.21,1.66
2009-03-06T22:00:00,1.89,3.03
2009-03-13T21:00:00,3.28,4.68
2009-03-20T21:00:00,-2.2,3.12
2009-03-27T21:00:00,0.83,1.67
2009-04-03T21:00:00,-1.58,2.78
2009-04-10T21:00:00,-2.02,3.9
2009-04-17T21:00:00,0.8,1.84
2009-04-24T21:00:00,-0.35,1.67
2009-05-01T21:00:00,1.18,2.48
2009-05-08T21:00:00,-0.15,1.04
2009-05-15T21:00:00,1.65,2.56
2009-05-22T21:00:00,1.23,1.88
2009-05-29T21:00:00,-0.45,1.77
2009-06-05T21:00:00,-0.1,1.79
2009-06-12T21:00:00,-0.24,1.37
2009-06-19T21:00:00,0.84,1.88
2009-06-26T21:00:00,-0.61,1.25
2009-07-03T21:00:00,0.29,1.41
2009-07-10T21:00:00,0.38,1.17
2009-07-17T21:00:00,0.01,1.09
2009-07-24T21:00:00,0.28,1.68
2009-07-31T21:00:00,-0.42,1.55
2009-08-07T21:00:00,0.34,1.44
2009-08-14T21:00:00,0.66,1.38
2009-08-21T21:00:00,-0.08,1.14
2009-08-28T21:00:00,-0.42,1.31
2009-09-04T21:00:00,0.8,1.63
2009-09-11T21:00:00,0.44,0.92
2009-09-18T21:00:00,-0.02,1.0
2009-09-25T21:00:00,-0.84,1.65
2009-10-02T21:00:00,-0.37,1.27
2009-10-09T21:00:00,0.93,1.47
2009-10-16T21:00:00,0.87,1.18
2009-10-23T21:00:00,-1.41,1.79
2009-10-30T21:00:00,0.22,1.37
2009-11-06T22:00:00,-0.13,1.45
2009-11-13T22:00:00,-0.05,1.18
2009-11-20T22:00:00,0.79,1.37
2009-11-27T22:00:00,-0.81,1.4
2009-12-04T22:00:00,-1.45,1.86
2009-12-11T22:00:00,-1.11,2.08
2009-12-18T22:00:00,0.74,1.48
2009-12-25T22:00:00,-0.58,1.1
2010-01-01T22:00:00,-0.07,1.22
2010-01-08T22:00:00,-0.39,1.47
2010-01-15T22:00:00,-0.74,1.74
2010-01-22T22:00:00,-1.73,2.15
2010-01-29T22:00:00,-0.31,2.06
2010-02-05T22:00:00,-1.07,2.35
2010-02-12T22:00:00,-0.14,1.84
2010-02-19T22:00:00,-0.27,1.42
2010-02-26T22:00:00,-0.39,1.67
2010-03-05T22:00:00,0.51,1.46
2010-03-12T22:00:00,-1.42,1.91
2010-03-19T21:00:00,-0.52,1.87
2010-03-26T21:00:00,0.47,1.26
2010-04-02T21:00:00,-0.75,2.12
2010-04-09T21:00:00,-1.0,2.62
2010-04-16T21:00:00,-1.24,2.58
2010-04-23T21:00:00,-0.66,1.62
2010-04-30T21:00:00,-2.34,4.17
2010-05-07T21:00:00,-3.63,5.12
2010-05-14T21:00:00,3.01,5.35
2010-05-21T21:00:00,-2.23,3.3
2010-05-28T21:00:00,-2.05,2.81
2010-06-04T21:00:00,0.34,1.21
2010-06-11T21:00:00,1.07,1.81
2010-06-18T21:00:00,-0.0,2.1
2010-06-25T21:00:00,1.99,3.3
2010-07-02T21:00:00,-0.17,0.72
2010-07-09T21:00:00,1.92,3.24
2010-07-16T21:00:00,-0.59,2.09
2010-07-23T21:00:00,0.35,1.35
2010-07-30T21:00:00,0.71,1.67
2010-08-06T21:00:00,-2.79,3.21
2010-08-13T21:00:00,-0.82,1.79
2010-08-20T21:00:00,0.19,0.88
2010-08-27T21:00:00,0.31,1.16
2010-09-03T21:00:00,-1.91,2.26
2010-09-10T21:00:00,2.58,3.33
2010-09-17T21:00:00,2.31,2.69
2010-09-24T21:00:00,1.49,2.3
2010-10-01T21:00:00,0.63,2.0
2010-10-08T21:00:00,-0.55,1.56
2010-10-15T21:00:00,-0.01,1.25
2010-10-22T21:00:00,-0.31,1.44
2010-10-29T21:00:00,-0.03,2.21
2010-11-05T21:00:00,-1.5,3.07
2010-11-12T22:00:00,-0.27,1.83
2010-11-19T22:00:00,-1.36,2.54
2010-11-26T22:00:00,0.01,2.94
2010-12-03T22:00:00,-1.08,1.43
2010-12-10T22:00:00,0.22,1.81
2010-12-17T22:00:00,-1.6,2.27
2010-12-24T22:00:00,0.74,1.32
2010-12-31T22:00:00,-2.79,3.38
2011-01-07T22:00:00,3.24,3.9
2011-01-14T22:00:00,1.42,2.37
2011-01-21T22:00:00,0.03,1.25
2011-01-28T22:00:00,-0.99,2.27
2011-02-04T22:00:00,0.4,1.55
2011-02-11T22:00:00,0.37,1.44
2011-02-18T22:00:00,0.36,1.86
2011-02-25T22:00:00,1.23,1.45
2011-03-04T22:00:00,-0.56,1.29
2011-03-11T22:00:00,2.44,2.46
2011-03-18T21:00:00,-1.51,2.03
2011-03-25T21:00:00,0.88,1.49
2011-04-01T21:00:00,1.52,2.07
2011-04-08T21:00:00,-1.46,1.91
2011-04-15T21:00:00,0.27,2.19
2011-04-22T21:00:00,0.78,1.79
2011-04-29T21:00:00,-2.15,3.43
2011-05-06T21:00:00,-0.92,1.63
2011-05-13T21:00:00,-0.27,1.56
2011-05-20T21:00:00,0.97,1.54
2011-05-27T21:00:00,1.64,2.25
2011-06-03T21:00:00,-1.34,2.05
2011-06-10T21:00:00,-0.5,1.94
2011-06-17T21:00:00,-0.51,1.54
2011-06-24T21:00:00,1.37,2.01
2011-07-01T21:00:00,-2.27,3.07
2011-07-08T21:00:00,-0.82,2.49
2011-07-15T21:00:00,0.51,2.33
2011-07-22T21:00:00,-0.12,1.94
2011-07-29T21:00:00,0.24,1.92
2011-08-05T21:00:00,-0.59,2.06
2011-08-12T21:00:00,0.86,1.44
2011-08-19T21:00:00,0.12,1.04
2011-08-26T21:00:00,-1.97,2.84
2011-09-02T21:00:00,-1.93,3.0
2011-09-09T21:00:00,2.14,3.74
2011-09-16T21:00:00,2.29,4.21
2011-09-23T21:00:00,-0.09,1.95
2011-09-30T21:00:00,-0.83,1.47
2011-10-07T21:00:00,1.22,1.9
2011-10-14T21:00:00,0.68,1.93
2011-10-21T21:00:00,-0.65,0.97
2011-10-28T21:00:00,-0.7,1.56
2011-11-04T21:00:00,0.85,1.5
2011-11-11T22:00:00,-0.11,1.64
2011-11-18T22:00:00,-1.06,1.68
2011-11-25T22:00:00,-0.98,1.74
2011-12-02T22:00:00,0.52,1.65
2011-12-09T22:00:00,-1.61,2.37
2011-12-16T22:00:00,-0.88,1.32
2011-12-23T22:00:00,-0.42,1.29
2011-12-30T22:00:00,-1.93,2.4
2012-01-06T22:00:00,-0.45,1.42
2012-01-13T22:00:00,0.33,1.23
2012-01-20T22:00:00,0.58,1.18
2012-01-27T22:00:00,-1.22,1.9
2012-02-03T22:00:00,1.87,2.63
2012-02-10T22:00:00,-0.63,1.4
2012-02-17T22:00:00,2.11,2.51
2012-02-24T22:00:00,-2.15,2.77
2012-03-02T22:00:00,-0.37,1.44
2012-03-09T22:00:00,0.68,0.9
2012-03-16T21:00:00,0.99,1.45
2012-03-23T21:00:00,0.29,0.92
2012-03-30T21:00:00,-1.62,2.24
2012-04-06T21:00:00,-1.1,1.7
2012-04-13T21:00:00,1.1,1.52
2012-04-20T21:00:00,-0.59,0.91
2012-04-27T21:00:00,-0.74,0.93
2012-05-04T21:00:00,-0.62,0.79
2012-05-11T21:00:00,0.72,1.58
2012-05-18T21:00:00,-1.56,1.9
2012-05-25T21:00:00,0.18,1.37
2012-06-01T21:00:00,-0.06,1.13
2012-06-08T21:00:00,0.01,1.41
2012-06-15T21:00:00,-0.13,1.32
2012-06-22T21:00:00,-0.09,1.31
2012-06-29T21:00:00,-2.56,2.91
2012-07-06T21:00:00,-0.77,1.46
2012-07-13T21:00:00,-1.47,1.84
2012-07-20T21:00:00,0.66,1.65
2012-07-27T21:00:00,0.1,1.55
2012-08-03T21:00:00,-0.61,1.14
2012-08-10T21:00:00,1.11,1.49
2012-08-17T21:00:00,1.21,1.8
2012-08-24T21:00:00,0.26,0.8
2012-08-31T21:00:00,0.95,1.5
2012-09-07T21:00:00,1.15,2.01
2012-09-14T21:00:00,-0.76,1.63
2012-09-21T21:00:00,-0.73,1.01
2012-09-28T21:00:00,1.57,1.85
2012-10-05T21:00:00,-1.24,1.59
2012-10-12T21:00:00,0.49,1.46
2012-10-19T21:00:00,-0.74,1.44
2012-10-26T21:00:00,-0.45,1.15
2012-11-02T21:00:00,-0.98,1.12
2012-11-09T22:00:00,0.43,1.36
2012-11-16T22:00:00,1.44,1.62
2012-11-23T22:00:00,-0.12,0.82
2012-11-30T22:00:00,-0.4,1.65
2012-12-07T22:00:00,1.69,2.07
2012-12-14T22:00:00,0.16,1.1
2012-12-21T22:00:00,0.49,0.95
2012-12-28T22:00:00,-0.78,1.66
2013-01-04T22:00:00,1.92,2.36
2013-01-11T22:00:00,0.05,1.3
2013-01-18T22:00:00,1.65,2.31
2013-01-25T22:00:00,1.75,2.44
2013-02-01T22:00:00,-2.2,2.53
2013-02-08T22:00:00,-0.13,1.83
2013-02-15T22:00:00,-1.24,2.05
2013-02-22T22:00:00,-1.39,2.46
2013-03-01T22:00:00,0.47,1.3
2013-03-08T22:00:00,0.53,1.3
2013-03-15T21:00:00,-0.62,1.45
2013-03-22T21:00:00,-1.66,2.67
2013-03-29T21:00:00,1.38,2.11
2013-04-05T21:00:00,0.68,0.92
2013-04-12T21:00:00,-0.44,1.4
2013-04-19T21:00:00,-0.39,0.88
2013-04-26T21:00:00,0.27,1.27
2013-05-03T21:00:00,-0.59,0.98
2013-05-10T21:00:00,0.55,1.04
2013-05-17T21:00:00,1.23,1.99
2013-05-24T21:00:00,0.46,1.18
2013-05-31T21:00:00,0.7,1.67
2013-06-07T21:00:00,1.27,2.08
2013-06-14T21:00:00,0.3,1.52
2013-06-21T21:00:00,-1.26,2.03
2013-06-28T21:00:00,-0.43,1.18
2013-07-05T21:00:00,0.54,2.35
2013-07-12T21:00:00,0.82,1.21
2013-07-19T21:00:00,0.98,1.32
2013-07-26T21:00:00,0.62,1.34
2013-08-02T21:00:00,-0.71,0.87
2013-08-09T21:00:00,0.96,1.38
2013-08-16T21:00:00,1.08,1.41
2013-08-23T21:00:00,-1.6,2.3
2013-08-30T21:00:00,-0.38,0.94
2013-09-06T21:00:00,0.65,0.84
2013-09-13T21:00:00,0.25,0.88
2013-09-20T21:00:00,0.2,0.93
2013-09-27T21:00:00,-0.53,1.01
2013-10-04T21:00:00,-0.28,0.8
2013-10-11T21:00:00,0.33,1.27
2013-10-18T21:00:00,0.62,1.05
2013-10-25T21:00:00,-1.77,2.09
2013-11-01T21:00:00,-0.62,1.59
2013-11-08T22:00:00,1.0,1.13
2013-11-15T22:00:00,0.7,1.42
2013-11-22T22:00:00,0.76,1.28
2013-11-29T22:00:00,0.45,1.05
2013-12-06T22:00:00,0.66,0.98
2013-12-13T22:00:00,0.43,0.82
2013-12-20T22:00:00,0.73,1.75
2013-12-27T22:00:00,-1.39,1.82
2014-01-03T22:00:00,0.32,0.81
2014-01-10T22:00:00,-0.04,0.72
2014-01-17T22:00:00,1.34,2.05
2014-01-24T22:00:00,-1.63,1.8
2014-01-31T22:00:00,0.43,1.26
2014-02-07T22:00:00,-0.12,1.08
2014-02-14T22:00:00,0.95,1.13
2014-02-21T22:00:00,0.51,1.4
2014-02-28T22:00:00,0.83,1.53
2014-03-07T22:00:00,-0.07,0.85
2014-03-14T21:00:00,-0.28,0.58
