date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,0.17,0.95
2003-04-11T21:00:00,1.27,1.59
2003-04-18T21:00:00,1.36,1.53
2003-04-25T21:00:00,1.75,2.29
2003-05-02T21:00:00,2.25,2.38
2003-05-09T21:00:00,0.49,1.73
2003-05-16T21:00:00,2.04,2.04
2003-05-23T21:00:00,-0.39,1.22
2003-05-30T21:00:00,-0.14,1.67
2003-06-06T21:00:00,1.34,1.61
2003-06-13T21:00:00,-2.32,2.37
2003-06-20T21:00:00,-1.24,1.33
2003-06-27T21:00:00,0.45,1.09
2003-07-04T21:00:00,-1.61,1.64
2003-07-11T21:00:00,-0.18,1.08
2003-07-18T21:00:00,2.2,2.2
2003-07-25T21:00:00,-1.73,2.34
2003-08-01T21:00:00,0.23,0.92
2003-08-08T21:00:00,-0.31,0.86
2003-08-15T21:00:00,-3.39,3.51
2003-08-22T21:00:00,1.19,1.19
2003-08-29T21:00:00,1.0,2.74
2003-09-05T21:00:00,1.7,2.01
2003-09-12T21:00:00,0.86,1.74
2003-09-19T21:00:00,0.24,0.53
2003-09-26T21:00:00,1.06,2.24
2003-10-03T21:00:00,2.03,2.14
2003-10-10T21:00:00,-1.11,1.94
2003-10-17T21:00:00,0.65,1.44
2003-10-24T21:00:00,-1.57,1.6
2003-10-31T22:00:00,-0.47,1.6
2003-11-07T22:00:00,2.33,2.52
2003-11-14T22:00:00,1.11,1.67
2003-11-21T22:00:00,0.63,1.97
2003-11-28T22:00:00,1.52,1.59
2003-12-05T22:00:00,1.05,1.05
2003-12-12T22:00:00,1.78,2.25
2003-12-19T22:00:00,0.19,0.48
2003-12-26T22:00:00,1.19,1.19
2004-01-02T22:00:00,2.03,2.03
2004-01-09T22:00:00,-3.58,3.71
2004-01-16T22:00:00,1.51,2.9
2004-01-23T22:00:00,-0.86,1.81
2004-01-30T22:00:00,1.79,2.21
2004-02-06T22:00:00,0.32,1.57
2004-02-13T22:00:00,-1.76,2.47
2004-02-20T22:00:00,-0.1,2.03
2004-02-27T22:00:00,-0.88,2.4
2004-03-05T22:00:00,-1.31,1.52
2004-03-12T22:00:00,0.33,1.26
2004-03-19T22:00:00,-1.26,1.7
2004-03-26T22:00:00,0.12,2.0
2004-04-02T22:00:00,-0.21,1.29
2004-04-09T21:00:00,-0.8,1.21
2004-04-16T21:00:00,-1.44,1.54
2004-04-23T21:00:00,1.34,1.34
2004-04-30T21:00:00,-0.87,2.47
2004-05-07T21:00:00,0.08,0.69
2004-05-14T21:00:00,0.76,1.16
2004-05-21T21:00:00,1.94,2.29
2004-05-28T21:00:00,0.3,0.76
2004-06-04T21:00:00,-2.36,2.63
2004-06-11T21:00:00,1.1,1.31
2004-06-18T21:00:00,0.3,0.69
2004-06-25T21:00:00,1.18,1.95
2004-07-02T21:00:00,0.73,1.06
2004-07-09T21:00:00,0.28,1.01
2004-07-16T21:00:00,-2.83,2.92
2004-07-23T21:00:00,-0.7,1.02
2004-07-30T21:00:00,1.9,2.11
2004-08-06T21:00:00,0.69,1.27
2004-08-13T21:00:00,-0.42,0.43
2004-08-20T21:00:00,-2.46,2.53
2004-08-27T21:00:00,0.35,1.43
2004-09-03T21:00:00,1.7,1.7
2004-09-10T21:00:00,-0.64,0.95
2004-09-17T21:00:00,0.74,1.31
2004-09-24T21:00:00,1.09,1.24
2004-10-01T21:00:00,0.09,1.01
2004-10-08T21:00:00,0.37,1.13
2004-10-15T21:00:00,1.67,1.67
2004-10-22T21:00:00,0.41,0.91
2004-10-29T21:00:00,1.22,1.88
2004-11-05T22:00:00,0.04,0.64
2004-11-12T22:00:00,0.3,0.68
2004-11-19T22:00:00,1.99,1.99
2004-11-26T22:00:00,1.34,1.41
2004-12-03T22:00:00,-1.65,1.67
2004-12-10T22:00:00,0.56,1.46
2004-12-17T22:00:00,1.49,1.49
2004-12-24T22:00:00,0.25,0.8
2004-12-31T22:00:00,-3.73,4.27
2005-01-07T22:00:00,0.45,1.87
2005-01-14T22:00:00,-0.51,1.61
2005-01-21T22:00:00,0.0,1.39
2005-01-28T22:00:00,-1.23,1.78
2005-02-04T22:00:00,-0.02,1.35
2005-02-11T22:00:00,1.6,1.73
2005-02-18T22:00:00,1.36,1.85
2005-02-25T22:00:00,-0.07,1.45
2005-03-04T22:00:00,1.67,2.28
2005-03-11T22:00:00,-1.02,1.6
2005-03-18T22:00:00,-2.78,3.08
2005-03-25T22:00:00,-0.3,1.56
2005-04-01T22:00:00,0.19,1.08
2005-04-08T21:00:00,-0.09,1.95
2005-04-15T21:00:00,1.2,1.92
2005-04-22T21:00:00,-1.47,1.74
2005-04-29T21:00:00,-0.38,1.39
2005-05-06T21:00:00,-1.45,2.4
2005-05-13T21:00:00,-0.59,1.24
2005-05-20T21:00:00,0.22,1.05
2005-05-27T21:00:00,-2.77,3.49
2005-06-03T21:00:00,-0.96,2.02
2005-06-10T21:00:00,1.39,2.26
2005-06-17T21:00:00,-1.54,2.52
2005-06-24T21:00:00,-1.09,2.07
2005-07-01T21:00:00,0.08,1.46
2005-07-08T21:00:00,0.56,2.48
2005-07-15T21:00:00,0.25,2.52
2005-07-22T21:00:00,0.45,1.63
2005-07-29T21:00:00,1.94,2.34
2005-08-05T21:00:00,0.68,1.39
2005-08-12T21:00:00,-2.31,2.78
2005-08-19T21:00:00,1.12,1.56
2005-08-26T21:00:00,1.94,3.43
2005-09-02T21:00:00,-0.97,1.68
2005-09-09T21:00:00,-1.36,1.91
2005-09-16T21:00:00,-1.62,1.91
2005-09-23T21:00:00,-0.1,0.92
2005-09-30T21:00:00,0.84,2.54
2005-10-07T21:00:00,-0.45,2.0
2005-10-14T21:00:00,-1.0,2.07
2005-10-21T21:00:00,0.98,2.09
2005-10-28T21:00:00,-2.12,2.42
2005-11-04T22:00:00,-0.66,2.63
2005-11-11T22:00:00,0.34,1.33
2005-11-18T22:00:00,-0.42,1.54
2005-11-25T22:00:00,0.09,2.07
2005-12-02T22:00:00,0.8,1.37
2005-12-09T22:00:00,1.7,2.42
2005-12-16T22:00:00,-1.21,2.02
2005-12-23T22:00:00,-0.17,1.3
2005-12-30T22:00:00,2.55,3.21
2006-01-06T22:00:00,-0.07,1.3
2006-01-13T22:00:00,0.03,1.11
2006-01-20T22:00:00,-0.33,1.95
2006-01-27T22:00:00,-0.65,1.83
2006-02-03T22:00:00,-0.98,1.29
2006-02-10T22:00:00,0.31,0.88
2006-02-17T22:00:00,-0.52,0.94
2006-02-24T22:00:00,1.41,1.91
2006-03-03T22:00:00,-1.12,1.96
2006-03-10T22:00:00,2.37,2.52
2006-03-17T22:00:00,-1.32,2.04
2006-03-24T22:00:00,0.68,1.62
2006-03-31T22:00:00,-0.2,2.47
2006-04-07T21:00:00,0.12,0.85
2006-04-14T21:00:00,1.88,2.33
2006-04-21T21:00:00,2.35,2.49
2006-04-28T21:00:00,0.77,1.66
2006-05-05T21:00:00,1.59,2.33
2006-05-12T21:00:00,-1.16,2.17
2006-05-19T21:00:00,-0.31,1.55
2006-05-26T21:00:00,1.43,1.75
2006-06-02T21:00:00,-2.17,3.03
2006-06-09T21:00:00,0.03,1.13
2006-06-16T21:00:00,-1.1,1.6
2006-06-23T21:00:00,2.3,2.32
2006-06-30T21:00:00,0.17,1.26
2006-07-07T21:00:00,-1.24,1.54
2006-07-14T21:00:00,0.36,1.92
2006-07-21T21:00:00,0.5,1.69
2006-07-28T21:00:00,0.91,1.47
2006-08-04T21:00:00,-1.25,1.54
2006-08-11T21:00:00,0.83,1.52
2006-08-18T21:00:00,-0.56,1.66
2006-08-25T21:00:00,0.56,1.01
2006-09-01T21:00:00,-1.27,1.75
2006-09-08T21:00:00,-0.09,0.96
2006-09-15T21:00:00,1.0,1.58
2006-09-22T21:00:00,-0.86,1.43
2006-09-29T21:00:00,-0.58,1.7
2006-10-06T21:00:00,-0.69,1.05
2006-10-13T21:00:00,0.84,1.21
2006-10-20T21:00:00,0.97,1.79
2006-10-27T21:00:00,-0.16,0.95
2006-11-03T22:00:00,0.98,1.66
2006-11-10T22:00:00,-0.13,0.9
2006-11-17T22:00:00,2.08,2.43
2006-11-24T22:00:00,1.88,2.0
2006-12-01T22:00:00,-0.98,1.32
2006-12-08T22:00:00,-0.91,1.76
2006-12-15T22:00:00,0.36,1.48
2006-12-22T22:00:00,0.67,0.88
2006-12-29T22:00:00,-1.48,2.42
2007-01-05T22:00:00,-0.64,1.31
2007-01-12T22:00:00,0.21,0.81
2007-01-19T22:00:00,-0.32,1.34
2007-01-26T22:00:00,0.34,1.28
2007-02-02T22:00:00,0.35,1.01
2007-02-09T22:00:00,1.0,1.79
2007-02-16T22:00:00,0.23,0.83
2007-02-23T22:00:00,0.18,0.88
2007-03-02T22:00:00,-0.58,1.07
2007-03-09T22:00:00,1.26,1.76
2007-03-16T21:00:00,-0.26,1.05
2007-03-23T21:00:00,0.52,1.1
2007-03-30T21:00:00,0.1,0.91
2007-04-06T21:00:00,1.11,1.6
2007-04-13T21:00:00,0.27,0.83
2007-04-20T21:00:00,0.45,1.02
2007-04-27T21:00:00,-0.45,1.05
2007-05-04T21:00:00,-0.51,1.23
2007-05-11T21:00:00,-0.22,1.07
2007-05-18T21:00:00,-0.51,0.9
2007-05-25T21:00:00,0.08,0.97
2007-06-01T21:00:00,-0.58,1.76
2007-06-08T21:00:00,0.11,0.95
2007-06-15T21:00:00,0.62,0.73
2007-06-22T21:00:00,0.53,0.94
2007-06-29T21:00:00,0.64,0.96
2007-07-06T21:00:00,1.11,1.61
2007-07-13T21:00:00,0.28,0.66
2007-07-20T21:00:00,-1.43,1.65
2007-07-27T21:00:00,1.02,1.54
2007-08-03T21:00:00,-0.58,1.46
2007-08-10T21:00:00,-1.6,2.6
2007-08-17T21:00:00,1.44,1.71
2007-08-24T21:00:00,-0.35,1.15
2007-08-31T21:00:00,0.99,1.82
2007-09-07T21:00:00,0.72,1.17
