date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,1.72,2.51
2004-06-18T21:00:00,-2.25,2.3
2004-06-25T21:00:00,-1.61,2.04
2004-07-02T21:00:00,0.26,0.64
2004-07-09T21:00:00,-0.53,0.53
2004-07-16T21:00:00,0.95,1.38
2004-07-23T21:00:00,0.19,0.9
2004-07-30T21:00:00,-0.37,0.69
2004-08-06T21:00:00,-0.38,1.21
2004-08-13T21:00:00,-2.35,2.41
2004-08-20T21:00:00,1.32,1.51
2004-08-27T21:00:00,0.64,0.83
2004-09-03T21:00:00,0.62,1.63
2004-09-10T21:00:00,-0.48,1.04
2004-09-17T21:00:00,-1.53,1.94
2004-09-24T21:00:00,-1.95,2.33
2004-10-01T21:00:00,-1.72,1.75
2004-10-08T21:00:00,1.22,1.4
2004-10-15T21:00:00,0.05,0.51
2004-10-22T21:00:00,-0.4,0.61
2004-10-29T21:00:00,-0.91,1.16
2004-11-05T22:00:00,-0.66,1.73
2004-11-12T22:00:00,-1.74,1.77
2004-11-19T22:00:00,1.1,1.1
2004-11-26T22:00:00,3.8,3.82
2004-12-03T22:00:00,2.55,2.75
2004-12-10T22:00:00,-0.43,0.57
2004-12-17T22:00:00,-1.74,1.77
2004-12-24T22:00:00,-1.87,1.9
2004-12-31T22:00:00,0.68,1.55
2005-01-07T22:00:00,-0.14,1.26
2005-01-14T22:00:00,-0.98,2.19
2005-01-21T22:00:00,-0.15,1.07
2005-01-28T22:00:00,-0.06,1.22
2005-02-04T22:00:00,-2.36,3.0
2005-02-11T22:00:00,1.05,2.14
2005-02-18T22:00:00,1.59,2.03
2005-02-25T22:00:00,-0.41,1.52
2005-03-04T22:00:00,-0.13,1.38
2005-03-11T22:00:00,-0.45,1.11
2005-03-18T22:00:00,0.27,1.3
2005-03-25T22:00:00,0.75,1.44
2005-04-01T22:00:00,0.16,1.34
2005-04-08T21:00:00,0.81,1.57
2005-04-15T21:00:00,-0.48,2.15
2005-04-22T21:00:00,-0.28,0.82
2005-04-29T21:00:00,-0.16,1.0
2005-05-06T21:00:00,-0.34,1.3
2005-05-13T21:00:00,-0.58,1.37
2005-05-20T21:00:00,-1.07,1.33
2005-05-27T21:00:00,0.39,1.46
2005-06-03T21:00:00,-0.8,1.42
2005-06-10T21:00:00,-1.14,1.57
2005-06-17T21:00:00,0.75,1.71
2005-06-24T21:00:00,-0.84,2.06
2005-07-01T21:00:00,-0.34,1.83
2005-07-08T21:00:00,-0.22,0.93
2005-07-15T21:00:00,-2.54,3.33
2005-07-22T21:00:00,1.98,2.15
2005-07-29T21:00:00,-0.34,1.27
2005-08-05T21:00:00,1.54,1.94
2005-08-12T21:00:00,1.58,2.19
2005-08-19T21:00:00,-0.31,1.03
2005-08-26T21:00:00,1.08,1.3
2005-09-02T21:00:00,-1.42,1.58
2005-09-09T21:00:00,-0.74,1.46
2005-09-16T21:00:00,-0.42,1.09
2005-09-23T21:00:00,-1.27,1.9
2005-09-30T21:00:00,0.5,2.3
2005-10-07T21:00:00,1.01,2.12
2005-10-14T21:00:00,0.46,1.68
2005-10-21T21:00:00,0.25,1.14
2005-10-28T21:00:00,0.8,1.55
2005-11-04T22:00:00,-0.39,1.28
2005-11-11T22:00:00,-1.45,2.25
2005-11-18T22:00:00,-0.54,0.85
2005-11-25T22:00:00,-0.61,1.38
2005-12-02T22:00:00,0.92,1.72
2005-12-09T22:00:00,1.95,2.37
2005-12-16T22:00:00,-0.18,1.33
2005-12-23T22:00:00,-1.18,2.16
2005-12-30T22:00:00,-0.13,1.06
2006-01-06T22:00:00,0.17,1.24
2006-01-13T22:00:00,0.81,1.58
2006-01-20T22:00:00,-0.37,1.43
2006-01-27T22:00:00,-0.21,0.97
2006-02-03T22:00:00,0.48,1.03
2006-02-10T22:00:00,-0.36,1.32
2006-02-17T22:00:00,0.2,1.03
2006-02-24T22:00:00,-0.22,1.24
2006-03-03T22:00:00,0.13,0.93
2006-03-10T22:00:00,2.38,2.84
2006-03-17T22:00:00,1.73,2.14
2006-03-24T22:00:00,-1.39,2.56
2006-03-31T22:00:00,-1.04,2.49
2006-04-07T21:00:00,0.17,1.68
2006-04-14T21:00:00,-0.47,1.28
2006-04-21T21:00:00,0.32,1.62
2006-04-28T21:00:00,0.16,1.59
2006-05-05T21:00:00,1.88,2.39
2006-05-12T21:00:00,1.11,1.71
2006-05-19T21:00:00,-1.03,2.76
2006-05-26T21:00:00,1.98,2.8
2006-06-02T21:00:00,-1.71,2.51
2006-06-09T21:00:00,1.88,2.17
2006-06-16T21:00:00,-0.89,1.31
2006-06-23T21:00:00,0.2,1.51
2006-06-30T21:00:00,-0.98,1.45
2006-07-07T21:00:00,-0.9,1.68
2006-07-14T21:00:00,1.2,2.03
2006-07-21T21:00:00,-1.72,2.01
2006-07-28T21:00:00,2.66,2.93
2006-08-04T21:00:00,-1.05,2.3
2006-08-11T21:00:00,0.46,1.17
2006-08-18T21:00:00,0.62,1.34
2006-08-25T21:00:00,-0.32,0.87
2006-09-01T21:00:00,-0.42,1.5
2006-09-08T21:00:00,0.97,1.39
2006-09-15T21:00:00,1.32,1.94
2006-09-22T21:00:00,-0.91,1.62
2006-09-29T21:00:00,0.38,1.36
2006-10-06T21:00:00,-1.91,2.13
2006-10-13T21:00:00,0.46,0.89
2006-10-20T21:00:00,-0.52,1.0
2006-10-27T21:00:00,-0.02,0.73
2006-11-03T22:00:00,0.77,1.59
2006-11-10T22:00:00,-1.03,1.79
2006-11-17T22:00:00,0.66,1.13
2006-11-24T22:00:00,1.19,1.43
2006-12-01T22:00:00,-0.91,1.63
2006-12-08T22:00:00,0.37,1.14
2006-12-15T22:00:00,0.04,1.19
2006-12-22T22:00:00,-1.33,1.61
2006-12-29T22:00:00,-0.25,1.21
2007-01-05T22:00:00,0.88,1.58
2007-01-12T22:00:00,-0.02,0.89
2007-01-19T22:00:00,1.31,1.88
2007-01-26T22:00:00,0.19,1.01
2007-02-02T22:00:00,-1.13,1.87
2007-02-09T22:00:00,-1.3,2.0
2007-02-16T22:00:00,0.09,1.02
2007-02-23T22:00:00,0.07,1.3
2007-03-02T22:00:00,-0.29,1.13
2007-03-09T22:00:00,-1.74,1.87
2007-03-16T21:00:00,-0.27,1.37
2007-03-23T21:00:00,-0.1,1.03
2007-03-30T21:00:00,-0.98,1.9
2007-04-06T21:00:00,-1.01,1.39
2007-04-13T21:00:00,0.32,1.58
2007-04-20T21:00:00,0.69,1.49
2007-04-27T21:00:00,0.76,1.36
2007-05-04T21:00:00,-1.74,2.1
2007-05-11T21:00:00,0.82,1.41
2007-05-18T21:00:00,1.06,1.48
2007-05-25T21:00:00,-1.84,2.11
2007-06-01T21:00:00,-2.02,2.67
2007-06-08T21:00:00,0.58,1.33
2007-06-15T21:00:00,0.57,0.85
2007-06-22T21:00:00,0.22,1.77
2007-06-29T21:00:00,-0.91,1.11
2007-07-06T21:00:00,-0.36,1.27
2007-07-13T21:00:00,0.03,0.99
2007-07-20T21:00:00,1.72,3.08
2007-07-27T21:00:00,0.52,1.66
2007-08-03T21:00:00,0.34,2.2
2007-08-10T21:00:00,3.68,7.78
2007-08-17T21:00:00,-1.97,3.03
2007-08-24T21:00:00,1.19,2.68
2007-08-31T21:00:00,-0.44,1.72
2007-09-07T21:00:00,-2.86,4.3
2007-09-14T21:00:00,-2.23,3.95
2007-09-21T21:00:00,-1.05,2.37
2007-09-28T21:00:00,-1.32,2.17
2007-10-05T21:00:00,-1.05,1.74
2007-10-12T21:00:00,2.43,2.76
2007-10-19T21:00:00,-3.0,3.86
2007-10-26T21:00:00,1.28,2.88
2007-11-02T21:00:00,1.34,3.22
2007-11-09T22:00:00,0.25,3.19
2007-11-16T22:00:00,2.12,4.38
2007-11-23T22:00:00,-1.2,3.06
2007-11-30T22:00:00,-0.31,2.92
2007-12-07T22:00:00,1.13,2.61
2007-12-14T22:00:00,-2.46,3.51
2007-12-21T22:00:00,-0.36,1.04
2007-12-28T22:00:00,-0.68,2.59
2008-01-04T22:00:00,-2.95,4.58
2008-01-11T22:00:00,1.26,4.34
2008-01-18T22:00:00,1.37,2.82
2008-01-25T22:00:00,-3.63,4.0
2008-02-01T22:00:00,-0.05,1.72
2008-02-08T22:00:00,-0.73,2.38
2008-02-15T22:00:00,-1.27,2.39
2008-02-22T22:00:00,0.35,2.04
2008-02-29T22:00:00,1.64,3.26
2008-03-07T22:00:00,-0.87,2.6
2008-03-14T21:00:00,1.94,3.78
2008-03-21T21:00:00,-1.01,2.06
2008-03-28T21:00:00,-0.66,1.55
2008-04-04T21:00:00,-1.77,2.74
2008-04-11T21:00:00,0.73,2.76
2008-04-18T21:00:00,-0.51,2.89
2008-04-25T21:00:00,-0.83,1.96
2008-05-02T21:00:00,-1.84,2.35
2008-05-09T21:00:00,-1.23,2.28
2008-05-16T21:00:00,0.8,2.03
2008-05-23T21:00:00,0.47,1.22
2008-05-30T21:00:00,-1.3,2.18
2008-06-06T21:00:00,1.32,2.21
2008-06-13T21:00:00,-0.08,1.38
2008-06-20T21:00:00,0.16,1.36
2008-06-27T21:00:00,-0.86,2.02
2008-07-04T21:00:00,-0.02,1.46
2008-07-11T21:00:00,0.1,1.18
2008-07-18T21:00:00,1.12,2.29
2008-07-25T21:00:00,2.04,2.76
2008-08-01T21:00:00,1.7,2.77
2008-08-08T21:00:00,-0.35,3.52
2008-08-15T21:00:00,-0.75,1.53
2008-08-22T21:00:00,-0.74,2.23
2008-08-29T21:00:00,1.98,4.57
2008-09-05T21:00:00,0.85,3.77
2008-09-12T21:00:00,0.83,6.35
2008-09-19T21:00:00,1.06,2.42
2008-09-26T21:00:00,3.19,4.91
2008-10-03T21:00:00,15.76,18.74
2008-10-10T21:00:00,-5.28,8.98
2008-10-17T21:00:00,1.85,7.54
2008-10-24T21:00:00,-5.76,7.97
2008-10-31T21:00:00,-3.65,5.89
2008-11-07T22:00:00,-2.06,7.21
2008-11-14T22:00:00,3.76,7.6
2008-11-21T22:00:00,-0.51,3.99
2008-11-28T22:00:00,-3.17,5.86
2008-12-05T22:00:00,-0.8,4.45
2008-12-12T22:00:00,-2.44,7.67
2008-12-19T22:00:00,-3.01,3.41
2008-12-26T22:00:00,-3.92,5.44
2009-01-02T22:00:00,5.81,7.8
2009-01-09T22:00:00,1.5,4.02
2009-01-16T22:00:00,-3.51,5.54
2009-01-23T22:00:00,8.35,10.25
2009-01-30T22:00:00,-4.29,5.09
2009-02-06T22:00:00,-0.27,2.78
2009-02-13T22:00:00,2.34,3.54
2009-02-20T22:00:00,0.19,3.55
2009-02-27T22:00:00,-1.88,4.11
2009-03-06T22:00:00,-3.33,4.63
