date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,1.05,1.65
2003-04-11T21:00:00,-0.55,0.81
2003-04-18T21:00:00,1.68,1.68
2003-04-25T21:00:00,-0.22,0.68
2003-05-02T21:00:00,-1.31,2.68
2003-05-09T21:00:00,-0.22,0.53
2003-05-16T21:00:00,1.65,2.25
2003-05-23T21:00:00,2.31,2.31
2003-05-30T21:00:00,1.24,1.74
2003-06-06T21:00:00,-0.21,1.17
2003-06-13T21:00:00,0.21,1.28
2003-06-20T21:00:00,0.28,1.09
2003-06-27T21:00:00,-0.27,0.9
2003-07-04T21:00:00,-2.27,2.32
2003-07-11T21:00:00,-1.82,2.13
2003-07-18T21:00:00,2.79,2.79
2003-07-25T21:00:00,0.49,1.1
2003-08-01T21:00:00,-1.41,1.58
2003-08-08T21:00:00,-0.46,0.72
2003-08-15T21:00:00,-2.75,2.82
2003-08-22T21:00:00,-0.35,0.59
2003-08-29T21:00:00,0.62,1.88
2003-09-05T21:00:00,1.31,1.63
2003-09-12T21:00:00,-0.95,2.08
2003-09-19T21:00:00,-0.01,0.6
2003-09-26T21:00:00,-0.42,0.44
2003-10-03T21:00:00,-1.93,2.48
2003-10-10T21:00:00,1.68,1.87
2003-10-17T21:00:00,1.22,1.45
2003-10-24T21:00:00,0.66,1.26
2003-10-31T22:00:00,-1.76,1.81
2003-11-07T22:00:00,-0.16,1.09
2003-11-14T22:00:00,1.38,1.58
2003-11-21T22:00:00,1.84,1.84
2003-11-28T22:00:00,-1.35,1.37
2003-12-05T22:00:00,1.03,1.46
2003-12-12T22:00:00,1.19,1.6
2003-12-19T22:00:00,0.09,0.58
2003-12-26T22:00:00,0.85,1.05
2004-01-02T22:00:00,2.51,2.51
2004-01-09T22:00:00,-2.7,2.78
2004-01-16T22:00:00,1.36,2.38
2004-01-23T22:00:00,-0.71,1.0
2004-01-30T22:00:00,0.97,1.36
2004-02-06T22:00:00,2.01,2.27
2004-02-13T22:00:00,2.05,2.05
2004-02-20T22:00:00,0.41,1.09
