date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,1.5,2.68
2004-06-18T21:00:00,-1.98,2.01
2004-06-25T21:00:00,-1.53,1.55
2004-07-02T21:00:00,0.1,0.61
2004-07-09T21:00:00,0.39,1.07
2004-07-16T21:00:00,1.53,1.76
2004-07-23T21:00:00,-0.98,1.62
2004-07-30T21:00:00,-1.2,1.21
2004-08-06T21:00:00,-2.03,2.07
2004-08-13T21:00:00,-2.45,2.51
2004-08-20T21:00:00,1.25,2.17
2004-08-27T21:00:00,0.31,0.93
2004-09-03T21:00:00,-0.14,0.45
2004-09-10T21:00:00,-0.92,1.29
2004-09-17T21:00:00,-0.48,0.62
2004-09-24T21:00:00,-1.36,1.96
2004-10-01T21:00:00,-2.13,2.18
2004-10-08T21:00:00,-0.02,1.05
2004-10-15T21:00:00,-0.18,0.44
2004-10-22T21:00:00,2.43,2.43
2004-10-29T21:00:00,-0.28,0.46
2004-11-05T22:00:00,0.51,1.41
2004-11-12T22:00:00,-2.0,2.04
2004-11-19T22:00:00,0.98,1.11
2004-11-26T22:00:00,2.01,2.01
2004-12-03T22:00:00,1.0,1.0
2004-12-10T22:00:00,-0.23,0.69
2004-12-17T22:00:00,-1.43,1.45
2004-12-24T22:00:00,-0.36,0.52
2004-12-31T22:00:00,0.79,1.67
2005-01-07T22:00:00,-0.68,1.76
2005-01-14T22:00:00,-1.75,3.05
2005-01-21T22:00:00,0.85,1.58
2005-01-28T22:00:00,-0.32,0.94
2005-02-04T22:00:00,-0.9,2.13
2005-02-11T22:00:00,0.1,1.66
2005-02-18T22:00:00,1.47,2.23
2005-02-25T22:00:00,-1.26,2.01
2005-03-04T22:00:00,-0.77,1.68
2005-03-11T22:00:00,-0.88,1.35
2005-03-18T22:00:00,1.3,2.42
2005-03-25T22:00:00,1.43,1.82
2005-04-01T22:00:00,-0.85,2.07
2005-04-08T21:00:00,0.43,1.9
2005-04-15T21:00:00,-1.04,2.16
2005-04-22T21:00:00,-0.21,1.82
2005-04-29T21:00:00,-1.14,1.63
2005-05-06T21:00:00,0.82,1.97
2005-05-13T21:00:00,-0.88,1.83
2005-05-20T21:00:00,-1.06,1.48
2005-05-27T21:00:00,1.73,2.16
2005-06-03T21:00:00,-1.0,1.76
2005-06-10T21:00:00,-0.55,1.03
2005-06-17T21:00:00,1.29,2.07
2005-06-24T21:00:00,-0.1,1.37
2005-07-01T21:00:00,-0.1,2.15
2005-07-08T21:00:00,0.67,2.06
2005-07-15T21:00:00,-2.41,3.12
2005-07-22T21:00:00,1.84,2.04
2005-07-29T21:00:00,-0.29,0.96
2005-08-05T21:00:00,-0.39,1.29
2005-08-12T21:00:00,0.75,1.58
2005-08-19T21:00:00,0.19,1.03
2005-08-26T21:00:00,0.65,1.14
2005-09-02T21:00:00,-0.32,0.87
2005-09-09T21:00:00,-1.27,2.04
2005-09-16T21:00:00,0.62,1.33
2005-09-23T21:00:00,-1.12,2.66
2005-09-30T21:00:00,-0.78,1.62
2005-10-07T21:00:00,0.25,1.73
2005-10-14T21:00:00,-0.5,1.48
2005-10-21T21:00:00,-0.23,1.14
2005-10-28T21:00:00,1.58,2.27
2005-11-04T22:00:00,-0.98,5.96
2005-11-11T22:00:00,-1.42,2.8
2005-11-18T22:00:00,-1.57,1.86
2005-11-25T22:00:00,-1.22,1.72
2005-12-02T22:00:00,2.67,3.88
2005-12-09T22:00:00,2.85,3.67
2005-12-16T22:00:00,0.19,2.06
2005-12-23T22:00:00,-1.89,2.62
2005-12-30T22:00:00,1.49,2.2
2006-01-06T22:00:00,-0.63,1.67
2006-01-13T22:00:00,2.6,3.29
2006-01-20T22:00:00,-0.46,1.85
2006-01-27T22:00:00,-1.19,1.73
2006-02-03T22:00:00,0.27,1.28
2006-02-10T22:00:00,1.43,2.54
2006-02-17T22:00:00,1.04,2.27
2006-02-24T22:00:00,0.12,1.45
2006-03-03T22:00:00,2.08,2.81
2006-03-10T22:00:00,2.8,3.89
2006-03-17T22:00:00,3.53,3.88
2006-03-24T22:00:00,-1.34,3.22
2006-03-31T22:00:00,1.44,3.32
2006-04-07T21:00:00,-1.13,2.83
2006-04-14T21:00:00,-0.7,1.8
2006-04-21T21:00:00,1.51,2.23
2006-04-28T21:00:00,1.37,1.73
2006-05-05T21:00:00,4.13,4.9
2006-05-12T21:00:00,0.39,1.87
2006-05-19T21:00:00,-3.15,4.84
2006-05-26T21:00:00,1.8,2.49
2006-06-02T21:00:00,-2.61,3.05
2006-06-09T21:00:00,3.24,3.43
2006-06-16T21:00:00,-0.27,1.95
2006-06-23T21:00:00,1.45,2.68
2006-06-30T21:00:00,-0.2,1.07
2006-07-07T21:00:00,-2.15,2.62
2006-07-14T21:00:00,0.44,2.76
2006-07-21T21:00:00,1.22,2.93
2006-07-28T21:00:00,1.17,2.16
2006-08-04T21:00:00,-2.25,3.18
2006-08-11T21:00:00,-1.44,2.55
2006-08-18T21:00:00,0.72,1.43
2006-08-25T21:00:00,-1.93,2.79
2006-09-01T21:00:00,0.64,2.34
2006-09-08T21:00:00,-2.94,4.04
2006-09-15T21:00:00,1.07,2.84
2006-09-22T21:00:00,-0.24,2.24
2006-09-29T21:00:00,-0.96,2.22
2006-10-06T21:00:00,-0.61,1.94
2006-10-13T21:00:00,-0.2,1.14
2006-10-20T21:00:00,1.63,2.82
2006-10-27T21:00:00,-0.89,1.64
2006-11-03T22:00:00,1.09,1.72
2006-11-10T22:00:00,-0.7,1.9
2006-11-17T22:00:00,0.89,2.17
2006-11-24T22:00:00,0.07,1.41
2006-12-01T22:00:00,-1.12,2.02
2006-12-08T22:00:00,-0.55,1.36
2006-12-15T22:00:00,-1.21,1.71
2006-12-22T22:00:00,-0.61,1.39
2006-12-29T22:00:00,1.13,2.25
2007-01-05T22:00:00,0.88,1.45
2007-01-12T22:00:00,0.01,1.44
2007-01-19T22:00:00,-0.77,1.61
2007-01-26T22:00:00,2.54,3.67
2007-02-02T22:00:00,-1.16,2.09
2007-02-09T22:00:00,-1.96,2.46
2007-02-16T22:00:00,-0.59,1.33
2007-02-23T22:00:00,1.7,3.27
2007-03-02T22:00:00,-0.95,2.23
2007-03-09T22:00:00,-0.67,1.95
2007-03-16T21:00:00,-0.94,1.78
2007-03-23T21:00:00,-0.08,1.79
2007-03-30T21:00:00,-1.01,1.69
2007-04-06T21:00:00,-1.3,1.79
2007-04-13T21:00:00,-0.59,1.49
2007-04-20T21:00:00,0.56,1.05
2007-04-27T21:00:00,0.46,1.08
2007-05-04T21:00:00,-0.21,1.26
2007-05-11T21:00:00,0.02,1.49
2007-05-18T21:00:00,1.1,1.76
2007-05-25T21:00:00,-2.64,2.95
2007-06-01T21:00:00,-3.04,3.75
2007-06-08T21:00:00,1.23,2.47
2007-06-15T21:00:00,-0.03,1.25
2007-06-22T21:00:00,-0.73,2.01
2007-06-29T21:00:00,-1.16,1.9
2007-07-06T21:00:00,0.57,2.26
2007-07-13T21:00:00,-0.24,1.29
2007-07-20T21:00:00,2.64,4.37
2007-07-27T21:00:00,1.43,2.33
2007-08-03T21:00:00,1.15,3.1
2007-08-10T21:00:00,4.67,9.61
2007-08-17T21:00:00,-1.73,3.91
2007-08-24T21:00:00,2.94,4.78
2007-08-31T21:00:00,2.08,3.3
2007-09-07T21:00:00,-4.12,5.79
2007-09-14T21:00:00,-3.55,5.4
2007-09-21T21:00:00,-0.56,3.14
2007-09-28T21:00:00,-0.7,1.76
2007-10-05T21:00:00,-2.18,2.62
2007-10-12T21:00:00,4.7,5.22
2007-10-19T21:00:00,-2.45,3.99
2007-10-26T21:00:00,1.88,3.31
2007-11-02T21:00:00,0.21,3.41
2007-11-09T22:00:00,-0.82,3.9
2007-11-16T22:00:00,0.22,2.59
2007-11-23T22:00:00,-0.99,3.76
2007-11-30T22:00:00,-2.85,4.57
2007-12-07T22:00:00,0.89,2.13
2007-12-14T22:00:00,-1.37,3.99
2007-12-21T22:00:00,-0.82,1.15
2007-12-28T22:00:00,-0.04,2.89
2008-01-04T22:00:00,-2.91,4.19
2008-01-11T22:00:00,2.88,5.6
2008-01-18T22:00:00,0.37,3.17
2008-01-25T22:00:00,-4.22,4.69
2008-02-01T22:00:00,-0.18,3.02
2008-02-08T22:00:00,0.56,2.36
2008-02-15T22:00:00,-1.99,2.27
2008-02-22T22:00:00,2.41,3.28
2008-02-29T22:00:00,1.56,3.96
2008-03-07T22:00:00,-2.15,3.51
2008-03-14T21:00:00,0.75,3.2
2008-03-21T21:00:00,-0.06,2.1
2008-03-28T21:00:00,0.94,2.22
2008-04-04T21:00:00,-1.71,2.91
2008-04-11T21:00:00,1.88,2.48
2008-04-18T21:00:00,0.4,2.92
2008-04-25T21:00:00,-0.47,1.72
2008-05-02T21:00:00,0.45,2.39
2008-05-09T21:00:00,-0.53,2.28
2008-05-16T21:00:00,-0.22,1.92
2008-05-23T21:00:00,0.4,1.73
2008-05-30T21:00:00,1.5,3.26
2008-06-06T21:00:00,1.2,2.05
2008-06-13T21:00:00,-0.05,1.5
2008-06-20T21:00:00,0.95,2.16
2008-06-27T21:00:00,-0.27,1.4
2008-07-04T21:00:00,0.06,1.54
2008-07-11T21:00:00,0.55,1.71
2008-07-18T21:00:00,2.24,3.54
2008-07-25T21:00:00,1.18,2.47
2008-08-01T21:00:00,0.43,2.99
2008-08-08T21:00:00,-3.1,5.41
2008-08-15T21:00:00,-1.1,2.03
2008-08-22T21:00:00,-0.56,3.18
2008-08-29T21:00:00,1.61,3.64
2008-09-05T21:00:00,1.55,4.57
2008-09-12T21:00:00,-0.91,4.65
2008-09-19T21:00:00,1.06,3.1
2008-09-26T21:00:00,-0.47,3.43
2008-10-03T21:00:00,7.11,12.95
2008-10-10T21:00:00,-1.65,5.03
2008-10-17T21:00:00,1.37,6.34
2008-10-24T21:00:00,-3.49,5.78
2008-10-31T21:00:00,-4.13,6.33
2008-11-07T22:00:00,0.57,5.39
2008-11-14T22:00:00,4.5,7.94
2008-11-21T22:00:00,0.63,4.17
2008-11-28T22:00:00,-1.57,5.58
2008-12-05T22:00:00,-0.98,3.24
2008-12-12T22:00:00,-4.81,10.15
2008-12-19T22:00:00,-2.72,3.43
2008-12-26T22:00:00,-1.88,4.32
2009-01-02T22:00:00,3.4,6.35
2009-01-09T22:00:00,5.37,8.48
2009-01-16T22:00:00,-3.11,5.16
2009-01-23T22:00:00,9.44,11.49
2009-01-30T22:00:00,-2.61,3.93
2009-02-06T22:00:00,-1.36,4.02
2009-02-13T22:00:00,2.82,4.4
2009-02-20T22:00:00,1.38,3.18
2009-02-27T22:00:00,-1.68,3.78
2009-03-06T22:00:00,-4.92,5.92
2009-03-13T21:00:00,-2.92,4.51
2009-03-20T21:00:00,-2.94,5.69
