date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-1.2,2.01
2004-06-18T21:00:00,-1.08,1.97
2004-06-25T21:00:00,0.65,1.01
2004-07-02T21:00:00,-0.14,1.23
2004-07-09T21:00:00,0.72,1.73
2004-07-16T21:00:00,1.29,1.8
2004-07-23T21:00:00,1.13,1.84
2004-07-30T21:00:00,-0.49,1.2
2004-08-06T21:00:00,0.28,0.78
2004-08-13T21:00:00,-1.13,1.29
2004-08-20T21:00:00,0.43,0.93
2004-08-27T21:00:00,0.85,1.29
2004-09-03T21:00:00,-0.78,1.07
2004-09-10T21:00:00,0.28,0.5
2004-09-17T21:00:00,0.64,1.0
2004-09-24T21:00:00,0.07,1.13
2004-10-01T21:00:00,-0.99,1.49
2004-10-08T21:00:00,-0.21,0.43
2004-10-15T21:00:00,-1.64,1.67
2004-10-22T21:00:00,-0.8,0.81
2004-10-29T21:00:00,-0.07,0.66
2004-11-05T22:00:00,0.15,1.55
2004-11-12T22:00:00,-2.28,2.34
2004-11-19T22:00:00,-0.45,0.76
2004-11-26T22:00:00,-0.53,1.07
2004-12-03T22:00:00,3.05,3.05
2004-12-10T22:00:00,-1.11,1.34
2004-12-17T22:00:00,-0.3,0.75
2004-12-24T22:00:00,-1.05,1.37
2004-12-31T22:00:00,1.97,2.51
2005-01-07T22:00:00,-2.68,3.06
2005-01-14T22:00:00,0.61,2.22
2005-01-21T22:00:00,0.53,1.9
2005-01-28T22:00:00,0.83,1.44
2005-02-04T22:00:00,1.5,2.7
2005-02-11T22:00:00,0.0,1.5
2005-02-18T22:00:00,-0.37,1.95
2005-02-25T22:00:00,-0.37,1.42
2005-03-04T22:00:00,-0.74,1.66
2005-03-11T22:00:00,0.75,1.43
2005-03-18T22:00:00,1.56,1.79
2005-03-25T22:00:00,1.1,1.39
2005-04-01T22:00:00,0.58,1.23
2005-04-08T21:00:00,-0.43,1.31
2005-04-15T21:00:00,-1.59,2.21
2005-04-22T21:00:00,-1.18,1.64
2005-04-29T21:00:00,0.3,1.05
2005-05-06T21:00:00,2.0,2.45
2005-05-13T21:00:00,0.87,1.76
2005-05-20T21:00:00,0.0,0.94
2005-05-27T21:00:00,-0.29,1.23
2005-06-03T21:00:00,0.94,2.05
2005-06-10T21:00:00,-0.07,1.22
2005-06-17T21:00:00,0.5,1.29
2005-06-24T21:00:00,2.49,2.57
2005-07-01T21:00:00,0.35,1.12
2005-07-08T21:00:00,-0.07,1.54
2005-07-15T21:00:00,-0.62,3.32
2005-07-22T21:00:00,0.98,1.4
2005-07-29T21:00:00,-0.48,1.75
2005-08-05T21:00:00,-2.22,2.99
2005-08-12T21:00:00,0.99,1.57
2005-08-19T21:00:00,-0.28,1.21
2005-08-26T21:00:00,-0.28,2.28
2005-09-02T21:00:00,-0.07,1.78
2005-09-09T21:00:00,1.56,2.28
2005-09-16T21:00:00,1.05,1.4
2005-09-23T21:00:00,0.9,1.45
2005-09-30T21:00:00,0.34,1.24
2005-10-07T21:00:00,0.2,1.3
2005-10-14T21:00:00,1.63,1.98
2005-10-21T21:00:00,-0.2,1.42
2005-10-28T21:00:00,2.28,2.42
2005-11-04T22:00:00,-0.33,1.33
2005-11-11T22:00:00,0.99,1.38
2005-11-18T22:00:00,0.46,1.18
2005-11-25T22:00:00,0.78,2.42
2005-12-02T22:00:00,0.06,1.1
2005-12-09T22:00:00,-4.11,4.69
2005-12-16T22:00:00,0.47,1.81
2005-12-23T22:00:00,1.27,1.87
2005-12-30T22:00:00,-2.83,3.33
2006-01-06T22:00:00,-0.2,1.3
2006-01-13T22:00:00,0.88,1.84
2006-01-20T22:00:00,1.68,2.85
2006-01-27T22:00:00,1.39,2.33
2006-02-03T22:00:00,-0.91,1.92
2006-02-10T22:00:00,0.13,1.86
2006-02-17T22:00:00,-0.92,2.13
2006-02-24T22:00:00,-0.4,1.48
2006-03-03T22:00:00,2.13,2.61
2006-03-10T22:00:00,-2.54,2.95
2006-03-17T22:00:00,1.34,2.55
2006-03-24T22:00:00,0.26,1.67
2006-03-31T22:00:00,0.53,1.8
2006-04-07T21:00:00,0.33,0.86
2006-04-14T21:00:00,-1.7,1.86
2006-04-21T21:00:00,-2.39,2.59
2006-04-28T21:00:00,-1.09,1.73
2006-05-05T21:00:00,-2.27,2.98
2006-05-12T21:00:00,1.48,2.92
2006-05-19T21:00:00,0.9,1.82
2006-05-26T21:00:00,-0.89,1.81
2006-06-02T21:00:00,1.94,2.92
2006-06-09T21:00:00,1.02,1.29
2006-06-16T21:00:00,1.15,1.9
2006-06-23T21:00:00,-1.73,2.24
2006-06-30T21:00:00,-0.34,1.71
2006-07-07T21:00:00,1.7,2.53
2006-07-14T21:00:00,0.0,1.81
2006-07-21T21:00:00,-1.14,2.31
2006-07-28T21:00:00,-0.27,1.36
2006-08-04T21:00:00,1.56,1.91
2006-08-11T21:00:00,-0.33,1.35
2006-08-18T21:00:00,1.21,1.68
2006-08-25T21:00:00,-0.2,0.87
2006-09-01T21:00:00,-0.13,1.35
2006-09-08T21:00:00,0.47,1.33
2006-09-15T21:00:00,-0.86,1.88
2006-09-22T21:00:00,1.34,1.68
2006-09-29T21:00:00,0.86,1.59
2006-10-06T21:00:00,0.52,0.85
2006-10-13T21:00:00,-0.65,1.45
2006-10-20T21:00:00,-0.79,2.12
2006-10-27T21:00:00,0.33,1.4
2006-11-03T22:00:00,-0.33,1.13
2006-11-10T22:00:00,0.07,1.06
2006-11-17T22:00:00,-1.46,2.22
