date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-0.4,2.37
2004-06-18T21:00:00,0.36,1.08
2004-06-25T21:00:00,-0.17,1.93
2004-07-02T21:00:00,0.98,1.09
2004-07-09T21:00:00,-0.17,1.12
2004-07-16T21:00:00,-2.82,2.9
2004-07-23T21:00:00,1.01,1.49
2004-07-30T21:00:00,1.02,1.02
2004-08-06T21:00:00,1.91,2.38
2004-08-13T21:00:00,0.41,0.78
2004-08-20T21:00:00,-1.74,3.12
2004-08-27T21:00:00,-2.08,2.41
2004-09-03T21:00:00,0.6,1.48
2004-09-10T21:00:00,1.18,1.18
2004-09-17T21:00:00,-0.58,0.85
2004-09-24T21:00:00,-0.14,0.91
2004-10-01T21:00:00,1.09,1.09
2004-10-08T21:00:00,0.67,1.34
2004-10-15T21:00:00,-0.07,0.45
2004-10-22T21:00:00,-3.1,3.2
2004-10-29T21:00:00,-0.46,0.86
2004-11-05T22:00:00,-0.53,1.88
2004-11-12T22:00:00,2.04,2.77
2004-11-19T22:00:00,-0.53,1.0
2004-11-26T22:00:00,1.84,1.84
2004-12-03T22:00:00,0.35,1.05
2004-12-10T22:00:00,1.87,2.3
2004-12-17T22:00:00,0.6,1.13
2004-12-24T22:00:00,-2.39,2.44
2004-12-31T22:00:00,-0.73,1.9
2005-01-07T22:00:00,-0.49,1.8
2005-01-14T22:00:00,2.66,3.96
2005-01-21T22:00:00,1.08,2.48
2005-01-28T22:00:00,0.54,1.56
2005-02-04T22:00:00,-0.54,2.11
2005-02-11T22:00:00,0.87,1.6
2005-02-18T22:00:00,0.45,1.7
2005-02-25T22:00:00,0.89,1.92
2005-03-04T22:00:00,-1.16,3.06
2005-03-11T22:00:00,0.37,1.14
2005-03-18T22:00:00,-2.68,3.72
2005-03-25T22:00:00,-1.14,1.54
2005-04-01T22:00:00,2.24,2.91
2005-04-08T21:00:00,1.38,2.4
2005-04-15T21:00:00,1.19,2.22
2005-04-22T21:00:00,1.82,2.95
2005-04-29T21:00:00,-1.04,1.75
2005-05-06T21:00:00,-1.03,2.31
2005-05-13T21:00:00,-0.32,1.58
2005-05-20T21:00:00,0.0,1.7
2005-05-27T21:00:00,-2.74,3.47
2005-06-03T21:00:00,1.24,2.91
2005-06-10T21:00:00,-0.25,1.49
2005-06-17T21:00:00,-1.26,2.26
2005-06-24T21:00:00,-2.36,3.96
2005-07-01T21:00:00,-3.29,4.04
2005-07-08T21:00:00,0.3,2.56
2005-07-15T21:00:00,1.6,2.54
2005-07-22T21:00:00,-0.42,1.93
2005-07-29T21:00:00,0.92,2.19
2005-08-05T21:00:00,0.77,1.66
2005-08-12T21:00:00,-0.67,1.52
2005-08-19T21:00:00,-0.78,2.1
2005-08-26T21:00:00,0.63,2.84
2005-09-02T21:00:00,-0.66,2.09
2005-09-09T21:00:00,-0.31,1.52
2005-09-16T21:00:00,-3.15,3.77
2005-09-23T21:00:00,-0.11,2.4
2005-09-30T21:00:00,1.56,3.43
2005-10-07T21:00:00,1.26,1.96
2005-10-14T21:00:00,0.61,1.95
2005-10-21T21:00:00,-0.41,2.25
2005-10-28T21:00:00,-2.33,3.34
2005-11-04T22:00:00,1.07,6.1
2005-11-11T22:00:00,-0.07,1.3
2005-11-18T22:00:00,-0.19,1.53
2005-11-25T22:00:00,1.74,2.23
2005-12-02T22:00:00,-1.76,3.17
2005-12-09T22:00:00,-1.63,3.22
2005-12-16T22:00:00,-1.85,3.06
2005-12-23T22:00:00,1.02,2.14
2005-12-30T22:00:00,1.51,2.86
2006-01-06T22:00:00,0.58,1.14
2006-01-13T22:00:00,-3.4,4.17
2006-01-20T22:00:00,0.03,2.33
2006-01-27T22:00:00,0.47,1.9
2006-02-03T22:00:00,-0.59,1.64
2006-02-10T22:00:00,-1.72,2.86
2006-02-17T22:00:00,-0.99,2.27
2006-02-24T22:00:00,-0.75,1.45
2006-03-03T22:00:00,-1.45,2.21
2006-03-10T22:00:00,-1.12,2.65
2006-03-17T22:00:00,-3.39,3.92
2006-03-24T22:00:00,1.22,2.65
2006-03-31T22:00:00,-2.78,3.67
2006-04-07T21:00:00,1.85,3.5
2006-04-14T21:00:00,1.26,2.0
2006-04-21T21:00:00,-0.99,2.64
2006-04-28T21:00:00,-0.57,1.55
2006-05-05T21:00:00,-1.79,3.78
2006-05-12T21:00:00,-0.4,1.97
2006-05-19T21:00:00,1.04,3.49
2006-05-26T21:00:00,-0.99,2.76
2006-06-02T21:00:00,0.98,2.27
2006-06-09T21:00:00,-1.14,2.58
2006-06-16T21:00:00,-1.5,3.05
2006-06-23T21:00:00,-0.32,3.2
2006-06-30T21:00:00,0.03,1.69
2006-07-07T21:00:00,2.88,3.4
2006-07-14T21:00:00,1.48,2.23
2006-07-21T21:00:00,-1.39,2.75
2006-07-28T21:00:00,0.71,2.22
2006-08-04T21:00:00,0.93,2.86
2006-08-11T21:00:00,1.02,1.87
2006-08-18T21:00:00,-1.89,2.61
2006-08-25T21:00:00,2.5,3.12
2006-09-01T21:00:00,-1.25,2.7
2006-09-08T21:00:00,3.9,4.74
2006-09-15T21:00:00,-0.21,2.36
2006-09-22T21:00:00,-1.2,3.8
2006-09-29T21:00:00,1.57,3.42
2006-10-06T21:00:00,0.91,2.18
2006-10-13T21:00:00,0.6,1.79
2006-10-20T21:00:00,-1.35,2.36
2006-10-27T21:00:00,1.98,3.82
2006-11-03T22:00:00,-0.36,1.38
2006-11-10T22:00:00,1.19,1.92
2006-11-17T22:00:00,-0.01,1.54
2006-11-24T22:00:00,3.3,4.2
2006-12-01T22:00:00,0.27,2.24
2006-12-08T22:00:00,1.15,2.12
2006-12-15T22:00:00,1.54,2.1
2006-12-22T22:00:00,1.28,1.96
2006-12-29T22:00:00,-2.01,3.25
2007-01-05T22:00:00,0.2,1.72
2007-01-12T22:00:00,0.93,1.43
2007-01-19T22:00:00,0.67,2.31
2007-01-26T22:00:00,-1.75,3.32
2007-02-02T22:00:00,-0.72,2.28
2007-02-09T22:00:00,1.27,1.68
2007-02-16T22:00:00,1.0,1.76
2007-02-23T22:00:00,-1.19,2.67
2007-03-02T22:00:00,-0.07,2.4
2007-03-09T22:00:00,1.26,2.41
2007-03-16T21:00:00,0.51,1.76
2007-03-23T21:00:00,-0.23,1.83
2007-03-30T21:00:00,0.5,2.05
2007-04-06T21:00:00,1.2,1.76
2007-04-13T21:00:00,0.15,1.81
2007-04-20T21:00:00,-1.45,2.01
2007-04-27T21:00:00,-1.51,2.43
2007-05-04T21:00:00,-0.08,1.43
2007-05-11T21:00:00,-2.42,3.56
2007-05-18T21:00:00,-1.37,1.89
2007-05-25T21:00:00,0.87,2.03
2007-06-01T21:00:00,2.5,2.99
2007-06-08T21:00:00,-0.26,2.31
2007-06-15T21:00:00,1.22,2.81
2007-06-22T21:00:00,0.94,1.85
2007-06-29T21:00:00,-0.21,1.88
2007-07-06T21:00:00,0.42,1.66
2007-07-13T21:00:00,1.43,1.71
2007-07-20T21:00:00,-2.59,4.92
2007-07-27T21:00:00,-1.28,2.73
2007-08-03T21:00:00,-2.4,3.55
2007-08-10T21:00:00,-5.84,10.04
2007-08-17T21:00:00,2.39,4.96
2007-08-24T21:00:00,-2.38,4.3
2007-08-31T21:00:00,-1.49,3.2
2007-09-07T21:00:00,0.96,2.88
2007-09-14T21:00:00,1.4,3.93
2007-09-21T21:00:00,1.04,3.39
2007-09-28T21:00:00,-0.83,2.48
2007-10-05T21:00:00,1.03,1.39
2007-10-12T21:00:00,-4.26,4.82
2007-10-19T21:00:00,2.04,3.42
2007-10-26T21:00:00,-2.91,4.39
2007-11-02T21:00:00,0.93,2.9
2007-11-09T22:00:00,2.1,5.0
2007-11-16T22:00:00,1.84,2.21
2007-11-23T22:00:00,1.71,4.45
2007-11-30T22:00:00,2.28,3.68
2007-12-07T22:00:00,-0.31,3.39
2007-12-14T22:00:00,-2.64,4.23
2007-12-21T22:00:00,0.46,1.41
2007-12-28T22:00:00,1.09,2.29
2008-01-04T22:00:00,3.72,5.28
2008-01-11T22:00:00,-2.09,3.8
2008-01-18T22:00:00,-0.82,3.36
2008-01-25T22:00:00,2.13,2.63
2008-02-01T22:00:00,-0.44,2.4
2008-02-08T22:00:00,0.92,2.25
2008-02-15T22:00:00,2.92,3.36
2008-02-22T22:00:00,-3.67,4.99
2008-02-29T22:00:00,-0.03,3.15
2008-03-07T22:00:00,2.48,4.33
