date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-1.54,2.33
2004-06-18T21:00:00,1.58,1.58
2004-06-25T21:00:00,0.64,0.96
2004-07-02T21:00:00,0.71,0.98
2004-07-09T21:00:00,0.47,1.24
2004-07-16T21:00:00,-0.39,1.74
2004-07-23T21:00:00,1.5,2.0
2004-07-30T21:00:00,0.22,1.6
2004-08-06T21:00:00,1.11,1.33
2004-08-13T21:00:00,2.2,2.2
2004-08-20T21:00:00,-0.41,2.01
2004-08-27T21:00:00,-1.96,2.38
2004-09-03T21:00:00,0.26,0.83
2004-09-10T21:00:00,1.55,1.57
2004-09-17T21:00:00,0.7,1.37
2004-09-24T21:00:00,0.08,0.59
2004-10-01T21:00:00,1.96,1.96
2004-10-08T21:00:00,-0.69,0.89
2004-10-15T21:00:00,-0.23,0.36
2004-10-22T21:00:00,-2.69,2.76
2004-10-29T21:00:00,-0.11,0.92
2004-11-05T22:00:00,-0.82,1.47
2004-11-12T22:00:00,1.29,1.7
2004-11-19T22:00:00,-0.91,1.29
2004-11-26T22:00:00,-0.23,1.14
2004-12-03T22:00:00,0.07,0.65
2004-12-10T22:00:00,1.41,1.41
2004-12-17T22:00:00,-0.64,1.22
2004-12-24T22:00:00,-0.13,1.37
2004-12-31T22:00:00,0.55,1.81
2005-01-07T22:00:00,0.26,1.36
2005-01-14T22:00:00,2.59,3.72
2005-01-21T22:00:00,-0.19,1.39
2005-01-28T22:00:00,1.72,2.3
2005-02-04T22:00:00,0.49,1.73
2005-02-11T22:00:00,-1.04,2.2
2005-02-18T22:00:00,-1.91,2.72
2005-02-25T22:00:00,2.14,2.9
2005-03-04T22:00:00,-0.74,2.29
2005-03-11T22:00:00,1.86,2.23
2005-03-18T22:00:00,-0.94,2.49
2005-03-25T22:00:00,-0.54,1.41
2005-04-01T22:00:00,0.62,1.63
2005-04-08T21:00:00,0.2,2.69
2005-04-15T21:00:00,0.63,2.23
2005-04-22T21:00:00,1.12,2.36
2005-04-29T21:00:00,1.14,2.25
2005-05-06T21:00:00,-1.58,1.82
2005-05-13T21:00:00,0.46,1.58
2005-05-20T21:00:00,0.62,1.32
2005-05-27T21:00:00,-0.41,1.48
2005-06-03T21:00:00,2.18,2.56
2005-06-10T21:00:00,0.67,2.03
2005-06-17T21:00:00,-0.35,1.86
2005-06-24T21:00:00,-1.37,2.21
2005-07-01T21:00:00,-1.22,2.21
2005-07-08T21:00:00,-0.11,1.75
2005-07-15T21:00:00,1.76,2.71
2005-07-22T21:00:00,-1.26,1.61
2005-07-29T21:00:00,-0.59,1.29
2005-08-05T21:00:00,1.18,1.83
2005-08-12T21:00:00,0.4,0.79
2005-08-19T21:00:00,-1.16,1.76
2005-08-26T21:00:00,-0.63,1.8
