date,return,volatility
2008-06-13T21:00:00,0.0,0.0
2008-06-20T21:00:00,-0.03,1.36
2008-06-27T21:00:00,-0.45,1.62
2008-07-04T21:00:00,0.3,2.23
2008-07-11T21:00:00,-0.12,2.44
2008-07-18T21:00:00,-2.53,3.33
2008-07-25T21:00:00,-2.04,2.97
2008-08-01T21:00:00,-3.12,4.93
2008-08-08T21:00:00,0.28,3.82
2008-08-15T21:00:00,0.27,2.49
2008-08-22T21:00:00,-1.19,2.84
2008-08-29T21:00:00,-4.51,6.26
2008-09-05T21:00:00,-0.6,6.41
2008-09-12T21:00:00,2.76,6.22
2008-09-19T21:00:00,-0.38,2.7
2008-09-26T21:00:00,-3.59,5.15
2008-10-03T21:00:00,-10.29,14.34
2008-10-10T21:00:00,3.12,7.48
2008-10-17T21:00:00,-9.24,14.03
2008-10-24T21:00:00,4.51,12.7
2008-10-31T21:00:00,1.61,5.87
2008-11-07T22:00:00,-6.77,9.65
2008-11-14T22:00:00,-3.04,8.25
2008-11-21T22:00:00,2.23,5.69
2008-11-28T22:00:00,-2.88,5.6
2008-12-05T22:00:00,2.69,4.73
2008-12-12T22:00:00,4.96,12.07
2008-12-19T22:00:00,0.35,2.77
2008-12-26T22:00:00,1.46,2.81
2009-01-02T22:00:00,0.9,3.96
2009-01-09T22:00:00,-7.75,12.27
2009-01-16T22:00:00,-3.5,7.29
2009-01-23T22:00:00,-3.85,6.53
2009-01-30T22:00:00,4.44,8.1
2009-02-06T22:00:00,-1.61,6.01
2009-02-13T22:00:00,-2.21,4.64
2009-02-20T22:00:00,-1.82,4.15
2009-02-27T22:00:00,0.35,4.01
2009-03-06T22:00:00,4.34,7.17
2009-03-13T21:00:00,6.38,8.05
2009-03-20T21:00:00,2.03,4.55
2009-03-27T21:00:00,2.99,6.69
2009-04-03T21:00:00,-0.51,5.11
2009-04-10T21:00:00,-2.72,5.01
2009-04-17T21:00:00,0.8,4.62
2009-04-24T21:00:00,-0.52,4.5
2009-05-01T21:00:00,5.86,6.2
2009-05-08T21:00:00,-3.05,5.02
2009-05-15T21:00:00,6.09,6.96
2009-05-22T21:00:00,3.29,5.27
2009-05-29T21:00:00,-2.16,5.96
2009-06-05T21:00:00,2.67,5.12
2009-06-12T21:00:00,0.1,3.88
2009-06-19T21:00:00,0.4,3.69
2009-06-26T21:00:00,-2.44,4.57
2009-07-03T21:00:00,-0.29,3.18
2009-07-10T21:00:00,2.87,5.09
2009-07-17T21:00:00,1.73,2.98
2009-07-24T21:00:00,0.9,2.41
2009-07-31T21:00:00,1.72,3.46
2009-08-07T21:00:00,0.77,4.33
2009-08-14T21:00:00,0.7,3.38
2009-08-21T21:00:00,0.12,1.79
