date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-1.5,2.47
2004-06-18T21:00:00,0.22,1.34
2004-06-25T21:00:00,2.45,2.69
2004-07-02T21:00:00,1.25,1.89
2004-07-09T21:00:00,1.02,1.02
2004-07-16T21:00:00,-2.48,2.54
2004-07-23T21:00:00,1.34,1.95
2004-07-30T21:00:00,1.73,1.73
2004-08-06T21:00:00,2.32,2.32
2004-08-13T21:00:00,0.11,1.13
2004-08-20T21:00:00,-2.41,3.37
2004-08-27T21:00:00,-0.31,1.12
2004-09-03T21:00:00,0.53,1.43
2004-09-10T21:00:00,0.96,1.0
2004-09-17T21:00:00,1.91,1.91
2004-09-24T21:00:00,0.96,0.96
2004-10-01T21:00:00,0.85,1.31
2004-10-08T21:00:00,0.33,1.19
2004-10-15T21:00:00,-0.59,0.87
2004-10-22T21:00:00,-2.84,2.93
2004-10-29T21:00:00,1.0,1.0
2004-11-05T22:00:00,-0.25,0.63
2004-11-12T22:00:00,-0.29,0.94
2004-11-19T22:00:00,0.46,0.69
2004-11-26T22:00:00,0.07,0.42
2004-12-03T22:00:00,0.54,0.95
2004-12-10T22:00:00,0.68,1.29
2004-12-17T22:00:00,0.15,1.04
2004-12-24T22:00:00,-1.08,1.2
2004-12-31T22:00:00,-1.11,1.71
2005-01-07T22:00:00,-1.95,2.65
2005-01-14T22:00:00,2.9,4.27
2005-01-21T22:00:00,0.26,1.57
2005-01-28T22:00:00,0.45,1.42
2005-02-04T22:00:00,2.08,3.04
2005-02-11T22:00:00,1.21,2.81
2005-02-18T22:00:00,-0.5,1.72
2005-02-25T22:00:00,1.04,2.04
2005-03-04T22:00:00,0.18,2.09
2005-03-11T22:00:00,1.4,1.72
2005-03-18T22:00:00,-2.41,3.07
2005-03-25T22:00:00,0.32,1.45
2005-04-01T22:00:00,1.71,2.36
2005-04-08T21:00:00,-0.46,1.8
2005-04-15T21:00:00,0.61,1.97
2005-04-22T21:00:00,-1.26,2.04
2005-04-29T21:00:00,0.54,1.54
2005-05-06T21:00:00,-0.92,1.58
2005-05-13T21:00:00,0.41,1.9
2005-05-20T21:00:00,0.72,1.39
2005-05-27T21:00:00,-2.38,2.68
2005-06-03T21:00:00,1.75,2.01
2005-06-10T21:00:00,1.49,2.01
2005-06-17T21:00:00,-1.18,2.28
2005-06-24T21:00:00,-0.61,2.12
2005-07-01T21:00:00,-1.2,1.78
2005-07-08T21:00:00,0.15,1.45
2005-07-15T21:00:00,0.95,1.9
2005-07-22T21:00:00,0.29,1.12
2005-07-29T21:00:00,0.99,1.31
2005-08-05T21:00:00,0.05,1.46
2005-08-12T21:00:00,-0.85,1.81
