date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,1.49,1.87
2003-04-11T21:00:00,2.15,2.3
2003-04-18T21:00:00,-0.32,1.36
2003-04-25T21:00:00,1.46,1.5
2003-05-02T21:00:00,2.25,2.25
2003-05-09T21:00:00,0.48,1.79
2003-05-16T21:00:00,-0.17,0.92
2003-05-23T21:00:00,-1.15,1.39
2003-05-30T21:00:00,0.23,0.84
2003-06-06T21:00:00,0.76,1.41
2003-06-13T21:00:00,0.4,0.64
2003-06-20T21:00:00,-0.26,1.36
2003-06-27T21:00:00,2.2,2.2
2003-07-04T21:00:00,-0.59,2.05
2003-07-11T21:00:00,-2.98,3.07
2003-07-18T21:00:00,2.87,2.87
2003-07-25T21:00:00,-0.14,1.11
2003-08-01T21:00:00,-0.46,0.94
2003-08-08T21:00:00,1.65,1.65
2003-08-15T21:00:00,-0.8,1.04
2003-08-22T21:00:00,-0.93,2.48
2003-08-29T21:00:00,-0.24,2.27
2003-09-05T21:00:00,1.13,1.44
2003-09-12T21:00:00,1.42,1.42
2003-09-19T21:00:00,-1.04,1.23
2003-09-26T21:00:00,0.61,1.88
2003-10-03T21:00:00,1.0,1.0
2003-10-10T21:00:00,-0.72,1.1
2003-10-17T21:00:00,1.86,2.29
2003-10-24T21:00:00,0.92,0.92
2003-10-31T22:00:00,0.73,1.67
2003-11-07T22:00:00,2.43,2.43
2003-11-14T22:00:00,1.9,2.59
2003-11-21T22:00:00,-0.34,0.99
2003-11-28T22:00:00,0.69,0.91
2003-12-05T22:00:00,0.37,0.5
2003-12-12T22:00:00,-0.09,0.95
2003-12-19T22:00:00,0.25,0.97
2003-12-26T22:00:00,1.87,1.87
2004-01-02T22:00:00,3.41,3.41
2004-01-09T22:00:00,-2.54,2.78
2004-01-16T22:00:00,1.25,3.3
2004-01-23T22:00:00,0.34,1.24
2004-01-30T22:00:00,2.97,3.04
2004-02-06T22:00:00,1.77,1.77
2004-02-13T22:00:00,-2.38,3.74
2004-02-20T22:00:00,0.8,1.31
2004-02-27T22:00:00,-1.72,3.28
2004-03-05T22:00:00,-4.71,4.95
2004-03-12T22:00:00,0.94,2.03
2004-03-19T22:00:00,-0.53,2.51
2004-03-26T22:00:00,1.14,2.68
2004-04-02T22:00:00,0.43,1.43
2004-04-09T21:00:00,-3.25,4.39
2004-04-16T21:00:00,-1.98,3.76
2004-04-23T21:00:00,-0.14,1.41
2004-04-30T21:00:00,-1.39,2.86
2004-05-07T21:00:00,-1.93,2.73
2004-05-14T21:00:00,0.58,1.71
2004-05-21T21:00:00,3.88,4.41
2004-05-28T21:00:00,-1.5,2.37
2004-06-04T21:00:00,0.88,2.59
2004-06-11T21:00:00,-0.35,2.56
2004-06-18T21:00:00,1.37,1.83
2004-06-25T21:00:00,1.78,2.6
2004-07-02T21:00:00,1.4,1.51
2004-07-09T21:00:00,0.3,1.58
2004-07-16T21:00:00,-3.65,3.79
2004-07-23T21:00:00,0.25,1.51
2004-07-30T21:00:00,2.24,2.24
2004-08-06T21:00:00,2.05,2.11
2004-08-13T21:00:00,1.23,1.3
2004-08-20T21:00:00,-2.86,3.79
2004-08-27T21:00:00,-1.1,1.48
2004-09-03T21:00:00,1.27,1.27
2004-09-10T21:00:00,0.69,0.88
2004-09-17T21:00:00,1.14,1.14
2004-09-24T21:00:00,0.96,1.81
2004-10-01T21:00:00,1.99,2.35
2004-10-08T21:00:00,0.5,1.6
2004-10-15T21:00:00,1.06,1.18
2004-10-22T21:00:00,-1.99,2.51
2004-10-29T21:00:00,1.24,1.67
2004-11-05T22:00:00,-0.38,1.84
2004-11-12T22:00:00,2.09,2.09
2004-11-19T22:00:00,0.96,1.08
2004-11-26T22:00:00,0.64,0.87
2004-12-03T22:00:00,-2.45,2.51
2004-12-10T22:00:00,1.72,2.34
2004-12-17T22:00:00,0.38,1.03
2004-12-24T22:00:00,0.22,1.19
2004-12-31T22:00:00,-3.27,3.87
2005-01-07T22:00:00,0.66,2.38
2005-01-14T22:00:00,2.11,3.56
2005-01-21T22:00:00,-0.28,1.54
2005-01-28T22:00:00,-0.32,1.13
2005-02-04T22:00:00,0.53,2.77
2005-02-11T22:00:00,1.27,2.11
2005-02-18T22:00:00,-0.14,1.66
2005-02-25T22:00:00,1.45,2.15
2005-03-04T22:00:00,0.94,1.8
2005-03-11T22:00:00,0.72,1.46
2005-03-18T22:00:00,-3.93,4.59
2005-03-25T22:00:00,-0.73,1.72
2005-04-01T22:00:00,1.02,2.45
2005-04-08T21:00:00,-0.06,2.04
2005-04-15T21:00:00,2.22,3.12
2005-04-22T21:00:00,-0.07,2.16
2005-04-29T21:00:00,0.22,1.86
2005-05-06T21:00:00,-2.83,3.26
2005-05-13T21:00:00,-0.39,1.5
2005-05-20T21:00:00,0.95,1.45
2005-05-27T21:00:00,-2.17,2.9
2005-06-03T21:00:00,0.84,2.66
2005-06-10T21:00:00,1.57,2.22
2005-06-17T21:00:00,-1.62,2.25
2005-06-24T21:00:00,-3.02,4.31
2005-07-01T21:00:00,-1.45,2.34
2005-07-08T21:00:00,0.16,2.51
2005-07-15T21:00:00,1.71,2.58
2005-07-22T21:00:00,-0.74,1.27
2005-07-29T21:00:00,1.36,2.17
2005-08-05T21:00:00,2.39,3.0
2005-08-12T21:00:00,-1.84,2.73
2005-08-19T21:00:00,0.16,1.25
2005-08-26T21:00:00,1.64,3.31
2005-09-02T21:00:00,0.18,1.38
2005-09-09T21:00:00,-0.37,1.35
2005-09-16T21:00:00,-2.38,2.91
2005-09-23T21:00:00,0.49,2.37
2005-09-30T21:00:00,0.62,1.81
2005-10-07T21:00:00,0.19,1.76
2005-10-14T21:00:00,0.5,1.66
2005-10-21T21:00:00,0.51,1.44
2005-10-28T21:00:00,-2.87,3.58
2005-11-04T22:00:00,0.56,5.95
2005-11-11T22:00:00,0.01,1.67
2005-11-18T22:00:00,1.41,1.97
2005-11-25T22:00:00,2.43,2.8
2005-12-02T22:00:00,-1.36,3.34
2005-12-09T22:00:00,-1.78,3.74
2005-12-16T22:00:00,-2.4,3.51
2005-12-23T22:00:00,1.32,2.1
2005-12-30T22:00:00,1.25,2.05
2006-01-06T22:00:00,1.03,1.43
2006-01-13T22:00:00,-2.75,3.52
2006-01-20T22:00:00,0.29,2.04
2006-01-27T22:00:00,0.92,1.84
2006-02-03T22:00:00,-1.31,2.19
2006-02-10T22:00:00,-1.52,2.79
2006-02-17T22:00:00,-0.84,2.27
2006-02-24T22:00:00,0.5,1.79
2006-03-03T22:00:00,-3.68,4.32
2006-03-10T22:00:00,-0.95,2.7
2006-03-17T22:00:00,-4.13,4.67
2006-03-24T22:00:00,1.08,2.89
2006-03-31T22:00:00,-1.15,2.91
2006-04-07T21:00:00,1.68,3.32
2006-04-14T21:00:00,2.49,2.99
2006-04-21T21:00:00,0.87,2.51
2006-04-28T21:00:00,0.63,1.66
2006-05-05T21:00:00,-2.15,3.67
2006-05-12T21:00:00,-1.15,2.35
2006-05-19T21:00:00,2.13,4.44
2006-05-26T21:00:00,-0.54,3.23
2006-06-02T21:00:00,0.56,2.09
2006-06-09T21:00:00,-2.6,2.96
2006-06-16T21:00:00,-1.49,3.0
2006-06-23T21:00:00,0.25,3.37
2006-06-30T21:00:00,0.21,1.54
2006-07-07T21:00:00,1.56,1.87
2006-07-14T21:00:00,0.65,1.91
2006-07-21T21:00:00,-0.95,2.12
2006-07-28T21:00:00,1.08,1.84
2006-08-04T21:00:00,1.17,2.25
2006-08-11T21:00:00,0.95,2.58
2006-08-18T21:00:00,-0.42,1.48
