date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-1.08,1.5
2004-06-18T21:00:00,0.6,0.77
2004-06-25T21:00:00,-1.28,2.41
2004-07-02T21:00:00,-0.14,0.4
2004-07-09T21:00:00,0.25,1.12
2004-07-16T21:00:00,1.93,1.93
2004-07-23T21:00:00,1.62,1.62
2004-07-30T21:00:00,-1.95,2.37
2004-08-06T21:00:00,-0.67,1.94
2004-08-13T21:00:00,1.31,1.31
2004-08-20T21:00:00,2.22,2.22
2004-08-27T21:00:00,-0.41,1.47
2004-09-03T21:00:00,-0.64,0.64
2004-09-10T21:00:00,1.33,1.47
2004-09-17T21:00:00,-0.6,1.39
2004-09-24T21:00:00,-0.27,0.76
2004-10-01T21:00:00,-0.1,0.75
2004-10-08T21:00:00,-1.04,1.32
2004-10-15T21:00:00,-0.94,0.95
2004-10-22T21:00:00,-0.53,0.9
2004-10-29T21:00:00,-0.72,1.4
2004-11-05T22:00:00,-0.18,0.93
2004-11-12T22:00:00,-0.44,1.2
2004-11-19T22:00:00,-1.2,1.64
2004-11-26T22:00:00,-0.84,1.59
2004-12-03T22:00:00,1.28,1.28
2004-12-10T22:00:00,0.2,1.1
2004-12-17T22:00:00,-0.75,0.87
2004-12-24T22:00:00,0.16,0.98
2004-12-31T22:00:00,2.9,3.82
2005-01-07T22:00:00,0.17,1.62
2005-01-14T22:00:00,0.62,1.41
2005-01-21T22:00:00,-0.01,1.16
2005-01-28T22:00:00,2.11,2.4
2005-02-04T22:00:00,-0.81,2.4
2005-02-11T22:00:00,-1.8,2.14
2005-02-18T22:00:00,-1.31,1.74
2005-02-25T22:00:00,1.03,2.1
2005-03-04T22:00:00,-1.29,2.08
2005-03-11T22:00:00,0.82,1.36
2005-03-18T22:00:00,1.9,2.18
2005-03-25T22:00:00,-0.58,1.96
2005-04-01T22:00:00,-0.15,1.04
2005-04-08T21:00:00,0.08,2.08
2005-04-15T21:00:00,-1.06,1.96
2005-04-22T21:00:00,1.79,2.02
2005-04-29T21:00:00,0.76,1.54
2005-05-06T21:00:00,0.26,1.48
2005-05-13T21:00:00,0.56,1.19
2005-05-20T21:00:00,-0.1,1.01
2005-05-27T21:00:00,1.24,1.52
2005-06-03T21:00:00,1.16,1.66
2005-06-10T21:00:00,-0.72,1.42
2005-06-17T21:00:00,0.94,1.68
2005-06-24T21:00:00,0.6,1.6
2005-07-01T21:00:00,-0.19,1.7
2005-07-08T21:00:00,0.59,2.08
2005-07-15T21:00:00,1.77,2.97
2005-07-22T21:00:00,-0.74,1.39
2005-07-29T21:00:00,-1.52,1.93
2005-08-05T21:00:00,-1.06,1.62
2005-08-12T21:00:00,1.09,1.51
2005-08-19T21:00:00,-1.5,2.21
2005-08-26T21:00:00,-2.15,3.21
2005-09-02T21:00:00,1.02,1.56
2005-09-09T21:00:00,1.59,2.03
2005-09-16T21:00:00,1.61,1.78
2005-09-23T21:00:00,-0.31,1.14
2005-09-30T21:00:00,-0.74,2.28
2005-10-07T21:00:00,0.33,1.41
2005-10-14T21:00:00,0.04,1.75
2005-10-21T21:00:00,-0.68,1.54
2005-10-28T21:00:00,1.51,2.12
2005-11-04T22:00:00,0.22,1.08
2005-11-11T22:00:00,0.43,1.66
2005-11-18T22:00:00,0.78,1.28
2005-11-25T22:00:00,-0.12,1.87
2005-12-02T22:00:00,-0.71,1.6
2005-12-09T22:00:00,0.03,1.51
2005-12-16T22:00:00,1.73,2.19
2005-12-23T22:00:00,0.29,1.23
2005-12-30T22:00:00,-1.85,2.63
2006-01-06T22:00:00,1.18,2.29
