date,return,volatility
2008-06-13T21:00:00,0.0,0.0
2008-06-20T21:00:00,0.17,0.69
2008-06-27T21:00:00,0.06,0.69
2008-07-04T21:00:00,0.58,0.89
2008-07-11T21:00:00,0.17,0.93
2008-07-18T21:00:00,-0.52,1.1
2008-07-25T21:00:00,-0.8,0.92
2008-08-01T21:00:00,-2.22,2.56
2008-08-08T21:00:00,-0.88,1.17
2008-08-15T21:00:00,0.33,1.11
2008-08-22T21:00:00,-0.33,1.16
2008-08-29T21:00:00,-1.36,1.9
2008-09-05T21:00:00,0.16,2.48
2008-09-12T21:00:00,0.16,1.31
2008-09-19T21:00:00,-0.16,1.6
2008-09-26T21:00:00,-1.61,1.99
2008-10-03T21:00:00,-2.32,2.55
2008-10-10T21:00:00,-0.32,2.27
2008-10-17T21:00:00,-1.87,2.98
2008-10-24T21:00:00,1.59,3.94
2008-10-31T21:00:00,-1.06,2.97
2008-11-07T22:00:00,-1.56,3.23
2008-11-14T22:00:00,-0.58,1.07
2008-11-21T22:00:00,0.87,1.88
2008-11-28T22:00:00,-0.74,1.46
2008-12-05T22:00:00,2.26,3.25
2008-12-12T22:00:00,2.12,5.23
2008-12-19T22:00:00,0.72,1.43
2008-12-26T22:00:00,-0.61,2.28
2009-01-02T22:00:00,-1.88,2.3
2009-01-09T22:00:00,-0.31,1.05
2009-01-16T22:00:00,-1.03,2.12
2009-01-23T22:00:00,-0.51,1.14
2009-01-30T22:00:00,0.99,1.58
2009-02-06T22:00:00,-0.87,1.59
2009-02-13T22:00:00,-1.27,2.05
2009-02-20T22:00:00,-1.0,2.07
2009-02-27T22:00:00,0.7,1.06
2009-03-06T22:00:00,0.2,1.83
2009-03-13T21:00:00,1.69,2.6
2009-03-20T21:00:00,0.05,0.93
2009-03-27T21:00:00,0.62,1.92
2009-04-03T21:00:00,-0.72,1.53
2009-04-10T21:00:00,0.97,1.55
2009-04-17T21:00:00,0.73,1.93
2009-04-24T21:00:00,0.58,2.03
2009-05-01T21:00:00,1.54,1.81
2009-05-08T21:00:00,-0.85,1.36
