date,return,volatility
2004-06-04T21:00:00,0.0,0.0
2004-06-11T21:00:00,-1.04,1.77
2004-06-18T21:00:00,-0.74,1.46
2004-06-25T21:00:00,0.51,0.56
2004-07-02T21:00:00,0.41,0.85
2004-07-09T21:00:00,0.8,1.43
2004-07-16T21:00:00,-0.2,0.56
2004-07-23T21:00:00,1.47,1.72
2004-07-30T21:00:00,-0.46,0.86
2004-08-06T21:00:00,0.53,0.98
2004-08-13T21:00:00,-0.76,0.96
2004-08-20T21:00:00,0.17,0.63
2004-08-27T21:00:00,1.25,1.63
2004-09-03T21:00:00,-0.37,0.75
2004-09-10T21:00:00,0.74,0.81
2004-09-17T21:00:00,0.6,0.76
2004-09-24T21:00:00,0.61,0.67
2004-10-01T21:00:00,-1.18,1.28
2004-10-08T21:00:00,-0.02,0.17
2004-10-15T21:00:00,-1.32,1.36
2004-10-22T21:00:00,-0.68,0.68
2004-10-29T21:00:00,0.36,0.67
2004-11-05T22:00:00,0.38,1.48
2004-11-12T22:00:00,-2.0,2.04
2004-11-19T22:00:00,0.18,0.61
2004-11-26T22:00:00,-0.56,0.87
2004-12-03T22:00:00,1.74,1.74
2004-12-10T22:00:00,-0.53,0.88
2004-12-17T22:00:00,0.03,0.66
2004-12-24T22:00:00,-0.79,1.03
2004-12-31T22:00:00,1.21,1.87
2005-01-07T22:00:00,-2.03,2.35
2005-01-14T22:00:00,0.9,1.96
2005-01-21T22:00:00,0.45,1.35
2005-01-28T22:00:00,0.82,1.3
2005-02-04T22:00:00,0.77,1.45
2005-02-11T22:00:00,0.44,1.52
2005-02-18T22:00:00,0.11,1.57
2005-02-25T22:00:00,-0.06,1.26
2005-03-04T22:00:00,-0.37,1.17
2005-03-11T22:00:00,0.36,1.12
2005-03-18T22:00:00,0.36,1.05
2005-03-25T22:00:00,0.26,1.1
2005-04-01T22:00:00,0.94,1.44
2005-04-08T21:00:00,-0.6,1.31
2005-04-15T21:00:00,-1.09,1.46
2005-04-22T21:00:00,-0.61,0.92
2005-04-29T21:00:00,0.16,1.02
2005-05-06T21:00:00,0.94,1.46
2005-05-13T21:00:00,0.49,1.1
2005-05-20T21:00:00,0.0,0.6
2005-05-27T21:00:00,-0.77,1.05
2005-06-03T21:00:00,0.74,1.39
2005-06-10T21:00:00,0.09,0.86
2005-06-17T21:00:00,0.08,1.0
2005-06-24T21:00:00,1.35,1.57
2005-07-01T21:00:00,-0.05,0.72
2005-07-08T21:00:00,0.77,1.42
2005-07-15T21:00:00,0.96,1.66
2005-07-22T21:00:00,0.82,1.04
2005-07-29T21:00:00,0.04,0.98
2005-08-05T21:00:00,-2.16,2.77
2005-08-12T21:00:00,-0.15,1.05
2005-08-19T21:00:00,-0.42,1.11
2005-08-26T21:00:00,-0.24,1.39
2005-09-02T21:00:00,-0.17,1.57
2005-09-09T21:00:00,0.99,1.78
2005-09-16T21:00:00,0.85,1.09
2005-09-23T21:00:00,0.46,1.19
2005-09-30T21:00:00,0.76,1.02
2005-10-07T21:00:00,0.0,0.71
2005-10-14T21:00:00,1.11,1.39
2005-10-21T21:00:00,0.0,1.08
2005-10-28T21:00:00,1.7,1.86
2005-11-04T22:00:00,-0.33,1.19
2005-11-11T22:00:00,1.11,1.34
2005-11-18T22:00:00,0.87,1.27
2005-11-25T22:00:00,1.03,2.41
2005-12-02T22:00:00,0.39,0.94
2005-12-09T22:00:00,-3.18,3.84
2005-12-16T22:00:00,0.5,1.6
2005-12-23T22:00:00,1.48,2.04
2005-12-30T22:00:00,-1.31,1.97
2006-01-06T22:00:00,0.39,1.19
2006-01-13T22:00:00,0.85,1.34
2006-01-20T22:00:00,1.76,2.48
