date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,-1.32,1.66
2003-04-11T21:00:00,-0.18,0.36
2003-04-18T21:00:00,-0.28,0.71
2003-04-25T21:00:00,-1.91,2.06
2003-05-02T21:00:00,-1.77,1.9
2003-05-09T21:00:00,-1.71,1.73
2003-05-16T21:00:00,1.59,1.8
2003-05-23T21:00:00,-0.5,1.36
2003-05-30T21:00:00,-0.93,2.24
2003-06-06T21:00:00,-1.92,2.14
2003-06-13T21:00:00,1.91,1.91
2003-06-20T21:00:00,-0.92,0.94
2003-06-27T21:00:00,-0.51,1.22
2003-07-04T21:00:00,2.72,3.19
2003-07-11T21:00:00,2.2,2.38
2003-07-18T21:00:00,-1.95,2.62
2003-07-25T21:00:00,1.26,1.65
2003-08-01T21:00:00,-0.51,0.93
2003-08-08T21:00:00,-0.34,1.07
2003-08-15T21:00:00,1.03,1.45
2003-08-22T21:00:00,-1.11,1.15
2003-08-29T21:00:00,-1.18,1.83
2003-09-05T21:00:00,-0.36,0.67
2003-09-12T21:00:00,-1.2,1.51
2003-09-19T21:00:00,0.75,1.03
2003-09-26T21:00:00,-0.75,1.0
2003-10-03T21:00:00,-1.8,1.84
2003-10-10T21:00:00,-0.31,0.91
2003-10-17T21:00:00,-0.5,1.3
2003-10-24T21:00:00,0.84,0.84
2003-10-31T22:00:00,0.27,1.43
2003-11-07T22:00:00,-1.52,1.78
2003-11-14T22:00:00,-0.05,1.01
2003-11-21T22:00:00,-0.22,1.59
2003-11-28T22:00:00,0.42,1.08
2003-12-05T22:00:00,0.93,1.54
2003-12-12T22:00:00,1.15,1.88
2003-12-19T22:00:00,-2.07,2.11
2003-12-26T22:00:00,-1.63,1.74
2004-01-02T22:00:00,-1.27,1.46
2004-01-09T22:00:00,2.19,2.24
2004-01-16T22:00:00,1.1,1.74
2004-01-23T22:00:00,0.8,1.91
2004-01-30T22:00:00,0.22,1.1
2004-02-06T22:00:00,-0.9,1.24
2004-02-13T22:00:00,1.59,2.02
2004-02-20T22:00:00,-0.18,1.0
2004-02-27T22:00:00,-0.97,1.58
2004-03-05T22:00:00,1.04,1.26
2004-03-12T22:00:00,0.04,0.81
2004-03-19T22:00:00,-1.18,1.73
2004-03-26T22:00:00,-0.35,0.96
2004-04-02T22:00:00,1.19,1.62
2004-04-09T21:00:00,1.2,1.2
2004-04-16T21:00:00,1.16,1.29
2004-04-23T21:00:00,0.86,2.04
2004-04-30T21:00:00,0.77,0.97
2004-05-07T21:00:00,0.38,0.66
2004-05-14T21:00:00,-1.1,2.14
2004-05-21T21:00:00,-0.8,1.21
2004-05-28T21:00:00,-0.81,1.27
2004-06-04T21:00:00,0.91,1.26
2004-06-11T21:00:00,-0.05,0.89
2004-06-18T21:00:00,-1.0,1.51
2004-06-25T21:00:00,-1.91,1.95
2004-07-02T21:00:00,-0.42,0.76
2004-07-09T21:00:00,-0.47,0.92
