date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,-0.01,0.95
2003-04-11T21:00:00,-0.89,1.71
2003-04-18T21:00:00,-1.33,1.94
2003-04-25T21:00:00,-1.22,2.06
2003-05-02T21:00:00,-2.26,2.4
2003-05-09T21:00:00,-0.21,1.34
2003-05-16T21:00:00,-0.61,0.91
2003-05-23T21:00:00,0.56,1.12
2003-05-30T21:00:00,1.12,1.48
2003-06-06T21:00:00,-1.68,1.71
2003-06-13T21:00:00,2.4,2.4
2003-06-20T21:00:00,1.35,2.08
2003-06-27T21:00:00,-0.09,0.61
2003-07-04T21:00:00,1.97,1.97
2003-07-11T21:00:00,-1.02,1.72
2003-07-18T21:00:00,-1.29,1.31
2003-07-25T21:00:00,1.3,1.85
2003-08-01T21:00:00,-0.29,1.26
2003-08-08T21:00:00,0.78,0.92
2003-08-15T21:00:00,3.34,3.34
2003-08-22T21:00:00,-1.43,1.45
2003-08-29T21:00:00,-1.24,2.62
2003-09-05T21:00:00,-0.3,0.9
2003-09-12T21:00:00,-0.89,1.58
2003-09-19T21:00:00,-1.15,1.27
2003-09-26T21:00:00,-0.63,2.44
2003-10-03T21:00:00,-1.8,1.88
2003-10-10T21:00:00,1.23,1.82
2003-10-17T21:00:00,-0.97,1.49
2003-10-24T21:00:00,1.96,1.96
2003-10-31T22:00:00,1.68,2.86
2003-11-07T22:00:00,-2.73,3.16
2003-11-14T22:00:00,-2.17,2.49
2003-11-21T22:00:00,-0.55,2.31
2003-11-28T22:00:00,-1.38,1.8
2003-12-05T22:00:00,-1.07,1.09
2003-12-12T22:00:00,-1.69,2.31
2003-12-19T22:00:00,0.11,0.94
2003-12-26T22:00:00,-1.07,1.08
2004-01-02T22:00:00,-1.56,1.6
2004-01-09T22:00:00,3.85,3.85
2004-01-16T22:00:00,-1.86,2.93
2004-01-23T22:00:00,1.18,1.48
2004-01-30T22:00:00,-1.78,2.21
2004-02-06T22:00:00,-0.23,0.92
2004-02-13T22:00:00,1.9,2.69
