date,return,volatility
2004-01-23T22:00:00,0.0,0.0
2004-01-30T22:00:00,-0.03,0.05
2004-02-06T22:00:00,-0.04,0.07
2004-02-13T22:00:00,0.03,0.07
2004-02-20T22:00:00,0.13,0.14
2004-02-27T22:00:00,0.07,0.13
2004-03-05T22:00:00,0.07,0.1
2004-03-12T22:00:00,-0.01,0.04
2004-03-19T22:00:00,0.06,0.07
2004-03-26T22:00:00,-0.13,0.13
2004-04-02T22:00:00,0.11,0.11
2004-04-09T21:00:00,0.04,0.05
2004-04-16T21:00:00,0.01,0.01
2004-04-23T21:00:00,0.0,0.01
2004-04-30T21:00:00,-0.0,0.0
2004-05-07T21:00:00,-0.0,0.01
2004-05-14T21:00:00,-0.13,0.17
2004-05-21T21:00:00,0.05,0.06
2004-05-28T21:00:00,0.04,0.04
2004-06-04T21:00:00,-0.02,0.05
2004-06-11T21:00:00,0.03,0.03
2004-06-18T21:00:00,-0.03,0.03
2004-06-25T21:00:00,0.04,0.04
2004-07-02T21:00:00,-0.0,0.01
2004-07-09T21:00:00,0.0,0.01
2004-07-16T21:00:00,0.01,0.01
2004-07-23T21:00:00,-0.0,0.01
2004-07-30T21:00:00,-0.05,0.05
2004-08-06T21:00:00,0.04,0.04
2004-08-13T21:00:00,0.01,0.01
2004-08-20T21:00:00,0.0,0.01
2004-08-27T21:00:00,-0.01,0.04
2004-09-03T21:00:00,0.01,0.02
2004-09-10T21:00:00,-0.01,0.02
2004-09-17T21:00:00,0.01,0.01
2004-09-24T21:00:00,-0.04,0.04
2004-10-01T21:00:00,-0.19,0.19
2004-10-08T21:00:00,0.06,0.11
2004-10-15T21:00:00,-0.02,0.05
2004-10-22T21:00:00,0.08,0.1
2004-10-29T21:00:00,-0.09,0.12
2004-11-05T22:00:00,0.0,0.12
2004-11-12T22:00:00,-0.01,0.06
2004-11-19T22:00:00,0.0,0.03
2004-11-26T22:00:00,-0.05,0.06
2004-12-03T22:00:00,0.06,0.08
2004-12-10T22:00:00,0.06,0.08
2004-12-17T22:00:00,0.03,0.03
2004-12-24T22:00:00,-0.12,0.12
2004-12-31T22:00:00,0.23,0.3
2005-01-07T22:00:00,0.06,0.12
2005-01-14T22:00:00,0.04,0.07
2005-01-21T22:00:00,0.02,0.05
2005-01-28T22:00:00,0.0,0.03
2005-02-04T22:00:00,0.01,0.03
2005-02-11T22:00:00,-0.01,0.02
2005-02-18T22:00:00,0.0,0.02
2005-02-25T22:00:00,-0.01,0.02
2005-03-04T22:00:00,-0.01,0.02
2005-03-11T22:00:00,-0.01,0.04
2005-03-18T22:00:00,0.01,0.02
2005-03-25T22:00:00,-0.01,0.02
2005-04-01T22:00:00,0.0,0.02
2005-04-08T21:00:00,-0.01,0.02
2005-04-15T21:00:00,-0.04,0.07
2005-04-22T21:00:00,-0.03,0.09
2005-04-29T21:00:00,-0.01,0.15
2005-05-06T21:00:00,0.07,0.08
2005-05-13T21:00:00,-0.09,0.26
2005-05-20T21:00:00,-0.16,0.21
2005-05-27T21:00:00,0.06,0.12
2005-06-03T21:00:00,-0.05,0.07
2005-06-10T21:00:00,-0.05,0.09
2005-06-17T21:00:00,-0.02,0.12
2005-06-24T21:00:00,-0.01,0.1
2005-07-01T21:00:00,0.02,0.08
2005-07-08T21:00:00,0.02,0.09
2005-07-15T21:00:00,-0.08,0.22
2005-07-22T21:00:00,0.06,0.13
2005-07-29T21:00:00,-0.04,0.06
2005-08-05T21:00:00,-0.03,0.07
2005-08-12T21:00:00,0.02,0.05
2005-08-19T21:00:00,-0.03,0.08
2005-08-26T21:00:00,-0.03,0.09
2005-09-02T21:00:00,-0.04,0.07
2005-09-09T21:00:00,-0.05,0.08
2005-09-16T21:00:00,-0.03,0.09
2005-09-23T21:00:00,-0.03,0.06
2005-09-30T21:00:00,-0.03,0.06
2005-10-07T21:00:00,0.02,0.07
2005-10-14T21:00:00,-0.06,0.13
2005-10-21T21:00:00,0.01,0.06
2005-10-28T21:00:00,-0.01,0.03
2005-11-04T22:00:00,0.03,0.07
2005-11-11T22:00:00,-0.03,0.08
2005-11-18T22:00:00,0.01,0.06
2005-11-25T22:00:00,-0.0,0.03
2005-12-02T22:00:00,-0.0,0.03
2005-12-09T22:00:00,-0.03,0.04
2005-12-16T22:00:00,0.02,0.03
2005-12-23T22:00:00,0.02,0.03
2005-12-30T22:00:00,-0.01,0.03
2006-01-06T22:00:00,-0.02,0.04
2006-01-13T22:00:00,0.04,0.07
2006-01-20T22:00:00,0.03,0.05
2006-01-27T22:00:00,0.0,0.04
2006-02-03T22:00:00,0.03,0.08
2006-02-10T22:00:00,0.02,0.05
2006-02-17T22:00:00,-0.01,0.06
2006-02-24T22:00:00,-0.03,0.04
2006-03-03T22:00:00,0.06,0.09
2006-03-10T22:00:00,-0.06,0.07
2006-03-17T22:00:00,0.02,0.04
2006-03-24T22:00:00,0.0,0.03
2006-03-31T22:00:00,-0.05,0.06
2006-04-07T21:00:00,0.02,0.05
2006-04-14T21:00:00,-0.05,0.06
2006-04-21T21:00:00,-0.01,0.03
2006-04-28T21:00:00,-0.02,0.04
2006-05-05T21:00:00,0.01,0.04
2006-05-12T21:00:00,0.02,0.04
2006-05-19T21:00:00,0.01,0.04
2006-05-26T21:00:00,0.02,0.03
2006-06-02T21:00:00,0.04,0.06
2006-06-09T21:00:00,0.04,0.06
2006-06-16T21:00:00,0.06,0.07
2006-06-23T21:00:00,-0.03,0.07
2006-06-30T21:00:00,0.02,0.08
2006-07-07T21:00:00,0.1,0.12
2006-07-14T21:00:00,-0.01,0.07
2006-07-21T21:00:00,-0.1,0.15
2006-07-28T21:00:00,0.07,0.08
2006-08-04T21:00:00,0.04,0.08
2006-08-11T21:00:00,-0.04,0.1
2006-08-18T21:00:00,0.07,0.09
2006-08-25T21:00:00,-0.01,0.04
2006-09-01T21:00:00,-0.0,0.03
2006-09-08T21:00:00,0.07,0.08
2006-09-15T21:00:00,0.01,0.1
2006-09-22T21:00:00,0.09,0.14
2006-09-29T21:00:00,-0.06,0.12
2006-10-06T21:00:00,0.02,0.12
2006-10-13T21:00:00,-0.05,0.12
2006-10-20T21:00:00,-0.09,0.17
2006-10-27T21:00:00,0.02,0.08
2006-11-03T22:00:00,0.05,0.13
2006-11-10T22:00:00,0.06,0.08
2006-11-17T22:00:00,-0.09,0.17
2006-11-24T22:00:00,-0.07,0.09
2006-12-01T22:00:00,-0.05,0.13
2006-12-08T22:00:00,-0.0,0.06
2006-12-15T22:00:00,0.08,0.09
2006-12-22T22:00:00,-0.01,0.14
2006-12-29T22:00:00,0.18,0.19
2007-01-05T22:00:00,0.11,0.13
2007-01-12T22:00:00,0.12,0.2
2007-01-19T22:00:00,0.0,0.19
2007-01-26T22:00:00,-0.0,0.13
2007-02-02T22:00:00,0.07,0.12
2007-02-09T22:00:00,-0.02,0.1
2007-02-16T22:00:00,-0.04,0.08
2007-02-23T22:00:00,0.08,0.1
2007-03-02T22:00:00,-0.0,0.1
2007-03-09T22:00:00,-0.03,0.07
2007-03-16T21:00:00,-0.01,0.07
2007-03-23T21:00:00,0.02,0.06
2007-03-30T21:00:00,0.05,0.06
2007-04-06T21:00:00,-0.05,0.09
2007-04-13T21:00:00,0.0,0.07
2007-04-20T21:00:00,0.09,0.11
2007-04-27T21:00:00,-0.01,0.04
2007-05-04T21:00:00,-0.01,0.08
2007-05-11T21:00:00,-0.01,0.18
2007-05-18T21:00:00,0.07,0.1
2007-05-25T21:00:00,-0.15,0.31
2007-06-01T21:00:00,0.06,0.16
2007-06-08T21:00:00,0.04,0.12
2007-06-15T21:00:00,-0.06,0.12
2007-06-22T21:00:00,0.06,0.1
2007-06-29T21:00:00,-0.01,0.1
2007-07-06T21:00:00,0.04,0.09
2007-07-13T21:00:00,0.0,0.04
2007-07-20T21:00:00,0.06,0.1
2007-07-27T21:00:00,0.08,0.09
2007-08-03T21:00:00,-0.09,0.19
2007-08-10T21:00:00,-0.1,0.36
2007-08-17T21:00:00,-0.15,0.26
2007-08-24T21:00:00,-0.06,0.15
2007-08-31T21:00:00,-0.15,0.19
2007-09-07T21:00:00,0.03,0.21
2007-09-14T21:00:00,-0.06,0.13
2007-09-21T21:00:00,-0.12,0.37
2007-09-28T21:00:00,-0.24,0.25
2007-10-05T21:00:00,-0.0,0.12
2007-10-12T21:00:00,-0.07,0.08
2007-10-19T21:00:00,0.0,0.03
2007-10-26T21:00:00,0.09,0.17
2007-11-02T21:00:00,0.32,0.34
2007-11-09T22:00:00,0.03,0.24
2007-11-16T22:00:00,-0.1,0.16
2007-11-23T22:00:00,0.15,0.22
2007-11-30T22:00:00,0.06,0.14
2007-12-07T22:00:00,0.04,0.07
2007-12-14T22:00:00,0.03,0.11
2007-12-21T22:00:00,0.03,0.15
2007-12-28T22:00:00,-0.01,0.25
2008-01-04T22:00:00,0.07,0.18
2008-01-11T22:00:00,0.02,0.19
2008-01-18T22:00:00,0.0,0.15
2008-01-25T22:00:00,-0.15,0.2
2008-02-01T22:00:00,0.05,0.1
2008-02-08T22:00:00,-0.01,0.09
2008-02-15T22:00:00,-0.05,0.1
2008-02-22T22:00:00,-0.18,0.28
2008-02-29T22:00:00,0.04,0.14
2008-03-07T22:00:00,-0.05,0.17
2008-03-14T21:00:00,-0.04,0.26
2008-03-21T21:00:00,0.04,0.1
2008-03-28T21:00:00,0.12,0.17
2008-04-04T21:00:00,-0.02,0.13
