date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,0.45,0.71
2003-04-11T21:00:00,-0.64,0.82
2003-04-18T21:00:00,0.42,0.65
2003-04-25T21:00:00,-0.98,1.62
2003-05-02T21:00:00,-1.35,2.22
2003-05-09T21:00:00,-1.03,1.04
2003-05-16T21:00:00,1.23,1.77
2003-05-23T21:00:00,2.13,2.13
2003-05-30T21:00:00,-0.82,1.61
2003-06-06T21:00:00,-1.11,1.12
2003-06-13T21:00:00,0.84,0.84
2003-06-20T21:00:00,0.9,1.52
2003-06-27T21:00:00,-1.3,1.44
2003-07-04T21:00:00,-0.16,0.45
2003-07-11T21:00:00,0.59,0.88
2003-07-18T21:00:00,0.18,0.62
2003-07-25T21:00:00,0.95,1.29
2003-08-01T21:00:00,-0.92,1.16
2003-08-08T21:00:00,0.0,0.48
2003-08-15T21:00:00,-1.39,1.61
2003-08-22T21:00:00,-0.62,0.62
2003-08-29T21:00:00,0.05,0.81
2003-09-05T21:00:00,0.39,0.39
2003-09-12T21:00:00,-2.85,3.1
2003-09-19T21:00:00,-0.79,0.8
2003-09-26T21:00:00,-0.8,0.99
2003-10-03T21:00:00,-2.08,2.13
2003-10-10T21:00:00,0.81,1.35
2003-10-17T21:00:00,0.16,1.28
2003-10-24T21:00:00,0.61,1.55
2003-10-31T22:00:00,-0.51,1.72
2003-11-07T22:00:00,-0.9,1.05
2003-11-14T22:00:00,0.46,1.11
2003-11-21T22:00:00,0.75,0.75
2003-11-28T22:00:00,-1.82,1.86
2003-12-05T22:00:00,-0.01,1.16
2003-12-12T22:00:00,-0.43,0.83
2003-12-19T22:00:00,-0.17,0.35
2003-12-26T22:00:00,-0.36,0.44
2004-01-02T22:00:00,-0.64,0.82
2004-01-09T22:00:00,0.0,0.48
2004-01-16T22:00:00,-0.15,1.18
2004-01-23T22:00:00,-0.76,0.89
2004-01-30T22:00:00,-0.21,0.43
2004-02-06T22:00:00,-0.24,0.32
2004-02-13T22:00:00,3.37,3.41
2004-02-20T22:00:00,-0.07,1.37
2004-02-27T22:00:00,2.74,2.85
2004-03-05T22:00:00,-1.04,1.14
2004-03-12T22:00:00,-3.59,3.72
2004-03-19T22:00:00,-0.81,0.81
2004-03-26T22:00:00,-1.24,2.06
2004-04-02T22:00:00,1.85,1.85
2004-04-09T21:00:00,1.42,3.1
2004-04-16T21:00:00,1.14,1.55
2004-04-23T21:00:00,1.43,1.77
2004-04-30T21:00:00,1.62,3.24
2004-05-07T21:00:00,1.74,1.96
2004-05-14T21:00:00,-1.67,1.81
2004-05-21T21:00:00,-1.68,2.47
2004-05-28T21:00:00,0.68,1.48
2004-06-04T21:00:00,-0.79,1.49
2004-06-11T21:00:00,-1.16,1.97
2004-06-18T21:00:00,-1.14,1.99
2004-06-25T21:00:00,0.67,1.08
2004-07-02T21:00:00,-0.15,1.23
2004-07-09T21:00:00,0.71,1.74
2004-07-16T21:00:00,1.23,1.8
2004-07-23T21:00:00,1.1,1.86
2004-07-30T21:00:00,-0.51,1.22
2004-08-06T21:00:00,0.26,0.8
2004-08-13T21:00:00,-1.11,1.26
2004-08-20T21:00:00,0.45,0.91
2004-08-27T21:00:00,0.79,1.21
2004-09-03T21:00:00,-0.73,1.04
2004-09-10T21:00:00,0.26,0.48
2004-09-17T21:00:00,0.69,1.03
2004-09-24T21:00:00,0.0,1.21
2004-10-01T21:00:00,-1.13,1.67
2004-10-08T21:00:00,-0.16,0.41
2004-10-15T21:00:00,-1.64,1.67
2004-10-22T21:00:00,-0.86,0.87
2004-10-29T21:00:00,-0.24,0.83
2004-11-05T22:00:00,0.13,1.67
2004-11-12T22:00:00,-2.33,2.39
2004-11-19T22:00:00,-0.49,0.81
2004-11-26T22:00:00,-0.57,1.12
2004-12-03T22:00:00,3.07,3.07
2004-12-10T22:00:00,-1.03,1.23
2004-12-17T22:00:00,-0.23,0.74
2004-12-24T22:00:00,-1.22,1.45
2004-12-31T22:00:00,2.17,2.75
2005-01-07T22:00:00,-2.64,3.04
2005-01-14T22:00:00,0.68,2.19
2005-01-21T22:00:00,0.54,1.93
2005-01-28T22:00:00,0.78,1.42
2005-02-04T22:00:00,1.56,2.68
2005-02-11T22:00:00,-0.07,1.51
2005-02-18T22:00:00,-0.38,1.91
2005-02-25T22:00:00,-0.42,1.42
2005-03-04T22:00:00,-0.74,1.65
2005-03-11T22:00:00,0.72,1.42
2005-03-18T22:00:00,1.55,1.82
2005-03-25T22:00:00,1.12,1.37
2005-04-01T22:00:00,0.61,1.25
2005-04-08T21:00:00,-0.41,1.32
2005-04-15T21:00:00,-1.62,2.18
2005-04-22T21:00:00,-1.2,1.71
2005-04-29T21:00:00,0.31,1.16
2005-05-06T21:00:00,2.05,2.43
2005-05-13T21:00:00,0.8,1.62
2005-05-20T21:00:00,-0.19,1.01
2005-05-27T21:00:00,-0.22,1.27
2005-06-03T21:00:00,0.9,2.05
2005-06-10T21:00:00,-0.08,1.17
2005-06-17T21:00:00,0.44,1.33
2005-06-24T21:00:00,2.51,2.6
2005-07-01T21:00:00,0.35,1.14
2005-07-08T21:00:00,-0.03,1.51
2005-07-15T21:00:00,-0.74,3.5
2005-07-22T21:00:00,1.03,1.49
2005-07-29T21:00:00,-0.52,1.8
2005-08-05T21:00:00,-2.28,3.04
2005-08-12T21:00:00,1.0,1.63
2005-08-19T21:00:00,-0.26,1.26
2005-08-26T21:00:00,-0.32,2.36
2005-09-02T21:00:00,-0.12,1.83
2005-09-09T21:00:00,1.5,2.27
2005-09-16T21:00:00,1.03,1.39
2005-09-23T21:00:00,0.89,1.41
2005-09-30T21:00:00,0.3,1.21
2005-10-07T21:00:00,0.2,1.34
2005-10-14T21:00:00,1.6,1.94
2005-10-21T21:00:00,-0.19,1.39
2005-10-28T21:00:00,2.28,2.43
2005-11-04T22:00:00,-0.29,1.29
2005-11-11T22:00:00,0.94,1.44
2005-11-18T22:00:00,0.43,1.23
2005-11-25T22:00:00,0.83,2.43
2005-12-02T22:00:00,0.04,1.16
2005-12-09T22:00:00,-4.14,4.71
2005-12-16T22:00:00,0.5,1.83
2005-12-23T22:00:00,1.29,1.89
2005-12-30T22:00:00,-2.8,3.35
2006-01-06T22:00:00,-0.26,1.3
2006-01-13T22:00:00,0.89,1.89
2006-01-20T22:00:00,1.75,2.86
2006-01-27T22:00:00,1.35,2.3
2006-02-03T22:00:00,-0.9,1.95
2006-02-10T22:00:00,0.16,1.79
2006-02-17T22:00:00,-0.99,2.2
2006-02-24T22:00:00,-0.41,1.46
2006-03-03T22:00:00,2.25,2.67
2006-03-10T22:00:00,-2.6,3.02
2006-03-17T22:00:00,1.34,2.58
2006-03-24T22:00:00,0.27,1.68
2006-03-31T22:00:00,0.51,1.8
2006-04-07T21:00:00,0.33,0.9
2006-04-14T21:00:00,-1.77,1.88
2006-04-21T21:00:00,-2.39,2.63
2006-04-28T21:00:00,-1.1,1.7
2006-05-05T21:00:00,-2.27,3.0
2006-05-12T21:00:00,1.5,2.98
2006-05-19T21:00:00,0.87,1.81
2006-05-26T21:00:00,-0.82,1.84
2006-06-02T21:00:00,2.02,2.96
2006-06-09T21:00:00,1.07,1.31
2006-06-16T21:00:00,1.23,1.93
2006-06-23T21:00:00,-1.8,2.22
2006-06-30T21:00:00,-0.34,1.72
2006-07-07T21:00:00,1.82,2.58
2006-07-14T21:00:00,0.01,1.78
2006-07-21T21:00:00,-1.23,2.43
2006-07-28T21:00:00,-0.18,1.37
2006-08-04T21:00:00,1.65,1.99
2006-08-11T21:00:00,-0.43,1.35
2006-08-18T21:00:00,1.29,1.77
2006-08-25T21:00:00,-0.09,0.82
2006-09-01T21:00:00,-0.14,1.35
2006-09-08T21:00:00,0.53,1.31
2006-09-15T21:00:00,-0.84,1.9
2006-09-22T21:00:00,1.42,1.78
2006-09-29T21:00:00,0.76,1.46
2006-10-06T21:00:00,0.53,0.87
2006-10-13T21:00:00,-0.73,1.46
2006-10-20T21:00:00,-0.95,2.13
2006-10-27T21:00:00,0.4,1.39
2006-11-03T22:00:00,-0.35,1.2
2006-11-10T22:00:00,0.13,1.12
2006-11-17T22:00:00,-1.6,2.31
2006-11-24T22:00:00,-0.39,1.36
2006-12-01T22:00:00,0.82,1.8
2006-12-08T22:00:00,1.59,1.87
2006-12-15T22:00:00,0.58,1.06
2006-12-22T22:00:00,0.21,0.79
2006-12-29T22:00:00,-0.36,1.44
2007-01-05T22:00:00,1.42,2.22
2007-01-12T22:00:00,0.7,1.27
2007-01-19T22:00:00,0.31,1.32
2007-01-26T22:00:00,-0.33,1.73
2007-02-02T22:00:00,0.5,1.48
2007-02-09T22:00:00,-1.92,2.61
2007-02-16T22:00:00,1.45,2.02
2007-02-23T22:00:00,-3.55,4.03
2007-03-02T22:00:00,1.31,2.8
2007-03-09T22:00:00,-1.38,2.36
2007-03-16T21:00:00,1.38,1.76
2007-03-23T21:00:00,-0.15,1.75
2007-03-30T21:00:00,1.33,1.65
2007-04-06T21:00:00,-0.0,1.14
2007-04-13T21:00:00,-0.85,1.91
2007-04-20T21:00:00,0.79,1.29
2007-04-27T21:00:00,0.47,1.17
2007-05-04T21:00:00,0.01,0.9
2007-05-11T21:00:00,0.77,1.12
2007-05-18T21:00:00,0.63,0.84
2007-05-25T21:00:00,0.28,0.79
2007-06-01T21:00:00,-0.3,1.11
2007-06-08T21:00:00,1.36,1.79
2007-06-15T21:00:00,0.35,0.84
2007-06-22T21:00:00,-0.57,1.39
2007-06-29T21:00:00,0.14,1.19
2007-07-06T21:00:00,-1.21,2.21
2007-07-13T21:00:00,-0.56,1.3
2007-07-20T21:00:00,-2.23,3.52
2007-07-27T21:00:00,-0.46,1.6
2007-08-03T21:00:00,0.29,2.26
2007-08-10T21:00:00,-3.46,6.25
2007-08-17T21:00:00,1.83,3.05
2007-08-24T21:00:00,-0.57,2.53
2007-08-31T21:00:00,-2.12,2.95
2007-09-07T21:00:00,1.86,2.54
2007-09-14T21:00:00,0.14,2.1
2007-09-21T21:00:00,-0.6,1.62
2007-09-28T21:00:00,1.85,2.24
2007-10-05T21:00:00,0.53,0.83
2007-10-12T21:00:00,-2.58,2.99
2007-10-19T21:00:00,-0.3,1.58
2007-10-26T21:00:00,0.59,1.66
2007-11-02T21:00:00,-3.62,3.99
2007-11-09T22:00:00,0.31,2.4
2007-11-16T22:00:00,-2.53,3.28
2007-11-23T22:00:00,2.84,3.75
2007-11-30T22:00:00,0.38,2.03
2007-12-07T22:00:00,1.5,2.81
2007-12-14T22:00:00,0.61,1.31
2007-12-21T22:00:00,-1.57,2.12
2007-12-28T22:00:00,-3.44,4.43
2008-01-04T22:00:00,0.19,1.6
2008-01-11T22:00:00,-1.84,2.88
2008-01-18T22:00:00,-0.11,2.79
2008-01-25T22:00:00,-0.3,1.65
2008-02-01T22:00:00,0.75,1.8
2008-02-08T22:00:00,0.5,2.12
2008-02-15T22:00:00,-0.64,1.53
2008-02-22T22:00:00,-3.21,4.37
2008-02-29T22:00:00,-1.03,2.7
2008-03-07T22:00:00,-3.45,4.74
2008-03-14T21:00:00,0.58,4.92
2008-03-21T21:00:00,-0.34,2.51
2008-03-28T21:00:00,2.33,4.16
2008-04-04T21:00:00,-0.56,2.83
2008-04-11T21:00:00,2.64,4.33
2008-04-18T21:00:00,0.72,2.09
2008-04-25T21:00:00,0.95,2.41
2008-05-02T21:00:00,-2.39,2.93
2008-05-09T21:00:00,1.19,2.8
2008-05-16T21:00:00,-0.74,1.91
2008-05-23T21:00:00,2.16,2.65
2008-05-30T21:00:00,-0.54,2.46
2008-06-06T21:00:00,3.12,3.8
2008-06-13T21:00:00,-0.79,1.36
2008-06-20T21:00:00,-1.11,2.4
2008-06-27T21:00:00,0.64,1.86
2008-07-04T21:00:00,-0.46,1.99
2008-07-11T21:00:00,0.78,3.2
2008-07-18T21:00:00,0.82,1.81
2008-07-25T21:00:00,-0.13,1.02
2008-08-01T21:00:00,2.3,2.71
2008-08-08T21:00:00,0.31,2.12
2008-08-15T21:00:00,-0.41,2.26
2008-08-22T21:00:00,-1.13,1.72
2008-08-29T21:00:00,-0.8,3.46
2008-09-05T21:00:00,0.19,2.85
2008-09-12T21:00:00,-0.36,4.34
2008-09-19T21:00:00,-1.34,2.32
2008-09-26T21:00:00,-0.65,3.36
2008-10-03T21:00:00,-4.42,7.69
2008-10-10T21:00:00,1.0,3.83
2008-10-17T21:00:00,-7.16,12.67
2008-10-24T21:00:00,4.38,8.44
2008-10-31T21:00:00,-0.25,3.93
2008-11-07T22:00:00,-1.2,5.3
2008-11-14T22:00:00,-1.14,4.27
2008-11-21T22:00:00,-0.45,3.0
2008-11-28T22:00:00,-2.82,4.46
2008-12-05T22:00:00,-1.73,6.52
2008-12-12T22:00:00,-2.06,5.56
2008-12-19T22:00:00,1.71,2.14
2008-12-26T22:00:00,1.13,2.98
2009-01-02T22:00:00,-1.9,4.97
2009-01-09T22:00:00,0.38,2.75
2009-01-16T22:00:00,-2.16,4.82
2009-01-23T22:00:00,1.38,2.84
2009-01-30T22:00:00,2.17,4.13
2009-02-06T22:00:00,-0.04,3.02
2009-02-13T22:00:00,1.54,3.64
2009-02-20T22:00:00,4.55,6.42
2009-02-27T22:00:00,0.73,3.22
2009-03-06T22:00:00,-0.35,3.69
2009-03-13T21:00:00,-2.06,5.8
2009-03-20T21:00:00,2.01,3.58
2009-03-27T21:00:00,2.5,4.61
2009-04-03T21:00:00,0.02,2.15
2009-04-10T21:00:00,-1.2,2.64
2009-04-17T21:00:00,-2.01,2.87
2009-04-24T21:00:00,2.07,4.14
2009-05-01T21:00:00,-0.69,1.88
2009-05-08T21:00:00,-3.31,4.34
2009-05-15T21:00:00,-0.48,3.04
2009-05-22T21:00:00,0.6,2.98
2009-05-29T21:00:00,3.46,4.7
2009-06-05T21:00:00,-0.25,1.82
2009-06-12T21:00:00,-2.09,3.19
2009-06-19T21:00:00,-1.12,1.79
2009-06-26T21:00:00,0.89,1.97
2009-07-03T21:00:00,-3.63,4.86
2009-07-10T21:00:00,1.79,2.97
2009-07-17T21:00:00,0.62,2.37
2009-07-24T21:00:00,-0.17,1.99
2009-07-31T21:00:00,2.94,3.62
2009-08-07T21:00:00,-2.69,3.52
2009-08-14T21:00:00,-0.44,1.99
2009-08-21T21:00:00,-0.84,1.98
2009-08-28T21:00:00,-0.58,1.75
2009-09-04T21:00:00,-2.46,3.41
2009-09-11T21:00:00,0.64,1.68
2009-09-18T21:00:00,-1.81,3.37
2009-09-25T21:00:00,0.16,2.47
2009-10-02T21:00:00,-0.03,2.24
2009-10-09T21:00:00,1.24,2.8
2009-10-16T21:00:00,1.29,2.27
2009-10-23T21:00:00,-2.12,2.68
2009-10-30T21:00:00,-0.15,2.42
2009-11-06T22:00:00,-0.25,1.48
2009-11-13T22:00:00,-0.86,1.24
2009-11-20T22:00:00,-2.65,5.15
2009-11-27T22:00:00,4.63,5.72
2009-12-04T22:00:00,-1.62,3.66
2009-12-11T22:00:00,1.56,2.93
2009-12-18T22:00:00,0.98,1.89
2009-12-25T22:00:00,1.81,1.92
2010-01-01T22:00:00,-0.3,2.76
2010-01-08T22:00:00,-2.04,2.28
2010-01-15T22:00:00,-1.04,2.32
2010-01-22T22:00:00,0.49,2.0
2010-01-29T22:00:00,-1.13,3.08
2010-02-05T22:00:00,0.8,1.46
2010-02-12T22:00:00,1.74,2.71
2010-02-19T22:00:00,-2.79,3.56
2010-02-26T22:00:00,1.5,2.78
2010-03-05T22:00:00,0.31,1.62
2010-03-12T22:00:00,-0.02,1.34
2010-03-19T21:00:00,2.17,3.48
2010-03-26T21:00:00,2.26,2.86
2010-04-02T21:00:00,-1.51,2.1
2010-04-09T21:00:00,-1.08,1.98
2010-04-16T21:00:00,1.99,2.99
2010-04-23T21:00:00,-0.13,1.9
2010-04-30T21:00:00,-2.4,7.93
2010-05-07T21:00:00,0.94,2.42
2010-05-14T21:00:00,-2.63,4.49
2010-05-21T21:00:00,1.18,2.4
2010-05-28T21:00:00,0.95,2.59
2010-06-04T21:00:00,-0.35,1.38
2010-06-11T21:00:00,-1.04,1.84
2010-06-18T21:00:00,-1.63,2.53
2010-06-25T21:00:00,-1.66,2.87
2010-07-02T21:00:00,0.89,1.93
2010-07-09T21:00:00,-2.3,3.35
2010-07-16T21:00:00,1.03,1.42
2010-07-23T21:00:00,-1.14,2.53
2010-07-30T21:00:00,-1.09,2.18
2010-08-06T21:00:00,0.77,1.94
2010-08-13T21:00:00,-0.67,1.58
2010-08-20T21:00:00,-0.47,2.56
2010-08-27T21:00:00,-1.09,2.68
2010-09-03T21:00:00,-0.17,1.4
2010-09-10T21:00:00,2.02,3.69
2010-09-17T21:00:00,-1.92,2.09
2010-09-24T21:00:00,-1.17,1.48
2010-10-01T21:00:00,-1.56,2.76
2010-10-08T21:00:00,-0.59,1.83
2010-10-15T21:00:00,-0.07,1.33
2010-10-22T21:00:00,-1.15,1.99
2010-10-29T21:00:00,1.08,1.71
2010-11-05T21:00:00,1.54,2.81
2010-11-12T22:00:00,1.33,1.68
2010-11-19T22:00:00,0.67,1.68
2010-11-26T22:00:00,-1.78,2.28
2010-12-03T22:00:00,1.72,2.38
2010-12-10T22:00:00,0.11,2.02
2010-12-17T22:00:00,-1.3,1.53
2010-12-24T22:00:00,-2.12,2.52
2010-12-31T22:00:00,2.49,3.4
2011-01-07T22:00:00,-0.31,1.32
2011-01-14T22:00:00,-0.36,1.55
2011-01-21T22:00:00,-0.53,1.5
2011-01-28T22:00:00,0.09,1.67
2011-02-04T22:00:00,1.53,2.33
2011-02-11T22:00:00,-0.3,1.13
2011-02-18T22:00:00,-1.8,2.34
2011-02-25T22:00:00,0.78,1.84
2011-03-04T22:00:00,-0.53,2.01
2011-03-11T22:00:00,-1.56,7.61
2011-03-18T21:00:00,0.92,1.13
2011-03-25T21:00:00,3.35,4.21
2011-04-01T21:00:00,0.84,1.99
2011-04-08T21:00:00,-1.92,2.65
2011-04-15T21:00:00,-1.54,2.01
2011-04-22T21:00:00,-0.77,2.17
2011-04-29T21:00:00,-0.72,2.67
2011-05-06T21:00:00,0.2,1.47
2011-05-13T21:00:00,1.12,1.98
2011-05-20T21:00:00,-1.11,1.87
2011-05-27T21:00:00,-0.64,2.15
2011-06-03T21:00:00,0.05,0.96
2011-06-10T21:00:00,-0.35,1.31
2011-06-17T21:00:00,0.49,0.97
2011-06-24T21:00:00,0.47,1.24
2011-07-01T21:00:00,-0.25,1.21
2011-07-08T21:00:00,-1.86,3.01
2011-07-15T21:00:00,-0.75,1.4
2011-07-22T21:00:00,-2.26,2.57
2011-07-29T21:00:00,2.13,5.17
2011-08-05T21:00:00,-2.17,2.83
2011-08-12T21:00:00,-0.19,1.51
2011-08-19T21:00:00,0.19,1.64
2011-08-26T21:00:00,0.14,1.06
2011-09-02T21:00:00,1.03,1.52
2011-09-09T21:00:00,-1.03,1.35
2011-09-16T21:00:00,-0.26,1.16
2011-09-23T21:00:00,0.6,1.27
2011-09-30T21:00:00,-0.34,0.98
2011-10-07T21:00:00,0.55,1.53
2011-10-14T21:00:00,-1.25,2.19
2011-10-21T21:00:00,-0.56,1.09
2011-10-28T21:00:00,3.19,5.53
2011-11-04T21:00:00,-1.41,1.54
2011-11-11T22:00:00,-0.31,1.21
2011-11-18T22:00:00,1.15,1.38
2011-11-25T22:00:00,0.34,1.27
2011-12-02T22:00:00,-0.5,1.27
2011-12-09T22:00:00,0.22,0.78
2011-12-16T22:00:00,0.39,0.69
2011-12-23T22:00:00,-1.5,1.61
2011-12-30T22:00:00,0.01,1.32
2012-01-06T22:00:00,-0.0,0.49
2012-01-13T22:00:00,0.16,1.0
2012-01-20T22:00:00,-0.43,2.12
2012-01-27T22:00:00,-0.13,0.98
2012-02-03T22:00:00,1.32,1.71
2012-02-10T22:00:00,2.5,2.91
2012-02-17T22:00:00,2.06,2.34
2012-02-24T22:00:00,0.75,2.31
2012-03-02T22:00:00,0.82,2.55
2012-03-09T22:00:00,1.22,2.7
2012-03-16T21:00:00,-1.31,2.59
2012-03-23T21:00:00,0.63,1.9
2012-03-30T21:00:00,-1.48,2.46
2012-04-06T21:00:00,-0.67,1.6
2012-04-13T21:00:00,0.75,1.85
2012-04-20T21:00:00,-1.54,1.83
2012-04-27T21:00:00,-0.51,1.21
2012-05-04T21:00:00,0.11,0.81
2012-05-11T21:00:00,-1.14,1.96
2012-05-18T21:00:00,0.83,1.5
2012-05-25T21:00:00,-2.09,2.66
2012-06-01T21:00:00,1.95,2.39
2012-06-08T21:00:00,-0.95,1.49
2012-06-15T21:00:00,2.17,2.45
2012-06-22T21:00:00,-0.79,1.87
2012-06-29T21:00:00,-0.12,0.99
2012-07-06T21:00:00,-0.6,1.12
2012-07-13T21:00:00,-0.87,1.1
2012-07-20T21:00:00,-0.08,0.94
2012-07-27T21:00:00,0.04,1.11
2012-08-03T21:00:00,-0.24,0.83
2012-08-10T21:00:00,1.65,1.8
2012-08-17T21:00:00,-1.12,1.76
2012-08-24T21:00:00,-0.36,0.84
2012-08-31T21:00:00,-0.2,1.3
2012-09-07T21:00:00,0.21,1.63
2012-09-14T21:00:00,-0.29,1.53
2012-09-21T21:00:00,-0.32,1.04
2012-09-28T21:00:00,0.97,1.38
2012-10-05T21:00:00,-0.29,1.04
2012-10-12T21:00:00,1.11,1.45
2012-10-19T21:00:00,0.42,1.47
2012-10-26T21:00:00,0.99,1.76
2012-11-02T21:00:00,-1.17,1.88
2012-11-09T22:00:00,2.28,2.84
2012-11-16T22:00:00,1.27,2.15
2012-11-23T22:00:00,0.1,1.29
2012-11-30T22:00:00,0.01,1.36
2012-12-07T22:00:00,1.24,2.25
2012-12-14T22:00:00,-0.23,1.2
2012-12-21T22:00:00,1.8,2.74
2012-12-28T22:00:00,2.65,3.21
2013-01-04T22:00:00,1.17,3.02
2013-01-11T22:00:00,1.01,2.76
2013-01-18T22:00:00,0.88,3.56
2013-01-25T22:00:00,1.98,2.91
