date,return,volatility
2003-03-28T22:00:00,0.0,0.0
2003-04-04T22:00:00,0.2,0.43
2003-04-11T21:00:00,-0.69,0.83
2003-04-18T21:00:00,0.85,0.85
2003-04-25T21:00:00,-0.62,0.83
2003-05-02T21:00:00,-1.94,2.08
2003-05-09T21:00:00,-0.64,1.07
2003-05-16T21:00:00,-0.16,0.41
2003-05-23T21:00:00,0.25,0.95
2003-05-30T21:00:00,-0.2,0.88
2003-06-06T21:00:00,0.01,0.88
2003-06-13T21:00:00,0.47,0.58
2003-06-20T21:00:00,1.1,1.1
2003-06-27T21:00:00,-0.21,0.62
2003-07-04T21:00:00,0.3,0.6
2003-07-11T21:00:00,0.34,0.47
2003-07-18T21:00:00,-0.82,0.83
2003-07-25T21:00:00,0.83,0.84
2003-08-01T21:00:00,-0.09,0.38
2003-08-08T21:00:00,-0.57,0.63
2003-08-15T21:00:00,-0.4,0.6
2003-08-22T21:00:00,0.55,0.65
2003-08-29T21:00:00,0.07,0.26
2003-09-05T21:00:00,-0.17,0.45
2003-09-12T21:00:00,-0.5,0.7
2003-09-19T21:00:00,-0.37,0.67
2003-09-26T21:00:00,-0.28,0.41
2003-10-03T21:00:00,-0.24,0.31
2003-10-10T21:00:00,0.93,1.24
2003-10-17T21:00:00,0.23,0.7
2003-10-24T21:00:00,-0.37,0.56
2003-10-31T22:00:00,-0.35,0.35
2003-11-07T22:00:00,-0.87,0.96
2003-11-14T22:00:00,-0.34,0.74
2003-11-21T22:00:00,0.02,0.37
2003-11-28T22:00:00,-0.51,0.52
2003-12-05T22:00:00,-0.36,0.54
2003-12-12T22:00:00,-0.25,0.45
2003-12-19T22:00:00,-0.16,0.19
2003-12-26T22:00:00,-0.36,0.36
2004-01-02T22:00:00,-0.49,0.5
2004-01-09T22:00:00,0.63,0.66
2004-01-16T22:00:00,-0.49,1.0
2004-01-23T22:00:00,-0.03,0.58
2004-01-30T22:00:00,-0.57,0.6
2004-02-06T22:00:00,-0.57,0.82
2004-02-13T22:00:00,1.19,1.26
2004-02-20T22:00:00,0.22,0.78
2004-02-27T22:00:00,0.91,1.09
2004-03-05T22:00:00,-0.08,0.47
2004-03-12T22:00:00,-1.08,1.39
2004-03-19T22:00:00,-0.12,0.45
2004-03-26T22:00:00,-0.97,1.24
2004-04-02T22:00:00,0.16,0.48
2004-04-09T21:00:00,-0.07,0.84
2004-04-16T21:00:00,1.13,1.31
2004-04-23T21:00:00,0.57,0.57
2004-04-30T21:00:00,-0.04,1.12
2004-05-07T21:00:00,1.23,1.43
2004-05-14T21:00:00,-0.57,0.77
2004-05-21T21:00:00,-0.85,1.0
2004-05-28T21:00:00,0.61,0.72
2004-06-04T21:00:00,0.46,0.81
2004-06-11T21:00:00,-0.12,0.39
2004-06-18T21:00:00,-0.4,0.75
2004-06-25T21:00:00,0.17,0.54
2004-07-02T21:00:00,-0.55,0.85
2004-07-09T21:00:00,-0.09,0.66
2004-07-16T21:00:00,1.43,1.49
2004-07-23T21:00:00,-0.21,0.57
2004-07-30T21:00:00,-0.03,0.43
2004-08-06T21:00:00,-0.26,0.34
2004-08-13T21:00:00,-0.36,0.44
2004-08-20T21:00:00,0.28,0.39
2004-08-27T21:00:00,-0.46,0.68
2004-09-03T21:00:00,-0.36,0.45
2004-09-10T21:00:00,-0.47,0.54
2004-09-17T21:00:00,0.09,0.36
2004-09-24T21:00:00,-0.6,0.93
2004-10-01T21:00:00,-0.33,0.57
2004-10-08T21:00:00,-0.14,0.42
2004-10-15T21:00:00,-0.32,0.33
2004-10-22T21:00:00,-0.2,0.2
2004-10-29T21:00:00,-0.86,0.87
2004-11-05T22:00:00,-0.22,0.5
2004-11-12T22:00:00,-0.32,0.45
2004-11-19T22:00:00,-0.6,0.6
2004-11-26T22:00:00,-0.25,0.44
2004-12-03T22:00:00,0.92,1.14
2004-12-10T22:00:00,-0.51,0.91
2004-12-17T22:00:00,-0.42,0.42
2004-12-24T22:00:00,-0.43,0.43
2004-12-31T22:00:00,0.95,1.39
2005-01-07T22:00:00,-0.65,1.74
2005-01-14T22:00:00,-0.23,0.87
2005-01-21T22:00:00,0.08,0.83
2005-01-28T22:00:00,-0.02,0.64
2005-02-04T22:00:00,0.72,1.43
2005-02-11T22:00:00,-0.5,0.74
2005-02-18T22:00:00,-0.48,0.94
2005-02-25T22:00:00,-0.35,0.77
2005-03-04T22:00:00,-0.39,0.75
2005-03-11T22:00:00,0.35,0.66
2005-03-18T22:00:00,1.16,1.46
2005-03-25T22:00:00,0.87,0.96
2005-04-01T22:00:00,-0.31,0.94
2005-04-08T21:00:00,0.18,1.22
2005-04-15T21:00:00,-0.63,0.92
2005-04-22T21:00:00,-0.5,1.15
2005-04-29T21:00:00,0.2,0.56
2005-05-06T21:00:00,1.06,1.28
2005-05-13T21:00:00,0.3,1.01
2005-05-20T21:00:00,-0.19,0.63
2005-05-27T21:00:00,0.54,1.32
2005-06-03T21:00:00,0.16,0.81
2005-06-10T21:00:00,-0.17,0.78
2005-06-17T21:00:00,0.37,0.65
2005-06-24T21:00:00,1.13,1.31
2005-07-01T21:00:00,0.38,0.88
2005-07-08T21:00:00,-0.79,0.91
2005-07-15T21:00:00,-1.68,2.65
2005-07-22T21:00:00,0.22,0.83
2005-07-29T21:00:00,-0.6,1.16
2005-08-05T21:00:00,-0.12,0.83
2005-08-12T21:00:00,1.15,1.32
2005-08-19T21:00:00,0.16,0.66
2005-08-26T21:00:00,-0.08,1.12
2005-09-02T21:00:00,0.05,0.59
2005-09-09T21:00:00,0.58,0.7
2005-09-16T21:00:00,0.18,0.64
2005-09-23T21:00:00,0.43,0.59
2005-09-30T21:00:00,-0.47,0.99
2005-10-07T21:00:00,0.23,0.78
2005-10-14T21:00:00,0.49,0.76
2005-10-21T21:00:00,-0.21,0.66
2005-10-28T21:00:00,0.57,0.75
2005-11-04T22:00:00,0.04,0.34
2005-11-11T22:00:00,-0.18,0.45
2005-11-18T22:00:00,-0.44,0.76
2005-11-25T22:00:00,-0.27,0.76
2005-12-02T22:00:00,-0.36,0.57
2005-12-09T22:00:00,-0.99,1.12
2005-12-16T22:00:00,-0.01,0.78
2005-12-23T22:00:00,-0.17,0.39
2005-12-30T22:00:00,-1.47,1.58
2006-01-06T22:00:00,-0.65,1.04
2006-01-13T22:00:00,0.04,0.83
2006-01-20T22:00:00,-0.01,0.71
2006-01-27T22:00:00,0.44,1.11
2006-02-03T22:00:00,-0.5,0.8
2006-02-10T22:00:00,0.39,0.8
2006-02-17T22:00:00,-0.57,0.7
2006-02-24T22:00:00,-0.23,0.91
2006-03-03T22:00:00,0.5,1.14
2006-03-10T22:00:00,-0.73,0.78
2006-03-17T22:00:00,0.29,0.66
2006-03-24T22:00:00,-0.27,0.58
2006-03-31T22:00:00,-0.54,1.05
2006-04-07T21:00:00,0.09,0.84
2006-04-14T21:00:00,-0.83,0.91
2006-04-21T21:00:00,-0.83,0.9
2006-04-28T21:00:00,-0.62,0.77
2006-05-05T21:00:00,-0.29,0.87
2006-05-12T21:00:00,1.25,1.64
2006-05-19T21:00:00,-0.22,1.32
2006-05-26T21:00:00,-0.43,1.03
2006-06-02T21:00:00,1.3,1.74
2006-06-09T21:00:00,0.02,0.86
2006-06-16T21:00:00,0.26,0.9
2006-06-23T21:00:00,-1.02,1.4
2006-06-30T21:00:00,-0.49,0.95
2006-07-07T21:00:00,0.93,1.09
2006-07-14T21:00:00,-0.31,1.07
2006-07-21T21:00:00,-0.35,0.79
2006-07-28T21:00:00,-0.32,0.83
2006-08-04T21:00:00,0.38,0.87
2006-08-11T21:00:00,-0.35,0.78
2006-08-18T21:00:00,0.45,0.75
2006-08-25T21:00:00,-0.53,0.65
2006-09-01T21:00:00,0.09,0.57
2006-09-08T21:00:00,0.6,0.81
2006-09-15T21:00:00,0.13,0.86
2006-09-22T21:00:00,0.23,0.47
2006-09-29T21:00:00,0.08,0.54
2006-10-06T21:00:00,-0.11,0.67
2006-10-13T21:00:00,-0.83,1.09
2006-10-20T21:00:00,-0.85,1.24
2006-10-27T21:00:00,0.18,0.53
2006-11-03T22:00:00,-0.51,0.88
2006-11-10T22:00:00,0.04,0.56
2006-11-17T22:00:00,-0.48,0.96
2006-11-24T22:00:00,-0.42,1.04
2006-12-01T22:00:00,0.3,0.68
2006-12-08T22:00:00,-0.23,0.6
2006-12-15T22:00:00,-0.06,0.67
2006-12-22T22:00:00,-0.48,0.71
2006-12-29T22:00:00,0.16,0.69
2007-01-05T22:00:00,0.44,0.9
2007-01-12T22:00:00,-0.3,0.56
2007-01-19T22:00:00,0.09,0.57
2007-01-26T22:00:00,-0.19,0.6
2007-02-02T22:00:00,-0.13,0.38
2007-02-09T22:00:00,-0.16,0.86
2007-02-16T22:00:00,-0.04,0.37
2007-02-23T22:00:00,-0.31,0.51
2007-03-02T22:00:00,0.03,0.45
2007-03-09T22:00:00,-0.05,0.8
2007-03-16T21:00:00,-0.65,0.8
2007-03-23T21:00:00,0.05,0.31
2007-03-30T21:00:00,-0.15,0.62
2007-04-06T21:00:00,0.13,0.71
2007-04-13T21:00:00,-0.47,0.57
2007-04-20T21:00:00,0.31,0.57
2007-04-27T21:00:00,0.12,0.87
2007-05-04T21:00:00,0.08,0.64
2007-05-11T21:00:00,0.49,1.03
2007-05-18T21:00:00,0.11,0.74
2007-05-25T21:00:00,0.2,0.39
2007-06-01T21:00:00,0.58,1.03
2007-06-08T21:00:00,-0.19,0.59
2007-06-15T21:00:00,0.05,0.37
2007-06-22T21:00:00,-0.54,0.73
2007-06-29T21:00:00,-0.64,0.86
2007-07-06T21:00:00,-0.33,0.51
2007-07-13T21:00:00,-0.25,0.62
2007-07-20T21:00:00,0.29,0.89
2007-07-27T21:00:00,0.05,0.97
2007-08-03T21:00:00,0.24,1.05
2007-08-10T21:00:00,0.49,1.78
2007-08-17T21:00:00,-0.6,1.03
2007-08-24T21:00:00,0.33,0.82
2007-08-31T21:00:00,0.05,0.58
2007-09-07T21:00:00,-0.74,1.28
2007-09-14T21:00:00,-0.44,1.22
2007-09-21T21:00:00,-1.31,1.6
2007-09-28T21:00:00,-0.88,1.15
2007-10-05T21:00:00,-0.65,1.05
2007-10-12T21:00:00,0.02,0.86
2007-10-19T21:00:00,-0.72,1.06
2007-10-26T21:00:00,-0.31,0.59
2007-11-02T21:00:00,-0.61,1.15
2007-11-09T22:00:00,0.62,1.01
2007-11-16T22:00:00,-0.66,1.01
2007-11-23T22:00:00,0.58,0.7
2007-11-30T22:00:00,-0.51,1.12
2007-12-07T22:00:00,0.66,1.04
2007-12-14T22:00:00,0.34,1.03
2007-12-21T22:00:00,-0.57,0.77
2007-12-28T22:00:00,-0.9,1.12
