date,AUD
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,0.5
2022-04-12T21:00:00,-0.11
2022-04-13T21:00:00,-0.24
2022-04-14T21:00:00,-0.13
2022-04-17T21:00:00,-0.3
2022-04-18T21:00:00,0.63
2022-04-19T21:00:00,0.44
2022-04-20T21:00:00,-0.65
2022-04-21T21:00:00,-1.02
2022-04-24T21:00:00,-0.62
2022-04-25T21:00:00,-0.34
2022-04-26T21:00:00,0.36
2022-04-27T21:00:00,0.14
2022-04-28T21:00:00,-0.59
2022-05-01T21:00:00,0.08
2022-05-02T21:00:00,0.52
2022-05-03T21:00:00,0.77
2022-05-04T21:00:00,-0.69
2022-05-05T21:00:00,-0.26
2022-05-08T21:00:00,-1.36
2022-05-09T21:00:00,-0.01
2022-05-10T21:00:00,0.0
2022-05-11T21:00:00,-0.75
2022-05-12T21:00:00,0.84
2022-05-15T21:00:00,0.29
2022-05-16T21:00:00,0.28
2022-05-17T21:00:00,-0.69
2022-05-18T21:00:00,0.52
2022-05-19T21:00:00,-0.08
