date,NZD
2008-06-07T21:00:00,0.02
2008-06-08T21:00:00,-0.66
2008-06-09T21:00:00,-0.16
2008-06-10T21:00:00,0.01
2008-06-11T21:00:00,-0.08
2008-06-12T21:00:00,0.11
2008-06-13T21:00:00,-0.0
2008-06-14T21:00:00,0.08
2008-06-15T21:00:00,0.08
2008-06-16T21:00:00,0.06
2008-06-17T21:00:00,0.33
2008-06-18T21:00:00,0.43
2008-06-19T21:00:00,-0.48
2008-06-20T21:00:00,-0.0
2008-06-21T21:00:00,-0.05
2008-06-22T21:00:00,-0.05
2008-06-23T21:00:00,-0.17
2008-06-24T21:00:00,0.03
2008-06-25T21:00:00,-0.89
2008-06-26T21:00:00,0.45
2008-06-28T21:00:00,0.0
2008-06-29T21:00:00,0.29
2008-06-30T21:00:00,-0.52
2008-07-01T21:00:00,-0.05
2008-07-02T21:00:00,0.06
2008-07-03T21:00:00,0.18
2008-07-05T21:00:00,-0.08
2008-07-06T21:00:00,-0.34
2008-07-07T21:00:00,0.1
2008-07-08T21:00:00,0.15
2008-07-09T21:00:00,0.05
2008-07-10T21:00:00,-0.1
2008-07-12T21:00:00,-0.02
2008-07-13T21:00:00,0.23
2008-07-14T21:00:00,0.56
2008-07-15T21:00:00,0.16
2008-07-16T21:00:00,-0.82
2008-07-17T21:00:00,-0.1
2008-07-18T21:00:00,-0.0
2008-07-19T21:00:00,0.02
2008-07-20T21:00:00,-0.29
2008-07-21T21:00:00,0.3
2008-07-22T21:00:00,-0.88
2008-07-23T21:00:00,-0.76
2008-07-24T21:00:00,-0.09
2008-07-26T21:00:00,-0.01
2008-07-27T21:00:00,0.22
2008-07-28T21:00:00,-0.1
2008-07-29T21:00:00,-0.65
2008-07-30T21:00:00,0.01
2008-07-31T21:00:00,-0.59
2008-08-02T21:00:00,0.16
2008-08-03T21:00:00,0.31
2008-08-04T21:00:00,0.1
2008-08-05T21:00:00,-0.73
2008-08-06T21:00:00,-0.23
2008-08-07T21:00:00,-0.24
2008-08-09T21:00:00,-0.21
2008-08-10T21:00:00,-0.09
2008-08-11T21:00:00,-0.42
2008-08-12T21:00:00,1.04
2008-08-13T21:00:00,-0.16
2008-08-14T21:00:00,1.08
2008-08-16T21:00:00,-0.01
2008-08-17T21:00:00,0.46
2008-08-18T21:00:00,0.16
2008-08-19T21:00:00,0.11
2008-08-20T21:00:00,0.2
2008-08-21T21:00:00,-0.77
2008-08-23T21:00:00,-0.13
2008-08-24T21:00:00,-0.48
2008-08-25T21:00:00,-0.49
2008-08-26T21:00:00,0.38
2008-08-27T21:00:00,0.09
2008-08-28T21:00:00,0.02
2008-08-30T21:00:00,0.03
2008-08-31T21:00:00,-0.25
2008-09-01T21:00:00,-0.73
2008-09-02T21:00:00,-0.21
2008-09-03T21:00:00,-1.28
2008-09-04T21:00:00,-0.35
2008-09-06T21:00:00,0.75
2008-09-07T21:00:00,-0.15
2008-09-08T21:00:00,-0.4
2008-09-09T21:00:00,-0.35
2008-09-10T21:00:00,-1.1
2008-09-11T21:00:00,0.95
2008-09-13T21:00:00,-0.64
2008-09-14T21:00:00,-0.74
2008-09-15T21:00:00,0.6
2008-09-16T21:00:00,-0.39
2008-09-17T21:00:00,1.93
2008-09-18T21:00:00,1.03
2008-09-20T21:00:00,0.12
2008-09-21T21:00:00,-1.27
2008-09-22T21:00:00,-0.56
2008-09-23T21:00:00,0.45
2008-09-24T21:00:00,-0.08
2008-09-25T21:00:00,0.49
2008-09-27T21:00:00,-0.0
2008-09-28T21:00:00,-1.22
2008-09-29T21:00:00,0.92
2008-09-30T21:00:00,0.28
2008-10-01T21:00:00,-1.19
2008-10-02T21:00:00,0.6
2008-10-04T21:00:00,-0.22
2008-10-05T21:00:00,-2.22
2008-10-06T21:00:00,-1.68
2008-10-07T21:00:00,-2.79
2008-10-08T21:00:00,1.14
2008-10-09T21:00:00,-0.78
2008-10-14T21:00:00,-1.6
2008-10-15T21:00:00,2.37
2008-10-16T21:00:00,-0.58
2008-10-18T21:00:00,0.14
2008-10-19T21:00:00,1.36
2008-10-20T21:00:00,-1.54
2008-10-21T21:00:00,-1.32
2008-10-22T21:00:00,0.2
2008-10-23T21:00:00,-4.66
2008-10-26T21:00:00,-2.18
2008-10-27T21:00:00,3.03
2008-10-28T21:00:00,1.64
2008-10-29T21:00:00,0.62
2008-10-30T21:00:00,-0.45
2008-11-01T21:00:00,0.47
2008-11-02T22:00:00,1.08
2008-11-03T22:00:00,1.16
2008-11-04T22:00:00,-1.24
2008-11-05T22:00:00,-0.26
2008-11-06T22:00:00,0.55
2008-11-08T22:00:00,0.4
2008-11-09T22:00:00,-2.18
2008-11-10T22:00:00,-0.5
2008-11-11T22:00:00,-1.1
2008-11-12T22:00:00,1.16
2008-11-13T22:00:00,-2.09
2008-11-15T22:00:00,-0.87
2008-11-16T22:00:00,0.04
2008-11-17T22:00:00,0.48
2008-11-18T22:00:00,-1.29
2008-11-19T22:00:00,-2.5
2008-11-20T22:00:00,1.96
