,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2009-01-01,0.85864,0.75057,5.45542,63.843,1.21214,1.00968,0.7039,0.87297,6.35037,74.3,1.17544,7.27527,85.13,1.99003,1.70925,1.49264,0.95632,10.85648,127.045,2.41051,2.00833,1.40077,2.07997,1.78636,1.56066,11.35487,132.894,2.52378,2.10116,1.46509,11.70325,0.70867,0.61826,4.49815,52.651,0.83225,0.58034,0.74304,5.40194,63.23,1.22072,1.0653,7.7503,90.704,1.43479
2009-01-02,0.85637,0.75623,5.46469,64.487,1.20978,1.02383,0.70504,0.88264,6.38375,75.242,1.19277,7.2325,85.249,1.97694,1.69575,1.49528,0.95583,10.82418,127.34,2.39091,2.02164,1.39654,2.06871,1.77485,1.5614,11.31798,133.186,2.50385,2.11589,1.46026,11.79225,0.70825,0.62477,4.51464,53.281,0.8452,0.58241,0.73863,5.35425,62.966,1.21424,1.07175,7.75075,91.407,1.44794
2009-01-05,0.85719,0.7817,5.535,66.212,1.21189,1.04664,0.714,0.91214,6.45596,77.296,1.22101,7.0962,84.852,1.92547,1.65029,1.50505,0.94261,10.66843,127.543,2.34063,2.01657,1.37627,2.04466,1.75124,1.59671,11.31878,135.356,2.47858,2.13808,1.46017,11.95675,0.70647,0.64332,4.55646,54.523,0.8624,0.58776,0.74614,5.29666,63.239,1.201,1.09271,7.75235,92.688,1.46365
2009-01-06,0.85243,0.80029,5.56478,67.244,1.21189,1.05789,0.71772,0.94004,6.53057,78.969,1.24217,6.95659,83.99,1.88629,1.60651,1.50806,0.91685,10.49516,126.682,2.28644,1.9959,1.35362,2.0548,1.75079,1.64665,11.45817,138.318,2.48886,2.1777,1.47779,12.0765,0.70334,0.66038,4.59321,55.449,0.87301,0.59225,0.75601,5.26114,63.557,1.1873,1.11459,7.75331,93.635,1.47368
2009-01-07,0.85331,0.79503,5.5663,66.787,1.20521,1.05598,0.71799,0.9316,6.52088,78.306,1.2376,7.01161,84.227,1.89281,1.61455,1.50353,0.90627,10.53587,126.631,2.28209,1.99979,1.35892,2.09109,1.78357,1.65862,11.64738,139.77,2.52224,2.21127,1.50243,12.02175,0.70758,0.65924,4.61868,55.398,0.87603,0.59581,0.75179,5.26805,63.3,1.18843,1.10585,7.75254,93.201,1.47163
2009-01-08,0.8451,0.77953,5.49366,65.249,1.19923,1.04658,0.70856,0.92211,6.51922,77.074,1.24195,7.06637,83.671,1.92463,1.6262,1.49955,0.90009,10.59954,125.516,2.30895,2.01883,1.36703,2.13819,1.80733,1.66499,11.75986,139.023,2.56445,2.24076,1.51666,11.85375,0.70499,0.64909,4.58626,54.337,0.87369,0.59141,0.74328,5.25148,62.257,1.18959,1.09726,7.7535,91.903,1.47632
2009-01-09,0.83718,0.7791,5.48555,64.249,1.19111,1.04703,0.70723,0.93135,6.54267,76.606,1.2497,7.03055,82.276,1.92258,1.60957,1.49868,0.8944,10.53864,123.31,2.28864,2.01252,1.35864,2.14872,1.80167,1.67463,11.80066,138.111,2.56324,2.25194,1.52133,11.71275,0.70356,0.65467,4.60417,53.895,0.87871,0.5936,0.74508,5.23806,61.309,1.18555,1.10345,7.75739,90.853,1.48063
2009-01-12,0.82818,0.76855,5.35125,61.851,1.18348,1.02609,0.68998,0.92614,6.44543,74.53,1.23577,6.95474,80.466,1.94298,1.613,1.49432,0.89526,10.39338,120.205,2.30305,1.99157,1.34011,2.17042,1.79794,1.66857,11.61834,134.26,2.57102,2.22696,1.4981,11.55525,0.69952,0.64858,4.51497,52.183,0.86567,0.58211,0.74982,5.21687,60.285,1.20344,1.11518,7.7557,89.624,1.48672
2009-01-13,0.82097,0.74994,5.20776,59.92,1.19616,0.99974,0.67151,0.91423,6.34101,72.996,1.21808,6.93542,79.88,1.97669,1.6222,1.48227,0.90538,10.28726,118.428,2.35912,1.97614,1.32647,2.18199,1.79004,1.63733,11.36521,130.821,2.60599,2.18244,1.46544,11.51675,0.688,0.6285,4.36375,50.198,0.83779,0.56269,0.75072,5.20633,59.982,1.22311,1.1182,7.75537,89.314,1.48954
2009-01-14,0.82002,0.74377,5.16861,59.497,1.21247,0.99232,0.66629,0.90547,6.29106,72.413,1.20783,6.93887,79.937,1.98289,1.62999,1.47428,0.90569,10.23966,117.902,2.40835,1.96662,1.3201,2.18774,1.79856,1.62781,11.30715,130.209,2.65756,2.17033,1.45768,11.50625,0.67466,0.61263,4.25547,48.968,0.81755,0.54859,0.75025,5.20569,59.899,1.23329,1.11789,7.75695,89.253,1.49007
2009-01-15,0.82793,0.74166,5.13703,59.192,1.2282,0.98962,0.66198,0.89586,6.19503,71.422,1.1941,6.9235,79.746,1.98663,1.64525,1.47417,0.8998,10.19965,117.548,2.44342,1.96519,1.31441,2.21007,1.82963,1.63813,11.33261,130.713,2.71614,2.18352,1.46041,11.515,0.67361,0.60281,4.17631,48.098,0.80463,0.53828,0.74972,5.19078,59.784,1.25265,1.12079,7.75898,89.35,1.49489
2009-01-16,0.83474,0.75047,5.1957,60.444,1.23223,0.99828,0.66959,0.89836,6.22653,72.466,1.19583,6.92929,80.548,1.97334,1.64824,1.48063,0.89621,10.249,119.186,2.43007,1.96933,1.3208,2.20182,1.83891,1.65146,11.44204,133.08,2.71232,2.19847,1.47458,11.63875,0.67769,0.60955,4.21771,49.076,0.81036,0.54387,0.75137,5.20397,60.549,1.2463,1.11987,7.75945,90.31,1.49095
2009-01-19,0.84021,0.75716,5.22606,61.12,1.23574,1.00442,0.67357,0.90097,6.21679,72.748,1.19627,6.90286,80.783,1.96337,1.64859,1.48589,0.9025,10.25352,120.136,2.42564,1.97045,1.32155,2.1754,1.82673,1.64715,11.36233,133.007,2.68324,2.18363,1.46444,11.69875,0.67922,0.61242,4.22391,49.46,0.81189,0.54446,0.75409,5.20643,60.919,1.2481,1.12411,7.75881,90.769,1.49025
