,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2022-01-03,-0.18,-0.2,-1.01,-0.79,-0.24,-0.62,-1.01,-0.03,-0.85,-0.65,-0.46,-0.82,-0.59,0.46,0.17,0.14,-0.29,-0.66,-0.45,0.14,-0.28,-0.66,0.63,0.46,0.39,-0.39,-0.18,0.37,-0.01,-0.39,0.2,0.09,0.06,-0.77,-0.55,-0.37,-0.75,0.43,-0.39,-0.19,0.84,0.82,-0.01,0.2,0.38
2022-01-04,0.32,0.35,0.63,1.41,0.31,0.84,0.68,0.02,0.32,1.09,0.51,0.28,1.07,-0.77,-0.46,-0.43,-0.45,-0.13,0.64,-0.45,0.07,-0.09,-0.27,-0.01,0.02,0.32,1.07,-0.01,0.52,0.36,0.76,-0.02,0.02,0.32,1.07,0.51,0.35,-0.5,-0.2,0.55,-0.35,-0.34,-0.04,0.71,0.15
2022-01-05,0.12,-0.1,-0.21,-0.16,-0.13,-0.09,-0.24,-0.27,-0.33,-0.29,-0.21,-0.08,-0.14,0.43,0.56,0.33,0.03,0.27,0.26,0.31,0.39,0.24,0.4,0.51,0.29,0.22,0.2,0.28,0.34,0.18,-0.03,0.28,0.02,-0.05,-0.09,0.07,-0.09,-0.04,-0.12,-0.15,0.35,0.12,0.03,0.0,0.15
2022-01-06,-1.07,-0.32,-0.75,-1.04,-0.08,-0.56,-0.81,0.74,0.32,0.04,0.5,-0.43,-0.65,0.68,-0.41,0.31,0.03,-0.09,-0.37,0.58,0.09,-0.13,0.65,-0.42,0.3,-0.11,-0.38,0.58,0.07,-0.15,-0.28,-0.95,-0.25,-0.66,-0.93,-0.49,-0.71,0.25,-0.18,-0.46,-0.27,0.48,0.04,-0.24,0.23
2022-01-07,-0.42,-0.06,0.22,-0.02,-0.17,-0.14,0.26,0.36,0.64,0.41,0.27,0.26,0.04,0.32,-0.11,0.26,0.13,0.54,0.32,0.14,0.17,0.57,0.19,-0.24,0.15,0.4,0.17,0.01,0.01,0.44,-0.22,-0.24,0.13,0.41,0.16,0.01,0.45,0.1,0.38,0.15,-0.67,-0.3,-0.04,-0.26,-0.42
2022-01-10,0.19,0.85,-0.07,-0.41,0.17,0.01,-0.03,0.67,-0.27,-0.59,-0.17,-0.93,-1.28,-0.35,-0.06,0.6,-0.24,-0.31,-0.68,-0.07,-0.24,-0.28,0.01,0.07,0.84,-0.07,-0.48,0.19,0.04,-0.02,-0.34,0.01,0.69,-0.24,-0.57,-0.13,-0.21,0.85,-0.08,-0.45,0.21,0.9,-0.04,-0.37,0.07
2022-01-11,-0.31,0.09,0.51,0.59,0.19,0.06,0.5,0.39,0.81,0.89,0.37,0.43,0.5,-0.12,-0.43,-0.02,-0.08,0.38,0.45,0.03,-0.06,0.38,-0.01,-0.35,0.05,0.46,0.54,0.11,0.01,0.45,0.08,-0.48,-0.09,0.34,0.42,-0.12,0.33,0.01,0.44,0.53,-0.8,-0.42,0.0,0.09,-0.44
2022-01-12,0.44,-0.01,0.94,0.43,0.1,0.65,1.0,-0.46,0.49,-0.01,0.22,0.94,0.43,-0.38,0.06,-0.37,0.11,0.57,0.05,-0.25,0.28,0.62,-0.49,-0.05,-0.47,0.45,-0.06,-0.36,0.17,0.51,-0.52,0.34,-0.12,0.84,0.31,0.55,0.89,-0.66,0.28,-0.24,-0.56,-1.0,-0.06,-0.57,-0.34
2022-01-13,0.05,-0.42,-0.14,-0.49,-0.28,-0.08,-0.08,-0.47,-0.19,-0.54,-0.16,0.3,-0.07,0.19,0.23,-0.23,0.09,0.05,-0.32,-0.13,0.08,0.11,0.1,0.14,-0.31,-0.05,-0.39,-0.21,-0.01,0.01,-0.36,0.36,-0.12,0.17,-0.19,0.22,0.23,-0.33,-0.04,-0.4,0.13,-0.35,-0.06,-0.42,-0.02
2022-01-14,-0.69,-0.68,-1.02,-1.02,-0.09,-0.84,-1.0,0.0,-0.34,-0.31,-0.15,-0.35,-0.32,0.66,-0.05,-0.03,-0.12,-0.39,-0.35,0.51,-0.2,-0.36,0.79,0.08,0.07,-0.28,-0.2,0.66,-0.1,-0.24,0.04,-0.6,-0.55,-0.94,-0.9,-0.71,-0.9,0.17,-0.18,-0.14,0.29,0.31,-0.03,-0.0,0.15
