date,return
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,-0.2
2022-04-12T21:00:00,0.07
2022-04-13T21:00:00,-0.71
2022-04-14T21:00:00,0.39
2022-04-17T21:00:00,0.22
2022-04-18T21:00:00,0.63
2022-04-19T21:00:00,-0.45
2022-04-20T21:00:00,-0.12
2022-04-21T21:00:00,-0.19
2022-04-24T21:00:00,-0.62
2022-04-25T21:00:00,-1.09
2022-04-26T21:00:00,0.22
2022-04-27T21:00:00,1.6
2022-04-28T21:00:00,-1.03
2022-05-01T21:00:00,-0.49
2022-05-02T21:00:00,-0.06
2022-05-03T21:00:00,-0.19
2022-05-04T21:00:00,-0.46
2022-05-05T21:00:00,-0.11
2022-05-08T21:00:00,-1.16
2022-05-09T21:00:00,-0.09
2022-05-10T21:00:00,-0.14
2022-05-11T21:00:00,-2.04
2022-05-12T21:00:00,0.81
2022-05-15T21:00:00,-0.14
2022-05-16T21:00:00,1.07
2022-05-17T21:00:00,-0.4
2022-05-18T21:00:00,1.33
2022-05-19T21:00:00,-0.12
