date,return
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,-0.53
2022-04-12T21:00:00,0.62
2022-04-13T21:00:00,-0.47
2022-04-14T21:00:00,-0.12
2022-04-17T21:00:00,-0.23
2022-04-18T21:00:00,0.08
2022-04-19T21:00:00,0.64
2022-04-20T21:00:00,-0.21
2022-04-21T21:00:00,-0.35
2022-04-24T21:00:00,-0.89
2022-04-25T21:00:00,-0.74
2022-04-26T21:00:00,-0.72
2022-04-27T21:00:00,-0.6
2022-04-28T21:00:00,0.42
2022-05-01T21:00:00,-0.43
2022-05-02T21:00:00,0.15
2022-05-03T21:00:00,0.96
2022-05-04T21:00:00,-0.77
2022-05-05T21:00:00,0.07
2022-05-08T21:00:00,0.16
2022-05-09T21:00:00,-0.29
2022-05-10T21:00:00,-0.14
2022-05-11T21:00:00,-1.29
2022-05-12T21:00:00,0.27
2022-05-15T21:00:00,0.27
2022-05-16T21:00:00,1.14
2022-05-17T21:00:00,-0.82
2022-05-18T21:00:00,1.14
2022-05-19T21:00:00,-0.27
