date,return
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,0.6
2022-04-12T21:00:00,-0.59
2022-04-13T21:00:00,0.77
2022-04-14T21:00:00,-0.31
2022-04-17T21:00:00,-0.58
2022-04-18T21:00:00,0.89
2022-04-19T21:00:00,0.73
2022-04-20T21:00:00,-0.65
2022-04-21T21:00:00,-1.09
2022-04-24T21:00:00,0.2
2022-04-25T21:00:00,-0.44
2022-04-26T21:00:00,0.38
2022-04-27T21:00:00,-0.34
2022-04-28T21:00:00,-0.35
2022-05-01T21:00:00,0.26
2022-05-02T21:00:00,0.07
2022-05-03T21:00:00,0.59
2022-05-04T21:00:00,-1.86
2022-05-05T21:00:00,0.04
2022-05-08T21:00:00,-0.65
2022-05-09T21:00:00,-0.29
2022-05-10T21:00:00,-0.17
2022-05-11T21:00:00,-0.13
2022-05-12T21:00:00,0.76
2022-05-15T21:00:00,0.46
2022-05-16T21:00:00,-0.08
2022-05-17T21:00:00,-1.53
2022-05-18T21:00:00,-0.22
2022-05-19T21:00:00,0.41
