date,return
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,0.38
2022-04-12T21:00:00,-0.76
2022-04-13T21:00:00,-0.07
2022-04-14T21:00:00,-0.37
2022-04-17T21:00:00,-0.68
2022-04-18T21:00:00,0.02
2022-04-19T21:00:00,1.13
2022-04-20T21:00:00,-1.12
2022-04-21T21:00:00,-1.45
2022-04-24T21:00:00,-0.12
2022-04-25T21:00:00,-0.85
2022-04-26T21:00:00,-0.31
2022-04-27T21:00:00,-0.83
2022-04-28T21:00:00,-0.5
2022-05-01T21:00:00,-0.47
2022-05-02T21:00:00,-0.01
2022-05-03T21:00:00,-0.09
2022-05-04T21:00:00,-0.05
2022-05-05T21:00:00,-0.34
2022-05-08T21:00:00,-1.3
2022-05-09T21:00:00,-0.49
2022-05-10T21:00:00,0.04
2022-05-11T21:00:00,-1.0
2022-05-12T21:00:00,0.92
2022-05-15T21:00:00,0.48
2022-05-16T21:00:00,0.83
2022-05-17T21:00:00,-1.03
2022-05-18T21:00:00,1.36
2022-05-19T21:00:00,0.37
