date,return
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,0.4
2022-04-12T21:00:00,-0.56
2022-04-13T21:00:00,0.1
2022-04-14T21:00:00,0.07
2022-04-17T21:00:00,-0.22
2022-04-18T21:00:00,1.53
2022-04-19T21:00:00,0.29
2022-04-20T21:00:00,-0.82
2022-04-21T21:00:00,-1.32
2022-04-24T21:00:00,-0.46
2022-04-25T21:00:00,-1.52
2022-04-26T21:00:00,0.61
2022-04-27T21:00:00,1.03
2022-04-28T21:00:00,-1.33
2022-05-01T21:00:00,-0.18
2022-05-02T21:00:00,-0.03
2022-05-03T21:00:00,-0.9
2022-05-04T21:00:00,0.79
2022-05-05T21:00:00,-0.1
2022-05-08T21:00:00,-1.47
2022-05-09T21:00:00,-0.4
2022-05-10T21:00:00,-0.32
2022-05-11T21:00:00,-2.18
2022-05-12T21:00:00,1.62
2022-05-15T21:00:00,0.34
2022-05-16T21:00:00,1.0
2022-05-17T21:00:00,-1.91
2022-05-18T21:00:00,1.08
2022-05-19T21:00:00,0.51
