,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-02,1.23,1.19,1.32,1.14,1.29,0.9,1.25,1.26,0.9,0.9
2014-01-03,1.32,0.94,1.06,0.97,0.88,0.75,1.02,1.66,0.79,0.75
2014-01-06,0.68,0.88,0.62,0.66,0.72,0.54,0.99,0.68,0.56,0.54
2014-01-07,0.75,1.13,0.66,0.56,0.58,0.57,0.6,0.71,0.55,0.57
2014-01-08,0.61,0.7,0.6,0.63,0.76,0.53,0.65,0.74,0.54,0.53
2014-01-09,0.64,0.66,0.71,0.65,0.52,0.44,0.59,0.6,0.5,0.44
2014-01-10,1.18,1.45,0.83,0.78,0.94,0.94,1.08,0.99,0.82,0.94
2014-01-13,1.12,0.92,0.9,0.77,1.32,0.74,1.2,1.25,0.77,0.74
2014-01-14,1.03,0.89,0.7,0.7,0.96,0.68,1.1,1.02,0.66,0.68
2014-01-15,0.79,0.82,0.72,0.62,0.74,0.65,0.62,0.71,0.53,0.65
2014-01-16,1.62,0.69,0.8,0.69,0.67,0.63,0.86,0.88,0.59,0.63
2014-01-17,0.7,0.64,0.76,0.72,1.22,0.64,0.73,1.24,0.62,0.65
2014-01-20,0.73,0.59,0.59,0.57,0.56,0.49,0.71,1.35,0.51,0.49
2014-01-21,0.62,0.63,0.65,0.48,0.66,0.52,0.76,0.6,0.5,0.53
2014-01-22,1.21,1.38,0.64,0.64,1.1,0.6,0.78,0.75,0.6,0.6
2014-01-23,1.82,1.31,1.8,1.32,1.01,1.02,1.71,1.23,1.01,1.01
2014-01-24,1.54,1.17,1.28,0.97,1.43,0.89,1.77,1.42,0.97,0.89
2014-01-27,1.09,1.01,0.87,0.73,0.94,0.66,1.35,0.95,0.72,0.65
2014-01-28,1.11,1.05,0.78,0.66,0.74,0.64,0.96,1.07,0.67,0.64
2014-01-29,1.31,1.14,1.14,0.96,0.89,0.81,1.78,1.6,0.88,0.82
2014-01-30,1.34,0.87,1.08,0.92,0.87,0.72,0.98,1.12,0.83,0.73
2014-01-31,1.45,1.36,1.01,0.97,0.89,0.83,1.38,1.38,0.83,0.83
2014-02-03,1.15,0.98,1.04,0.79,1.35,0.76,1.64,1.02,0.74,0.76
2014-02-04,2.3,1.2,1.24,1.04,1.2,0.98,1.49,2.4,1.15,0.98
