,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.04,-0.04,0.04,0.17,0.37,-0.29,0.05,-0.37,0.35,-0.31
2018-01-03,0.31,0.03,-0.38,-0.18,-0.36,0.2,0.01,-0.04,0.2,0.22
2018-01-04,0.12,0.17,0.02,0.19,0.03,-0.29,-0.53,0.67,-0.09,-0.29
2018-01-05,-0.05,0.62,-0.05,-0.38,0.1,-0.07,-0.34,0.19,0.03,-0.05
2018-01-08,-0.19,0.08,-0.12,-0.42,0.19,0.12,0.19,0.34,-0.32,0.13
2018-01-09,-0.07,-0.19,-0.55,-0.1,-0.04,0.19,0.63,-0.03,-0.03,0.19
2018-01-10,0.1,-0.94,0.35,-0.06,-0.43,-0.19,1.03,0.36,-0.06,-0.17
2018-01-11,0.31,-0.13,-0.1,0.4,-0.13,-0.39,-0.2,0.59,0.03,-0.38
2018-01-12,-0.19,-0.03,0.4,0.98,1.03,-0.52,-0.37,-0.71,-0.05,-0.53
2018-01-15,0.41,-0.15,0.14,0.17,0.04,-0.46,0.09,0.48,-0.26,-0.46
2018-01-16,-0.06,-0.05,0.44,-0.03,-0.01,0.02,0.11,-0.49,0.05,0.02
2018-01-17,0.35,0.16,-0.53,-0.48,0.51,0.27,-0.62,0.25,-0.11,0.2
2018-01-18,0.05,-0.11,0.47,0.15,0.17,-0.33,-0.16,0.14,-0.03,-0.34
2018-01-19,0.12,-0.48,-0.42,0.04,-0.12,0.19,0.44,-0.13,0.19,0.18
2018-01-22,0.08,0.14,-0.23,-0.23,0.61,-0.16,-0.51,0.51,-0.07,-0.15
2018-01-23,-0.45,0.04,0.27,0.13,-0.1,-0.21,0.41,0.17,-0.06,-0.21
2018-01-24,0.11,-0.1,0.72,0.23,1.12,-0.76,0.37,-1.02,0.1,-0.75
2018-01-25,-0.29,-0.12,0.66,0.08,-0.59,0.2,-0.0,-0.03,-0.09,0.19
2018-01-26,0.69,0.11,0.37,-0.16,-0.27,-0.46,0.36,0.04,-0.21,-0.46
2018-01-29,0.15,0.03,-0.16,-0.15,-0.25,0.24,-0.01,-0.07,-0.04,0.25
2018-01-30,-0.26,-0.11,0.3,0.06,0.48,-0.16,0.05,-0.03,-0.21,-0.12
2018-01-31,-0.43,0.1,0.31,0.02,0.29,-0.12,-0.47,0.49,-0.09,-0.09
2018-02-01,-0.54,0.16,0.3,0.57,0.3,-0.25,-0.49,0.23,0.03,-0.3
2018-02-02,-0.8,-0.57,0.28,0.35,-0.29,0.85,0.08,-0.65,-0.12,0.86
2018-02-05,-0.26,-0.67,0.36,-0.38,-0.86,0.25,1.33,-0.11,0.08,0.24
2018-02-06,0.27,0.26,-0.65,-0.04,-0.19,-0.1,-0.58,1.08,0.11,-0.13
2018-02-07,-0.56,-0.06,-0.24,-0.39,0.09,0.62,0.82,-0.95,0.07,0.62
2018-02-08,-0.59,-0.33,0.9,-0.12,0.3,-0.04,0.63,-0.25,-0.49,-0.0
2018-02-09,0.41,0.15,-0.45,0.0,-0.7,-0.0,-0.1,0.49,0.25,-0.04
2018-02-12,0.42,-0.13,-0.19,0.15,-0.05,-0.25,-0.02,0.07,0.24,-0.25
2018-02-13,-0.27,-0.35,0.27,0.32,0.23,-0.3,0.62,-0.06,-0.21,-0.25
2018-02-14,0.23,0.16,-0.1,0.16,0.16,-0.71,0.11,0.69,0.01,-0.72
2018-02-15,-0.18,-0.32,0.43,0.03,0.34,-0.42,0.43,0.15,-0.02,-0.45
2018-02-16,-0.1,-0.23,-0.28,-0.46,-0.13,0.37,0.2,0.09,0.17,0.38
2018-02-19,0.13,0.05,-0.04,0.11,-0.07,0.08,-0.2,-0.07,-0.05,0.07
2018-02-20,0.02,-0.32,-0.39,-0.18,0.39,0.39,-0.33,0.08,-0.07,0.43
2018-02-21,-0.67,-0.05,0.11,-0.05,-0.19,0.41,-0.02,0.04,-0.01,0.42
2018-02-22,0.22,-0.41,0.34,0.03,-0.07,-0.37,0.67,-0.04,0.02,-0.38
2018-02-23,0.02,0.7,-0.29,-0.21,0.2,0.11,-0.04,-0.62,0.04,0.09
2018-02-26,0.13,-0.42,-0.26,0.17,-0.21,-0.05,0.24,0.14,0.29,-0.04
2018-02-27,-0.4,-0.3,0.42,-0.23,0.05,0.47,0.12,-0.47,-0.19,0.53
2018-02-28,-0.11,-0.2,-0.4,-0.07,-0.91,0.3,0.97,-0.09,0.23,0.28
2018-03-01,-0.28,-0.3,0.12,0.44,-0.07,-0.25,0.23,0.39,-0.06,-0.22
2018-03-02,-0.05,-0.57,0.35,0.35,0.09,-0.19,0.36,-0.33,0.12,-0.14
2018-03-05,0.18,-0.59,-0.24,0.18,0.58,0.14,-0.59,-0.04,0.21,0.17
2018-03-06,0.55,0.42,-0.47,0.24,-0.07,-0.41,-0.3,0.63,-0.21,-0.39
2018-03-07,-0.02,-0.26,-0.28,0.08,0.14,0.01,0.12,-0.08,0.23,0.04
2018-03-08,-0.17,0.46,-0.53,-0.52,-0.31,0.3,0.23,0.09,0.08,0.37
2018-03-09,0.7,0.55,-0.18,-0.22,0.15,-0.11,-0.82,0.21,-0.1,-0.17
2018-03-12,0.16,-0.43,0.2,0.04,0.26,-0.2,0.09,-0.15,0.19,-0.15
2018-03-13,-0.22,-1.11,0.33,0.41,0.41,-0.04,-0.21,0.44,0.02,-0.04
2018-03-14,0.19,0.02,-0.16,-0.26,-0.07,-0.08,0.2,0.05,0.18,-0.06
2018-03-15,-0.65,-0.38,-0.27,-0.09,0.28,0.45,0.44,-0.34,0.09,0.47
2018-03-16,-0.96,-0.13,0.18,0.14,0.34,0.25,0.66,-0.68,-0.1,0.29
2018-03-19,-0.17,-0.06,-0.02,0.27,0.51,-0.16,-0.35,0.21,-0.07,-0.17
2018-03-20,-0.11,0.42,-0.24,-0.48,0.16,0.33,-0.1,-0.52,0.18,0.36
2018-03-21,0.47,0.73,0.09,0.16,0.42,-0.74,-0.21,-0.04,-0.15,-0.72
2018-03-22,-0.85,-0.12,0.23,-0.15,-0.16,0.16,1.0,-0.09,-0.2,0.19
2018-03-23,-0.2,0.09,0.01,0.2,0.01,-0.25,0.36,0.21,-0.14,-0.28
2018-03-26,0.29,0.09,-0.14,0.5,0.37,-0.35,-1.14,0.64,0.1,-0.35
2018-03-27,-0.67,-0.11,0.16,-0.1,-0.27,0.29,0.38,-0.15,0.19,0.29
2018-03-28,0.35,0.26,-0.58,-0.27,-0.04,0.57,-1.02,-0.26,0.41,0.58
2018-03-29,0.18,0.23,-0.07,-0.17,-0.54,-0.1,0.34,0.24,-0.02,-0.09
2018-03-30,0.04,-0.18,0.26,0.14,-0.11,-0.07,0.1,-0.03,-0.1,-0.05
2018-04-02,-0.35,-0.04,-0.14,-0.08,0.22,0.11,0.46,-0.24,-0.05,0.09
2018-04-03,0.29,0.87,-0.52,-0.35,0.06,-0.06,-0.81,0.61,-0.0,-0.07
2018-04-04,0.32,0.21,-0.36,-0.06,0.06,-0.16,-0.3,0.61,-0.18,-0.14
2018-04-05,-0.16,0.48,0.03,-0.05,-0.3,0.31,-0.33,-0.28,-0.01,0.31
2018-04-06,-0.3,-0.43,0.32,0.21,0.55,-0.18,0.33,-0.2,-0.14,-0.17
2018-04-09,-0.04,0.35,-0.0,0.05,0.02,-0.3,-0.09,0.21,0.06,-0.27
2018-04-10,0.63,0.59,-0.4,0.02,0.05,-0.31,-0.74,0.55,-0.09,-0.31
2018-04-11,-0.12,0.13,-0.14,0.05,-0.06,-0.06,0.39,-0.09,-0.05,-0.06
2018-04-12,0.08,0.03,-0.35,-0.24,0.53,0.12,-0.44,0.33,-0.2,0.13
2018-04-13,0.15,-0.17,0.04,0.06,0.07,0.03,-0.01,-0.27,0.07,0.02
2018-04-16,-0.1,0.03,0.03,0.16,0.46,-0.24,0.16,-0.16,-0.11,-0.25
2018-04-17,-0.03,0.31,-0.58,0.06,-0.22,0.17,0.27,-0.19,0.06,0.17
2018-04-18,0.42,-0.5,-0.1,0.2,-0.47,0.18,-0.06,-0.14,0.29,0.18
2018-04-19,-0.43,0.0,0.08,0.11,-0.55,0.39,0.23,-0.44,0.24,0.37
2018-04-20,-0.36,-0.33,0.09,-0.04,-0.18,0.53,0.2,-0.42,0.03,0.47
2018-04-23,-0.41,-0.23,0.24,0.01,0.11,0.65,-0.33,-0.44,-0.21,0.61
2018-04-24,-0.05,0.1,-0.1,0.21,0.29,-0.06,-0.12,-0.51,0.26,-0.0
2018-04-25,-0.14,0.29,-0.13,-0.23,0.08,0.43,-0.19,-0.4,-0.13,0.43
2018-04-26,-0.02,-0.09,-0.45,-0.37,0.05,0.16,0.28,0.01,0.27,0.16
2018-04-27,0.33,0.26,-0.03,0.14,-1.16,-0.1,0.15,0.27,0.23,-0.08
2018-04-30,-0.44,0.22,-0.06,-0.14,0.19,0.27,0.0,-0.48,0.16,0.27
2018-05-01,-0.09,0.44,-0.2,-0.29,-0.71,0.49,-0.05,0.03,-0.12,0.51
2018-05-02,0.21,-0.13,-0.13,-0.21,-0.17,0.17,0.21,-0.04,-0.08,0.18
2018-05-03,0.27,-0.05,-0.16,0.02,-0.34,-0.33,0.35,0.46,0.12,-0.33
2018-05-04,0.21,0.16,-0.08,-0.14,-0.24,0.11,0.22,-0.26,-0.08,0.11
2018-05-07,-0.25,-0.16,-0.11,-0.2,0.31,0.13,0.16,-0.01,-0.01,0.14
2018-05-08,-0.6,-0.26,0.41,-0.22,0.24,0.34,0.23,-0.44,-0.03,0.34
2018-05-09,0.14,0.86,-0.32,-0.06,0.08,0.03,-0.59,0.28,-0.46,0.04
2018-05-10,0.77,0.45,-0.05,0.29,-0.55,-0.33,0.03,-0.67,0.39,-0.33
2018-05-11,0.05,-0.32,0.25,0.15,0.08,-0.07,-0.07,-0.08,0.09,-0.08
2018-05-14,-0.09,-0.08,0.17,0.03,0.26,0.19,-0.13,-0.65,0.12,0.18
2018-05-15,-0.3,-0.1,0.43,-0.31,0.08,0.49,-0.21,-0.34,-0.23,0.49
2018-05-16,0.47,0.53,-0.17,-0.47,-0.32,-0.17,-0.23,0.37,0.16,-0.17
2018-05-17,0.02,-0.04,0.1,-0.02,0.35,0.09,-0.29,-0.24,-0.06,0.09
2018-05-18,0.02,-0.66,0.45,-0.2,-0.36,0.04,0.04,0.59,0.03,0.06
2018-05-21,0.66,0.56,-0.19,-0.02,-0.51,-0.18,-0.36,0.21,0.01,-0.19
2018-05-22,-0.09,-0.25,0.48,-0.12,0.01,-0.03,0.13,-0.2,0.08,-0.01
2018-05-23,-0.04,0.06,-0.16,-0.58,-0.48,0.22,1.04,-0.11,-0.15,0.21
2018-05-24,0.03,-0.61,0.22,-0.0,0.09,-0.2,0.61,-0.05,0.11,-0.21
2018-05-25,-0.12,-0.52,0.47,-0.39,-0.41,0.3,0.14,0.2,0.05,0.28
2018-05-28,-0.13,-0.18,-0.14,-0.52,0.02,0.08,0.43,0.34,0.01,0.08
2018-05-29,-0.38,-0.01,0.46,-0.61,-0.26,0.21,0.87,-0.44,-0.03,0.21
2018-05-30,0.49,0.66,-0.32,0.65,-0.28,-0.61,-0.72,0.78,-0.05,-0.58
2018-05-31,-0.16,-0.73,0.35,0.25,0.01,0.03,0.05,0.14,0.1,-0.04
