,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2007-01-01,0.91997,0.96205,6.13697,93.98,1.12052,1.21045,0.78902,1.04556,6.6706,102.087,1.3157,6.37925,97.655,1.6719,1.5388,1.60905,0.67386,10.26497,157.152,1.87338,2.02463,1.31976,2.48245,2.28397,2.38757,15.23605,233.2,2.78052,3.00512,1.95889,15.305,0.82151,0.85898,,83.88,,0.70458,0.79476,,77.597,1.166,1.21925,7.80095,119.046,1.44193
2007-01-02,0.92388,0.96403,6.1675,94.27,1.12272,1.21508,0.79278,1.0432,6.6774,102.005,1.3149,6.39913,97.815,1.6699,1.54312,1.60984,0.67325,10.3016,157.435,1.87467,2.02925,1.32415,2.48046,2.29226,2.39094,15.29818,233.842,2.7845,3.01428,1.96646,15.2775,0.82301,0.85854,,83.941,,0.7064,0.79329,,77.587,1.16502,1.21568,7.77955,118.864,1.53222
2007-01-03,0.92806,0.96846,6.18093,94.627,1.12285,1.21683,0.7939,1.04405,6.66043,101.928,1.31135,6.3801,97.645,1.66527,1.54557,1.61338,0.674,10.29205,157.527,1.87003,2.0261,1.32197,2.47105,2.29277,2.39298,15.2758,233.762,2.77541,3.00695,1.9621,15.305,0.82625,0.86254,,84.248,,0.70656,0.79619,,77.748,1.169,1.22032,7.78495,119.145,1.53238
2007-01-04,0.92528,0.96804,6.13537,93.933,1.1217,1.20962,0.7877,1.04663,6.62847,101.45,1.30723,6.33785,97.0,1.66725,1.54185,1.61344,0.67427,10.22482,156.511,1.86942,2.01623,1.31272,2.47216,2.28606,2.39301,15.16413,232.167,2.77254,2.98925,1.94686,15.3075,0.82502,0.86315,,83.761,,0.70249,0.80034,,77.627,1.17512,1.22897,7.78883,119.24,1.53602
2007-01-05,0.91858,0.96481,6.08948,92.859,1.12918,1.2015,0.7817,1.04965,6.6278,100.918,1.30725,6.31244,96.21,1.66926,1.53335,1.6101,0.67394,10.16111,154.966,1.88455,2.00442,1.30438,2.47721,2.27567,2.39011,15.07917,230.038,2.79746,2.97544,1.93578,15.2375,0.81369,0.85458,,82.27,,0.6922,0.80302,,77.243,1.17543,1.23409,7.79001,118.683,1.53671
2007-01-08,0.91635,0.96416,6.07875,92.471,1.1338,1.19907,0.78,1.05214,6.6343,100.985,1.30888,6.30314,95.96,1.66857,1.52913,1.60889,0.67301,10.14191,154.382,1.89298,2.0006,1.30122,2.47935,2.27191,2.39004,15.07115,229.394,2.81141,2.97283,1.93383,15.215,0.80787,0.85013,,81.606,,0.68775,0.80413,,77.141,1.1748,1.23649,7.79288,118.594,1.53766
2007-01-09,0.91857,0.96701,6.0879,92.975,1.12975,1.19988,0.78082,1.05341,6.62795,101.28,1.30672,6.29443,96.168,1.66696,1.53123,1.61231,0.67104,10.14818,155.01,1.88386,2.00047,1.30131,2.48433,2.28194,2.40251,15.12547,230.958,2.8071,2.98133,1.94015,15.2775,0.81277,0.85579,,82.264,,0.69105,0.80586,,77.485,1.17633,1.23867,7.79625,119.1,1.5369
2007-01-10,0.91593,0.96881,6.07328,93.073,1.12967,1.19667,0.7788,1.0579,6.63015,101.585,1.30655,6.26872,96.05,1.66529,1.525,1.61311,0.66986,10.11332,154.947,1.88117,1.9926,1.2969,2.48606,2.27634,2.40856,15.10078,231.309,2.80824,2.97495,1.93644,15.3225,0.81087,0.85755,,82.374,,0.68956,0.80954,,77.748,1.17622,1.24397,7.79795,119.478,1.5368
2007-01-11,0.91718,0.9725,6.08122,93.568,1.1318,1.20117,0.77982,1.06024,6.63495,102.206,1.31163,6.25418,96.293,1.65728,1.5214,1.61282,0.66634,10.0855,155.286,1.87391,1.99363,1.29327,2.48485,2.28212,2.41909,15.13399,232.805,2.81424,2.9885,1.9407,15.3975,0.81064,0.86017,,82.779,,0.68939,0.80907,,77.833,1.17532,1.24693,7.79797,120.064,1.54087
2007-01-12,0.91741,0.97599,6.09615,94.131,1.13218,1.207,0.78169,1.06364,6.64447,102.561,1.3151,6.24641,96.453,1.65124,1.51527,1.61173,0.66142,10.0665,155.456,1.86936,1.99326,1.29072,2.49708,2.29131,2.4368,15.22345,234.999,2.82636,3.01371,1.95199,15.4425,0.81049,0.86229,,83.14,,0.69042,0.80866,,77.987,1.17378,1.24859,7.79906,120.43,1.54458
2007-01-15,0.91657,0.97835,6.11587,94.435,1.12918,1.2094,0.78424,1.0677,6.6736,102.98,1.3195,6.25096,96.508,1.6489,1.5115,1.61385,0.65897,10.08649,155.657,1.86215,1.99425,1.2934,2.50185,2.29357,2.44874,15.30135,236.141,2.82567,3.02532,1.96203,15.435,0.8117,0.8667,,83.565,,0.69447,0.8091,,78.061,1.1686,1.24764,7.79835,120.376,1.54191
2007-01-16,0.91758,0.97731,6.11163,94.429,1.12882,1.2065,0.78353,1.06493,6.65873,102.903,1.31433,6.25392,96.601,1.6514,1.51525,1.6139,0.65902,10.09205,155.935,1.86315,1.99202,1.29384,2.50727,2.2997,2.44908,15.31938,236.728,2.82852,3.02402,1.96396,15.4475,0.81413,0.86618,,83.698,,0.69405,0.80988,,78.263,1.1715,1.24715,7.80022,120.519,1.54018
2007-01-17,0.92156,0.97911,6.1211,94.65,1.13425,1.20708,0.78442,1.06237,6.64417,102.722,1.30991,6.25245,96.657,1.64765,1.5187,1.61336,0.65773,10.08713,155.929,1.86891,1.98847,1.29262,2.50464,2.30929,2.45296,15.34052,237.211,2.84235,3.0244,1.96596,15.4575,0.81232,0.86321,,83.455,,0.69156,0.81138,,78.403,1.17448,1.2481,7.80302,120.631,1.53882
2007-01-18,0.92454,0.98287,6.14988,95.282,1.1353,1.21125,0.78773,1.06299,6.6515,103.09,1.30985,6.25605,97.018,1.64355,1.52013,1.61584,0.65672,10.10618,156.654,1.8659,1.99015,1.29438,2.50317,2.31528,2.4606,15.39187,238.633,2.84074,3.0312,1.97137,15.495,0.81453,0.8658,,83.955,,0.69427,0.81173,,78.683,1.17395,1.24805,7.80757,120.99,1.5376
2007-01-19,0.92588,0.98451,6.16175,95.661,1.1353,1.21295,0.78896,1.06359,6.65725,103.364,1.31055,6.25494,97.17,1.64304,1.5212,1.61753,0.65667,10.11996,157.196,1.86485,1.99213,1.29593,2.50205,2.31619,2.46342,15.41285,239.353,2.83963,3.03429,1.97367,15.5275,0.81574,0.86756,,84.295,,0.69512,0.81212,,78.862,1.17298,1.24846,7.80939,121.253,1.53719
2007-01-22,0.92843,0.98552,6.1564,95.822,1.13119,1.21352,0.78887,1.06069,6.6274,103.201,1.30643,6.24739,97.27,1.64191,1.52535,1.61793,0.65592,10.11004,157.357,1.85826,1.99274,1.29539,2.50378,2.32541,2.46701,15.41178,239.911,2.8323,3.0382,1.97519,15.5625,0.82081,0.87065,,84.685,,0.69742,0.81209,,78.982,1.1774,1.24926,7.80419,121.473,1.53799
2007-01-23,0.9342,0.9846,6.1653,96.115,1.12757,1.21435,0.79038,1.05376,6.60113,102.838,1.30035,6.26398,97.63,1.64306,1.535,1.61729,0.65598,10.13077,157.964,1.85343,1.99568,1.29874,2.5051,2.3414,2.46667,15.45437,240.81,2.8263,3.04373,1.98117,15.5825,0.82817,0.87258,,85.189,,0.70065,0.81039,,79.138,1.18161,1.24533,7.80053,121.54,1.5368
2007-01-24,0.92838,0.97918,6.13635,95.44,1.1226,1.20792,0.78652,1.05532,6.61313,102.767,1.3014,6.26502,97.42,1.65285,1.53367,1.6187,0.65835,10.14005,157.683,1.8564,1.99582,1.29961,2.5126,2.33062,2.4594,15.40635,239.651,2.8197,3.03255,1.97464,15.5525,0.82504,0.87171,,84.877,,0.6992,0.8109,,79.005,1.1799,1.24537,7.80202,121.32,1.53558
2007-01-25,0.91775,0.97036,6.06762,94.185,1.11258,1.19477,0.77738,1.05737,6.6173,102.53,1.3028,6.2595,96.97,1.66605,1.5284,1.6163,0.65875,10.11308,156.737,1.8539,1.9908,1.29553,2.52987,2.31965,2.45436,15.35875,237.985,2.81391,3.02283,1.96753,15.5,0.82507,0.87199,,84.642,,0.6988,0.81159,,78.743,1.17968,1.24705,7.80523,120.979,1.53645
2007-01-26,0.91386,0.96805,6.03967,93.909,1.11162,1.19005,0.7735,1.05894,6.61,102.774,1.30175,6.23728,97.08,1.67071,1.5267,1.61705,0.65859,10.0853,156.939,1.85656,1.98691,1.29165,2.53645,2.31761,2.45598,15.31925,238.267,2.81862,3.01774,1.96192,15.55,0.82228,0.87121,,84.521,,0.69574,0.81361,,78.927,1.18138,1.25185,7.80839,121.421,1.53831
2007-01-29,0.91299,0.96897,6.0362,94.129,1.11006,1.1896,0.77281,1.06133,6.61008,103.07,1.30288,6.23141,97.076,1.67348,1.52792,1.62141,0.65999,10.10366,157.4,1.8594,1.99053,1.29355,2.5357,2.31553,2.45674,15.3044,238.503,2.81599,3.01589,1.95944,15.585,0.82264,0.87252,,84.719,,0.69605,0.81441,,79.066,1.18165,1.25349,7.81057,121.715,1.5391
2007-01-30,0.91244,0.96717,6.0308,94.007,1.11542,1.1877,0.77212,1.05969,6.6105,103.013,1.30173,6.23717,97.187,1.67855,1.53142,1.62344,0.66019,10.12467,157.764,1.87173,1.99375,1.29631,2.54104,2.32005,2.45888,15.33463,238.959,2.83324,3.02005,1.9633,15.5825,0.81826,0.86745,,84.301,,0.69263,0.81407,,79.13,1.18153,1.2522,7.81072,121.716,1.53832
2007-01-31,0.91241,0.96652,6.04418,93.782,1.12462,1.18945,0.77408,1.05932,6.62343,102.77,1.30347,6.25267,97.042,1.67855,1.53153,1.62261,0.66206,10.14355,157.425,1.8877,1.99598,1.2991,2.53512,2.3121,2.45049,15.31025,237.812,2.85066,3.01348,1.96075,15.52,0.81097,0.85943,,83.444,,0.68804,0.81283,,78.86,1.1789,1.2488,7.80825,121.185,1.53707
2007-02-01,0.91295,0.96438,6.0533,93.587,1.13005,1.19037,0.7754,1.05622,6.62938,102.508,1.30373,6.27865,97.02,1.67994,1.53363,1.61984,0.66243,10.16852,157.168,1.89855,1.99965,1.30274,2.53579,2.31519,2.44521,15.3537,237.302,2.86541,3.01878,1.96697,15.455,0.80783,0.85345,,82.859,,0.68614,0.81018,,78.595,1.17742,1.2432,7.80612,120.634,1.53515
2007-02-02,0.91475,0.96415,6.04263,93.626,1.13589,1.1883,0.77404,1.05313,6.6052,102.344,1.29937,6.2728,97.18,1.67835,1.53711,1.61836,0.66064,10.14937,157.237,1.90859,1.99549,1.30002,2.54114,2.32472,2.44975,15.3633,237.982,2.88849,3.02101,1.96786,15.495,0.8051,0.84786,,82.369,,0.68095,0.81089,,78.792,1.18187,1.2446,7.80654,120.99,1.53519
2007-02-05,0.91729,0.96729,6.05055,93.545,1.1328,1.1891,0.77485,1.05458,6.59797,101.982,1.29623,6.25271,96.688,1.67055,1.53185,1.61599,0.65965,10.10641,156.254,1.8926,1.986,1.29424,2.53321,2.32326,2.45003,15.31935,236.929,2.86976,3.0107,1.96182,15.46,0.80961,0.85405,,82.544,,0.68396,0.81388,,78.67,1.18355,1.24884,7.8085,120.716,1.5345
2007-02-06,0.91805,0.96593,6.06263,93.362,1.13827,1.19015,0.77636,1.05254,6.60438,101.715,1.2967,6.27637,96.595,1.66813,1.5312,1.61186,0.65889,10.116,155.742,1.8989,1.98595,1.29541,2.53239,2.32365,2.44634,15.3497,236.334,2.88139,3.01345,1.96563,15.3975,0.80624,0.84904,,82.038,,0.68204,0.81155,,78.433,1.18243,1.24422,7.80885,120.244,1.53313
2007-02-07,0.92024,0.965,6.07525,93.66,1.13829,1.19162,0.77775,1.04844,6.60193,101.805,1.29495,6.29732,97.085,1.67053,1.53782,1.61253,0.6597,10.1534,156.511,1.90193,1.99142,1.29985,2.53326,2.33117,2.4443,15.39483,237.263,2.88336,3.0195,1.97071,15.4125,0.80878,0.84798,,82.299,,0.68349,0.80959,,78.58,1.18332,1.24055,7.81128,120.4,1.53212
2007-02-08,0.92346,0.96974,6.09143,94.237,1.13696,1.1946,0.77953,1.05073,6.5995,102.1,1.29418,6.27742,97.183,1.67041,1.54227,1.62029,0.66294,10.173,157.466,1.89915,1.9955,1.30177,2.52019,2.32601,2.44539,15.3494,237.698,2.86318,3.01012,1.96418,15.48,0.81191,0.85396,,82.931,,0.68589,0.81207,,78.9,1.1842,1.2448,7.81433,120.941,1.5329
2007-02-09,0.91731,0.97145,6.08575,94.519,1.13922,1.19405,0.77877,1.05896,6.63365,103.085,1.30123,6.26264,97.358,1.67211,1.53357,1.6243,0.66663,10.17434,158.028,1.90508,1.99588,1.30196,2.50746,2.30149,2.43709,15.26495,237.118,2.85694,2.99449,1.95351,15.5325,0.80557,0.85288,,82.951,,0.68365,0.81395,,79.18,1.178,1.24784,7.81441,121.374,1.53304
2007-02-12,0.9089,0.96795,6.0488,94.355,1.13285,1.18922,0.77412,1.06585,6.6563,103.811,1.30963,6.24694,97.442,1.67774,1.52357,1.6239,0.66629,10.14531,158.233,1.89995,1.9948,1.29838,2.51741,2.28724,2.43724,15.22885,237.494,2.85184,2.99364,1.94899,15.595,0.80244,0.85465,,83.277,,0.68338,0.81418,,79.28,1.1739,1.25084,7.81396,121.858,1.53737
2007-02-13,0.90814,0.96927,6.05958,94.21,1.1293,1.1949,0.7755,1.06701,6.67145,103.693,1.31555,6.25313,97.17,1.67633,1.52328,1.62509,0.66772,10.1584,157.888,1.89449,2.003,1.30011,2.51056,2.2805,2.4331,15.21115,236.57,2.83683,3.0011,1.94668,15.555,0.80378,0.858,,83.363,,0.68634,0.81121,,78.865,1.17125,1.24962,7.81358,121.537,1.54112
2007-02-14,0.91177,0.97198,6.10767,94.582,1.12957,1.20267,0.78168,1.0656,6.69792,103.716,1.31893,6.2873,97.362,1.67325,1.52632,1.62666,0.66976,10.22488,158.288,1.8915,2.01303,1.3086,2.49969,2.28052,2.42954,15.2745,236.473,2.82527,3.00802,1.95486,15.485,0.80719,0.86004,,83.713,,0.692,0.80795,,78.662,1.16655,1.24277,7.81377,120.989,1.5389
2007-02-15,0.91344,0.97021,6.125,94.073,1.12961,1.20413,0.78425,1.06228,6.70598,103.075,1.31835,6.3132,96.988,1.67499,1.52995,1.6251,0.67102,10.26348,157.671,1.89256,2.01723,1.31412,2.4969,2.27956,2.42141,15.29265,234.876,2.82064,3.0055,1.95812,15.365,0.8087,0.85874,,83.267,,0.69412,0.80572,,78.168,1.16463,1.23707,7.81085,119.996,1.53537
2007-02-16,0.91365,0.9698,6.13408,93.725,1.12918,1.2036,0.7854,1.06157,6.71382,102.566,1.3177,6.32319,96.627,1.67256,1.52817,1.62204,0.67362,10.25639,156.729,1.88862,2.01297,1.313,2.48348,2.26944,2.40895,15.23455,232.798,2.80395,2.98964,1.95029,15.275,0.8092,0.85897,,83.002,,0.69561,0.80583,,77.85,1.1635,1.23531,7.81029,119.316,1.53287
2007-02-19,0.91607,0.97044,6.14738,94.035,1.1234,1.2051,0.78684,1.05918,6.70918,102.625,1.3157,6.33595,96.921,1.67104,1.53105,1.62175,0.67404,10.27314,157.168,1.87735,2.01439,1.31491,2.47959,2.27195,2.40643,15.24517,233.166,2.78662,2.98877,1.95129,15.29,0.81578,0.86397,,83.7,,0.70085,0.80495,,78.014,1.1645,1.23305,7.81301,119.48,1.53189
2007-02-20,0.91767,0.97088,6.14328,94.25,1.12165,1.20542,0.78623,1.05849,6.69265,102.748,1.31355,6.32719,97.073,1.67263,1.53463,1.62376,0.67315,10.27765,157.584,1.87575,2.0161,1.31536,2.48438,2.27995,2.4116,15.26093,234.108,2.7846,2.99437,1.9531,15.34,0.81862,0.86593,,84.054,,0.70114,0.8057,,78.197,1.16753,1.23491,7.81353,119.87,1.53325
2007-02-21,0.91974,0.97601,6.16382,95.02,1.1216,1.2098,0.78886,1.06158,6.7051,103.35,1.31593,6.31452,97.324,1.66548,1.5316,1.62596,0.6726,10.26655,158.233,1.86788,2.01513,1.31392,2.4777,2.27826,2.41754,15.27003,235.297,2.7778,2.9971,1.95429,15.4175,0.82096,0.87041,,84.7,,0.70333,0.80687,,78.549,1.16535,1.2374,7.81358,120.469,1.53357
2007-02-22,0.91704,0.97872,6.17137,95.727,1.12009,1.21168,0.7899,1.06753,6.72765,104.417,1.32107,6.30437,97.875,1.66138,1.52338,1.62636,0.6716,10.25218,159.16,1.86065,2.01288,1.31231,2.47425,2.26925,2.4214,15.26618,236.989,2.77054,2.99747,1.95418,15.52,0.81876,0.87407,,85.5,,0.70488,0.80784,,79.052,1.16118,1.2392,7.81227,121.245,1.53385
2007-02-23,0.91697,0.97618,6.17295,95.846,1.12,1.21105,0.79035,1.06478,6.73113,104.52,1.32092,6.32321,98.165,1.66316,1.52492,1.62403,0.67046,10.26706,159.443,1.8626,2.01445,1.31458,2.48066,2.27446,2.42222,15.30587,237.81,2.77712,3.00329,1.95974,15.53,0.81878,0.87169,,85.585,,0.7054,0.80603,,79.15,1.16035,1.23516,7.81076,121.308,1.53224
2007-02-26,0.91931,0.97582,6.19045,95.7,1.11761,1.2117,0.79255,1.06158,6.73522,104.142,1.3185,6.34489,98.11,1.66288,1.5278,1.62221,0.67102,10.29014,159.171,1.85787,2.01504,1.31762,2.47771,2.27689,2.4179,15.33575,237.192,2.76911,3.00289,1.96364,15.4625,0.82234,0.87303,,85.577,,0.70911,0.80524,,78.974,1.15965,1.23119,7.81106,120.781,1.52948
2007-02-27,0.92059,0.96717,6.17882,94.27,1.12216,1.208,0.7908,1.05144,6.71608,102.462,1.3129,6.38813,97.465,1.6713,1.53748,1.6166,0.67321,10.32373,157.569,1.87605,2.01855,1.32127,2.4822,2.28412,2.40084,15.33853,234.031,2.7861,2.99875,1.96309,15.2575,0.81987,0.86178,,84.015,,0.70465,0.8007,,78.02,1.1634,1.22323,7.81338,119.211,1.52732
2007-02-28,0.92057,0.96021,6.1534,93.17,1.12482,1.20368,0.78755,1.04366,6.68267,101.213,1.30787,6.4061,97.04,1.6793,1.54533,1.61281,0.67434,10.33205,156.447,1.88958,2.02117,1.32238,2.49009,2.2912,2.39172,15.31802,232.073,2.80247,2.99783,1.96062,15.14,0.81817,0.85353,,82.816,,0.70006,0.79785,,77.385,1.16908,1.21965,7.81313,118.317,1.52877
2007-03-01,0.9207,0.95855,6.14248,92.75,1.12757,1.2009,0.78622,1.04103,6.6717,100.705,1.3041,6.40435,96.77,1.68023,1.54723,1.61125,0.6735,10.31485,155.941,1.89548,2.01705,1.32028,2.49435,2.29688,2.39213,15.31905,231.551,2.81276,2.99623,1.96078,15.1025,0.81644,0.85011,,82.254,,0.69728,0.79882,,77.238,1.17102,1.21998,7.81242,117.998,1.5275
2007-03-02,0.9199,0.95575,6.1224,91.844,1.1351,1.1964,0.78356,1.03869,6.65235,99.766,1.29992,6.40559,96.053,1.68284,1.5484,1.608,0.67586,10.29884,154.484,1.90957,2.01242,1.31809,2.4893,2.29021,2.37952,15.24035,228.626,2.82856,2.97844,1.95051,14.9925,0.81051,0.84228,,80.946,,0.69022,0.79908,,76.737,1.17455,1.21981,7.81346,117.162,1.52699
2007-03-05,0.9147,0.94524,6.06475,90.115,1.1405,1.18582,0.77606,1.03312,6.6285,98.47,1.29638,6.41491,95.23,1.69422,1.54902,1.60088,0.68104,10.27153,152.609,1.93011,2.00842,1.3144,2.48779,2.27661,2.35102,15.097,224.285,2.83636,2.95195,1.93189,14.85,0.80262,0.82974,,79.091,,0.68106,0.79694,,75.953,1.17895,1.21821,7.81487,116.058,1.52827
2007-03-06,0.9106,0.94366,6.0352,89.59,1.13856,1.1809,0.77227,1.03715,6.63333,98.405,1.29757,6.39377,94.927,1.69704,1.54408,1.602,0.68066,10.2428,152.065,1.9322,2.00415,1.31075,2.49231,2.2689,2.35351,15.05028,223.434,2.83911,2.9447,1.92578,14.845,0.79975,0.82912,,78.694,,0.67834,0.79944,,75.895,1.17815,1.22227,7.8148,116.022,1.52907
2007-03-07,0.91411,0.94799,6.0685,90.343,1.13976,1.18622,0.77632,1.03669,6.6386,98.83,1.29727,6.40395,95.307,1.69275,1.5481,1.60528,0.68039,10.27867,153.0,1.93073,2.0085,1.31496,2.48921,2.27418,2.35936,15.09825,224.924,2.83605,2.95113,1.93163,14.8925,0.80249,0.83116,,79.254,,0.68122,0.79903,,76.185,1.1775,1.2206,7.81647,116.383,1.5274
2007-03-08,0.9163,0.94951,6.07343,90.55,1.13964,1.18665,0.77715,1.03672,6.62643,98.83,1.29505,6.3924,95.43,1.693,1.55095,1.60806,0.68144,10.27866,153.352,1.93011,2.00855,1.31526,2.48365,2.27698,2.35928,15.08955,225.016,2.83069,2.9489,1.93095,14.915,0.80373,0.83304,,79.444,,0.68174,0.80058,,76.32,1.17932,1.22255,7.8143,116.563,1.52717
2007-03-09,0.9164,0.95898,6.08685,91.711,1.132,1.1899,0.779,1.04689,6.64433,100.148,1.29848,6.34829,95.642,1.68459,1.54367,1.61571,0.67993,10.25526,154.529,1.90759,2.00425,1.31243,2.47786,2.2706,2.37622,15.08366,227.312,2.8055,2.94725,1.93033,15.07,0.80978,0.84696,,80.999,,0.68802,0.80613,,77.11,1.17605,1.23091,7.81331,117.746,1.52714
2007-03-12,0.91787,0.9621,6.1226,92.349,1.12872,1.1961,0.78348,1.04844,6.66915,100.651,1.30282,6.36061,96.015,1.68015,1.54205,1.6165,0.68044,10.28381,155.172,1.89734,2.009,1.31597,2.46879,2.26559,2.37572,15.11825,228.043,2.78679,2.95321,1.93455,15.09,0.81272,0.85209,,81.77,,0.69374,0.80479,,77.243,1.1718,1.22861,7.81466,117.938,1.52676
