,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2011-01-03,-0.44,-0.49,-0.39,0.27,0.01,-0.23,-0.36,-0.05,0.06,0.72,0.22,0.11,0.76,0.45,0.05,-0.05,0.61,0.06,0.71,0.48,0.19,0.1,-0.14,-0.59,-0.64,-0.54,0.12,-0.12,-0.38,-0.5,0.64,-0.46,-0.52,-0.41,0.25,-0.25,-0.38,-0.23,-0.15,0.54,-0.1,-0.14,-0.03,0.63,0.12
2011-01-04,-0.69,0.46,-1.15,-0.78,-0.3,-0.97,-1.13,1.18,-0.46,-0.1,-0.29,-1.61,-1.24,0.76,0.06,1.23,-1.02,-0.42,-0.03,0.47,-0.22,-0.4,1.8,1.1,2.27,0.61,1.0,1.52,0.8,0.63,0.4,-0.41,0.76,-0.88,-0.5,-0.7,-0.87,1.45,-0.22,0.19,0.44,1.62,-0.02,0.36,0.17
2011-01-05,-0.82,1.27,-0.53,0.91,0.66,-0.14,-0.55,2.11,0.3,1.76,0.7,-1.78,-0.33,-0.64,-1.46,0.61,-0.72,-1.16,0.29,0.05,-0.77,-1.18,0.09,-0.72,1.36,-0.44,1.02,0.78,-0.05,-0.46,1.42,-1.51,0.57,-1.21,0.22,-0.86,-1.27,1.42,-0.36,1.06,-0.27,1.84,0.02,1.48,0.42
2011-01-06,-0.42,-0.57,-0.51,-0.44,-0.44,-0.33,-0.52,-0.14,-0.09,-0.01,0.09,0.05,0.13,-0.6,-1.01,-1.15,-0.85,-1.1,-1.03,-1.07,-0.91,-1.12,0.25,-0.17,-0.31,-0.25,-0.18,-0.21,-0.07,-0.26,0.06,0.03,-0.11,-0.05,0.03,0.14,-0.06,-0.24,-0.18,-0.11,0.1,-0.04,0.02,0.1,0.2
2011-01-07,-0.17,0.32,0.16,-0.07,-0.26,0.05,0.15,0.5,0.32,0.11,0.22,-0.17,-0.38,-0.89,-1.04,-0.58,-1.21,-0.73,-0.95,-1.15,-0.84,-0.74,0.32,0.16,0.65,0.48,0.27,0.07,0.37,0.47,-0.22,0.1,0.59,0.42,0.21,0.3,0.41,0.28,0.1,-0.1,-0.31,0.18,0.01,-0.21,-0.11
2011-01-10,0.3,0.14,0.32,-0.35,-0.44,0.44,0.28,-0.15,0.03,-0.63,0.15,0.18,-0.49,0.3,0.62,0.44,0.25,0.62,-0.05,-0.13,0.75,0.58,0.05,0.34,0.19,0.37,-0.3,-0.37,0.51,0.33,-0.69,0.72,0.57,0.74,0.07,0.88,0.7,-0.32,-0.12,-0.8,0.01,-0.14,0.04,-0.63,0.17
2011-01-11,-1.13,-0.22,-0.86,-0.21,-0.46,-1.19,-0.85,0.93,0.28,0.95,-0.06,-0.66,-0.0,1.03,-0.13,0.81,0.02,0.16,0.82,0.57,-0.17,0.18,1.01,-0.13,0.8,0.15,0.8,0.56,-0.19,0.16,0.66,-0.69,0.24,-0.42,0.25,-0.76,-0.4,1.0,0.35,1.0,-0.29,0.64,-0.02,0.64,-0.35
2011-01-12,0.48,0.22,0.94,0.65,0.46,0.48,0.95,-0.25,0.46,0.18,0.02,0.71,0.42,0.25,0.74,0.51,0.16,1.2,0.91,0.77,0.74,1.21,0.08,0.56,0.32,1.02,0.75,0.59,0.56,1.03,-0.33,-0.03,-0.29,0.41,0.14,-0.04,0.43,-0.25,0.46,0.17,-0.47,-0.72,-0.01,-0.3,-0.47
2011-01-13,0.46,-0.19,0.08,-0.11,-0.86,-0.03,0.11,-0.64,-0.37,-0.57,-0.49,0.28,0.07,1.65,2.11,1.45,1.28,1.75,1.53,0.77,1.64,1.75,0.37,0.83,0.19,0.46,0.26,-0.5,0.35,0.47,-0.22,1.31,0.68,0.95,0.76,0.84,0.98,-0.17,0.1,-0.09,0.34,-0.29,-0.02,-0.21,-0.13
2011-01-14,-0.73,-0.9,-0.88,-0.82,-0.26,-0.71,-0.89,-0.22,-0.17,-0.11,0.0,0.04,0.08,1.07,0.35,0.15,-0.03,0.19,0.25,0.82,0.37,0.18,1.11,0.38,0.17,0.22,0.27,0.89,0.39,0.2,0.05,-0.49,-0.67,-0.61,-0.56,-0.44,-0.62,-0.19,-0.18,-0.11,0.18,-0.01,0.01,0.07,0.19
