,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2022-01-03,0.91782,0.66177,5.63675,83.308,1.06157,0.97681,0.72288,0.72077,6.14074,90.737,1.06405,8.51899,125.882,1.56728,1.43946,1.03722,0.8395,8.83638,130.56,1.66329,1.53137,1.13323,1.86798,1.71413,1.23579,10.5227,155.508,1.98151,1.82357,1.34941,14.77284,0.86474,0.6237,5.31305,78.528,0.92073,0.68132,0.6773,5.7704,85.295,1.26993,0.9154,7.79807,115.197,1.35128
2022-01-04,0.91837,0.6621,5.62513,83.512,1.06151,0.97756,0.72162,0.72094,6.12696,90.97,1.06466,8.50007,126.17,1.56493,1.43739,1.03615,0.83639,8.80409,130.76,1.66156,1.53037,1.12945,1.87133,1.71838,1.23895,10.52829,156.333,1.9873,1.82964,1.3506,14.85085,0.86486,0.62323,5.29699,78.685,0.92087,0.67955,0.67714,5.75278,85.436,1.27223,0.91716,7.79588,115.78,1.35521
2022-01-05,0.92075,0.66323,5.64199,83.977,1.06314,0.98145,0.72374,0.72033,6.12425,91.189,1.06572,8.50532,126.642,1.56271,1.43838,1.03615,0.83486,8.81281,131.198,1.66056,1.53276,1.13057,1.87211,1.72411,1.24178,10.564,157.209,1.99016,1.8374,1.35523,14.88436,0.86607,0.6236,5.30696,78.993,0.92299,0.68076,0.67576,5.74835,85.558,1.27294,0.9165,7.79512,116.018,1.35614
2022-01-06,0.91637,0.66024,5.60553,83.353,1.06164,0.97708,0.71883,0.72106,6.11688,90.873,1.06662,8.48458,126.165,1.57309,1.44128,1.03922,0.83516,8.81955,131.083,1.67045,1.53735,1.1307,1.88374,1.72581,1.24462,10.55809,156.945,2.00042,1.8405,1.35358,14.86716,0.86278,0.62174,5.27926,78.491,0.92021,0.67695,0.67598,5.73752,85.302,1.2751,0.91932,7.79846,115.944,1.3592
2022-01-07,0.90972,0.65967,5.58848,82.957,1.06065,0.97348,0.71654,0.7252,6.14895,91.218,1.07051,8.47445,125.732,1.57967,1.43702,1.0425,0.83527,8.83529,131.076,1.67583,1.53836,1.13283,1.89165,1.72047,1.24771,10.57724,156.938,2.00572,1.84195,1.35618,14.84097,0.85758,0.62211,5.27354,78.243,0.91823,0.67617,0.67774,5.74258,85.218,1.26837,0.92029,7.79909,115.747,1.35813
2022-01-10,0.90855,0.66236,5.59397,82.829,1.06033,0.97303,0.71753,0.72896,6.15919,91.155,1.07109,8.44623,125.073,1.58076,1.43499,1.04686,0.83503,8.83606,130.863,1.67564,1.53785,1.13334,1.89211,1.71939,1.25371,10.58324,156.743,2.00685,1.84158,1.35743,14.80544,0.85652,0.62469,5.27379,78.087,0.91763,0.67646,0.68056,5.74866,85.124,1.26584,0.9231,7.79665,115.429,1.35607
2022-01-11,0.90786,0.66533,5.60379,82.894,1.06162,0.97264,0.71882,0.7331,6.17577,91.315,1.07225,8.42321,124.555,1.57848,1.43242,1.0501,0.83394,8.84527,130.805,1.67552,1.53534,1.13461,1.89179,1.71709,1.25907,10.60341,156.8,2.00893,1.84064,1.36015,14.79277,0.85504,0.62667,5.27787,78.084,0.9162,0.67702,0.68395,5.75937,85.168,1.26231,0.92552,7.79584,115.327,1.35352
2022-01-12,0.9083,0.666,5.64799,83.342,1.06327,0.9771,0.72472,0.7331,6.21592,91.755,1.07548,8.48299,125.156,1.57368,1.42897,1.04756,0.83429,8.88763,131.168,1.67306,1.53776,1.14047,1.88622,1.71286,1.25572,10.65199,157.195,2.00576,1.84307,1.36687,14.75023,0.85424,0.62638,5.31212,78.401,0.91905,0.68167,0.68137,5.77958,85.261,1.25389,0.91878,7.79328,114.951,1.34838
2022-01-13,0.91134,0.66509,5.67678,83.346,1.06287,0.98105,0.72883,0.72982,6.23043,91.448,1.07698,8.53714,125.376,1.57164,1.43202,1.04529,0.83503,8.92157,131.005,1.67017,1.54174,1.14533,1.88177,1.71443,1.25159,10.68297,156.847,2.00014,1.84661,1.37157,14.68398,0.85716,0.62605,5.341,78.479,0.92309,0.6857,0.67785,5.78621,84.953,1.25001,0.91244,7.78897,114.378,1.34617
2022-01-14,0.90816,0.66102,5.64132,82.685,1.06027,0.976,0.72462,0.7284,6.21463,91.014,1.07532,8.53503,125.045,1.57856,1.43306,1.04341,0.83506,8.90555,130.45,1.67394,1.54084,1.14382,1.89031,1.71634,1.24963,10.66409,156.209,2.00482,1.84525,1.36981,14.6465,0.85626,0.62337,5.31994,77.981,0.92043,0.68334,0.67718,5.78114,84.662,1.25274,0.9122,7.78562,114.03,1.34674
