date,return
2021-08-23T21:00:00,0.65
2021-08-24T21:00:00,1.25
2021-08-25T21:00:00,0.75
2021-08-26T21:00:00,1.64
2021-08-29T21:00:00,1.54
2021-08-30T21:00:00,1.87
2021-08-31T21:00:00,2.59
2021-09-01T21:00:00,2.9
2021-09-02T21:00:00,3.46
2021-09-05T21:00:00,3.29
2021-09-06T21:00:00,2.96
2021-09-07T21:00:00,2.68
2021-09-08T21:00:00,2.23
2021-09-09T21:00:00,2.22
2021-09-12T21:00:00,2.51
2021-09-13T21:00:00,1.56
2021-09-14T21:00:00,1.46
2021-09-15T21:00:00,1.21
2021-09-16T21:00:00,1.29
2021-09-19T21:00:00,0.62
2021-09-20T21:00:00,0.33
2021-09-21T21:00:00,1.06
2021-09-22T21:00:00,2.33
2021-09-23T21:00:00,2.17
2021-09-26T21:00:00,2.92
2021-09-27T21:00:00,2.68
2021-09-28T21:00:00,2.24
2021-09-29T21:00:00,2.21
2021-09-30T21:00:00,2.43
2021-10-03T21:00:00,2.78
2021-10-04T21:00:00,3.37
2021-10-05T21:00:00,3.04
2021-10-06T21:00:00,3.81
2021-10-07T21:00:00,4.26
2021-10-10T21:00:00,5.85
2021-10-11T21:00:00,6.07
2021-10-12T21:00:00,6.14
2021-10-13T21:00:00,7.04
2021-10-14T21:00:00,7.63
2021-10-17T21:00:00,7.62
2021-10-18T21:00:00,8.49
2021-10-19T21:00:00,9.06
2021-10-20T21:00:00,8.14
2021-10-21T21:00:00,7.73
2021-10-24T21:00:00,8.19
2021-10-25T21:00:00,8.68
2021-10-26T21:00:00,8.56
2021-10-27T21:00:00,8.62
2021-10-28T21:00:00,8.69
2021-10-31T21:00:00,8.85
2021-11-01T21:00:00,7.54
2021-11-02T21:00:00,7.81
2021-11-03T21:00:00,6.95
2021-11-04T21:00:00,6.63
2021-11-07T22:00:00,6.91
2021-11-08T22:00:00,5.98
2021-11-09T22:00:00,6.2
2021-11-10T22:00:00,5.87
2021-11-11T22:00:00,6.17
2021-11-14T22:00:00,6.64
2021-11-15T22:00:00,6.67
2021-11-16T22:00:00,5.56
2021-11-17T22:00:00,5.87
2021-11-18T22:00:00,5.06
2021-11-21T22:00:00,5.65
2021-11-22T22:00:00,5.85
2021-11-23T22:00:00,5.63
2021-11-24T22:00:00,5.48
2021-11-25T22:00:00,2.81
2021-11-28T22:00:00,2.74
2021-11-29T22:00:00,2.2
2021-11-30T22:00:00,1.61
2021-12-01T22:00:00,1.82
2021-12-02T22:00:00,0.26
2021-12-05T22:00:00,1.54
2021-12-06T22:00:00,2.59
2021-12-07T22:00:00,3.4
2021-12-08T22:00:00,2.89
2021-12-09T22:00:00,3.15
2021-12-12T22:00:00,2.87
2021-12-13T22:00:00,2.68
2021-12-14T22:00:00,4.0
2021-12-15T22:00:00,3.91
2021-12-16T22:00:00,3.12
2021-12-19T22:00:00,2.84
2021-12-20T22:00:00,3.87
2021-12-21T22:00:00,4.66
2021-12-22T22:00:00,5.37
2021-12-23T22:00:00,5.1
2021-12-26T22:00:00,5.73
2021-12-27T22:00:00,5.51
2021-12-28T22:00:00,5.9
2021-12-29T22:00:00,5.95
2021-12-30T22:00:00,6.11
2022-01-02T22:00:00,5.32
2022-01-03T22:00:00,6.73
2022-01-04T22:00:00,6.56
2022-01-05T22:00:00,5.52
2022-01-06T22:00:00,5.51
2022-01-09T22:00:00,5.1
2022-01-10T22:00:00,5.69
2022-01-11T22:00:00,6.11
2022-01-12T22:00:00,5.62
2022-01-13T22:00:00,4.6
2022-01-16T22:00:00,4.86
2022-01-17T22:00:00,4.49
2022-01-18T22:00:00,4.6
2022-01-19T22:00:00,4.65
2022-01-20T22:00:00,3.59
2022-01-23T22:00:00,3.45
2022-01-24T22:00:00,3.51
2022-01-25T22:00:00,3.71
2022-01-26T22:00:00,3.2
2022-01-27T22:00:00,2.58
2022-01-29T22:00:00,2.67
2022-01-30T22:00:00,3.63
2022-01-31T22:00:00,4.11
2022-02-01T22:00:00,3.98
2022-02-02T22:00:00,4.5
2022-02-03T22:00:00,3.76
2022-02-05T22:00:00,3.69
2022-02-06T22:00:00,4.2
2022-02-07T22:00:00,4.88
2022-02-08T22:00:00,5.35
2022-02-09T22:00:00,5.61
2022-02-10T22:00:00,4.59
2022-02-11T22:00:00,4.5
2022-02-12T22:00:00,4.5
2022-02-13T22:00:00,4.59
2022-02-14T22:00:00,4.92
2022-02-15T22:00:00,5.39
2022-02-16T22:00:00,4.8
2022-02-17T22:00:00,4.71
2022-02-18T22:00:00,4.7
2022-02-19T22:00:00,4.88
2022-02-20T22:00:00,4.87
2022-02-21T22:00:00,5.55
2022-02-22T22:00:00,5.71
2022-02-23T22:00:00,5.22
2022-02-24T22:00:00,6.16
2022-02-27T22:00:00,6.81
2022-02-28T22:00:00,6.63
2022-03-01T22:00:00,7.79
2022-03-02T22:00:00,8.16
2022-03-03T22:00:00,8.21
2022-03-06T22:00:00,7.73
2022-03-07T22:00:00,7.39
2022-03-08T22:00:00,8.28
2022-03-09T22:00:00,9.04
2022-03-10T22:00:00,9.19
2022-03-13T21:00:00,8.48
2022-03-14T21:00:00,8.49
2022-03-15T21:00:00,10.24
2022-03-16T21:00:00,11.32
2022-03-17T21:00:00,12.3
2022-03-20T21:00:00,12.44
2022-03-21T21:00:00,14.57
2022-03-22T21:00:00,15.29
2022-03-23T21:00:00,16.46
2022-03-24T21:00:00,16.28
2022-03-27T21:00:00,17.58
2022-03-28T21:00:00,17.09
2022-03-29T21:00:00,16.31
2022-03-30T21:00:00,15.84
2022-03-31T21:00:00,16.79
2022-04-03T21:00:00,17.62
2022-04-04T21:00:00,18.72
2022-04-05T21:00:00,17.99
2022-04-06T21:00:00,17.71
2022-04-07T21:00:00,17.72
2022-04-10T21:00:00,18.26
2022-04-11T21:00:00,18.76
2022-04-12T21:00:00,19.0
2022-04-13T21:00:00,18.74
2022-04-14T21:00:00,18.9
2022-04-17T21:00:00,18.78
2022-04-18T21:00:00,20.66
2022-04-19T21:00:00,20.88
2022-04-20T21:00:00,20.12
2022-04-21T21:00:00,18.56
2022-04-24T21:00:00,17.28
2022-04-25T21:00:00,15.81
2022-04-26T21:00:00,16.81
2022-04-27T21:00:00,18.31
2022-04-28T21:00:00,16.93
2022-05-01T21:00:00,16.96
2022-05-02T21:00:00,17.58
2022-05-03T21:00:00,19.03
2022-05-04T21:00:00,17.87
2022-05-05T21:00:00,17.62
2022-05-08T21:00:00,15.72
2022-05-09T21:00:00,15.69
2022-05-10T21:00:00,15.36
2022-05-11T21:00:00,12.97
2022-05-12T21:00:00,14.88
2022-05-15T21:00:00,15.35
2022-05-16T21:00:00,16.38
2022-05-17T21:00:00,14.4
2022-05-18T21:00:00,15.45
2022-05-19T21:00:00,15.72
