date,return
2021-08-15T21:00:00,0.05
2021-08-16T21:00:00,0.02
2021-08-17T21:00:00,-0.1
2021-08-18T21:00:00,-0.29
2021-08-19T21:00:00,-0.05
2021-08-22T21:00:00,0.37
2021-08-23T21:00:00,0.32
2021-08-24T21:00:00,0.5
2021-08-25T21:00:00,0.12
2021-08-26T21:00:00,0.67
2021-08-29T21:00:00,0.11
2021-08-30T21:00:00,0.3
2021-08-31T21:00:00,0.25
2021-09-01T21:00:00,0.29
2021-09-02T21:00:00,0.11
2021-09-05T21:00:00,0.04
2021-09-06T21:00:00,-0.07
2021-09-07T21:00:00,-0.33
2021-09-08T21:00:00,-0.25
2021-09-09T21:00:00,-0.19
2021-09-12T21:00:00,-0.39
2021-09-13T21:00:00,-0.5
2021-09-14T21:00:00,-0.82
2021-09-15T21:00:00,-1.33
2021-09-16T21:00:00,-1.6
2021-09-19T21:00:00,-1.68
2021-09-20T21:00:00,-1.41
2021-09-21T21:00:00,-1.18
2021-09-22T21:00:00,-0.55
2021-09-23T21:00:00,-0.19
2021-09-26T21:00:00,-0.08
2021-09-27T21:00:00,-0.0
2021-09-28T21:00:00,-0.14
2021-09-29T21:00:00,-0.48
2021-09-30T21:00:00,-0.56
2021-10-03T21:00:00,0.1
2021-10-04T21:00:00,0.3
2021-10-05T21:00:00,0.31
2021-10-06T21:00:00,0.34
2021-10-07T21:00:00,0.96
2021-10-10T21:00:00,2.02
2021-10-11T21:00:00,1.97
2021-10-12T21:00:00,2.29
2021-10-13T21:00:00,2.76
2021-10-14T21:00:00,3.36
2021-10-17T21:00:00,3.47
2021-10-18T21:00:00,3.63
2021-10-19T21:00:00,4.06
2021-10-20T21:00:00,3.9
2021-10-21T21:00:00,3.71
2021-10-24T21:00:00,3.44
2021-10-25T21:00:00,3.84
2021-10-26T21:00:00,3.79
2021-10-27T21:00:00,4.24
2021-10-28T21:00:00,4.24
2021-10-31T21:00:00,4.94
2021-11-01T21:00:00,4.31
2021-11-02T21:00:00,4.67
2021-11-03T21:00:00,4.41
2021-11-04T21:00:00,4.18
2021-11-07T22:00:00,3.97
2021-11-08T22:00:00,3.86
2021-11-09T22:00:00,4.03
2021-11-10T22:00:00,3.76
2021-11-11T22:00:00,3.57
2021-11-14T22:00:00,3.3
2021-11-15T22:00:00,3.37
2021-11-16T22:00:00,2.94
2021-11-17T22:00:00,3.43
2021-11-18T22:00:00,2.97
2021-11-21T22:00:00,3.11
2021-11-22T22:00:00,3.14
2021-11-23T22:00:00,3.22
2021-11-24T22:00:00,2.98
2021-11-25T22:00:00,2.58
2021-11-28T22:00:00,2.54
2021-11-29T22:00:00,2.7
2021-11-30T22:00:00,2.29
2021-12-01T22:00:00,2.63
2021-12-02T22:00:00,2.67
2021-12-05T22:00:00,2.46
2021-12-06T22:00:00,2.61
2021-12-07T22:00:00,3.23
2021-12-08T22:00:00,3.02
2021-12-09T22:00:00,3.23
2021-12-12T22:00:00,3.34
2021-12-13T22:00:00,3.38
2021-12-14T22:00:00,3.59
2021-12-15T22:00:00,4.09
2021-12-16T22:00:00,3.55
2021-12-19T22:00:00,3.68
2021-12-20T22:00:00,3.82
2021-12-21T22:00:00,4.26
2021-12-22T22:00:00,4.75
2021-12-23T22:00:00,4.86
2021-12-26T22:00:00,5.46
2021-12-27T22:00:00,5.45
2021-12-28T22:00:00,5.92
2021-12-29T22:00:00,6.12
2021-12-30T22:00:00,6.31
2022-01-02T22:00:00,5.72
2022-01-03T22:00:00,6.79
2022-01-04T22:00:00,6.66
2022-01-05T22:00:00,6.01
2022-01-06T22:00:00,6.04
2022-01-09T22:00:00,4.76
2022-01-10T22:00:00,5.26
2022-01-11T22:00:00,5.69
2022-01-12T22:00:00,5.62
2022-01-13T22:00:00,5.3
2022-01-16T22:00:00,5.57
2022-01-17T22:00:00,5.19
2022-01-18T22:00:00,5.13
2022-01-19T22:00:00,4.86
2022-01-20T22:00:00,5.05
2022-01-23T22:00:00,5.06
2022-01-24T22:00:00,4.46
2022-01-25T22:00:00,4.52
2022-01-26T22:00:00,4.34
2022-01-27T22:00:00,4.22
2022-01-30T22:00:00,4.55
2022-01-31T22:00:00,4.87
2022-02-01T22:00:00,4.93
2022-02-02T22:00:00,5.25
2022-02-03T22:00:00,4.84
2022-02-06T22:00:00,4.85
2022-02-07T22:00:00,5.13
2022-02-08T22:00:00,5.18
2022-02-09T22:00:00,5.53
2022-02-10T22:00:00,5.03
2022-02-13T22:00:00,5.18
2022-02-14T22:00:00,5.22
2022-02-15T22:00:00,5.42
2022-02-16T22:00:00,5.18
2022-02-17T22:00:00,5.17
2022-02-20T22:00:00,5.48
2022-02-21T22:00:00,5.12
2022-02-22T22:00:00,5.37
2022-02-23T22:00:00,5.02
2022-02-24T22:00:00,5.01
2022-02-27T22:00:00,5.68
2022-02-28T22:00:00,5.4
2022-03-01T22:00:00,5.71
2022-03-02T22:00:00,5.97
2022-03-03T22:00:00,5.42
2022-03-06T22:00:00,4.86
2022-03-07T22:00:00,4.78
2022-03-08T22:00:00,5.16
2022-03-09T22:00:00,5.0
2022-03-10T22:00:00,5.47
2022-03-13T21:00:00,5.7
2022-03-14T21:00:00,5.47
2022-03-15T21:00:00,5.91
2022-03-16T21:00:00,6.15
2022-03-17T21:00:00,7.22
2022-03-20T21:00:00,7.36
2022-03-21T21:00:00,8.59
2022-03-22T21:00:00,9.2
2022-03-23T21:00:00,10.18
2022-03-24T21:00:00,9.93
2022-03-27T21:00:00,11.01
2022-03-28T21:00:00,10.56
2022-03-29T21:00:00,10.6
2022-03-30T21:00:00,10.51
2022-03-31T21:00:00,10.91
2022-04-03T21:00:00,10.95
2022-04-04T21:00:00,11.25
2022-04-05T21:00:00,11.07
2022-04-06T21:00:00,11.1
2022-04-07T21:00:00,11.3
2022-04-10T21:00:00,12.49
2022-04-11T21:00:00,12.29
2022-04-12T21:00:00,12.36
2022-04-13T21:00:00,11.65
2022-04-14T21:00:00,12.04
2022-04-17T21:00:00,12.26
2022-04-18T21:00:00,12.89
2022-04-19T21:00:00,12.44
2022-04-20T21:00:00,12.32
2022-04-21T21:00:00,12.12
2022-04-24T21:00:00,11.5
2022-04-25T21:00:00,10.42
2022-04-26T21:00:00,10.63
2022-04-27T21:00:00,12.23
2022-04-28T21:00:00,11.2
2022-05-01T21:00:00,10.71
2022-05-02T21:00:00,10.64
2022-05-03T21:00:00,10.46
2022-05-04T21:00:00,10.0
2022-05-05T21:00:00,9.89
2022-05-08T21:00:00,8.73
2022-05-09T21:00:00,8.64
2022-05-10T21:00:00,8.5
2022-05-11T21:00:00,6.46
2022-05-12T21:00:00,7.27
2022-05-15T21:00:00,7.13
2022-05-16T21:00:00,8.2
2022-05-17T21:00:00,7.8
2022-05-18T21:00:00,9.13
2022-05-19T21:00:00,9.34
