date,return
2021-08-15T21:00:00,-0.17
2021-08-16T21:00:00,-0.76
2021-08-17T21:00:00,-0.76
2021-08-18T21:00:00,-1.05
2021-08-19T21:00:00,-0.85
2021-08-22T21:00:00,-0.43
2021-08-23T21:00:00,-0.34
2021-08-24T21:00:00,-0.2
2021-08-25T21:00:00,-0.38
2021-08-26T21:00:00,-0.02
2021-08-29T21:00:00,-0.01
2021-08-30T21:00:00,0.09
2021-08-31T21:00:00,0.34
2021-09-01T21:00:00,0.63
2021-09-02T21:00:00,0.66
2021-09-05T21:00:00,0.58
2021-09-06T21:00:00,0.34
2021-09-07T21:00:00,0.13
2021-09-08T21:00:00,0.19
2021-09-09T21:00:00,0.07
2021-09-12T21:00:00,0.02
2021-09-13T21:00:00,-0.04
2021-09-14T21:00:00,0.03
2021-09-15T21:00:00,-0.37
2021-09-16T21:00:00,-0.74
2021-09-19T21:00:00,-0.79
2021-09-20T21:00:00,-0.79
2021-09-21T21:00:00,-1.11
2021-09-22T21:00:00,-0.69
2021-09-23T21:00:00,-0.84
2021-09-26T21:00:00,-1.12
2021-09-27T21:00:00,-1.25
2021-09-28T21:00:00,-1.99
2021-09-29T21:00:00,-2.17
2021-09-30T21:00:00,-2.06
2021-10-03T21:00:00,-1.86
2021-10-04T21:00:00,-2.05
2021-10-05T21:00:00,-2.42
2021-10-06T21:00:00,-2.45
2021-10-07T21:00:00,-2.27
2021-10-10T21:00:00,-2.43
2021-10-11T21:00:00,-2.63
2021-10-12T21:00:00,-2.07
2021-10-13T21:00:00,-2.04
2021-10-14T21:00:00,-2.02
2021-10-17T21:00:00,-1.86
2021-10-18T21:00:00,-1.67
2021-10-19T21:00:00,-1.52
2021-10-20T21:00:00,-1.75
2021-10-21T21:00:00,-1.55
2021-10-24T21:00:00,-1.82
2021-10-25T21:00:00,-1.91
2021-10-26T21:00:00,-1.82
2021-10-27T21:00:00,-1.13
2021-10-28T21:00:00,-2.17
2021-10-31T21:00:00,-1.77
2021-11-01T21:00:00,-1.98
2021-11-02T21:00:00,-1.69
2021-11-03T21:00:00,-2.19
2021-11-04T21:00:00,-2.07
2021-11-07T22:00:00,-1.82
2021-11-08T22:00:00,-1.76
2021-11-09T22:00:00,-2.77
2021-11-10T22:00:00,-3.03
2021-11-11T22:00:00,-3.11
2021-11-14T22:00:00,-3.82
2021-11-15T22:00:00,-4.25
2021-11-16T22:00:00,-4.28
2021-11-17T22:00:00,-3.81
2021-11-18T22:00:00,-4.58
2021-11-21T22:00:00,-5.0
2021-11-22T22:00:00,-4.89
2021-11-23T22:00:00,-5.31
2021-11-24T22:00:00,-5.22
2021-11-25T22:00:00,-4.31
2021-11-28T22:00:00,-4.4
2021-11-29T22:00:00,-3.98
2021-11-30T22:00:00,-4.15
2021-12-01T22:00:00,-4.31
2021-12-02T22:00:00,-4.22
2021-12-05T22:00:00,-4.37
2021-12-06T22:00:00,-4.53
2021-12-07T22:00:00,-3.85
2021-12-08T22:00:00,-4.3
2021-12-09T22:00:00,-4.07
2021-12-12T22:00:00,-4.33
2021-12-13T22:00:00,-4.57
2021-12-14T22:00:00,-4.24
2021-12-15T22:00:00,-3.89
2021-12-16T22:00:00,-4.73
2021-12-19T22:00:00,-4.39
2021-12-20T22:00:00,-4.4
2021-12-21T22:00:00,-4.03
2021-12-22T22:00:00,-4.02
2021-12-23T22:00:00,-4.15
2021-12-26T22:00:00,-4.07
2021-12-27T22:00:00,-4.26
2021-12-28T22:00:00,-3.94
2021-12-29T22:00:00,-4.15
2021-12-30T22:00:00,-3.73
2022-01-02T22:00:00,-4.39
2022-01-03T22:00:00,-4.48
2022-01-04T22:00:00,-4.24
2022-01-05T22:00:00,-4.37
2022-01-06T22:00:00,-3.79
2022-01-09T22:00:00,-4.07
2022-01-10T22:00:00,-3.7
2022-01-11T22:00:00,-3.08
2022-01-12T22:00:00,-2.97
2022-01-13T22:00:00,-3.32
2022-01-16T22:00:00,-3.41
2022-01-17T22:00:00,-4.13
2022-01-18T22:00:00,-3.97
2022-01-19T22:00:00,-4.26
2022-01-20T22:00:00,-3.98
2022-01-23T22:00:00,-4.15
2022-01-24T22:00:00,-4.37
2022-01-25T22:00:00,-4.9
2022-01-26T22:00:00,-5.77
2022-01-27T22:00:00,-5.75
2022-01-30T22:00:00,-4.96
2022-01-31T22:00:00,-4.63
2022-02-01T22:00:00,-4.32
2022-02-02T22:00:00,-3.14
2022-02-03T22:00:00,-3.03
2022-02-06T22:00:00,-3.2
2022-02-07T22:00:00,-3.42
2022-02-08T22:00:00,-3.36
