date,return
2021-08-15T21:00:00,-0.41
2021-08-16T21:00:00,-0.23
2021-08-17T21:00:00,0.01
2021-08-18T21:00:00,-0.03
2021-08-19T21:00:00,-0.02
2021-08-22T21:00:00,-0.12
2021-08-23T21:00:00,-0.05
2021-08-24T21:00:00,0.3
2021-08-25T21:00:00,0.36
2021-08-26T21:00:00,0.2
2021-08-29T21:00:00,0.26
2021-08-30T21:00:00,0.44
2021-08-31T21:00:00,0.46
2021-09-01T21:00:00,0.45
2021-09-02T21:00:00,0.22
2021-09-05T21:00:00,0.3
2021-09-06T21:00:00,0.67
2021-09-07T21:00:00,0.66
2021-09-08T21:00:00,0.18
2021-09-09T21:00:00,0.34
2021-09-12T21:00:00,0.41
2021-09-13T21:00:00,0.16
2021-09-14T21:00:00,-0.15
2021-09-15T21:00:00,0.17
2021-09-16T21:00:00,0.41
2021-09-19T21:00:00,-0.15
2021-09-20T21:00:00,-0.3
2021-09-21T21:00:00,0.23
2021-09-22T21:00:00,0.76
2021-09-23T21:00:00,1.16
2021-09-26T21:00:00,1.5
2021-09-27T21:00:00,1.96
2021-09-28T21:00:00,2.33
2021-09-29T21:00:00,1.72
2021-09-30T21:00:00,1.55
2021-10-03T21:00:00,1.57
2021-10-04T21:00:00,2.08
2021-10-05T21:00:00,2.02
2021-10-06T21:00:00,2.23
2021-10-07T21:00:00,2.78
2021-10-10T21:00:00,3.88
2021-10-11T21:00:00,4.11
2021-10-12T21:00:00,3.84
2021-10-13T21:00:00,4.22
2021-10-14T21:00:00,4.75
2021-10-17T21:00:00,4.79
2021-10-18T21:00:00,4.88
2021-10-19T21:00:00,4.89
2021-10-20T21:00:00,4.62
2021-10-21T21:00:00,4.23
2021-10-24T21:00:00,4.35
2021-10-25T21:00:00,4.72
2021-10-26T21:00:00,4.39
2021-10-27T21:00:00,4.17
2021-10-28T21:00:00,4.57
2021-10-31T21:00:00,4.47
2021-11-01T21:00:00,4.43
2021-11-02T21:00:00,4.45
2021-11-03T21:00:00,4.24
2021-11-04T21:00:00,3.93
2021-11-07T22:00:00,3.75
2021-11-08T22:00:00,3.42
2021-11-09T22:00:00,4.33
2021-11-10T22:00:00,4.47
2021-11-11T22:00:00,4.36
2021-11-14T22:00:00,4.55
2021-11-15T22:00:00,5.21
2021-11-16T22:00:00,4.59
2021-11-17T22:00:00,4.73
2021-11-18T22:00:00,4.51
2021-11-21T22:00:00,5.26
2021-11-22T22:00:00,5.41
2021-11-23T22:00:00,5.57
2021-11-24T22:00:00,5.53
2021-11-25T22:00:00,3.8
2021-11-28T22:00:00,3.65
2021-11-29T22:00:00,3.34
2021-11-30T22:00:00,3.08
2021-12-01T22:00:00,3.47
2021-12-02T22:00:00,3.21
2021-12-05T22:00:00,3.71
2021-12-06T22:00:00,3.81
2021-12-07T22:00:00,3.92
2021-12-08T22:00:00,3.75
2021-12-09T22:00:00,3.66
2021-12-12T22:00:00,3.82
2021-12-13T22:00:00,4.01
2021-12-14T22:00:00,4.3
2021-12-15T22:00:00,3.97
2021-12-16T22:00:00,4.0
2021-12-19T22:00:00,4.01
2021-12-20T22:00:00,4.44
2021-12-21T22:00:00,4.44
2021-12-22T22:00:00,4.75
2021-12-23T22:00:00,4.75
2021-12-26T22:00:00,5.21
2021-12-27T22:00:00,5.18
2021-12-28T22:00:00,5.35
2021-12-29T22:00:00,5.42
2021-12-30T22:00:00,5.5
2022-01-02T22:00:00,5.7
2022-01-03T22:00:00,6.46
2022-01-04T22:00:00,6.43
2022-01-05T22:00:00,6.15
2022-01-06T22:00:00,5.92
2022-01-09T22:00:00,5.58
2022-01-10T22:00:00,5.66
2022-01-11T22:00:00,5.14
2022-01-12T22:00:00,4.78
2022-01-13T22:00:00,4.82
2022-01-16T22:00:00,5.13
2022-01-17T22:00:00,5.12
2022-01-18T22:00:00,4.89
2022-01-19T22:00:00,4.76
2022-01-20T22:00:00,4.39
2022-01-23T22:00:00,4.66
2022-01-24T22:00:00,4.59
2022-01-25T22:00:00,5.27
2022-01-26T22:00:00,5.85
2022-01-27T22:00:00,5.73
2022-01-30T22:00:00,5.53
2022-01-31T22:00:00,5.21
2022-02-01T22:00:00,4.95
2022-02-02T22:00:00,5.48
2022-02-03T22:00:00,5.74
2022-02-06T22:00:00,5.54
2022-02-07T22:00:00,5.89
2022-02-08T22:00:00,5.93
2022-02-09T22:00:00,6.3
2022-02-10T22:00:00,5.79
2022-02-13T22:00:00,5.92
2022-02-14T22:00:00,5.97
2022-02-15T22:00:00,5.84
2022-02-16T22:00:00,5.37
2022-02-17T22:00:00,5.43
2022-02-20T22:00:00,5.13
2022-02-21T22:00:00,5.4
2022-02-22T22:00:00,5.32
2022-02-23T22:00:00,5.73
2022-02-24T22:00:00,5.72
2022-02-27T22:00:00,5.22
2022-02-28T22:00:00,5.14
