date,return
2021-08-15T21:00:00,-0.39
2021-08-16T21:00:00,-0.1
2021-08-17T21:00:00,0.07
2021-08-18T21:00:00,0.06
2021-08-19T21:00:00,0.11
2021-08-22T21:00:00,0.08
2021-08-23T21:00:00,0.08
2021-08-24T21:00:00,0.39
2021-08-25T21:00:00,0.46
2021-08-26T21:00:00,0.29
2021-08-29T21:00:00,0.34
2021-08-30T21:00:00,0.39
2021-08-31T21:00:00,0.41
2021-09-01T21:00:00,0.33
2021-09-02T21:00:00,0.11
2021-09-05T21:00:00,0.22
2021-09-06T21:00:00,0.61
2021-09-07T21:00:00,0.62
2021-09-08T21:00:00,0.16
2021-09-09T21:00:00,0.36
2021-09-12T21:00:00,0.45
2021-09-13T21:00:00,0.18
2021-09-14T21:00:00,-0.09
2021-09-15T21:00:00,0.25
2021-09-16T21:00:00,0.46
2021-09-19T21:00:00,-0.04
2021-09-20T21:00:00,-0.19
2021-09-21T21:00:00,0.34
2021-09-22T21:00:00,0.84
2021-09-23T21:00:00,1.24
2021-09-26T21:00:00,1.54
2021-09-27T21:00:00,2.0
2021-09-28T21:00:00,2.4
2021-09-29T21:00:00,1.79
2021-09-30T21:00:00,1.57
2021-10-03T21:00:00,1.6
2021-10-04T21:00:00,2.08
2021-10-05T21:00:00,2.03
2021-10-06T21:00:00,2.23
2021-10-07T21:00:00,2.76
2021-10-10T21:00:00,3.78
2021-10-11T21:00:00,4.06
2021-10-12T21:00:00,3.76
2021-10-13T21:00:00,4.12
2021-10-14T21:00:00,4.59
2021-10-17T21:00:00,4.64
2021-10-18T21:00:00,4.7
2021-10-19T21:00:00,4.68
2021-10-20T21:00:00,4.43
2021-10-21T21:00:00,4.01
2021-10-24T21:00:00,4.14
2021-10-25T21:00:00,4.53
2021-10-26T21:00:00,4.23
2021-10-27T21:00:00,4.0
2021-10-28T21:00:00,4.31
2021-10-31T21:00:00,4.26
2021-11-01T21:00:00,4.23
2021-11-02T21:00:00,4.26
2021-11-03T21:00:00,4.05
2021-11-04T21:00:00,3.75
2021-11-07T22:00:00,3.62
2021-11-08T22:00:00,3.32
2021-11-09T22:00:00,4.24
2021-11-10T22:00:00,4.38
2021-11-11T22:00:00,4.23
2021-11-14T22:00:00,4.41
2021-11-15T22:00:00,5.04
2021-11-16T22:00:00,4.44
2021-11-17T22:00:00,4.59
2021-11-18T22:00:00,4.35
2021-11-21T22:00:00,5.08
2021-11-22T22:00:00,5.28
2021-11-23T22:00:00,5.51
2021-11-24T22:00:00,5.44
2021-11-25T22:00:00,3.73
2021-11-28T22:00:00,3.59
2021-11-29T22:00:00,3.25
2021-11-30T22:00:00,2.93
2021-12-01T22:00:00,3.31
2021-12-02T22:00:00,3.06
2021-12-05T22:00:00,3.63
2021-12-06T22:00:00,3.72
2021-12-07T22:00:00,3.82
2021-12-08T22:00:00,3.65
2021-12-09T22:00:00,3.57
2021-12-12T22:00:00,3.75
2021-12-13T22:00:00,3.94
2021-12-14T22:00:00,4.25
2021-12-15T22:00:00,3.95
2021-12-16T22:00:00,3.97
2021-12-19T22:00:00,3.97
2021-12-20T22:00:00,4.4
2021-12-21T22:00:00,4.4
2021-12-22T22:00:00,4.68
2021-12-23T22:00:00,4.72
2021-12-26T22:00:00,5.19
2021-12-27T22:00:00,5.15
2021-12-28T22:00:00,5.3
2021-12-29T22:00:00,5.41
2021-12-30T22:00:00,5.43
2022-01-02T22:00:00,5.63
2022-01-03T22:00:00,6.34
2022-01-04T22:00:00,6.34
2022-01-05T22:00:00,6.11
2022-01-06T22:00:00,5.85
2022-01-09T22:00:00,5.48
2022-01-10T22:00:00,5.57
2022-01-11T22:00:00,4.99
2022-01-12T22:00:00,4.58
2022-01-13T22:00:00,4.57
2022-01-16T22:00:00,4.96
2022-01-17T22:00:00,4.96
2022-01-18T22:00:00,4.7
2022-01-19T22:00:00,4.53
2022-01-20T22:00:00,4.16
2022-01-23T22:00:00,4.43
2022-01-24T22:00:00,4.36
2022-01-25T22:00:00,5.04
2022-01-26T22:00:00,5.67
2022-01-27T22:00:00,5.56
2022-01-30T22:00:00,5.42
2022-01-31T22:00:00,5.06
2022-02-01T22:00:00,4.82
2022-02-02T22:00:00,5.31
2022-02-03T22:00:00,5.51
2022-02-06T22:00:00,5.35
2022-02-07T22:00:00,5.73
2022-02-08T22:00:00,5.72
2022-02-09T22:00:00,6.14
2022-02-10T22:00:00,5.68
2022-02-13T22:00:00,5.83
2022-02-14T22:00:00,5.87
2022-02-15T22:00:00,5.73
2022-02-16T22:00:00,5.24
2022-02-17T22:00:00,5.31
2022-02-20T22:00:00,5.03
2022-02-21T22:00:00,5.31
2022-02-22T22:00:00,5.27
2022-02-23T22:00:00,5.72
2022-02-24T22:00:00,5.72
2022-02-27T22:00:00,5.29
2022-02-28T22:00:00,5.22
2022-03-01T22:00:00,5.74
2022-03-02T22:00:00,5.69
2022-03-03T22:00:00,5.14
2022-03-06T22:00:00,5.47
2022-03-07T22:00:00,5.79
2022-03-08T22:00:00,5.93
2022-03-09T22:00:00,6.18
2022-03-10T22:00:00,7.21
2022-03-13T21:00:00,7.92
2022-03-14T21:00:00,8.03
2022-03-15T21:00:00,8.43
2022-03-16T21:00:00,8.32
2022-03-17T21:00:00,8.78
2022-03-20T21:00:00,9.06
2022-03-21T21:00:00,10.2
2022-03-22T21:00:00,10.49
2022-03-23T21:00:00,11.47
2022-03-24T21:00:00,11.25
2022-03-27T21:00:00,12.76
2022-03-28T21:00:00,12.02
2022-03-29T21:00:00,11.18
2022-03-30T21:00:00,11.05
2022-03-31T21:00:00,11.77
2022-04-03T21:00:00,11.89
2022-04-04T21:00:00,12.55
2022-04-05T21:00:00,12.71
2022-04-06T21:00:00,12.86
2022-04-07T21:00:00,13.12
2022-04-10T21:00:00,14.18
2022-04-11T21:00:00,14.2
2022-04-12T21:00:00,14.44
2022-04-13T21:00:00,14.66
2022-04-14T21:00:00,15.12
2022-04-17T21:00:00,15.57
2022-04-18T21:00:00,17.07
2022-04-19T21:00:00,16.26
2022-04-20T21:00:00,16.6
2022-04-21T21:00:00,16.75
2022-04-24T21:00:00,16.42
2022-04-25T21:00:00,15.72
2022-04-26T21:00:00,16.66
2022-04-27T21:00:00,18.54
2022-04-28T21:00:00,17.7
2022-05-01T21:00:00,18.01
2022-05-02T21:00:00,17.99
2022-05-03T21:00:00,17.2
2022-05-04T21:00:00,18.04
2022-05-05T21:00:00,18.29
2022-05-08T21:00:00,18.12
2022-05-09T21:00:00,18.23
2022-05-10T21:00:00,17.87
2022-05-11T21:00:00,16.67
2022-05-12T21:00:00,17.36
2022-05-15T21:00:00,17.22
2022-05-16T21:00:00,17.39
2022-05-17T21:00:00,16.48
2022-05-18T21:00:00,16.2
2022-05-19T21:00:00,16.36
