date,return
2006-03-18T22:00:00,-0.15
2006-03-19T22:00:00,0.55
2006-03-20T22:00:00,2.59
2006-03-21T22:00:00,2.4
2006-03-22T22:00:00,4.74
2006-03-23T22:00:00,6.18
2006-03-24T22:00:00,6.18
2006-03-25T22:00:00,6.1
2006-03-26T22:00:00,7.92
2006-03-27T22:00:00,7.43
2006-03-28T22:00:00,10.31
2006-03-29T22:00:00,14.02
2006-03-30T22:00:00,12.15
2006-04-01T22:00:00,12.2
2006-04-02T21:00:00,14.22
2006-04-03T21:00:00,13.24
2006-04-04T21:00:00,12.24
2006-04-05T21:00:00,15.29
2006-04-06T21:00:00,15.73
2006-04-08T21:00:00,15.79
2006-04-09T21:00:00,20.54
2006-04-10T21:00:00,18.29
2006-04-11T21:00:00,20.64
2006-04-12T21:00:00,21.94
2006-04-13T21:00:00,22.21
2006-04-15T21:00:00,22.21
2006-04-16T21:00:00,26.3
2006-04-17T21:00:00,28.91
2006-04-18T21:00:00,32.78
2006-04-19T21:00:00,15.21
2006-04-20T21:00:00,23.49
2006-04-22T21:00:00,23.13
2006-04-23T21:00:00,15.18
2006-04-24T21:00:00,19.39
2006-04-25T21:00:00,21.15
2006-04-26T21:00:00,18.8
2006-04-27T21:00:00,26.95
2006-04-28T21:00:00,26.95
2006-04-29T21:00:00,27.28
2006-04-30T21:00:00,27.93
2006-05-01T21:00:00,31.04
2006-05-02T21:00:00,26.49
2006-05-03T21:00:00,27.53
2006-05-04T21:00:00,27.66
2006-05-05T21:00:00,27.64
2006-05-06T21:00:00,27.63
2006-05-07T21:00:00,27.77
2006-05-08T21:00:00,30.85
2006-05-09T21:00:00,31.43
2006-05-10T21:00:00,32.96
2006-05-11T21:00:00,30.3
2006-05-12T21:00:00,30.3
2006-05-13T21:00:00,30.2
2006-05-14T21:00:00,23.47
2006-05-15T21:00:00,26.02
2006-05-16T21:00:00,24.02
2006-05-17T21:00:00,19.35
2006-05-18T21:00:00,19.36
2006-05-20T21:00:00,19.52
2006-05-21T21:00:00,19.53
2006-05-22T21:00:00,23.49
2006-05-23T21:00:00,19.68
2006-05-24T21:00:00,20.39
2006-05-25T21:00:00,21.0
2006-05-27T21:00:00,21.07
2006-05-28T21:00:00,21.06
2006-05-29T21:00:00,22.54
2006-05-30T21:00:00,20.08
2006-05-31T21:00:00,16.82
2006-06-01T21:00:00,17.02
