date,return
2006-03-19T22:00:00,-0.2
2006-03-20T22:00:00,1.59
2006-03-21T22:00:00,1.82
2006-03-22T22:00:00,3.45
2006-03-23T22:00:00,4.26
2006-03-25T22:00:00,4.31
2006-03-26T22:00:00,5.74
2006-03-27T22:00:00,5.34
2006-03-28T22:00:00,8.48
2006-03-29T22:00:00,12.33
2006-03-30T22:00:00,11.48
2006-04-01T22:00:00,11.49
2006-04-02T21:00:00,13.65
2006-04-03T21:00:00,12.67
2006-04-04T21:00:00,12.57
2006-04-05T21:00:00,15.25
2006-04-06T21:00:00,14.69
2006-04-08T21:00:00,14.62
2006-04-09T21:00:00,19.85
2006-04-10T21:00:00,17.68
2006-04-11T21:00:00,20.26
2006-04-12T21:00:00,21.27
2006-04-13T21:00:00,21.6
2006-04-15T21:00:00,21.49
2006-04-16T21:00:00,26.51
2006-04-17T21:00:00,29.27
2006-04-18T21:00:00,33.37
2006-04-19T21:00:00,15.14
2006-04-20T21:00:00,24.2
2006-04-22T21:00:00,24.06
2006-04-23T21:00:00,15.94
2006-04-24T21:00:00,19.87
2006-04-25T21:00:00,22.28
2006-04-26T21:00:00,19.93
2006-04-27T21:00:00,27.97
2006-04-28T21:00:00,27.97
2006-04-29T21:00:00,28.16
2006-04-30T21:00:00,28.62
2006-05-01T21:00:00,31.32
2006-05-02T21:00:00,28.11
2006-05-03T21:00:00,29.16
2006-05-04T21:00:00,29.25
2006-05-05T21:00:00,29.25
2006-05-06T21:00:00,29.35
2006-05-07T21:00:00,29.45
2006-05-08T21:00:00,32.07
2006-05-09T21:00:00,32.8
2006-05-10T21:00:00,34.73
2006-05-11T21:00:00,32.26
2006-05-12T21:00:00,32.26
2006-05-13T21:00:00,32.25
2006-05-14T21:00:00,24.17
2006-05-15T21:00:00,27.1
2006-05-16T21:00:00,24.63
2006-05-17T21:00:00,21.19
2006-05-18T21:00:00,20.2
2006-05-20T21:00:00,20.39
2006-05-21T21:00:00,19.53
2006-05-22T21:00:00,24.13
2006-05-23T21:00:00,19.99
2006-05-24T21:00:00,20.6
2006-05-25T21:00:00,20.73
2006-05-27T21:00:00,20.74
2006-05-28T21:00:00,20.94
2006-05-29T21:00:00,22.26
2006-05-30T21:00:00,18.72
2006-05-31T21:00:00,14.87
2006-06-01T21:00:00,15.65
2006-06-02T21:00:00,15.66
2006-06-03T21:00:00,15.57
2006-06-04T21:00:00,15.87
2006-06-05T21:00:00,14.38
2006-06-06T21:00:00,14.16
2006-06-07T21:00:00,9.68
2006-06-08T21:00:00,7.8
2006-06-10T21:00:00,7.78
2006-06-11T21:00:00,5.11
2006-06-12T21:00:00,-6.53
2006-06-13T21:00:00,-5.8
2006-06-14T21:00:00,0.41
2006-06-15T21:00:00,1.7
2006-06-17T21:00:00,1.33
2006-06-18T21:00:00,-1.87
2006-06-19T21:00:00,1.34
2006-06-20T21:00:00,2.46
2006-06-21T21:00:00,1.02
2006-06-22T21:00:00,2.46
2006-06-24T21:00:00,2.09
2006-06-25T21:00:00,2.16
2006-06-26T21:00:00,0.54
2006-06-27T21:00:00,1.28
2006-06-28T21:00:00,5.04
2006-06-29T21:00:00,8.98
2006-07-01T21:00:00,8.9
2006-07-02T21:00:00,10.5
2006-07-03T21:00:00,9.72
2006-07-04T21:00:00,11.5
2006-07-05T21:00:00,12.88
2006-07-06T21:00:00,10.96
2006-07-08T21:00:00,10.96
2006-07-09T21:00:00,9.51
2006-07-10T21:00:00,14.28
2006-07-11T21:00:00,14.84
2006-07-12T21:00:00,15.36
2006-07-13T21:00:00,13.57
2006-07-15T21:00:00,13.54
2006-07-16T21:00:00,9.47
2006-07-17T21:00:00,6.35
2006-07-18T21:00:00,11.34
2006-07-19T21:00:00,9.21
2006-07-20T21:00:00,8.79
2006-07-22T21:00:00,8.84
2006-07-23T21:00:00,10.07
2006-07-24T21:00:00,10.3
2006-07-25T21:00:00,11.28
2006-07-26T21:00:00,13.63
2006-07-27T21:00:00,13.08
2006-07-29T21:00:00,13.01
2006-07-30T21:00:00,13.87
2006-07-31T21:00:00,16.62
2006-08-01T21:00:00,19.62
2006-08-02T21:00:00,19.09
2006-08-03T21:00:00,21.58
2006-08-05T21:00:00,21.58
2006-08-06T21:00:00,20.09
2006-08-07T21:00:00,19.62
2006-08-08T21:00:00,21.96
2006-08-09T21:00:00,19.96
2006-08-10T21:00:00,17.79
2006-08-11T21:00:00,17.79
2006-08-12T21:00:00,17.76
2006-08-13T21:00:00,19.12
2006-08-14T21:00:00,19.34
2006-08-15T21:00:00,20.46
2006-08-16T21:00:00,17.73
2006-08-17T21:00:00,18.84
2006-08-19T21:00:00,18.89
2006-08-20T21:00:00,21.0
2006-08-21T21:00:00,19.8
2006-08-22T21:00:00,21.35
2006-08-23T21:00:00,19.98
2006-08-24T21:00:00,20.27
2006-08-25T21:00:00,20.27
2006-08-26T21:00:00,20.26
2006-08-27T21:00:00,17.86
2006-08-28T21:00:00,19.41
2006-08-29T21:00:00,21.52
2006-08-30T21:00:00,23.43
2006-08-31T21:00:00,24.04
2006-09-02T21:00:00,24.06
2006-09-03T21:00:00,24.65
2006-09-04T21:00:00,25.14
2006-09-05T21:00:00,24.96
2006-09-06T21:00:00,21.83
2006-09-07T21:00:00,19.4
2006-09-09T21:00:00,19.42
2006-09-10T21:00:00,11.04
2006-09-11T21:00:00,9.98
2006-09-12T21:00:00,11.6
2006-09-13T21:00:00,6.98
2006-09-14T21:00:00,8.2
2006-09-16T21:00:00,8.17
2006-09-17T21:00:00,11.46
2006-09-18T21:00:00,8.87
2006-09-19T21:00:00,9.78
2006-09-20T21:00:00,11.52
2006-09-21T21:00:00,11.29
2006-09-23T21:00:00,11.29
2006-09-24T21:00:00,11.96
2006-09-25T21:00:00,13.06
2006-09-26T21:00:00,15.11
2006-09-27T21:00:00,14.25
2006-09-28T21:00:00,13.85
2006-09-30T21:00:00,13.89
2006-10-01T21:00:00,14.23
2006-10-02T21:00:00,8.71
2006-10-03T21:00:00,9.22
2006-10-04T21:00:00,11.56
2006-10-05T21:00:00,12.11
2006-10-06T21:00:00,12.11
2006-10-07T21:00:00,12.11
2006-10-08T21:00:00,13.42
2006-10-09T21:00:00,13.14
2006-10-10T21:00:00,14.05
2006-10-11T21:00:00,14.92
2006-10-12T21:00:00,17.71
2006-10-14T21:00:00,17.68
2006-10-15T21:00:00,19.47
2006-10-16T21:00:00,18.73
2006-10-17T21:00:00,18.89
2006-10-18T21:00:00,20.57
2006-10-19T21:00:00,18.87
2006-10-20T21:00:00,18.89
2006-10-21T21:00:00,18.88
2006-10-22T21:00:00,17.39
2006-10-23T21:00:00,18.24
2006-10-24T21:00:00,18.84
2006-10-25T21:00:00,20.88
2006-10-26T21:00:00,19.76
2006-10-28T21:00:00,19.78
2006-10-29T22:00:00,20.94
2006-10-30T22:00:00,21.91
2006-10-31T22:00:00,24.28
2006-11-01T22:00:00,25.37
2006-11-02T22:00:00,25.02
2006-11-04T22:00:00,25.02
2006-11-05T22:00:00,25.5
2006-11-06T22:00:00,25.34
2006-11-07T22:00:00,23.9
2006-11-08T22:00:00,28.69
2006-11-09T22:00:00,28.77
2006-11-11T22:00:00,28.75
2006-11-12T22:00:00,28.47
2006-11-13T22:00:00,27.84
2006-11-14T22:00:00,28.76
2006-11-15T22:00:00,28.2
2006-11-16T22:00:00,28.58
2006-11-17T22:00:00,28.58
2006-11-18T22:00:00,28.55
2006-11-19T22:00:00,28.2
