date,return
2006-03-18T22:00:00,0.06
2006-03-19T22:00:00,-0.19
2006-03-20T22:00:00,1.89
2006-03-21T22:00:00,2.04
2006-03-22T22:00:00,4.73
2006-03-23T22:00:00,4.76
2006-03-25T22:00:00,4.74
2006-03-26T22:00:00,6.3
2006-03-27T22:00:00,5.86
2006-03-28T22:00:00,8.7
2006-03-29T22:00:00,12.4
2006-03-30T22:00:00,11.2
2006-04-01T22:00:00,11.22
2006-04-02T21:00:00,12.95
2006-04-03T21:00:00,11.66
2006-04-04T21:00:00,11.45
2006-04-05T21:00:00,15.43
2006-04-06T21:00:00,16.31
2006-04-08T21:00:00,16.22
2006-04-09T21:00:00,21.47
2006-04-10T21:00:00,19.48
2006-04-11T21:00:00,22.06
2006-04-12T21:00:00,22.69
2006-04-13T21:00:00,22.96
2006-04-15T21:00:00,22.87
2006-04-16T21:00:00,27.25
2006-04-17T21:00:00,29.63
2006-04-18T21:00:00,33.92
2006-04-19T21:00:00,15.86
2006-04-20T21:00:00,24.85
2006-04-22T21:00:00,24.64
2006-04-23T21:00:00,16.29
2006-04-24T21:00:00,20.39
2006-04-25T21:00:00,22.9
2006-04-26T21:00:00,20.36
2006-04-27T21:00:00,28.12
2006-04-28T21:00:00,28.12
2006-04-29T21:00:00,28.37
2006-04-30T21:00:00,29.43
2006-05-01T21:00:00,32.61
2006-05-02T21:00:00,29.04
2006-05-03T21:00:00,29.71
2006-05-04T21:00:00,29.7
2006-05-05T21:00:00,29.71
2006-05-06T21:00:00,29.64
2006-05-07T21:00:00,29.47
2006-05-08T21:00:00,32.85
2006-05-09T21:00:00,33.32
2006-05-10T21:00:00,34.59
2006-05-11T21:00:00,30.86
2006-05-12T21:00:00,30.87
2006-05-13T21:00:00,30.76
2006-05-14T21:00:00,23.4
2006-05-15T21:00:00,26.4
2006-05-16T21:00:00,24.12
2006-05-17T21:00:00,19.43
2006-05-18T21:00:00,19.15
2006-05-20T21:00:00,19.27
2006-05-21T21:00:00,18.05
2006-05-22T21:00:00,22.16
2006-05-23T21:00:00,18.88
2006-05-24T21:00:00,20.3
2006-05-25T21:00:00,20.92
2006-05-26T21:00:00,20.92
2006-05-27T21:00:00,20.94
2006-05-28T21:00:00,21.07
2006-05-29T21:00:00,22.16
2006-05-30T21:00:00,18.82
2006-05-31T21:00:00,14.87
2006-06-01T21:00:00,14.93
2006-06-02T21:00:00,14.93
2006-06-03T21:00:00,14.78
2006-06-04T21:00:00,14.66
2006-06-05T21:00:00,13.25
2006-06-06T21:00:00,13.56
2006-06-07T21:00:00,9.22
2006-06-08T21:00:00,8.92
2006-06-10T21:00:00,9.06
2006-06-11T21:00:00,7.32
2006-06-12T21:00:00,-5.04
2006-06-13T21:00:00,-4.87
2006-06-14T21:00:00,1.25
2006-06-15T21:00:00,1.44
2006-06-17T21:00:00,1.04
2006-06-18T21:00:00,-1.39
2006-06-19T21:00:00,1.96
2006-06-20T21:00:00,3.29
2006-06-21T21:00:00,1.73
2006-06-22T21:00:00,3.23
2006-06-24T21:00:00,3.13
2006-06-25T21:00:00,2.23
2006-06-26T21:00:00,0.66
2006-06-27T21:00:00,1.58
2006-06-28T21:00:00,5.66
2006-06-29T21:00:00,7.99
2006-07-01T21:00:00,8.04
2006-07-02T21:00:00,9.87
2006-07-03T21:00:00,9.57
2006-07-04T21:00:00,11.42
2006-07-05T21:00:00,12.3
2006-07-06T21:00:00,10.08
2006-07-07T21:00:00,10.08
2006-07-08T21:00:00,10.04
2006-07-09T21:00:00,8.39
2006-07-10T21:00:00,12.03
2006-07-11T21:00:00,12.97
2006-07-12T21:00:00,13.86
2006-07-13T21:00:00,12.62
2006-07-14T21:00:00,12.62
2006-07-15T21:00:00,12.65
2006-07-16T21:00:00,8.85
2006-07-17T21:00:00,5.84
2006-07-18T21:00:00,10.29
2006-07-19T21:00:00,8.05
2006-07-20T21:00:00,6.7
2006-07-21T21:00:00,6.7
2006-07-22T21:00:00,6.56
2006-07-23T21:00:00,8.04
2006-07-24T21:00:00,8.67
2006-07-25T21:00:00,9.17
2006-07-26T21:00:00,11.62
2006-07-27T21:00:00,10.92
2006-07-28T21:00:00,10.95
2006-07-29T21:00:00,10.87
2006-07-30T21:00:00,11.6
2006-07-31T21:00:00,13.94
2006-08-01T21:00:00,17.61
2006-08-02T21:00:00,17.09
2006-08-03T21:00:00,18.84
2006-08-05T21:00:00,18.9
2006-08-06T21:00:00,18.33
2006-08-07T21:00:00,17.58
2006-08-08T21:00:00,19.99
2006-08-09T21:00:00,17.9
2006-08-10T21:00:00,16.5
2006-08-11T21:00:00,16.5
2006-08-12T21:00:00,16.45
2006-08-13T21:00:00,17.7
2006-08-14T21:00:00,17.86
2006-08-15T21:00:00,18.73
2006-08-16T21:00:00,15.86
2006-08-17T21:00:00,16.69
2006-08-18T21:00:00,16.69
2006-08-19T21:00:00,16.69
2006-08-20T21:00:00,19.01
2006-08-21T21:00:00,18.68
2006-08-22T21:00:00,20.62
2006-08-23T21:00:00,19.72
2006-08-24T21:00:00,20.14
2006-08-25T21:00:00,20.14
2006-08-26T21:00:00,20.11
2006-08-27T21:00:00,17.34
2006-08-28T21:00:00,18.94
