date,return
2006-03-18T22:00:00,-0.07
2006-03-19T22:00:00,-0.46
2006-03-20T22:00:00,1.53
2006-03-21T22:00:00,1.55
2006-03-22T22:00:00,4.17
2006-03-23T22:00:00,4.33
2006-03-25T22:00:00,4.28
2006-03-26T22:00:00,5.43
2006-03-27T22:00:00,5.06
2006-03-28T22:00:00,8.65
2006-03-29T22:00:00,12.84
2006-03-30T22:00:00,11.76
2006-04-01T22:00:00,11.78
2006-04-02T21:00:00,13.57
2006-04-03T21:00:00,12.34
2006-04-04T21:00:00,12.45
2006-04-05T21:00:00,15.95
2006-04-06T21:00:00,16.36
2006-04-08T21:00:00,16.31
2006-04-09T21:00:00,21.61
2006-04-10T21:00:00,19.55
2006-04-11T21:00:00,21.76
2006-04-12T21:00:00,22.24
2006-04-13T21:00:00,22.61
2006-04-15T21:00:00,22.5
2006-04-16T21:00:00,27.02
2006-04-17T21:00:00,29.41
2006-04-18T21:00:00,33.4
2006-04-19T21:00:00,15.56
2006-04-20T21:00:00,24.53
2006-04-22T21:00:00,24.33
2006-04-23T21:00:00,16.02
2006-04-24T21:00:00,20.47
2006-04-25T21:00:00,23.38
2006-04-26T21:00:00,20.56
2006-04-27T21:00:00,27.74
2006-04-29T21:00:00,28.05
2006-04-30T21:00:00,28.69
2006-05-01T21:00:00,31.36
2006-05-02T21:00:00,27.79
2006-05-03T21:00:00,28.45
2006-05-04T21:00:00,28.27
2006-05-05T21:00:00,28.27
2006-05-06T21:00:00,28.22
2006-05-07T21:00:00,27.94
2006-05-08T21:00:00,31.3
2006-05-09T21:00:00,32.11
2006-05-10T21:00:00,32.78
2006-05-11T21:00:00,29.13
2006-05-12T21:00:00,29.14
2006-05-13T21:00:00,29.09
2006-05-14T21:00:00,21.44
2006-05-15T21:00:00,24.48
2006-05-16T21:00:00,21.59
2006-05-17T21:00:00,17.1
2006-05-18T21:00:00,17.04
2006-05-20T21:00:00,17.13
2006-05-21T21:00:00,16.21
2006-05-22T21:00:00,20.29
2006-05-23T21:00:00,17.15
2006-05-24T21:00:00,18.66
2006-05-25T21:00:00,19.65
2006-05-27T21:00:00,19.63
2006-05-28T21:00:00,19.82
2006-05-29T21:00:00,20.56
2006-05-30T21:00:00,17.49
2006-05-31T21:00:00,13.73
2006-06-01T21:00:00,13.81
2006-06-03T21:00:00,13.62
2006-06-04T21:00:00,13.92
2006-06-05T21:00:00,12.57
2006-06-06T21:00:00,12.84
2006-06-07T21:00:00,8.12
2006-06-08T21:00:00,7.83
2006-06-10T21:00:00,7.94
