date,return
2008-06-08T21:00:00,-2.46
2008-06-09T21:00:00,-5.48
2008-06-10T21:00:00,-3.87
2008-06-11T21:00:00,-6.07
2008-06-12T21:00:00,-5.59
2008-06-13T21:00:00,-5.64
2008-06-15T21:00:00,-2.1
2008-06-16T21:00:00,-2.66
2008-06-17T21:00:00,-0.95
2008-06-18T21:00:00,-1.06
2008-06-19T21:00:00,-0.95
2008-06-22T21:00:00,-4.26
2008-06-23T21:00:00,-5.03
2008-06-24T21:00:00,-4.36
2008-06-25T21:00:00,-2.12
2008-06-26T21:00:00,-0.1
2008-06-29T21:00:00,-1.04
2008-06-30T21:00:00,3.04
2008-07-01T21:00:00,4.43
2008-07-02T21:00:00,3.83
2008-07-03T21:00:00,3.06
2008-07-05T21:00:00,3.06
2008-07-06T21:00:00,1.24
2008-07-07T21:00:00,1.25
2008-07-08T21:00:00,3.26
2008-07-09T21:00:00,4.14
2008-07-10T21:00:00,6.99
2008-07-12T21:00:00,7.15
2008-07-13T21:00:00,8.51
2008-07-14T21:00:00,7.49
2008-07-15T21:00:00,6.82
2008-07-16T21:00:00,5.42
2008-07-17T21:00:00,3.32
2008-07-18T21:00:00,3.32
2008-07-19T21:00:00,3.31
2008-07-20T21:00:00,4.93
2008-07-21T21:00:00,2.4
2008-07-22T21:00:00,-0.88
2008-07-23T21:00:00,-0.47
2008-07-24T21:00:00,-0.63
2008-07-26T21:00:00,-0.63
2008-07-27T21:00:00,-0.07
2008-07-28T21:00:00,-0.91
2008-07-29T21:00:00,-0.21
2008-07-30T21:00:00,1.34
2008-07-31T21:00:00,-0.13
2008-08-02T21:00:00,-0.14
2008-08-03T21:00:00,-3.23
2008-08-04T21:00:00,-6.04
2008-08-05T21:00:00,-5.39
2008-08-06T21:00:00,-7.57
2008-08-07T21:00:00,-12.93
2008-08-09T21:00:00,-12.93
2008-08-10T21:00:00,-17.27
2008-08-11T21:00:00,-18.37
2008-08-12T21:00:00,-15.62
2008-08-13T21:00:00,-20.45
2008-08-14T21:00:00,-30.38
2008-08-16T21:00:00,-30.38
2008-08-17T21:00:00,-28.09
2008-08-18T21:00:00,-26.72
2008-08-19T21:00:00,-26.57
2008-08-20T21:00:00,-22.23
2008-08-21T21:00:00,-25.68
2008-08-23T21:00:00,-25.68
2008-08-24T21:00:00,-24.7
