date,return
2006-03-18T22:00:00,0.0
2006-03-19T22:00:00,-0.04
2006-03-20T22:00:00,2.21
2006-03-21T22:00:00,2.08
2006-03-22T22:00:00,4.63
2006-03-23T22:00:00,4.87
2006-03-25T22:00:00,4.94
2006-03-26T22:00:00,5.6
2006-03-27T22:00:00,6.07
2006-03-28T22:00:00,8.99
2006-03-29T22:00:00,13.5
2006-03-30T22:00:00,12.3
2006-04-01T22:00:00,12.37
2006-04-02T21:00:00,14.23
2006-04-03T21:00:00,13.77
2006-04-04T21:00:00,13.74
2006-04-05T21:00:00,17.49
2006-04-06T21:00:00,17.7
2006-04-08T21:00:00,17.57
2006-04-09T21:00:00,23.05
2006-04-10T21:00:00,21.29
2006-04-11T21:00:00,23.75
2006-04-12T21:00:00,24.42
2006-04-13T21:00:00,24.84
2006-04-15T21:00:00,24.77
2006-04-16T21:00:00,29.55
2006-04-17T21:00:00,32.15
2006-04-18T21:00:00,36.88
2006-04-19T21:00:00,18.58
2006-04-20T21:00:00,26.87
2006-04-22T21:00:00,26.01
2006-04-23T21:00:00,17.03
2006-04-24T21:00:00,21.65
2006-04-25T21:00:00,24.27
2006-04-26T21:00:00,21.85
2006-04-27T21:00:00,30.2
2006-04-29T21:00:00,30.3
2006-04-30T21:00:00,30.77
2006-05-01T21:00:00,34.16
2006-05-02T21:00:00,30.93
2006-05-03T21:00:00,32.14
2006-05-04T21:00:00,31.44
2006-05-05T21:00:00,31.44
2006-05-06T21:00:00,30.98
2006-05-07T21:00:00,30.25
2006-05-08T21:00:00,33.46
2006-05-09T21:00:00,33.63
2006-05-10T21:00:00,35.52
2006-05-11T21:00:00,31.88
2006-05-13T21:00:00,31.49
2006-05-14T21:00:00,23.82
2006-05-15T21:00:00,26.63
2006-05-16T21:00:00,24.53
2006-05-17T21:00:00,20.48
2006-05-18T21:00:00,20.45
2006-05-20T21:00:00,20.47
2006-05-21T21:00:00,19.94
2006-05-22T21:00:00,24.04
2006-05-23T21:00:00,21.14
2006-05-24T21:00:00,21.87
2006-05-25T21:00:00,22.89
2006-05-27T21:00:00,22.78
2006-05-28T21:00:00,22.92
2006-05-29T21:00:00,24.68
2006-05-30T21:00:00,21.29
2006-05-31T21:00:00,17.38
2006-06-01T21:00:00,17.45
2006-06-03T21:00:00,17.39
2006-06-04T21:00:00,17.59
2006-06-05T21:00:00,16.56
2006-06-06T21:00:00,16.74
2006-06-07T21:00:00,11.94
2006-06-08T21:00:00,11.31
2006-06-10T21:00:00,11.5
2006-06-11T21:00:00,9.66
2006-06-12T21:00:00,-2.28
2006-06-13T21:00:00,-1.94
2006-06-14T21:00:00,4.23
2006-06-15T21:00:00,4.86
2006-06-17T21:00:00,4.51
2006-06-18T21:00:00,1.85
2006-06-19T21:00:00,4.71
2006-06-20T21:00:00,6.65
2006-06-21T21:00:00,5.49
2006-06-22T21:00:00,6.79
2006-06-23T21:00:00,6.79
2006-06-24T21:00:00,6.79
2006-06-25T21:00:00,6.18
2006-06-26T21:00:00,4.61
2006-06-27T21:00:00,5.64
2006-06-28T21:00:00,9.46
2006-06-29T21:00:00,12.16
2006-07-01T21:00:00,12.14
2006-07-02T21:00:00,14.39
2006-07-03T21:00:00,14.19
2006-07-04T21:00:00,16.24
2006-07-05T21:00:00,17.01
2006-07-06T21:00:00,14.09
2006-07-07T21:00:00,14.09
2006-07-08T21:00:00,14.11
2006-07-09T21:00:00,12.06
2006-07-10T21:00:00,16.01
2006-07-11T21:00:00,17.5
2006-07-12T21:00:00,18.17
2006-07-13T21:00:00,17.25
2006-07-15T21:00:00,17.26
2006-07-16T21:00:00,13.34
2006-07-17T21:00:00,10.29
2006-07-18T21:00:00,15.04
2006-07-19T21:00:00,13.26
2006-07-20T21:00:00,11.68
2006-07-22T21:00:00,11.72
2006-07-23T21:00:00,13.08
2006-07-24T21:00:00,13.74
2006-07-25T21:00:00,14.51
2006-07-26T21:00:00,16.35
2006-07-27T21:00:00,15.17
