date,return
2006-03-19T22:00:00,1.39
2006-03-20T22:00:00,3.15
2006-03-21T22:00:00,2.91
2006-03-22T22:00:00,5.08
2006-03-23T22:00:00,8.19
2006-03-25T22:00:00,7.87
2006-03-26T22:00:00,9.85
2006-03-27T22:00:00,9.76
2006-03-28T22:00:00,12.59
2006-03-29T22:00:00,16.16
2006-03-30T22:00:00,14.24
2006-04-01T22:00:00,14.15
2006-04-02T21:00:00,17.23
2006-04-03T21:00:00,16.9
2006-04-04T21:00:00,15.84
2006-04-05T21:00:00,19.76
2006-04-06T21:00:00,20.34
2006-04-08T21:00:00,20.31
2006-04-09T21:00:00,25.23
2006-04-10T21:00:00,23.31
2006-04-11T21:00:00,24.74
2006-04-12T21:00:00,25.05
2006-04-13T21:00:00,25.39
2006-04-15T21:00:00,25.35
2006-04-16T21:00:00,29.83
2006-04-17T21:00:00,31.99
2006-04-18T21:00:00,35.5
2006-04-19T21:00:00,17.94
2006-04-20T21:00:00,26.08
2006-04-22T21:00:00,25.93
2006-04-23T21:00:00,18.68
2006-04-24T21:00:00,23.65
2006-04-25T21:00:00,24.99
2006-04-26T21:00:00,23.17
2006-04-27T21:00:00,30.84
2006-04-29T21:00:00,31.17
2006-04-30T21:00:00,32.0
2006-05-01T21:00:00,34.88
2006-05-02T21:00:00,31.07
2006-05-03T21:00:00,32.4
2006-05-04T21:00:00,32.63
2006-05-06T21:00:00,32.46
2006-05-07T21:00:00,33.58
2006-05-08T21:00:00,37.74
2006-05-09T21:00:00,39.17
2006-05-10T21:00:00,40.08
2006-05-11T21:00:00,37.43
2006-05-12T21:00:00,37.45
2006-05-13T21:00:00,37.18
2006-05-14T21:00:00,30.19
2006-05-15T21:00:00,32.52
2006-05-16T21:00:00,30.35
2006-05-17T21:00:00,26.19
2006-05-18T21:00:00,25.79
2006-05-19T21:00:00,25.79
2006-05-20T21:00:00,26.05
2006-05-21T21:00:00,25.12
2006-05-22T21:00:00,28.36
2006-05-23T21:00:00,23.36
2006-05-24T21:00:00,23.88
2006-05-25T21:00:00,25.08
2006-05-27T21:00:00,25.09
2006-05-28T21:00:00,25.26
2006-05-29T21:00:00,26.34
2006-05-30T21:00:00,23.45
2006-05-31T21:00:00,20.4
2006-06-01T21:00:00,21.02
2006-06-03T21:00:00,20.9
2006-06-04T21:00:00,20.53
2006-06-05T21:00:00,19.21
2006-06-06T21:00:00,19.08
2006-06-07T21:00:00,13.93
2006-06-08T21:00:00,12.26
2006-06-10T21:00:00,12.4
2006-06-11T21:00:00,10.99
